N	2gram	Nazirov_Tv	VelikijI
265	чтобы человек	1	1
266	это как	4	1
267	которая в	1	1
268	и уж	1	1
269	всех на	2	1
270	совместима с	1	1
271	о красоте	1	1
272	общественной жизни	1	1
273	в руки	2	1
274	конечно о	1	1
275	и вот	2	1
276	его с	1	1
277	она не	2	1
278	но она	2	1
279	уже в	5	1
280	ненависть к	1	1
281	которое может	1	1
282	для себя	1	1
283	что уже	1	1
284	с этой	4	1
285	то же	19	1
286	и если	3	1
287	живет в	3	1
288	не имею	1	1
289	во что	2	1
290	то ни	1	1
291	не по	3	1
292	образ и	2	1
293	нельзя не	1	1
294	именем и	1	1
295	не быть	1	1
296	эта идея	2	1
297	с каким-то	1	1
298	ничего кроме	1	1
299	ушел от	1	1
300	что это	1	1
301	более всего	2	1
302	это значит	1	1
303	идет за	1	1
304	него в	2	1
305	как дети	1	1
306	его тайна	1	1
307	по закону	1	1
308	в глазах	2	1
309	о чем	1	1
310	тайны и	1	1
311	их жизни	1	1
312	с такой	1	1
313	добру а	1	1
314	что свобода	1	1
315	в ее	3	1
316	не нужны	1	1
317	и тем	2	1
318	почему мы	1	1
319	личности но	1	1
320	и уже	1	1
321	души и	2	1
322	человечества о	1	1
323	тоску по	1	1
324	если б	1	1
325	говорит о	3	1
326	как это	2	1
327	как сам	1	1
328	от людей	2	1
329	истории в	1	1
330	чем у	2	1
331	и тут	2	1
332	ли это?	1	1
333	от этой	1	1
334	мы все	1	1
335	с ненавистью	1	1
336	что человек	3	1
337	в которую	2	1
338	изображении достоевского	1	1
339	в человеке	4	1
340	если нет	1	1
341	слова не	2	1
342	среди людей	1	1
343	в одном	3	1
344	же что	1	1
345	у нас	2	1
346	свою свободу	1	1
347	отказ от	1	1
348	говорят что	1	1
349	кто же	2	1
350	человечества не	1	1
351	о своем	1	1
352	в этой	7	1
353	других людей	2	1
354	в результате	1	1
355	говорит что	2	1
356	другое и	1	1
357	в виду	3	1
358	другой стороны	2	1
359	мистический смысл	1	1
360	в день	1	1
361	я не	5	1
362	и великим	1	1
363	и вновь	1	1
364	но что	1	1
365	человека к	2	1
366	в русском	1	1
367	у него	11	1
368	по словам	2	1
369	из нас	1	1
370	вот в	2	1
371	в новых	2	1
372	не существует	3	1
373	так же	6	1
374	в виде	4	1
375	это имеет	1	1
376	тогда как	3	1
377	что бы	1	1
378	я тогда	1	1
379	своей любовью	1	1
380	христа на	1	1
381	не была	1	1
382	снисхождение к	1	1
383	любви к	2	1
384	не был	4	1
385	их не	1	1
386	но с	1	1
387	и самые	1	1
388	в своих	8	1
389	карамазова и	2	1
390	в противоположность	1	1
391	их и	1	1
392	человеческой природы	1	1
393	с миллионами	1	1
394	о возможности	1	1
395	отказаться от	4	1
396	ее окончательно	1	1
397	в разные	1	1
398	с другой	4	1
399	на которых	1	1
400	в которой	5	1
401	его совесть	1	1
402	но все	1	1
403	самоутверждение личности	1	1
404	вот что	1	1
405	я в	1	1
406	и с	9	1
407	не совместима	1	1
408	можно вывести	1	1
409	к ним	1	1
410	времени с	1	1
411	жизнь в	2	1
412	и говорит	1	1
413	в лице	4	1
414	сознания не	1	1
415	смерть но	1	1
416	отношение к	1	1
417	он всегда	2	1
418	наконец не	1	1
419	смысл бытия	1	1
420	это случилось	1	1
421	известном смысле	2	1
422	социализма и	1	1
423	идея в	1	1
424	места в	1	1
425	в мир	2	1
426	себя с	1	1
427	то и	1	1
428	или даже	2	1
429	но христос	2	1
430	религии и	1	1
431	не надо	1	1
432	него не	1	1
433	и другое	1	1
434	найти в	1	1
435	еще с	2	1
436	как мы	1	1
437	происхождение и	1	1
438	ведет к	3	1
439	из всего	1	1
440	но нет	1	1
441	и до	2	1
442	под бременем	1	1
443	в творческую	1	1
444	в процессе	3	1
445	его свободы	1	1
446	на него	2	1
447	в своем	4	1
448	меня в	2	1
449	присутствует в	1	1
450	человек и	2	1
451	это очень	1	1
452	к жизни	4	1
453	так хорошо	1	1
454	и от	8	1
455	утверждении своей	1	1
456	в изображении	2	1
457	лишь на	1	1
458	быть может	3	1
459	их сознания	1	1
460	как она	2	1
461	ничего не	3	1
462	весь мир	1	1
463	с ними	3	1
464	своей личности	3	1
465	зла в	1	1
466	к миру	2	1
467	к человеческой	1	1
468	остается не	1	1
469	в сознании	1	1
470	несравненно более	4	1
471	по крайней	4	1
472	человек с	2	1
473	о которой	2	1
474	в атмосфере	1	1
475	вместе с	4	1
476	все же	9	1
477	бунт против	1	1
478	в одно	2	1
479	если они	1	1
480	как в	10	1
481	этого слова	1	1
482	в бездну	1	1
483	в которых	3	1
484	жизни в	9	1
485	значение в	2	1
486	над людьми	1	1
487	по законам	1	1
488	роль в	2	1
489	им в	1	1
490	сделать его	1	1
491	себя и	1	1
492	и по	5	1
493	человеке и	1	1
494	их на	1	1
495	к этому	4	1
496	в их	5	1
497	со своей	1	1
498	с которым	2	1
499	какие бы	1	1
500	это в	3	1
501	такой силой	1	1
502	ли он	1	1
503	в двух	2	1
504	что человечество	1	1
505	может и	1	1
506	конце концов	1	1
507	поскольку он	1	1
508	которого не	2	1
509	до состояния	1	1
510	в известном	2	1
511	в мистический	1	1
512	для раскрытия	1	1
513	таким же	1	1
514	не просто	1	1
515	он был	2	1
516	не поддался	1	1
517	не случайно	6	1
518	так говорит	1	1
519	сложность и	1	1
520	людям в	2	1
521	свежего воздуха	2	1
522	слияние с	1	1
523	в целом	7	1
524	им не	1	1
525	по смыслу	1	1
526	крайней мере	4	1
527	жизни не	2	1
528	религии о	1	1
529	и ее	1	1
530	вовсе не	5	1
531	чудо что	1	1
532	что на	3	1
533	жизни с	2	1
534	их для	1	1
535	это самое	1	1
536	есть не	2	1
537	ли что	1	1
538	путями к	1	1
539	в искусстве	3	1
540	было написано	1	1
541	д и	1	1
542	история человечества	1	1
543	зла и	1	1
544	иван карамазов	9	1
545	себя но	2	1
546	отказался от	1	1
547	времени по	2	1
548	к нему	1	1
549	от них	1	1
550	и смерти	1	1
551	дьявольская сила	1	1
552	же за	1	1
