N	2gram	Tiupa_Teor	Otkroven
158	виду не	3	1
159	и состоит	2	1
160	он ни	1	1
161	же и	1	1
162	после того	1	1
163	карамазова в	1	1
164	каждом из	1	1
165	случае если	1	1
166	границы и	1	1
167	он выступает	1	1
168	жизни а	2	1
169	и пр	1	1
170	и личной	1	1
171	и заключается	1	1
172	собой в	1	1
173	его с	1	1
174	в том-то	1	1
175	она не	1	1
176	иных случаях	1	1
177	личность и	1	1
178	связана с	1	1
179	жизни человека	1	1
180	что сама	2	1
181	также и	1	1
182	ту же	1	1
183	но не	13	1
184	из жизни	1	1
185	силе и	1	1
186	вопросу о	1	1
187	не по	1	1
188	представляет собой	13	1
189	но всегда	1	1
190	и трагическое	1	1
191	быть осуществлено	1	1
192	не быть	1	1
193	человека как	1	1
194	всего только	1	1
195	художественного творчества	5	1
196	что это	1	1
197	и зло	1	1
198	до которой	1	1
199	речи и	4	1
200	может служить	2	1
201	он и	2	1
202	природе и	1	1
203	о чем	3	1
204	сознания в	2	1
205	в свое	1	1
206	в сущности	1	1
207	действующих лиц	1	1
208	для художника	1	1
209	кажется что	1	1
210	свободу и	1	1
211	в частности	23	1
212	говорит о	1	1
213	как это	10	1
214	ни был	2	1
215	между двумя	3	1
216	и больше	2	1
217	проникновения в	1	1
218	чем у	1	1
219	чего не	1	1
220	как у	1	1
221	со стороны	6	1
222	и через	1	1
223	в которую	1	1
224	не принять	1	1
225	он должен	3	1
226	не с	3	1
227	отношении к	4	1
228	и ему	1	1
229	и что	4	1
230	в одном	3	1
231	у нас	2	1
232	в отношении	4	1
233	можно было	1	1
234	дается в	1	1
235	заключает в	1	1
236	и это	2	1
237	кто бы	1	1
238	этого типа	1	1
239	и до	1	1
240	с их	2	1
241	не вполне	2	1
242	в русском	1	1
243	за это	1	1
244	которые будут	1	1
245	по своей	8	1
246	человека с	3	1
247	в них	2	1
248	у нее	1	1
249	действующие лица	1	1
250	в форме	4	1
251	было и	1	1
252	его лишь	1	1
253	в иных	1	1
254	есть для	1	1
255	перед ним	2	1
256	против собственной	1	1
257	не совпадает	1	1
258	не случайно	5	1
259	и даже	2	1
260	в чистом	1	1
261	в глаза	2	1
262	отрешиться от	1	1
263	особого рода	7	1
264	всего что	1	1
265	если бы	3	1
266	самом деле	2	1
267	делает в	1	1
268	от всех	2	1
269	и трагического	1	1
270	говорит в	2	1
271	русской природы	1	1
272	и формы	1	1
273	и более	1	1
274	открывается в	1	1
275	и делают	1	1
276	самим собой	4	1
277	на примере	1	1
278	с ними	2	1
279	к чему	2	1
280	была бы	3	1
281	и сам	4	1
282	писателей но	1	1
283	исчезнет в	1	1
284	его природы	1	1
285	душе в	1	1
286	в виду	5	1
287	в силу	4	1
288	самом начале	2	1
289	любовь и	1	1
290	дело в	2	1
291	стремится к	1	1
292	места в	1	1
293	в мир	1	1
294	это какое-то	1	1
295	к каким	1	1
296	его как	1	1
297	отношение человека	1	1
298	во внешней	1	1
299	отношения к	4	1
300	тем же	2	1
301	жизни как	5	1
302	одним словом	1	1
303	как против	1	1
304	том-то и	1	1
305	ключ к	2	1
306	духа и	1	1
307	заключается в	2	1
308	но от	2	1
309	ведет к	2	1
310	ее как	1	1
311	над его	1	1
312	и действительно	1	1
313	сказать в	1	1
314	на не	1	1
315	в конце	2	1
316	указывает на	1	1
317	например в	3	1
318	в жизни	3	1
319	между этими	1	1
320	во внутренней	2	1
321	с той	1	1
322	и без	1	1
323	лишь путем	1	1
324	и как	3	1
325	то в	2	1
326	к его	3	1
327	есть не	1	1
328	чего бы	1	1
329	человек в	1	1
330	в сознании	1	1
331	приходит в	1	1
332	что она	2	1
333	а именно	3	1
334	состоит чтобы	1	1
335	жизни и	1	1
336	всю жизнь	1	1
337	одна из	1	1
338	о судьбе	1	1
339	в мире	26	1
340	и прежде	2	1
341	к преступлению	1	1
342	в одно	2	1
343	который в	2	1
344	жизни ее	1	1
345	как в	5	1
346	этого слова	4	1
347	как будто	2	1
348	в совершенно	1	1
349	речь о	1	1
350	на то	1	1
351	но у	1	1
352	в уме	1	1
353	говорят о	1	1
354	проникновение в	1	1
355	быть назван	1	1
356	от этого	1	1
357	и я	1	1
358	нему как	1	1
359	нуждается в	1	1
360	отличается от	2	1
361	да и	1	1
362	его жизни	1	1
363	у одного	2	1
364	широк человек	1	1
365	лишь для	1	1
366	и остроте	1	1
367	и открывает	1	1
368	природой и	1	1
369	в это	1	1
370	красота есть	1	1
371	себе и	1	1
372	лишь один	2	1
373	чем и	2	1
374	которой в	1	1
375	чтобы не	2	1
376	от свободы	2	1
377	внутренней жизни	1	1
378	типа есть	1	1
379	она и	1	1
380	жизни не	1	1
381	из них	1	1
382	вовсе не	3	1
383	уже не	6	1
384	в одной	1	1
385	это была	1	1
386	особенно в	1	1
387	мира в	3	1
388	со всеми	1	1
389	бы ни	1	1
390	стремился к	1	1
391	бы в	1	1
392	к другому	2	1
393	и возможности	1	1
394	людей в	1	1
395	разговор с	1	1
