N	2gram	Trubetskoy	VelikijI
213	уже в	1	1
214	в быте	1	1
215	в состоянии	5	1
216	для себя	2	1
217	у них	6	1
218	с этой	3	1
219	то же	4	1
220	и если	6	1
221	для всякого	2	1
222	обман и	1	1
223	только мы	2	1
224	по сравнению	5	1
225	то ни	4	1
226	для того	8	1
227	не по	1	1
228	жизни во	1	1
229	нельзя не	1	1
230	освободиться от	3	1
231	не быть	1	1
232	эта идея	1	1
233	кто знает	1	1
234	силы на	1	1
235	на два	1	1
236	утверждают что	1	1
237	что это	5	1
238	более всего	2	1
239	в разных	3	1
240	него в	2	1
241	тот который	1	1
242	в глазах	2	1
243	их было	1	1
244	с такой	1	1
245	в ее	1	1
246	и тем	1	1
247	почему мы	1	1
248	и уже	2	1
249	возможна лишь	1	1
250	как сам	1	1
251	тут не	1	1
252	чем у	8	1
253	искать в	1	1
254	и тут	1	1
255	от этой	1	1
256	мы все	2	1
257	составные части	1	1
258	в человеке	1	1
259	самого факта	2	1
260	в тот	1	1
261	не были	1	1
262	же что	2	1
263	как подчинение	1	1
264	у нас	3	1
265	говорят что	1	1
266	на пути	1	1
267	человечества не	1	1
268	в этой	7	1
269	других людей	1	1
270	есть продукт	1	1
271	это слово	1	1
272	в результате	9	1
273	она к	1	1
274	в виду	2	1
275	другой стороны	5	1
276	роковым образом	1	1
277	еще больше	3	1
278	и хотя	1	1
279	я не	2	1
280	основана на	1	1
281	уже и	3	1
282	у него	5	1
283	из нас	1	1
284	образом по	1	1
285	так же	8	1
286	в виде	4	1
287	имеет никакой	1	1
288	это имеет	1	1
289	тогда как	6	1
290	сказываются в	1	1
291	себя от	1	1
292	быть на	1	1
293	пути на	1	1
294	но с	2	1
295	и всех	1	1
296	в своих	2	1
297	наука не	1	1
298	всего что	1	1
299	о возможности	1	1
300	отказаться от	1	1
301	в разные	1	1
302	с другой	6	1
303	на которых	1	1
304	на разных	1	1
305	конечно в	2	1
306	в которой	5	1
307	но все	5	1
308	ее от	1	1
309	я в	2	1
310	и с	5	1
311	к ним	2	1
312	может ли	1	1
313	всего дорожил	1	1
314	отношение к	4	1
315	основанное на	1	1
316	ко всем	3	1
317	на нее	2	1
318	наконец не	2	1
319	на путь	2	1
320	его если	1	1
321	которого они	1	1
322	себя с	1	1
323	то и	2	1
324	мы дадим	1	1
325	не надо	3	1
326	свободны от	1	1
327	лишь как	1	1
328	и другое	1	1
329	и начало	2	1
330	как мы	3	1
331	из всего	1	1
332	и до	3	1
333	в процессе	2	1
334	же они	1	1
335	бы все	1	1
336	вот к	1	1
337	на него	2	1
338	в своем	12	1
339	еще и	1	1
340	к жизни	1	1
341	и от	5	1
342	лишь на	1	1
343	тем чтобы	2	1
344	быть может	1	1
345	мы будем	3	1
346	ничего не	1	1
347	с ними	2	1
348	всегда в	1	1
349	в сознании	7	1
350	хотят сами	1	1
351	ней и	1	1
352	по крайней	1	1
353	человек с	1	1
354	о которой	2	1
355	что тот	1	1
356	и так	2	1
357	вместе с	7	1
358	этих черт	2	1
359	все же	15	1
360	в одно	2	1
361	идет по	1	1
362	человечество в	1	1
363	если они	1	1
364	как в	1	1
365	этого слова	2	1
366	в которых	2	1
367	жизни в	1	1
368	находится в	1	1
369	роль в	1	1
370	на вершине	3	1
371	можно ли	2	1
372	бы ни	1	1
373	себя и	2	1
374	а его	1	1
375	и по	3	1
376	их на	1	1
377	всем мире	1	1
378	и эта	1	1
379	к этому	5	1
380	в их	4	1
381	этой новой	1	1
382	со своей	2	1
383	и человечество	1	1
384	так значительны	1	1
385	нет что	1	1
386	у таких	1	1
387	не будут	2	1
388	сравнению с	5	1
389	конце концов	4	1
390	зависимости от	2	1
391	даже что	1	1
392	выше всех	1	1
393	ни для	2	1
394	таким же	3	1
395	себе и	1	1
396	не случайно	1	1
397	в целом	5	1
398	же теперь	1	1
399	крайней мере	1	1
400	видеть во	1	1
401	сделать это	1	1
402	и ее	2	1
403	вовсе не	2	1
404	человечества мы	1	1
405	шло по	1	1
406	что на	2	1
407	людей с	1	1
408	жизни с	1	1
409	есть не	1	1
410	мы указывали	1	1
411	бы это	1	1
412	бы в	3	1
413	к нему	2	1
414	от них	2	1
415	а потом	1	1
