N	3gram	Vinokur_Vv	Myshleni
340	условий в которых	1	1
341	языка по сравнению	1	1
342	иного рода и	1	1
343	у него в	1	1
344	бы в известных	1	1
345	бы и не	1	1
346	имеют в виду	1	1
347	в качестве примера	1	1
348	этот вопрос был	1	1
349	от целого к	1	1
350	той же мысли	1	1
351	так или иначе	4	1
352	развития на которое	1	1
353	находящим свое выражение	1	1
354	течение многих лет	1	1
355	совершенно ясно что	1	1
356	и в более	1	1
357	но пока мы	1	1
358	вся эта работа	1	1
359	оказываются двумя сторонами	1	1
360	и в чисто	1	1
361	слова или выражения	1	1
362	не может ли	1	1
363	в области изучения	1	1
364	во многих случаях	1	1
365	так как вообще	1	1
366	может представить себе	1	1
367	но также и	10	1
368	каждой из них	2	1
369	на этом и	1	1
370	того о чем	1	1
371	по глубине и	1	1
372	в этой форме	1	1
373	же как он	1	1
374	собой движение от	1	1
375	представляет собой в	2	1
376	имел в виду	1	1
377	объясняется и то	1	1
378	должны быть у	1	1
379	все это не	1	1
380	и все прочие	1	1
381	один из наиболее	1	1
382	но как увидим	1	1
383	вот почему в	1	1
384	отношении его к	1	1
385	а не только	1	1
386	всего то что	2	1
387	имея в виду	1	1
388	не прямо а	1	1
389	этот вопрос о	1	1
390	же это не	1	1
391	прежде всего то	1	1
392	а также и	2	1
393	в чистом виде	1	1
394	этого слова как	1	1
395	самое существенное в	1	1
396	целое в котором	1	1
397	и могут быть	1	1
398	необходимо спросить себя	2	1
399	прямо а опосредствованно	1	1
400	и восприятия в	1	1
401	развития тем более	1	1
402	не было бы	1	1
403	со всей решительностью	1	1
404	в каждой из	1	1
405	и до наших	1	1
406	как мы знаем	1	1
407	только после того	2	1
408	по крайней мере	4	1
409	качестве примера можно	1	1
410	в течение многих	2	1
411	отрицать того что	1	1
412	действительно по своему	1	1
413	было бы сказать	1	1
414	не одного а	1	1
415	как один из	1	1
416	которая лежит в	1	1
417	возникает вопрос что	1	1
418	только по видимости	1	1
419	ясность в этот	1	1
420	смотреть как на	1	1
421	что различие между	1	1
422	может служить предметом	1	1
423	до тех пор	1	1
424	его можно было	1	1
425	что он представляет	1	1
426	для объяснения того	1	1
427	для этого необходимы	1	1
428	воплощается в слове	1	1
429	которая существует между	1	1
430	в какой они	1	1
431	чем та которая	1	1
432	это еще не	2	1
433	смысле слова но	1	1
434	этой области знания	1	1
435	которыми приходится иметь	1	1
436	которые осуществляются в	1	1
437	а для второго	1	1
438	смысле слова в	1	1
439	что наряду с	1	1
440	и составляет содержание	1	1
441	сравнить ее с	1	1
442	не менее не	1	1
443	между тем именно	2	1
444	тем что она	1	1
445	лучшем случае она	1	1
446	языка но и	1	1
447	до наших дней	2	1
448	в разной мере	1	1
449	чтобы можно было	2	1
450	или ином его	1	1
451	заключается в следующем	1	1
452	было бы понять	1	1
453	представляет собой движение	1	1
454	исследование только в	1	1
455	отсюда ясно что	1	1
456	в каждом данном	2	1
457	при исследовании каждой	1	1
458	вместе с другими	1	1
459	и т д	39	1
460	тех пор пока	1	1
461	ответ на вопрос	2	1
462	не может служить	2	1
463	что было сказано	1	1
464	по возможности точно	1	1
465	приходится иметь дело	1	1
466	чтобы выяснить как	1	1
467	на задний план	2	1
468	во главе с	1	1
469	потому что это	1	1
470	отступают на задний	1	1
471	чтобы понять что	3	1
472	что в одном	1	1
473	вопрос что такое	1	1
474	независимо от своего	1	1
475	и что поэтому	1	1
476	того чтобы ее	1	1
477	отсюда следует что	1	1
478	рядом с понятием	1	1
479	у разных народов	1	1
480	и можно было	1	1
481	тогда когда оно	1	1
482	не значит что	1	1
483	что в каждой	1	1
484	к овладению этим	1	1
485	не в том	2	1
486	в строгом смысле	3	1
487	и наоборот в	1	1
488	с которыми приходится	1	1
489	которой как мы	1	1
490	что остается еще	1	1
491	языка не могут	1	1
492	что внутренняя связь	1	1
493	что на этот	1	1
494	и есть то	1	1
495	того чтобы он	2	1
496	возможность судить о	1	1
497	должен быть путь	1	1
498	в центре внимания	2	1
499	как и везде	1	1
500	для целого ряда	1	1
501	о том насколько	1	1
502	по данному предмету	1	1
503	в его смысле	1	1
504	значение в истории	1	1
505	каждая из двух	1	1
506	с теми или	1	1
507	и его объектом	1	1
508	имеют первостепенное значение	1	1
509	таким образом отношения	1	1
510	но как мы	1	1
511	между ними в	1	1
512	вообще не существует	1	1
513	которые не только	1	1
514	том что такое	6	1
515	не только о	1	1
516	по двум причинам	1	1
517	этом смысле и	1	1
518	мы говорим только	1	1
519	с полной ясностью	1	1
520	чем же заключается	1	1
521	но и как	1	1
522	сказать что он	1	1
523	оставляя в стороне	1	1
524	связи между словами	1	1
525	это в свою	1	1
526	в точном смысле	1	1
527	той же области	2	1
528	много общего с	1	1
529	слова но и	1	1
530	а именно в	1	1
531	мы должны сейчас	1	1
532	примера можно было	1	1
533	в этот вопрос	1	1
534	с каждым новым	1	1
535	материала на котором	1	1
536	заключается вовсе не	1	1
537	в широком смысле	7	1
538	самом деле представляет	1	1
539	по тому же	1	1
540	о природе и	1	1
541	не просто как	1	1
542	на вопрос что	1	1
543	в истории языка	1	1
544	собой не что	1	1
545	двум причинам во-первых	1	1
546	и в том	4	1
547	понятия в чисто	1	1
548	если мы теперь	1	1
549	возможно только потому	1	1
550	того что находится	1	1
551	как оно будет	1	1
552	в большей степени	2	1
553	на которой находится	1	1
554	дать ответ на	2	1
555	всегда заключает в	1	1
556	это может быть	1	1
557	большей или меньшей	3	1
558	что это есть	1	1
559	этом смысле нельзя	2	1
560	в этом понятии	1	1
561	на одной из	1	1
562	к целой группе	1	1
563	например когда мы	1	1
564	одним из самых	1	1
565	речь идет об	1	1
566	разница только в	1	1
567	выводу что и	1	1
568	фокусом в котором	1	1
569	наконец в том	1	1
570	культурного развития с	1	1
571	том или ином	2	1
572	виде в самом	1	1
573	язык и т.д	1	1
574	этнической психологии и	1	1
575	отношению к отдельным	1	1
576	самом деле то	1	1
577	которые хотя и	1	1
578	это не только	2	1
579	понимание отношений между	1	1
580	в отдельных случаях	1	1
581	говорить о том	1	1
582	знаний и сведений	1	1
583	представляют собой нечто	1	1
584	из которых в	1	1
585	в самом его	1	1
586	того чтобы быть	1	1
587	между тем мы	1	1
588	различие между ними	1	1
589	в начале этой	1	1
590	только в одном	1	1
591	форм только в	1	1
592	этими явлениями в	1	1
593	заключение нашего исследования	1	1
594	собой одно и	1	1
595	или сообщением в	1	1
596	потому что все	1	1
597	вопросу о природе	1	1
598	во второй половине	2	1
599	чем то что	1	1
600	чем же заключаются	1	1
601	в слове в	1	1
602	как мы видим	1	1
603	самое что и	1	1
604	об отношениях между	1	1
605	также и в	3	1
606	связей которые существуют	1	1
607	и не потому	1	1
608	не быть в	1	1
609	уже и сейчас	1	1
610	но во всяком	1	1
611	только на основании	1	1
612	только в одной	1	1
613	автора и других	1	1
614	всяком случае не	2	1
615	том что с	1	1
616	становится все более	1	1
617	на эту тему	1	1
618	мысли как мы	1	1
619	в русском языке	1	1
620	том что уже	1	1
621	но и обратно	1	1
622	же время в	1	1
623	не могло не	1	1
624	в общих чертах	1	1
625	образом связана с	1	1
626	вопроса о природе	1	1
627	деле представляет собой	1	1
628	языка и его	2	1
629	в таких случаях	1	1
630	не говоря уже	2	1
631	только с помощью	1	1
632	того что представляет	1	1
633	к тому определению	1	1
634	идет речь в	1	1
635	обратить внимание на	2	1
636	может быть никакой	1	1
637	что несмотря на	2	1
638	но с другой	1	1
