N	3gram	Medvedev_V	Vladivir
202	вовсе не требуется	1	1
203	от июня года	1	1
204	можно утверждать что	4	1
205	но и в	1	1
206	он говорит в	1	1
207	в том смысле	1	1
208	с этой точки	1	1
209	как об этом	2	1
210	человеческого познания и	1	1
211	в науке и	1	1
212	от апреля года	2	1
213	выйти за пределы	1	1
214	ни в какой	1	1
215	является для него	1	1
216	одна из них	1	1
217	того что мы	1	1
218	одному тому что	2	1
219	на этот вопрос	1	1
220	во сне и	1	1
221	хотя бы с	1	1
222	все же не	1	1
223	то прежде всего	1	1
224	не было бы	4	1
225	не только со	1	1
226	в противном случае	2	1
227	чем отличается от	1	1
228	не чем иным	1	1
229	из другого письма	1	1
230	к а а	1	1
231	он пишет что	1	1
232	мы только что	1	1
233	года в году	1	1
234	из этих элементов	1	1
235	что перед нами	1	1
236	с а толстая	2	1
237	в целом но	1	1
238	что об этом	1	1
239	видел во сне	1	1
240	при помощи которой	1	1
241	а вместе с	1	1
242	профессор московского университета	1	1
243	же как и	1	1
244	всех этих фактов	1	1
245	в новое время	1	1
246	творчества прежде всего	1	1
247	но к тому	1	1
248	в результате чего	2	1
249	силу чего он	1	1
250	нет ни одного	1	1
251	и не может	2	1
252	вопрос о том	1	1
253	этой точки зрения	2	1
254	и следовало ожидать	1	1
255	главным образом на	1	1
256	оно может быть	1	1
257	в виду что	1	1
258	нет и не	1	1
259	имеем дело с	1	1
260	но и для	1	1
