N	2gram	Savitsky_P	Vladivir
313	в какой	1	3
314	бы мы	1	3
315	особенно в	1	3
316	в полной	2	3
317	кто не	1	3
318	в трех	1	3
319	думать что	2	3
320	все еще	1	3
321	тех пор	1	3
322	это в	1	3
323	правде и	1	2
324	является в	2	2
325	в душе	1	2
326	ней не	2	2
327	в момент	1	2
328	чем оно	1	2
329	есть прежде	1	2
330	вопросу о	1	2
331	эта идея	2	2
332	развития русской	1	2
333	что дело	1	2
334	например с	1	2
335	и само	1	2
336	вопрос об	1	2
337	и веры	1	2
338	чтобы в	1	2
339	к более	1	2
340	если он	1	2
341	например в	2	2
342	и другим	1	2
343	работы в	1	2
344	не дается	1	2
345	в собственном	1	2
346	в порядке	3	2
347	говорится о	1	2
348	на этой	1	2
349	пор пока	1	2
350	н а	10	2
351	в себя	1	2
352	говорить о	2	2
353	на пути	4	2
354	и любви	1	2
355	что истина	1	2
356	она ни	2	2
357	духа и	2	2
358	без того	1	2
359	во всей	2	2
360	одна из	2	2
361	без которой	1	2
362	в европе	2	2
363	бы это	1	2
364	распадается на	1	2
365	с ее	1	2
366	думается что	1	2
367	в годы	1	2
368	с западом	1	2
369	что каждая	1	2
370	что уже	1	2
371	к истине	1	2
372	в ее	2	2
373	тем больше	1	2
374	к чему	2	2
375	именно здесь	1	2
376	xviii века	1	2
377	но к	2	2
378	чтобы понять	1	2
379	в русской	4	2
380	к и	3	2
381	что эта	1	2
382	тем и	1	2
383	к первому	1	2
384	что во	1	2
385	и философской	1	2
386	теми же	1	2
387	бы эти	1	2
388	которые были	1	2
389	если в	2	2
390	в о	7	2
391	должна быть	1	2
392	тогда когда	1	2
393	теперь в	2	2
394	есть для	1	2
395	существующее в	1	2
396	о в	5	2
397	д д	2	2
398	и европа	1	2
399	любовь и	1	2
400	он будет	1	2
401	в одно	1	2
402	может не	1	2
403	поэзии и	1	2
404	о котором	1	2
405	тем чем	1	2
406	русской истории	1	2
407	и уже	1	2
408	в которую	2	2
409	суждений о	2	2
410	у в	1	2
411	литературы и	1	2
412	из этой	1	2
413	и политики	1	2
414	стремиться к	1	2
415	многих других	1	2
416	они не	1	2
417	богом и	1	2
418	эта не	1	2
419	и пр	5	2
420	в русском	2	2
421	в церковь	1	2
422	в г	1	2
423	и которая	1	2
424	было в	2	2
425	в бытии	1	2
426	в эпоху	1	2
427	и часть	1	2
428	половины xix	1	2
429	идеи и	1	2
430	этих двух	1	2
431	поскольку она	1	2
432	бытия как	1	2
433	можем представить	1	2
434	за то	1	2
435	до тех	1	2
436	она должна	1	2
437	на свои	1	2
438	нужно было	2	2
439	веры в	1	2
440	стороны и	2	2
441	человека с	1	2
442	что из	2	2
443	т и	1	2
444	говорить об	1	2
445	в существе	1	2
446	может и	2	2
447	эта проблема	1	2
448	государство и	1	1
449	к сожалению	1	1
450	будут и	1	1
451	чтобы дать	1	1
452	живого и	1	1
453	должна относиться	1	1
454	с двух	1	1
455	нем в	1	1
456	более широкой	1	1
457	по всему	1	1
458	религиозные и	1	1
459	какой бы	1	1
460	жить и	1	1
461	мира а	1	1
462	iii в	2	1
463	миру в	1	1
464	науке и	1	1
465	материализма и	2	1
466	быть может	6	1
467	с собой	1	1
468	и такое	1	1
469	этой последней	1	1
470	их не	1	1
471	или чисто	1	1
472	всемирной истории	1	1
473	из нее	1	1
474	мысль о	2	1
475	в некотором	1	1
476	обстоятельство это	2	1
477	иначе как	1	1
478	к другим	1	1
479	эти черты	1	1
480	к небу	1	1
481	наш взгляд	1	1
482	сделать то	1	1
483	одновременно и	1	1
484	внимание к	1	1
485	во христе	1	1
486	дети и	2	1
487	должна заменить	1	1
488	они стремятся	1	1
489	она получила	1	1
490	россию и	1	1
491	и богословским	1	1
492	бы из	1	1
493	представляет собой	1	1
494	отрыве от	1	1
495	значительной мере	2	1
496	с трудом	1	1
497	которых не	1	1
498	они являются	1	1
499	н с	2	1
500	мы все	1	1
501	борьбе с	1	1
502	в различных	1	1
503	связь между	1	1
504	хомякова и	1	1
505	но также	4	1
506	как таковую	1	1
507	понять в	1	1
508	утверждается что	1	1
509	в прошлом	1	1
510	духовный опыт	1	1
511	к ним	1	1
512	человеческая воля	1	1
513	из всех	1	1
514	зрения можно	1	1
515	смысле не	1	1
516	сущность в	1	1
517	допускали в	1	1
518	богов и	1	1
519	что именно	1	1
520	в сфере	2	1
521	начал со	1	1
522	настоящую минуту	1	1
523	средство к	1	1
524	и сколь	1	1
525	свои собственные	1	1
526	образом на	2	1
527	востока и	1	1
528	и греческой	1	1
529	е м	1	1
530	того чем	1	1
531	представить себе	1	1
532	исключает всякую	1	1
533	широкого размаха	1	1
534	мы видим	1	1
535	никакого сомнения	1	1
536	и среди	1	1
537	каком смысле	1	1
538	есть у	1	1
539	бытия не	1	1
540	г и	2	1
541	в последующие	1	1
542	что при	1	1
543	глаза на	1	1
544	одно из	1	1
545	с европой	1	1
546	бы что	1	1
547	совершенно ясно	1	1
548	христа и	1	1
549	является и	1	1
550	прежде чем	1	1
551	это освобождение	1	1
552	к стремлению	1	1
553	государства и	1	1
554	но чтобы	1	1
555	жизнь которую	2	1
556	развитие в	1	1
557	вся в	1	1
558	представляют собою	1	1
559	также в	1	1
560	всеми его	1	1
561	где уже	1	1
562	в свете	1	1
563	сущности а	1	1
564	проблема эта	1	1
565	должны в	1	1
566	в других	1	1
567	до которых	1	1
568	с к	7	1
569	и мир	1	1
570	в каждом	1	1
571	и живое	1	1
572	и быть	1	1
573	не означает	1	1
574	мысль и	1	1
575	бы она	1	1
576	человеческого бытия	1	1
577	прочим потому	1	1
578	современности и	1	1
579	для европы	1	1
580	как область	1	1
581	и право	2	1
582	с революционной	1	1
583	а она	1	1
584	полноты и	1	1
585	и критика	1	1
586	ему на	1	1
587	как автор	1	1
588	православия и	2	1
589	в историческом	1	1
590	над ним	1	1
591	в иных	1	1
592	которого в	1	1
593	многих случаях	1	1
594	того кто	1	1
595	известном смысле	1	1
596	друг другу	2	1
597	л и	4	1
598	столь же	3	1
599	своего существования	1	1
600	о сущем	1	1
601	обратиться к	1	1
602	и чем	1	1
603	выступает в	1	1
604	и никому	1	1
605	только а	1	1
606	в человеческих	1	1
607	вопросом о	1	1
608	теми кто	1	1
609	собственном смысле	1	1
610	его нет	1	1
611	наше сознание	1	1
612	и истина	1	1
613	представляют собой	1	1
614	соловьева пафос	1	1
615	действие которое	1	1
616	от этой	1	1
617	науки и	1	1
618	некоторые же	1	1
619	а л	4	1
620	проблема и	1	1
621	огромное и	1	1
622	можно дать	1	1
623	нового не	1	1
624	конечно и	1	1
625	оказывается в	1	1
626	от церкви	1	1
627	только идея	1	1
628	о духовной	1	1
629	на наш	1	1
630	из тех	1	1
631	и метафизики	1	1
632	и признаки	1	1
633	то м	1	1
634	в современной	1	1
635	который не	1	1
636	предстоит в	1	1
637	о мировом	1	1
638	на каждом	1	1
639	везде и	1	1
640	и ясный	1	1
641	о духе	1	1
642	как начало	1	1
643	и главное	1	1
644	важнее всего	1	1
645	и везде	1	1
646	более чем	2	1
647	тяготеет к	1	1
648	чем то	1	1
649	связана с	1	1
650	только мы	1	1
651	в древней	1	1
652	которого невозможно	1	1
653	на плечи	1	1
654	соловьева являются	1	1
655	и духовные	1	1
656	в известном	1	1
657	вопроса и	1	1
658	вслед за	3	1
659	нужно говорить	1	1
660	в мир	1	1
661	идеи в	1	1
662	об идее	1	1
663	и любовью	1	1
664	каждый из	1	1
665	только это	2	1
666	было и	1	1
667	в творчестве	1	1
668	на две	1	1
669	обстановке и	1	1
670	ответа на	1	1
671	мысли но	1	1
672	и достоевского	2	1
673	христианства в	1	1
674	и первой	1	1
675	в и	1	1
676	чуть ли	1	1
677	никогда раньше	2	1
678	знание в	1	1
679	в советском	1	1
680	два разных	1	1
681	в гораздо	4	1
682	и многие	1	1
683	каков он	1	1
684	г о	4	1
685	мира но	1	1
686	многие из	1	1
687	в настоящую	1	1
688	в формах	1	1
689	xix веке	2	1
690	конечном торжестве	1	1
691	с т	4	1
692	и е	4	1
693	признавать что	1	1
694	и слова	1	1
695	начала в	1	1
696	и где	1	1
697	на нее	1	1
698	том виде	1	1
699	в условиях	1	1
700	закрывать глаза	1	1
701	мнения о	1	1
702	в сферу	1	1
703	прийти к	1	1
704	склонность к	1	1
705	как она	1	1
706	в позднем	1	1
707	стремление к	1	1
708	для философии	1	1
709	мира который	1	1
710	ли не	1	1
711	или что	1	1
712	пути в	2	1
713	именно теперь	1	1
714	связаны с	1	1
715	каким оно	1	1
716	каково же	1	1
717	раньше в	1	1
718	как ни	1	1
719	ей в	3	1
720	как живую	1	1
721	которую мы	2	1
722	бога не	1	1
723	гласит что	1	1
724	истина эта	2	1
725	поскольку они	1	1
726	наиболее общих	1	1
727	может идти	1	1
728	к л	3	1
729	в отношениях	1	1
730	в значительной	2	1
731	сын ее	1	1
732	от тех	1	1
733	насколько можно	1	1
734	духовного мира	1	1
735	в отрыве	1	1
736	и чаяния	1	1
737	нужно помнить	2	1
738	выразилось в	1	1
739	в положительном	1	1
740	повлияли на	1	1
741	имеет к	1	1
742	тем чтобы	1	1
743	или иной	1	1
744	личный опыт	1	1
745	как никогда	2	1
746	очень и	1	1
747	для этого	1	1
748	к р	1	1
749	последняя и	1	1
750	и скоро	1	1
751	мира с	2	1
