N	2gram	Nazirov_Vr	VeschiIm
256	указанием на	1	2
257	постановки вопроса	1	2
258	той же	1	2
259	– вы	1	2
260	ближе к	1	2
261	в свое	1	2
262	ее и	1	2
263	но на	1	2
264	по преимуществу	1	2
265	на три	1	2
266	он отличается	1	2
267	– явление	1	2
268	уже в	4	2
269	так в	2	2
270	этом отношении	1	2
271	он и	1	2
272	для нас	4	2
273	я вижу	1	2
274	никуда не	1	2
275	связи с	3	2
276	и можно	1	2
277	а также	2	2
278	в виду	4	2
279	на нее	1	2
280	да я	1	2
281	может в	1	2
282	но ведь	1	2
283	но зато	1	2
284	но я	1	2
285	следовательно и	1	2
286	навсегда и	1	2
287	это было	1	2
288	раз в	3	2
289	раз и	1	2
290	не был	1	2
291	только от	1	2
292	человека в	3	2
293	но с	1	2
294	в полной	1	2
295	жизнь и	1	2
296	совсем не	1	2
297	может идти	1	2
298	я только	1	2
299	что эта	1	2
300	как он	1	2
301	что образ	1	2
302	в начале	6	2
303	но какое	1	2
304	этом смысле	1	2
305	далеко не	3	2
306	всего то	1	2
307	наряду с	3	2
308	итак чтобы	1	2
309	это можно	1	2
310	это дает	1	2
311	в первой	1	2
312	я покажу	1	2
313	что о	1	2
314	говорить об	1	2
315	есть все	1	2
316	конце концов	1	2
317	но для	1	2
318	в одну	2	2
319	возможно при	1	1
320	тою же	1	1
321	заметим что	1	1
322	для всех	1	1
323	до сих	1	1
324	но после	2	1
325	этого в	1	1
326	если в	1	1
327	к этой	1	1
328	в основном	1	1
329	которой не	1	1
330	за исключением	1	1
331	его с	2	1
332	именно к	1	1
333	вопросу о	1	1
334	из всех	1	1
335	этот материал	1	1
336	этого как	1	1
337	действительно можно	1	1
338	сама жизнь	1	1
339	не хочет	1	1
340	своих собственных	1	1
341	после этого	2	1
342	в них	2	1
343	в духе	1	1
344	вслед за	1	1
345	из двух	1	1
346	их и	1	1
347	людей а	1	1
348	ему в	1	1
349	как при	1	1
350	на большом	1	1
351	о чисто	1	1
352	уже на	1	1
353	представление о	1	1
354	и какая	1	1
355	героев и	1	1
356	а тут	1	1
357	пор мы	1	1
358	мы получаем	1	1
359	так это	1	1
360	от злости	1	1
361	с такими	1	1
362	меня я	1	1
363	никто не	1	1
364	была на	1	1
365	но у	1	1
366	ли он	1	1
367	не знали	1	1
368	в те	3	1
369	из которого	1	1
370	речь идет	3	1
371	жизнь только	1	1
372	ничего общего	1	1
373	но мы	1	1
374	на первый	2	1
375	опять и	1	1
376	также что	1	1
377	где также	1	1
378	без труда	1	1
379	было не	1	1
380	входя в	1	1
381	во все	1	1
382	что им	1	1
383	не могли	1	1
384	что этот	1	1
385	важно и	1	1
386	не знаю	1	1
387	и и	1	1
388	д в	1	1
389	было нечто	1	1
390	не всегда	1	1
391	как эта	1	1
392	из своего	1	1
393	к своим	1	1
394	не вдаваясь	1	1
395	почти одновременно	1	1
396	не забудем	1	1
397	до того	1	1
398	указания на	1	1
399	при этом	4	1
400	можно найти	1	1
401	имя его	1	1
402	к которому	1	1
403	выражение его	1	1
404	согласен что	1	1
405	это отношение	1	1
406	только при	1	1
407	сих пор	1	1
408	том же	2	1
409	на этот	1	1
410	его слишком	1	1
411	от нас	1	1
412	они эти	1	1
413	в рукописи	1	1
414	с тех	1	1
415	получается что	1	1
416	именно этот	1	1
417	же он	1	1
418	у вас	1	1
419	ли эта	1	1
420	ответ на	2	1
421	и он	2	1
422	сам же	1	1
423	хочет быть	1	1
424	они не	1	1
425	как нам	1	1
426	вы не	1	1
427	и творческого	1	1
428	и кончая	1	1
429	еще до	1	1
430	знали что	1	1
431	что уже	1	1
432	он как	1	1
433	мы знаем	2	1
434	законченный тип	1	1
435	и сильно	1	1
436	прямо в	1	1
437	этом он	1	1
438	души и	1	1
439	по мнению	2	1
440	такое же	1	1
441	о нем	6	1
442	знаю что	1	1
443	тому же	1	1
444	без внимания	1	1
445	а еще	1	1
446	без всяких	1	1
447	из мысли	1	1
448	такое понимание	1	1
449	а за	1	1
450	далее он	1	1
451	что к	2	1
452	как по	1	1
453	общего ни	1	1
454	тот кто	1	1
455	во внимание	1	1
456	в ту	1	1
457	это сравнение	1	1
458	в таком	1	1
459	сходство с	1	1
460	внимание в	1	1
461	это слово	1	1
462	эту проблему	1	1
463	имеется в	1	1
464	в этих	1	1
465	ли не	1	1
466	уже давно	1	1
467	сразу же	1	1
468	по его	1	1
469	что слово	1	1
470	полагает что	1	1
471	что как	1	1
472	и дал	1	1
473	и руки	1	1
474	это конечно	1	1
475	деталей и	2	1
476	первый план	1	1
477	важно как	1	1
478	что мало	1	1
479	действие в	1	1
480	– одна	1	1
481	в –	1	1
482	во всей	1	1
483	и речи	1	1
484	сторону в	1	1
485	уже по	1	1
486	существуют в	1	1
487	отличается не	1	1
488	личность и	2	1
489	два человека	1	1
490	хотя в	1	1
491	из него	1	1
492	не могла	1	1
493	между обоими	1	1
494	конечно в	1	1
495	в нашей	2	1
496	наконец я	1	1
497	и я	1	1
498	он –	1	1
499	от вас	1	1
500	идет о	1	1
501	и реальных	1	1
502	вдаваясь в	1	1
503	тех пор	1	1
504	во многом	4	1
505	в плане	1	1
506	оба они	1	1
507	этого действительно	1	1
508	могут быть	1	1
509	одним из	3	1
510	и первым	1	1
511	сам в	1	1
512	с которым	2	1
513	с идеями	1	1
514	никого не	1	1
515	же в	2	1
516	никому не	1	1
517	в эти	2	1
518	у людей	1	1
519	ничуть не	1	1
520	который был	3	1
521	это в	2	1
522	в окно	1	1
523	в него	2	1
524	всех этих	1	1
525	доказывает что	1	1
526	от них	1	1
527	весьма важно	1	1
528	одного и	1	1
529	и наконец	1	1
530	а н	2	1
531	имя по	1	1
532	и самый	1	1
533	момент его	1	1
534	как общее	1	1
