N	2gram	Losev_Dial	Tragedij
340	на этом	4	1
341	при таком	1	1
342	жизни в	1	1
343	не менее	5	1
344	и т	31	1
345	это происходит	1	1
346	так сказать	1	1
347	была и	1	1
348	именно такую	1	1
349	на все	2	1
350	и тонко	1	1
351	и могут	1	1
352	ясное как	1	1
353	она хочет	1	1
354	бы не	1	1
355	в такой	1	1
356	и жизнь	2	1
357	века в	1	1
358	связаны между	1	1
359	ними как	1	1
360	сравнению с	2	1
361	по самой	1	1
362	жизни гораздо	1	1
363	когда в	1	1
364	это было	4	1
365	но уже	3	1
366	цветов и	2	1
367	вместе и	1	1
368	в чем	9	1
369	ли это	4	1
370	общем смысле	1	1
371	это страдание	1	1
372	но мы	3	1
373	а он	4	1
374	всю ее	2	1
375	бы в	3	1
376	эти же	1	1
377	в них	4	1
378	на них	1	1
379	и образ	6	1
380	во всех	3	1
381	на свете	5	1
382	он сродни	1	1
383	к одному	1	1
384	братьях карамазовых	1	1
385	говорится о	1	1
386	во всяком	5	1
387	и потому	6	1
388	понятно что	2	1
389	это и	6	1
390	и дело	1	1
391	о себе	1	1
392	совершенно не	13	1
393	я скажу	2	1
394	не беспокойтесь	1	1
395	самое главное	1	1
396	к счастью	1	1
397	но как	7	1
398	чем же	1	1
399	всего необходимо	2	1
400	не является	3	1
401	а стало	1	1
402	а к	1	1
403	это как	3	1
404	в котором	5	1
405	виду не	1	1
406	ему в	1	1
407	с самого	2	1
408	не могли	1	1
409	совершенно в	2	1
410	как нечто	5	1
411	и новые	1	1
412	и которую	1	1
413	и начинает	2	1
414	это мне	1	1
415	эта связь	1	1
416	связи с	3	1
417	силы и	1	1
418	для ее	1	1
419	которое уже	1	1
420	в становлении	2	1
421	хотя бы	6	1
422	она не	10	1
423	этом мы	1	1
424	когда я	2	1
425	значение этого	1	1
426	того чтобы	1	1
427	и если	5	1
428	от самого	3	1
429	на другой	1	1
430	таком виде	1	1
431	века а	1	1
432	одну из	1	1
433	но не	9	1
434	в другом	6	1
435	природе своей	1	1
436	в каких	2	1
437	между тем	3	1
438	самой как	1	1
439	не быть	3	1
440	понимаем что	1	1
441	в ней	4	1
442	вот почему	1	1
443	что нужно	1	1
444	миф о	2	1
445	в новой	1	1
446	самом деле	6	1
447	к своей	1	1
448	уже было	1	1
449	предполагает некую	1	1
450	в развитии	1	1
451	в которой	3	1
452	имеет целью	1	1
453	отвращение к	1	1
454	над которым	1	1
455	именно на	1	1
456	только один	2	1
457	об отношении	6	1
458	а не	24	1
459	а за	1	1
460	а по	1	1
461	все образы	1	1
462	в душу	4	1
463	только на	3	1
464	в шутку	1	1
465	и их	5	1
466	свою жизнь	1	1
467	есть и	11	1
468	она тоже	1	1
469	не могла	1	1
470	можно было	5	1
471	вещами и	1	1
472	за пределы	4	1
473	а между	1	1
474	но только	6	1
475	тем и	1	1
476	факт что	1	1
477	мир на	1	1
478	можно написать	1	1
479	даже не	4	1
480	доходит до	1	1
481	действительности от	1	1
482	душу и	1	1
483	этого образа	1	1
484	что ее	1	1
485	друга и	1	1
486	в истории	1	1
487	по своей	5	1
488	он есть	6	1
489	которую я	1	1
490	человека с	1	1
491	стало быть	17	1
492	вы не	3	1
493	это может	4	1
494	в обоих	1	1
495	так он	1	1
496	над ним	1	1
497	человека и	2	1
498	на всю	6	1
499	или как	2	1
500	самого начала	2	1
501	где и	2	1
502	литературы и	1	1
503	всегда будет	1	1
504	это его	1	1
505	скажет что	1	1
506	у которого	1	1
507	всего что	1	1
508	до исступления	1	1
509	но этот	1	1
510	а вы	1	1
511	не раз	2	1
512	в какой-то	1	1
513	с другим	1	1
514	того кто	2	1
515	это же	1	1
516	известной степени	1	1
517	я в	3	1
518	каких терминах	1	1
519	именно такого	1	1
520	к ним	3	1
521	или вообще	3	1
522	и еще	4	1
523	но без	3	1
524	т п	3	1
525	и критики	1	1
526	может ли	1	1
527	к ней	4	1
528	как мы	5	1
529	со своими	2	1
530	казалось что	1	1
531	говорить это	1	1
532	не для	1	1
533	во многом	1	1
534	что тут	5	1
535	идея в	1	1
536	нее самой	1	1
537	и о	4	1
538	как некое	1	1
539	не случайное	1	1
540	ее не	1	1
541	в голове	1	1
542	я вам	1	1
543	вот я	1	1
544	его как	1	1
545	не верит	1	1
546	наряду с	1	1
547	той же	1	1
548	и др	2	1
549	– в	11	1
550	человеческая личность	1	1
551	по сравнению	2	1
552	это мы	6	1
553	самой природе	1	1
554	еще ничего	1	1
555	деле же	2	1
556	только по	1	1
557	считает что	1	1
558	какой она	1	1
559	именно так	1	1
560	быть в	5	1
561	мистик в	1	1
562	не значит	6	1
563	слова он	1	1
564	и от	5	1
565	человека мы	1	1
566	при случае	1	1
567	и есть	20	1
568	с которым	2	1
569	отождествляется с	7	1
570	в голову	2	1
571	все время	4	1
572	ты мне	1	1
573	у лермонтова	1	1
574	мы отнюдь	1	1
575	в понятие	1	1
576	в общем	2	1
577	всю жизнь	2	1
578	идеи он	1	1
579	из трех	1	1
580	для понимания	1	1
581	но я	4	1
582	пушкина и	1	1
583	например в	2	1
584	к женщине	1	1
585	себя а	1	1
586	что именно	3	1
587	всех людей	1	1
588	без которой	1	1
589	а это	2	1
590	но если	6	1
591	как система	1	1
592	о своих	2	1
593	в литературе	1	1
594	в сфере	2	1
595	в области	2	1
596	и по	5	1
597	и эта	3	1
598	нуждается в	6	1
599	наблюдать и	1	1
600	это в	1	1
601	является ли	1	1
602	нужно для	3	1
603	я вижу	1	1
604	всяком случае	3	1
605	образ на	1	1
606	ничего подобного	1	1
607	для чего	2	1
608	конце концов	4	1
609	к ее	1	1
610	ни разу	1	1
611	чтобы не	6	1
612	три года	1	1
613	и совершенно	4	1
614	он с	2	1
615	и наконец	1	1
616	берется в	1	1
617	что на	2	1
618	вплоть до	3	1
619	говорит не	1	1
620	на ту	2	1
621	с каким	1	1
622	не к	2	1
