N	2gram	Savitsky_P	Hudozhes
189	исторического бытия	1	1
190	живет в	1	1
191	чем глубже	1	1
192	теперь в	2	1
193	есть для	1	1
194	вопросу о	1	1
195	и другим	1	1
196	представляют собой	1	1
197	что это	1	1
198	которой в	1	1
199	какой бы	1	1
200	те же	1	1
201	например с	1	1
202	в результате	1	1
203	быть может	6	1
204	и само	1	1
205	сравнении с	3	1
206	чтобы в	1	1
207	не более	1	1
208	на каждого	1	1
209	в собственном	1	1
210	любовь и	1	1
211	мысль о	2	1
212	своем значении	2	1
213	если он	1	1
214	и внутренне	1	1
215	что по	1	1
216	одновременно и	1	1
217	вместе с	1	1
218	все же	1	1
219	не имеет	1	1
220	в сравнении	3	1
221	да и	2	1
222	в историческом	1	1
223	о котором	1	1
224	в это	1	1
225	и страсти	1	1
226	более как	1	1
227	на каждом	1	1
228	будущее в	1	1
229	выступает как	1	1
230	и пусть	2	1
231	и ясный	1	1
232	с этим	2	1
233	тем в	1	1
234	бы и	1	1
235	в котором	4	1
236	и частной	1	1
237	и пр	5	1
238	восходит к	1	1
239	более чем	2	1
240	о явлениях	1	1
241	единства в	1	1
242	и иных	1	1
243	только мы	1	1
244	в отдельности	1	1
245	во многих	1	1
246	эти могут	1	1
247	время в	2	1
248	с которой	1	1
249	и теперь	1	1
250	только на	1	1
251	в которую	2	1
252	духовного существа	1	1
253	не об	1	1
254	в различных	1	1
255	на основании	1	1
256	в мир	1	1
257	ни были	1	1
258	к сфере	1	1
259	в истории	1	1
260	каждый из	1	1
261	над собой	1	1
262	всего что	1	1
263	в прошлом	1	1
264	как явление	1	1
265	к ним	1	1
266	настоящее время	1	1
267	отдельности и	1	1
268	в реальной	1	1
269	в сфере	2	1
270	она может	1	1
271	тем же	1	1
272	что все	1	1
273	входят в	1	1
274	и самих	1	1
275	духовный опыт	1	1
276	к миру	1	1
277	к предмету	1	1
278	казалось бы	1	1
279	друг друга	1	1
280	в настоящее	1	1
281	из них	2	1
282	тот же	3	1
283	но два	1	1
284	не входят	1	1
285	в сочетании	2	1
286	в перспективе	2	1
287	представить себе	1	1
288	русской культуре	1	1
289	мы видим	1	1
290	это сфера	1	1
291	видения в	1	1
292	при сохранении	1	1
293	многих других	1	1
294	они не	1	1
295	может не	1	1
296	должно быть	2	1
297	обе эти	1	1
298	они едины	1	1
299	у каждого	1	1
300	мире в	1	1
301	подчеркнуть что	1	1
302	xix веке	2	1
303	для нас	2	1
304	и через	1	1
305	иными словами	1	1
306	мире можно	1	1
307	и есть	2	1
308	сколько бы	2	1
309	весь мир	1	1
310	в русском	2	1
311	сознания к	1	1
312	что составляет	1	1
313	не было	2	1
314	к чему	2	1
315	что его	1	1
316	и где	1	1
317	на нее	1	1
318	которое в	2	1
319	что не	1	1
320	в бытии	1	1
321	но для	1	1
322	xviii века	1	1
323	или иная	1	1
324	мнения о	1	1
325	мира а	1	1
326	в последние	2	1
327	и без	3	1
328	также в	1	1
329	и достоевского	2	1
330	же как	1	1
331	не есть	1	1
332	между прочим	2	1
333	ибо к	1	1
334	на фоне	1	1
335	ли не	1	1
336	и я	1	1
337	в условиях	1	1
338	точек зрения	2	1
339	при виде	1	1
340	связаны с	1	1
341	и мир	1	1
342	в каждом	1	1
343	могли бы	1	1
344	полной мере	2	1
345	перед тем	1	1
346	что от	1	1
347	только к	1	1
348	в полной	2	1
349	как ни	1	1
350	не означает	1	1
351	эти последние	1	1
352	поэтики в	1	1
353	окружающей их	1	1
354	именно потому	1	1
355	ему на	1	1
356	также и	1	1
357	собою как	1	1
358	так называемые	2	1
359	в развитии	1	1
360	и право	2	1
361	для этого	1	1
362	полноты и	1	1
363	не могла	1	1
364	частности в	1	1
365	заключает в	2	1
366	тем и	1	1
367	в европейском	1	1
368	или его	1	1
369	стороны и	2	1
370	только то	1	1
371	в xix	2	1
372	что из	2	1
373	в иных	1	1
374	этом не	1	1
375	было бы	6	1
376	из нее	1	1
377	та или	1	1
378	друг другу	2	1
379	смысле не	1	1
380	это ощущение	1	1
381	с которым	1	1
382	теми же	1	1
383	же в	4	1
384	говорить об	1	1
385	иной раз	1	1
386	на территории	1	1
387	на то	1	1
388	бы ни	2	1
389	может и	2	1
390	душе своей	1	1
391	технических средств	1	1
392	являются наиболее	1	1
393	есть не	2	1
394	в е	2	1
395	в статье	2	1
