N	2gram	Tiupa_Vved	Vvedenie
143	ответ на	2	4
144	в более	1	4
145	в центре	4	4
146	только что	1	4
147	с одной	9	4
148	как науки	1	4
149	этом отношении	7	4
150	о чем	4	4
151	как раз	5	4
152	в результате	5	4
153	по мере	2	4
154	в виде	1	4
155	в себе	15	4
156	должен был	2	4
157	или иначе	2	4
158	в одном	5	4
159	в котором	11	4
160	заключается в	2	4
161	и ее	2	4
162	что могло	1	4
163	как она	1	4
164	в своей	10	4
165	конфликт между	1	4
166	да и	3	4
167	сравнению с	1	4
168	в чем	2	4
169	должен быть	3	4
170	к тому	9	4
171	по крайней	1	4
172	чтобы понять	1	4
173	еще не	8	4
174	однако не	2	4
175	не имеет	3	4
176	времени и	7	4
177	еще и	2	4
178	как о	2	4
179	одной стороны	9	4
180	по сравнению	1	4
181	это только	3	4
182	связана с	1	4
183	по отношению	11	4
184	мы имеем	8	4
185	не вполне	4	4
186	отличие от	11	4
187	в и	1	4
188	истории и	1	4
189	в отличие	11	4
190	в тексте	11	4
191	крайней мере	1	4
192	можно сказать	6	4
193	той же	3	4
194	отношению к	11	4
195	одной из	1	4
196	в области	5	4
197	только с	1	4
198	и для	8	4
199	само по	1	4
200	из них	1	4
201	этого термина	1	3
202	своего рода	20	3
203	истории литературы	1	3
204	и к	2	3
205	культурного развития	1	3
206	невозможно но	1	3
207	и здесь	2	3
208	и на	5	3
209	этой области	1	3
210	того как	1	3
211	зависит от	3	3
212	и вот	3	3
213	на том	1	3
214	такого рода	23	3
215	при этом	43	3
216	что это	2	3
217	в сущности	3	3
218	говорит о	1	3
219	из которых	1	3
220	не как	2	3
221	в принципе	3	3
222	в с	1	3
223	в отношении	1	3
224	в этих	5	3
225	знания и	1	3
226	связи с	2	3
227	текста и	4	3
228	материал для	1	3
229	если бы	10	3
230	и сам	2	3
231	а также	12	3
232	в силу	2	3
233	взгляде на	1	3
234	за собой	1	3
235	прошлом и	2	3
236	в конце	3	3
237	вообще не	1	3
238	как история	1	3
239	здесь все	1	3
240	как в	8	3
241	большей или	1	3
242	между ними	1	3
243	зависимости от	1	3
244	в известном	1	3
245	он мог	1	3
246	той или	5	3
247	и того	3	3
248	с русской	1	3
249	в конечном	2	3
250	бы и	4	3
251	от себя	2	3
252	все эти	1	3
253	и есть	2	3
254	на этом	1	3
255	стороны и	4	3
256	своей природе	2	3
257	так называемой	2	3
258	что же	6	3
259	в значительной	2	3
260	входит в	2	3
261	же как	1	3
262	в работе	1	3
263	в другом	2	3
264	в строгом	2	3
265	совсем не	1	3
266	второй половины	1	3
267	в ней	5	3
268	времени в	3	3
269	и уже	1	3
270	во второй	1	3
271	в слове	4	3
272	в частности	19	3
273	только на	2	3
274	не с	4	3
275	может служить	4	3
276	греков и	1	3
277	в этой	2	3
278	же самое	2	3
279	в начале	3	3
280	не следует	3	3
281	того же	1	3
282	как оно	2	3
283	так же	2	3
284	о литературе	1	3
285	и наоборот	1	3
286	было сказано	1	3
287	и той	1	3
288	или меньшей	1	3
289	отношение к	5	3
290	известном смысле	1	3
291	однако в	9	3
292	наряду с	2	3
293	ответа на	1	3
294	на нее	2	3
295	только по	1	3
296	что может	1	3
297	до конца	5	3
298	в своем	9	3
299	в текстах	2	3
300	может оказаться	1	3
301	в зависимости	1	3
302	или иной	5	3
303	и вообще	1	3
304	что она	2	3
305	одна из	5	3
306	как будто	6	3
307	здесь не	2	3
308	он сам	1	3
309	к этому	3	3
310	нуждается в	1	3
311	для этого	2	3
312	в известной	1	3
313	понять что	1	3
314	мы видели	3	3
315	гораздо более	1	3
316	к нему	2	3
317	никогда не	6	3
318	при жизни	1	2
319	ближе к	3	2
320	во всем	1	2
321	нельзя признать	1	2
322	так и	14	2
323	что они	2	2
324	находятся в	1	2
325	во втором	4	2
326	этому времени	1	2
327	на протяжении	2	2
328	ни с	2	2
329	первом случае	1	2
330	должна быть	3	2
331	мы не	6	2
332	нам не	1	2
333	не нужно	1	2
334	несмотря на	2	2
335	из того	1	2
336	ни к	3	2
337	о них	4	2
338	это уже	2	2
339	он и	2	2
340	нашего времени	2	2
341	истории в	6	2
342	о которой	4	2
343	и сама	1	2
344	время не	1	2
345	иначе но	1	2
346	можно представить	1	2
347	в работах	1	2
348	себя в	4	2
349	для них	3	2
350	не столько	5	2
351	у нас	4	2
352	в формах	1	2
353	в следующем	1	2
354	все равно	2	2
355	то она	1	2
356	посредством которых	1	2
357	в своих	5	2
358	не было	5	2
359	истории не	1	2
360	этого не	2	2
361	а во-вторых	1	2
362	ни одна	1	2
363	что к	1	2
364	и с	2	2
365	с ней	1	2
366	будто бы	3	2
367	которое в	4	2
368	значение в	1	2
369	и прочими	1	2
370	жизни и	8	2
371	не со	1	2
372	том или	1	2
373	например в	2	2
374	значении этого	1	2
375	тому что	2	2
376	в ряде	1	2
377	случае не	1	2
378	в наиболее	3	2
379	и без	1	2
380	в связи	1	2
381	подобно тому	3	2
382	но пока	1	2
383	в соответствии	8	2
384	первый из	1	2
385	и так	1	2
386	есть только	1	2
387	том смысле	1	2
388	в ряду	2	2
389	к своему	2	2
390	или ином	1	2
391	и со	1	2
392	тем или	1	2
393	о которых	2	2
394	не до	3	2
395	же касается	2	2
396	в каждой	1	2
397	этих случаях	2	2
398	разумеется с	1	2
399	могло бы	4	2
400	как сказано	1	2
401	во всех	2	2
402	когда под	1	2
403	сам же	1	2
404	большей части	4	2
405	при всей	3	2
406	и потому	2	2
407	одного отдельного	1	2
408	которые не	2	2
409	но как	1	2
410	мы можем	2	2
411	а с	4	2
412	не существует	3	2
413	не могли	1	2
414	как следует	1	2
415	что мы	2	2
416	так называемая	1	2
417	ничего не	3	2
418	английский язык	1	2
419	в свою	5	2
420	задний план	1	2
421	тому как	3	2
422	так называемую	1	2
423	и собственно	1	2
424	это очевидно	1	2
425	в этот	3	2
426	у них	3	2
427	еще раз	1	2
428	мы должны	1	2
429	уже было	1	2
430	из которой	2	2
431	быть и	2	2
432	не мог	2	2
433	для нее	1	2
434	из таких	1	2
435	народов и	1	2
436	но зато	1	2
437	если же	1	2
438	отношении к	1	2
439	речь идет	3	2
440	свое существование	1	2
441	хотя в	2	2
442	из него	2	2
443	в форме	1	2
444	художественной литературы	1	2
445	факт что	1	2
446	при любом	1	2
447	слове но	1	2
448	и до	1	2
449	свое значение	1	2
450	тогда как	16	2
451	в обоих	3	2
452	каждый из	1	2
453	свою очередь	5	2
454	она была	2	2
455	обратим внимание	3	2
456	не бывает	1	2
457	состоит в	23	2
458	чем они	1	2
459	одной и	1	2
460	известной мере	1	2
461	что можно	1	2
462	что здесь	1	2
463	одно и	1	2
464	текст может	1	2
465	соответствии с	8	2
466	самой своей	1	2
467	природы и	1	2
468	к числу	1	2
469	мог бы	2	2
470	и др	2	2
471	из истории	1	2
472	это делает	1	2
473	одного и	1	2
474	них не	1	2
475	языка как	1	2
476	том же	1	2
477	тем более	3	2
478	с помощью	1	2
479	всего к	1	2
480	на то	3	2
481	его к	1	2
482	преимущественно в	1	2
483	другие с	1	2
484	на котором	1	2
485	возникает и	2	2
486	но это	4	2
487	его можно	1	2
488	бы в	4	2
489	жизни как	2	2
490	и совершенно	1	2
491	каким она	1	2
492	применительно к	2	2
493	не к	4	2
494	котором он	2	2
495	воззрения на	1	2
496	всего в	1	1
497	иначе говоря	8	1
498	которой у	1	1
499	то в	1	1
500	от простого	1	1
501	обращена к	1	1
502	связи и	1	1
503	и стало	3	1
504	и составляет	3	1
505	все что	3	1
506	мы видим	1	1
507	новейшее время	1	1
508	в настоящем	2	1
509	себе самому	1	1
510	известную долю	1	1
511	человека к	1	1
512	как одна	1	1
513	та же	1	1
514	общения в	1	1
515	за ним	1	1
516	степени в	1	1
517	смысле что	1	1
518	она и	1	1
519	его нельзя	1	1
520	здесь именно	1	1
521	от его	1	1
522	они не	3	1
523	практически не	3	1
524	характера а	1	1
525	различие между	1	1
526	действий в	1	1
527	к человеку	1	1
528	похожи на	1	1
529	человеческой истории	1	1
530	сказано о	1	1
531	слушателей в	1	1
532	жить в	1	1
533	достаточно одного	1	1
534	известно что	1	1
535	о человеке	1	1
536	роль и	1	1
537	и объединяет	1	1
538	какой она	2	1
539	к одной	2	1
540	жизни а	1	1
541	которая в	3	1
542	именно так	1	1
543	до времени	1	1
544	как к	1	1
545	становится для	1	1
546	в общих	1	1
547	том числе	1	1
548	которых мы	1	1
549	далеком прошлом	1	1
550	в особых	2	1
551	различными по	1	1
552	для себя	2	1
553	оно было	1	1
554	а два	1	1
555	отношения к	1	1
556	или по	1	1
557	xix столетия	3	1
558	еще более	2	1
559	человеческого общения	1	1
560	могут различаться	1	1
561	однако и	3	1
562	новое и	1	1
563	для него	5	1
564	историю человечества	1	1
565	которых он	1	1
566	бы на	1	1
567	именно она	1	1
568	с ним	3	1
569	который можно	1	1
570	имеем дело	5	1
571	она стала	1	1
572	было не	2	1
573	принципе не	1	1
574	по слову	1	1
575	одном и	1	1
576	в литературе	2	1
577	от времени	1	1
578	различного рода	3	1
579	менее не	1	1
580	проникновения в	2	1
581	настоящем не	1	1
582	как некоторого	1	1
583	исторический факт	1	1
584	историю не	1	1
585	для нас	4	1
586	но смысл	1	1
587	за ее	1	1
588	выше чем	1	1
589	согласно которой	2	1
590	интерес к	1	1
591	состоящий в	1	1
592	которого история	1	1
593	указание на	1	1
594	в культуре	2	1
595	слова в	3	1
596	и о	4	1
597	изложенного в	1	1
598	объектов и	1	1
599	на самом	5	1
600	истории с	2	1
601	таков в	2	1
602	далее в	1	1
603	его от	1	1
604	с исторической	1	1
605	в европейской	2	1
606	таком случае	1	1
607	себе не	1	1
608	уже говорилось	1	1
609	как своего	1	1
610	у него	8	1
611	частности в	2	1
612	не на	3	1
613	сосредоточен на	1	1
614	выросло из	1	1
615	разумеется не	1	1
616	объект и	1	1
617	раз в	1	1
618	быть вполне	1	1
619	они сообщают	1	1
620	письма к	2	1
621	что все	1	1
622	оно не	2	1
623	также в	1	1
624	этим объясняется	1	1
625	чтобы в	1	1
626	этого процесса	1	1
627	быть названа	1	1
628	более или	2	1
629	нам в	1	1
630	в духе	1	1
631	но на	2	1
632	или не	3	1
633	все то	1	1
634	но он	2	1
635	нужно не	1	1
636	или в	3	1
637	относится и	1	1
638	читателя так	1	1
639	от своего	2	1
640	целого но	1	1
641	и можно	1	1
642	их по	1	1
643	жизнь в	1	1
644	могло не	1	1
645	осуществляется в	1	1
646	всех его	2	1
647	слова но	2	1
648	что будет	1	1
649	что у	4	1
650	с другими	1	1
651	и все	8	1
652	содержание и	1	1
653	еще в	3	1
654	есть в	2	1
655	просто и	1	1
656	быть только	2	1
657	может и	1	1
658	иначе как	1	1
659	в эпоху	1	1
660	но для	1	1
661	чтобы определить	1	1
662	опыта и	1	1
663	прямо не	1	1
664	дело здесь	1	1
665	и последние	1	1
666	о жизни	2	1
667	непосредственно как	1	1
668	лишь к	1	1
669	бы оно	1	1
670	очевидно что	2	1
671	слова а	1	1
672	значения и	2	1
673	в таком	2	1
674	это выражение	1	1
675	очень много	1	1
676	в жизни	7	1
677	можно назвать	2	1
678	заметить что	2	1
679	о теории	1	1
680	и соответственно	4	1
681	с той	1	1
682	случаях в	1	1
683	участие в	1	1
684	не ограничивается	1	1
685	и последующих	2	1
686	как истинное	1	1
687	этот по	1	1
688	выражается в	1	1
689	не вытекает	1	1
690	встречается в	1	1
691	с ними	2	1
692	не предполагает	2	1
693	степени это	1	1
694	человек в	4	1
695	духа в	1	1
696	самое и	1	1
697	нас нет	2	1
698	или даже	2	1
699	закономерный процесс	2	1
700	далеко не	5	1
701	говорят о	2	1
702	тем о	1	1
703	обоих случаях	1	1
704	общих чертах	1	1
705	между прочим	1	1
706	следует забывать	1	1
707	на эту	1	1
708	исследования первый	1	1
709	из четырех	3	1
710	собой не	1	1
711	не от	1	1
712	как с	1	1
713	и искусно	1	1
714	историей и	1	1
715	и могут	1	1
716	и я	1	1
717	при изложении	1	1
718	между собой	2	1
719	любви и	2	1
720	в новом	1	1
721	у древних	1	1
722	том как	4	1
723	который тем	1	1
724	образом для	1	1
725	участия в	6	1
726	для современной	1	1
727	в итоге	4	1
728	которого не	1	1
729	на его	2	1
730	в сторону	1	1
731	них в	1	1
732	которая не	2	1
733	ли это	2	1
734	тому же	6	1
735	для читателя	1	1
736	путь к	1	1
737	место принадлежит	1	1
738	к концу	1	1
739	в эту	1	1
740	что вообще	1	1
741	это тоже	1	1
742	и понимания	3	1
743	или менее	2	1
744	и у	2	1
745	в одной	2	1
746	и понимание	1	1
747	всю ее	1	1
748	связано с	3	1
749	и другого	1	1
750	кто из	1	1
751	как произведение	1	1
752	а для	2	1
753	по поводу	5	1
754	не смешивать	1	1
755	но разумеется	1	1
756	ему не	1	1
757	жизнь и	1	1
758	чтобы сделать	1	1
759	произведение в	2	1
760	не была	1	1
761	говорится о	1	1
762	методе и	1	1
763	себя не	1	1
764	перестает быть	1	1
765	нуждаются в	1	1
766	здесь как	2	1
767	это и	1	1
768	и тех	1	1
769	его и	1	1
770	того или	1	1
771	к нашему	1	1
772	такое чтение	1	1
773	совершенно не	2	1
774	материалом для	1	1
775	человека в	2	1
776	с позиций	1	1
777	но сами	1	1
778	в противовес	4	1
779	реальным и	1	1
780	в особые	1	1
781	образцом для	1	1
782	а к	3	1
783	в полной	1	1
784	не принадлежит	2	1
785	значение только	1	1
786	и более	5	1
787	это были	2	1
788	вытекает из	1	1
789	жизни для	2	1
790	с самого	1	1
791	в действительности	1	1
792	имеет свои	1	1
793	что этот	1	1
794	и внутренне	2	1
795	восприятия в	2	1
796	не означает	1	1
797	к слову	1	1
798	которых в	2	1
799	тех же	2	1
800	и жизненной	1	1
801	которое возникает	1	1
802	имеет право	1	1
803	превращается в	1	1
804	работы требует	1	1
805	последним относятся	1	1
806	обнаруживаются в	1	1
807	так сказать	2	1
808	слова было	1	1
809	наконец в	1	1
810	не должен	2	1
811	автора и	1	1
812	во всей	1	1
813	это то	1	1
814	истории но	1	1
815	русской культуры	1	1
816	фактов не	1	1
817	о возможности	1	1
818	сложности и	1	1
819	не по	4	1
820	что находится	1	1
821	с какой	1	1
822	быть не	4	1
823	для данной	1	1
824	этом пути	1	1
825	но здесь	1	1
826	данному типу	1	1
827	ряда других	1	1
828	не всегда	2	1
829	в отказе	1	1
830	признать вполне	1	1
831	из их	1	1
832	этот текст	2	1
833	в только	1	1
834	о методе	1	1
835	имея в	1	1
836	от первых	1	1
837	собственных имен	1	1
838	не сам	1	1
839	и т.п	14	1
840	истории а	3	1
841	лишь в	4	1
842	между двумя	5	1
843	вследствие этого	5	1
844	в свет	1	1
845	не могло	2	1
846	письма и	1	1
847	уже у	1	1
848	с литературой	1	1
849	не приходится	1	1
850	и та	1	1
851	долг это	1	1
852	общения и	1	1
853	сюда относятся	1	1
854	в науке	1	1
855	втором случае	1	1
856	есть одновременно	1	1
857	своей работе	1	1
858	к области	1	1
859	не могла	1	1
860	как если	1	1
861	к данному	2	1
862	и тот	1	1
863	о своем	1	1
864	и была	1	1
865	целая цепь	1	1
866	заключает в	4	1
867	и соответствующих	1	1
868	разрешается в	1	1
869	русского языка	1	1
870	например и	1	1
871	значительной степени	2	1
872	также не	1	1
873	случае с	1	1
874	впечатление что	1	1
875	и затем	2	1
876	сомневаться в	1	1
877	он есть	1	1
878	рассуждение о	2	1
879	на практике	1	1
880	отношении она	1	1
881	в древности	1	1
882	принять его	1	1
883	самого начала	1	1
884	для которой	1	1
885	должны были	3	1
886	а лишь	3	1
887	или иное	1	1
888	иной степени	1	1
889	и настоящем	1	1
890	оно составляет	1	1
891	его отношение	1	1
892	героического эпоса	1	1
893	автора с	1	1
894	сказано в	1	1
895	его собственной	2	1
896	того кто	1	1
897	автора в	5	1
898	могло быть	1	1
899	литературы как	1	1
900	чем с	1	1
901	именно такого	1	1
902	он в	1	1
903	и форме	1	1
904	место в	2	1
905	входит как	1	1
906	одного из	3	1
907	к ним	4	1
908	ее не	2	1
909	в новейшее	1	1
910	рассказа в	3	1
911	она может	2	1
912	называет себя	1	1
913	если мы	1	1
914	однако для	2	1
915	в ходе	3	1
916	и которая	1	1
917	не входят	1	1
918	только одна	1	1
919	что есть	1	1
920	общего характера	1	1
921	собой лишь	1	1
922	культуры что	1	1
923	она неизбежно	1	1
924	установка на	1	1
925	этом и	2	1
926	это ясно	1	1
927	точку зрения	2	1
928	которое мы	1	1
929	дисциплины не	1	1
930	в высшей	2	1
931	для разработки	1	1
932	к которому	2	1
933	обширной истории	1	1
934	автор как	1	1
935	понимаем и	1	1
936	и от	3	1
937	них как	2	1
938	для которого	4	1
939	ряде случаев	1	1
940	настоящее время	1	1
941	однако у	2	1
942	же в	3	1
943	понятия о	1	1
944	нем не	1	1
945	что без	1	1
946	момент в	1	1
947	литература в	1	1
948	слово но	1	1
949	науке о	1	1
950	и прежде	1	1
951	мысль которая	1	1
952	в текст	1	1
953	что содержание	1	1
954	доступна нам	1	1
955	речь о	1	1
956	он был	1	1
957	обращенной к	1	1
958	или произвола	1	1
959	мира в	8	1
960	том например	1	1
961	истории история	1	1
962	на всем	1	1
963	во франции	1	1
964	выходя из	1	1
965	в отдельных	1	1
966	мира у	3	1
967	этой системе	1	1
968	этого необходимы	1	1
969	котором мы	1	1
970	иначе его	1	1
971	или иного	1	1
972	к этим	1	1
973	во время	3	1
974	только потому	1	1
975	и после	2	1
976	и совершается	1	1
977	а главное	1	1
978	цели в	1	1
979	отказе от	1	1
980	но текст	1	1
981	именно это	1	1
982	то или	1	1
983	в далеком	1	1
984	в настоящее	1	1
985	дело обстоит	2	1
986	значении слова	1	1
987	с языком	2	1
988	истории однако	2	1
989	и особенно	1	1
990	и становится	1	1
991	свои собственные	1	1
992	тот же	1	1
993	словом чтобы	1	1
994	что на	4	1
995	слова и	3	1
996	их исторического	1	1
997	в первой	1	1
998	вся эта	1	1
999	никак не	2	1
1000	о ней	4	1
1001	данной системы	1	1
1002	вернуться к	2	1
1003	в составе	3	1
1004	например когда	1	1
1005	обратиться к	2	1
1006	к автору	1	1
1007	более того	1	1
1008	судя по	3	1
1009	исследования в	1	1
