N	2gram	Potebnia_M	OGranits
354	на последующую	1	1
355	на самый	1	1
356	речи и	11	1
357	особенностей и	1	1
358	этом отношении	1	1
359	еще мало	1	1
360	тем как	3	1
361	движение в	1	1
362	связанное с	3	1
363	нужна для	1	1
364	что при	6	1
365	с языком	2	1
366	остается только	6	1
367	примыкает к	1	1
368	мысли и	9	1
369	тем не	11	1
370	здесь для	1	1
371	но тем	6	1
372	в другой	4	1
373	как это	1	1
374	бы сам	1	1
375	нее как	2	1
376	и творческого	1	1
377	положение что	1	1
378	вследствие этого	1	1
379	что такое	3	1
380	в известную	1	1
381	систему как	1	1
382	мы в	2	1
383	то мы	4	1
384	только на	4	1
385	выйти за	1	1
386	музыка не	1	1
387	из того	3	1
388	об этом	1	1
389	не имеем	3	1
390	только потому	4	1
391	себе на	1	1
392	переходит в	2	1
393	остановиться на	1	1
394	разница в	2	1
395	всего его	1	1
396	никто не	3	1
397	распадаются на	2	1
398	в науке	1	1
399	в нескольких	1	1
400	гораздо богаче	1	1
401	и что	13	1
402	может происходить	2	1
403	на самом	2	1
404	природе не	1	1
405	для человека	3	1
406	в различных	1	1
407	группы во-первых	1	1
408	для них	2	1
409	и тот	1	1
410	можно было	1	1
411	язык есть	17	1
412	в этой	3	1
413	о переходе	1	1
414	это слово	1	1
415	с известным	2	1
416	в начале	2	1
417	ни одна	2	1
418	во все	2	1
419	в виду	2	1
420	в нашей	2	1
421	же такое	1	1
422	что к	2	1
423	к другому	2	1
424	быть может	6	1
425	и до	1	1
426	в определении	2	1
427	истории и	1	1
428	богатство и	1	1
429	нет никакого	1	1
430	с их	1	1
431	и есть	4	1
432	конечно не	1	1
433	к общей	1	1
434	подобно тому	7	1
435	и вполне	2	1
436	но это	7	1
437	только то	3	1
438	него а	1	1
439	в мимике	1	1
440	есть чисто	1	1
441	не вполне	1	1
442	по себе	24	1
443	этот вопрос	2	1
444	в истории	8	1
445	все равно	1	1
446	видим у	1	1
447	звуков в	3	1
448	по своей	2	1
449	же время	4	1
450	поэтому не	1	1
451	лежит в	1	1
452	что слово	5	1
453	его в	3	1
454	развития которая	1	1
455	со всеми	1	1
456	человека и	2	1
457	с понятием	2	1
458	или как	2	1
459	развития не	1	1
460	каждый из	1	1
461	а на	2	1
462	до того	2	1
463	овладевают нашим	1	1
464	совершенно справедливо	2	1
465	самый предмет	2	1
466	связь с	2	1
467	существует только	2	1
468	и лексические	1	1
469	мыслью и	3	1
470	и духа	1	1
471	не было	7	1
472	когда мы	4	1
473	связи с	6	1
474	ко всем	4	1
475	если не	5	1
476	же не	2	1
477	этой точки	2	1
478	что касается	2	1
479	состоит в	1	1
480	существует как	1	1
481	соприкасается с	1	1
482	или в	4	1
483	этой системы	1	1
484	от одного	2	1
485	in intellectu	1	1
486	для создания	2	1
487	собственном смысле	2	1
488	на то	5	1
489	то не	5	1
490	и там	1	1
491	слова могут	1	1
492	из нее	2	1
493	равно как	1	1
494	для осуществления	1	1
495	в отличие	1	1
496	про себя	2	1
497	их в	2	1
498	заключается в	3	1
499	одним из	2	1
500	не совсем	3	1
501	пространство и	2	1
502	отношение к	1	1
503	между людьми	2	1
504	природы и	1	1
505	процессов в	1	1
506	но столь	1	1
507	каждом отдельном	1	1
508	сказать что	5	1
509	на себя	1	1
510	возможно только	6	1
511	значения как	1	1
512	ему в	1	1
513	виду что	2	1
514	или менее	6	1
515	по которым	2	1
516	другим но	1	1
517	превращаются в	1	1
518	и понимании	1	1
519	звукового материала	1	1
520	где нет	1	1
521	положения что	1	1
522	сил которые	1	1
523	другое если	1	1
524	значение имеет	1	1
525	времени не	1	1
526	что изучение	1	1
527	дойти до	1	1
528	он говорит	1	1
529	такой же	4	1
530	к другим	3	1
531	выражения в	1	1
532	в слишком	1	1
533	произведения и	1	1
534	произведения не	1	1
535	обратимся к	1	1
536	скорее как	1	1
537	даже для	1	1
538	вполне убедительным	1	1
539	например в	4	1
540	развивается не	1	1
541	слова выбор	1	1
542	само собою	4	1
543	в образе	1	1
544	до такой	2	1
545	по мере	10	1
546	в синтаксисе	1	1
547	бы что	2	1
548	к более	1	1
549	к этому	3	1
550	не знаем	2	1
551	в одной	2	1
552	и как	11	1
553	определяет уже	1	1
554	в помощи	1	1
555	и язык	12	1
556	и уяснения	1	1
557	что он	5	1
558	с духом	4	1
559	столь же	6	1
560	в собственном	4	1
561	влиянии на	2	1
562	им и	1	1
563	язык во	2	1
564	что она	3	1
565	мы чувствуем	3	1
566	или даже	3	1
567	не существует	2	1
568	всем своем	1	1
569	далеко не	4	1
570	и о	3	1
571	но что	2	1
572	радость гнев	1	1
573	бы быть	7	1
574	что без	2	1
575	совсем верно	2	1
576	в мире	3	1
577	организма и	1	1
578	на который	1	1
579	вместе с	12	1
580	и вместе	5	1
581	одна из	4	1
582	и языка	4	1
583	язык представляется	1	1
584	мы принуждены	3	1
585	но когда	1	1
586	этого слова	5	1
587	слова есть	6	1
588	в которых	2	1
589	но не	19	1
590	так в	4	1
591	и характер	1	1
592	и всякого	1	1
593	именно с	1	1
594	в ряду	6	1
595	но если	4	1
596	имеет и	1	1
597	одно из	5	1
598	с его	3	1
599	что до	2	1
600	при таком	5	1
601	на одном	1	1
602	себя и	3	1
603	ключ ко	1	1
604	оно может	2	1
605	по поводу	7	1
606	в природе	11	1
607	говорить и	1	1
608	в такой	2	1
609	утверждая что	1	1
610	ничего в	1	1
611	правильное определение	1	1
612	в то	6	1
613	материала это	1	1
614	мыслей и	1	1
615	один и	1	1
616	его может	1	1
617	не отвечает	1	1
618	должно было	1	1
619	в организме	5	1
620	две группы	2	1
621	тонкие оттенки	1	1
622	не создает	2	1
623	только с	1	1
624	о которых	5	1
625	понятие о	2	1
626	первое и	1	1
627	в неделимом	1	1
628	может и	1	1
629	и оно	1	1
630	в условиях	1	1
631	когда в	3	1
632	в себя	2	1
633	заключена только	1	1
634	для этого	2	1
635	мы слышим	1	1
636	она есть	3	1
637	с ее	2	1
638	из него	3	1
639	не из	3	1
640	и это	3	1
641	возможности но	1	1
642	и чем	1	1
643	того же	13	1
644	из одного	3	1
645	говорит следующее	2	1
646	в самой	5	1
647	исследование отношений	1	1
648	в виде	1	1
649	которые с	1	1
650	собою и	2	1
651	только о	2	1
652	предположение о	1	1
653	от него	8	1
654	нам кажется	2	1
655	в сложных	1	1
656	связанная с	1	1
657	языка должны	1	1
658	одно слово	1	1
659	что вообще	2	1
660	само по	6	1
661	здесь нет	1	1
662	на словах	1	1
663	как для	2	1
664	при всяком	1	1
665	звука и	9	1
666	словами и	1	1
667	и другое	7	1
668	к нему	2	1
669	едва ли	1	1
670	не можем	5	1
671	их только	1	1
672	же есть	2	1
673	еще одно	1	1
674	проявляются в	1	1
675	в чисто	1	1
676	грамматика не	1	1
677	мысли в	11	1
678	тем более	2	1
679	что имеет	2	1
680	то можно	1	1
681	может доставить	1	1
682	своего развития	1	1
683	себе а	1	1
684	и сами	3	1
685	на все	5	1
686	еще не	9	1
687	отражается в	1	1
688	собою разумеется	1	1
689	всем тайнам	1	1
