N	2gram	Tiupa_Anal	Otkroven
130	что все	2	2
131	ничего не	10	2
132	хотя и	4	2
133	не есть	8	2
134	в своей	7	2
135	все еще	1	2
136	жизни в	1	2
137	по себе	6	2
138	не имеет	1	2
139	к этому	2	2
140	сразу же	1	2
141	строе жизни	1	2
142	том что	21	2
143	что достоевский	1	2
144	и для	3	2
145	в ее	2	2
146	человек всегда	1	2
147	но в	11	2
148	человека а	1	2
149	уже с	1	1
150	науки о	2	1
151	во всем	1	1
152	его собственного	1	1
153	во всяком	1	1
154	связан с	1	1
155	не так	3	1
156	ко всему	1	1
157	был например	1	1
158	он указывает	1	1
159	его и	3	1
160	во внешнем	4	1
161	совершенно не	2	1
162	смерть и	2	1
163	попадает в	2	1
164	том случае	1	1
165	то он	3	1
166	ее и	1	1
167	темам и	1	1
168	на человека	1	1
169	не допускает	1	1
170	всему этому	1	1
171	а с	3	1
172	в центре	3	1
173	и рассудок	1	1
174	один из	4	1
175	его судьбу	1	1
176	эволюции в	1	1
177	в котором	5	1
178	и здесь	1	1
179	та же	1	1
180	по природе	4	1
181	виду не	1	1
182	а вовсе	1	1
183	и состоит	5	1
184	в откровении	1	1
185	тому кто	1	1
186	для русской	1	1
187	же и	1	1
188	любой из	1	1
189	она должна	1	1
190	человека он	1	1
191	знаменательно что	1	1
192	не имеют	1	1
193	каждом из	2	1
194	случае если	1	1
195	можно и	1	1
196	пользоваться им	1	1
197	но о	3	1
198	так для	1	1
199	который всегда	1	1
200	и заключается	2	1
201	собой в	2	1
202	его с	1	1
203	том как	1	1
204	должна быть	1	1
205	мы не	1	1
206	не могу	2	1
207	есть откровение	1	1
208	судьба человека	2	1
209	иных случаях	1	1
210	есть у	1	1
211	личность и	1	1
212	смысле слова	1	1
213	есть без	1	1
214	жизни человека	1	1
215	это лишь	1	1
216	уровень его	1	1
217	еще более	1	1
218	также и	3	1
219	но не	13	1
220	природе своей	3	1
221	представляет собой	23	1
222	и трагическое	1	1
223	с какой	1	1
224	быть не	3	1
225	от которого	4	1
226	в ней	1	1
227	и своим	1	1
228	с каким-то	1	1
229	уже отмечали	1	1
230	и дело	1	1
231	человека как	1	1
232	художественного творчества	2	1
233	он видит	1	1
234	его речь	1	1
235	что это	1	1
236	и тогда	3	1
237	речи и	2	1
238	этом отношении	5	1
239	может служить	3	1
240	жизни есть	1	1
241	и был	1	1
242	всяком случае	1	1
243	на этих	1	1
244	он и	3	1
245	о чем	3	1
246	их жизни	1	1
247	сознания в	4	1
248	в свое	3	1
249	в сущности	10	1
250	действующих лиц	1	1
251	лучше сказать	1	1
252	сам по	1	1
253	в частности	32	1
254	говорит о	5	1
255	как это	5	1
256	ни был	1	1
257	о нем	4	1
258	между двумя	7	1
259	и больше	2	1
260	не оставляет	2	1
261	о границах	1	1
262	только один	1	1
263	на нем	1	1
264	со всей	1	1
265	как у	1	1
266	со стороны	5	1
267	в которую	2	1
268	в науке	1	1
269	видеть в	1	1
270	что люди	1	1
271	не с	8	1
272	отношении к	1	1
273	ты не	2	1
274	и что	2	1
275	в одном	3	1
276	силы в	1	1
277	на самом	2	1
278	у нас	1	1
279	в отношении	2	1
280	можно было	1	1
281	на свободу	1	1
282	дается в	1	1
283	же не	3	1
284	да ведь	1	1
285	бы и	1	1
286	этим именем	1	1
287	вообще но	1	1
288	совершенно новый	1	1
289	исследование возможностей	1	1
290	смысле этого	1	1
291	там и	1	1
292	этой речи	1	1
293	и до	3	1
294	с их	2	1
295	не вполне	2	1
296	проникнуть в	1	1
297	есть уже	1	1
298	по своей	6	1
299	человека с	1	1
300	с кем	1	1
301	думать что	2	1
302	в них	1	1
303	вопрос об	3	1
304	связь с	1	1
305	было и	1	1
306	не любит	4	1
307	не совпадает	1	1
308	не случайно	11	1
309	и даже	10	1
310	в борьбе	2	1
311	особого рода	9	1
312	если бы	6	1
313	самом деле	3	1
314	у которых	1	1
315	и более	5	1
316	самим собой	3	1
317	на примере	3	1
318	с ними	2	1
319	была бы	4	1
320	и сам	4	1
321	светом и	1	1
322	или лучше	1	1
323	могут и	1	1
324	может ли	2	1
325	тип человека	1	1
326	будто бы	4	1
327	в виду	2	1
328	в силу	4	1
329	самом начале	3	1
330	мысли как	1	1
331	на этот	2	1
332	с духом	1	1
333	лишь по	1	1
334	вообще и	2	1
335	в мир	1	1
336	человека для	1	1
337	и эта	1	1
338	это какое-то	1	1
339	его как	3	1
340	во внешней	1	1
341	отношения к	4	1
342	тем же	1	1
343	ключ к	2	1
344	заключается в	2	1
345	но от	1	1
346	норме и	1	1
347	ведет к	3	1
348	начиная с	1	1
349	он создал	1	1
350	над его	1	1
351	бы он	1	1
352	еще ничего	1	1
353	в конце	4	1
354	указывает на	1	1
355	в процессе	2	1
356	например в	1	1
357	в жизни	1	1
358	в пределы	1	1
359	но к	3	1
360	в глазах	1	1
361	во внутренней	2	1
362	с той	2	1
363	им для	1	1
364	как от	2	1
365	лишь на	1	1
366	и как	6	1
367	то в	2	1
368	все время	1	1
369	к его	3	1
370	есть не	9	1
371	чего бы	1	1
372	в человеческой	1	1
373	человек в	3	1
374	в сознании	6	1
375	что она	1	1
376	а именно	3	1
377	жизни и	1	1
378	одна из	1	1
379	о судьбе	1	1
380	в мире	14	1
381	в разных	1	1
382	одном из	1	1
383	который в	3	1
384	как в	3	1
385	духа он	1	1
386	этого слова	10	1
387	как будто	6	1
388	в совершенно	1	1
389	на то	2	1
390	что говорит	1	1
391	л толстого	1	1
392	лица в	1	1
393	может пользоваться	1	1
394	есть на	1	1
395	нуждается в	9	1
396	отмечали что	1	1
397	отличается от	3	1
398	да и	2	1
399	друг с	2	1
400	его жизни	1	1
401	ли он	3	1
402	у одного	1	1
403	бы от	1	1
404	в новом	2	1
405	нам человека	1	1
406	видел в	1	1
407	строе этого	1	1
408	нисколько не	1	1
409	но это	1	1
410	ожидать от	1	1
411	и после	1	1
412	которого не	1	1
413	из него	1	1
414	себе и	1	1
415	чем и	3	1
416	с другом	2	1
417	которой в	1	1
418	героя из	1	1
419	человека человек	1	1
420	внутренней жизни	1	1
421	рассудка и	1	1
422	она и	1	1
423	к которой	1	1
424	жизни не	1	1
425	было не	1	1
426	из них	2	1
427	которая ни	1	1
428	вовсе не	4	1
429	что как	3	1
430	уже не	6	1
431	указать на	1	1
432	это была	2	1
433	особенно в	9	1
434	мира в	2	1
435	с вопросом	1	1
436	бы ни	2	1
437	бы в	3	1
438	к другому	1	1
439	людей в	1	1
