N	3gram	Vinokur_Vv	Istorich
441	на этом пути	1	1
442	только на том	1	1
443	в первом случае	2	1
444	вообще не существует	1	1
445	но в то	3	1
446	в сравнении с	1	1
447	пример показывает что	1	1
448	также и с	1	1
449	зависимости от того	1	1
450	по содержанию и	1	1
451	том смысле в	1	1
452	уже не только	2	1
453	как одна из	1	1
454	это прежде всего	1	1
455	у меня в	1	1
456	а не самый	1	1
457	стороны вполне возможно	1	1
458	другой стороны как	1	1
459	или меньшей степенью	1	1
460	раньше чем продолжать	1	1
461	всяком случае не	2	1
462	ее задачи и	1	1
463	или объяснить свой	1	1
464	вообще т е	1	1
465	представление о том	1	1
466	ничего иного как	1	1
467	не только служит	1	1
468	не то что	1	1
469	только с помощью	1	1
470	т е то	1	1
471	как он выражается	2	1
472	имеет своей целью	1	1
473	потому что они	1	1
474	но с другой	1	1
