N	2gram	Vinokur_St	Otkroven
285	как у	1	1
286	со стороны	7	1
287	я бы	2	1
288	в которую	2	1
289	он должен	2	1
290	в науке	1	1
291	видеть в	1	1
292	не с	1	1
293	отношении к	3	1
294	за собой	1	1
295	не хочет	2	1
296	всего его	1	1
297	и ему	2	1
298	несколько в	1	1
299	это бы	1	1
300	в поэме	3	1
301	и кто	1	1
302	и что	8	1
303	в одном	7	1
304	на самом	8	1
305	у нас	12	1
306	о пушкине	9	1
307	его характер	1	1
308	в отношении	11	1
309	можно было	14	1
310	оказывается что	1	1
311	не потому	3	1
312	да ведь	2	1
313	бы и	4	1
314	ни под	1	1
315	им самим	2	1
316	и это	4	1
317	совершенно новый	1	1
318	смысле этого	2	1
319	и когда	1	1
320	и до	2	1
321	нет никакого	3	1
322	с их	2	1
323	и страх	1	1
324	не вполне	1	1
325	за это	1	1
326	по своей	2	1
327	от того	1	1
328	в форму	1	1
329	чего же	1	1
330	с кем	1	1
331	которая была	3	1
332	думать что	2	1
333	в них	2	1
334	в форме	2	1
335	слабы и	1	1
336	связь с	1	1
337	в силе	1	1
338	видно что	3	1
339	в иных	2	1
340	некоторые места	1	1
341	что нет	2	1
342	находятся и	1	1
343	как например	2	1
344	где оно	1	1
345	было сделать	1	1
346	не случайно	1	1
347	но остается	1	1
348	и даже	8	1
349	в борьбе	1	1
350	в глаза	1	1
351	из писателей	1	1
352	он еще	1	1
353	всего что	2	1
354	всегда и	1	1
355	часто случается	1	1
356	одной женщине	1	1
357	пути от	1	1
358	темы о	1	1
359	если бы	11	1
360	самом деле	14	1
361	делает в	2	1
362	от всех	1	1
363	иногда и	2	1
364	из бесконечного	1	1
365	говорит в	3	1
366	ii в	1	1
367	считать установленным	1	1
368	и более	4	1
369	потому это	1	1
370	вот что	3	1
371	с ними	1	1
372	была бы	10	1
373	истории и	2	1
374	и сам	4	1
375	почему же	1	1
376	или лучше	2	1
377	имею в	1	1
378	и можно	2	1
379	был для	4	1
380	могут и	1	1
381	будто бы	4	1
382	в виду	6	1
383	образ русского	1	1
384	и начинается	1	1
385	на этот	5	1
386	права на	1	1
387	дело в	9	1
388	именно чтобы	1	1
389	места в	3	1
390	только несколько	1	1
391	в эпоху	3	1
392	отношения к	2	1
393	тем же	3	1
394	опять-таки не	2	1
395	не те	1	1
396	том-то и	2	1
397	установленным что	1	1
398	заключается в	5	1
399	начиная с	2	1
400	над его	1	1
401	и действительно	1	1
402	но нет	2	1
403	бы он	1	1
404	в конце	5	1
405	в процессе	3	1
406	бы еще	1	1
407	например в	8	1
408	но к	2	1
409	в глазах	1	1
410	и почему	4	1
411	в корне	1	1
412	с той	3	1
413	и без	4	1
414	легенды о	1	1
415	лишь на	1	1
416	и как	2	1
417	то в	3	1
418	этих словах	2	1
419	в голову	2	1
420	он попал	1	1
421	к его	2	1
422	так часто	1	1
423	в сознании	2	1
424	что она	5	1
425	а именно	3	1
426	жизни и	6	1
427	всю жизнь	1	1
428	одна из	1	1
429	была для	1	1
430	кем и	2	1
431	свои силы	2	1
432	в разных	1	1
433	состоит из	1	1
434	одном из	4	1
435	в одно	1	1
436	который в	1	1
437	как в	15	1
438	этого слова	2	1
439	другом месте	2	1
440	как будто	5	1
441	на то	5	1
442	но у	1	1
443	говорят о	1	1
444	кого не	1	1
445	а иногда	2	1
446	он никогда	1	1
447	от этого	2	1
448	которые успели	1	1
449	и я	5	1
450	трагедии и	1	1
451	нуждается в	2	1
452	критики этого	1	1
453	отмечали что	1	1
454	к великим	1	1
455	вокруг этой	1	1
456	отличается от	2	1
457	что во	3	1
458	да и	4	1
459	его жизни	3	1
460	потому ли	2	1
461	в новом	4	1
462	видел в	2	1
463	в свой	2	1
464	нисколько не	3	1
465	и характер	1	1
466	сравнению с	1	1
467	кто знает	2	1
468	но это	9	1
469	и после	1	1
470	в движении	1	1
471	в это	3	1
472	себе и	1	1
473	которой в	3	1
474	чтобы не	1	1
475	на своем	1	1
476	но там	1	1
477	вчитывался в	1	1
478	заглянуть в	1	1
479	великих и	1	1
480	их во	1	1
481	что слишком	1	1
482	было не	3	1
483	из них	11	1
484	что их	1	1
485	вовсе не	24	1
486	у обоих	1	1
487	дело что	2	1
488	что как	3	1
489	уже не	1	1
490	доступ к	1	1
491	в одной	3	1
492	указать на	1	1
493	мысли в	1	1
494	с того	2	1
495	это была	1	1
496	особенно в	2	1
497	свое собственное	1	1
498	со всеми	2	1
499	с каким	1	1
500	и самый	2	1
501	бы ни	3	1
502	бы в	2	1
503	к другому	1	1
504	характере и	1	1
505	отметить что	4	1
506	а что	1	1
