N	2gram	Tiupa_Vved	EvropaiC
403	к их	1	1
404	она и	1	1
405	где имеется	1	1
406	нами два	1	1
407	различие между	1	1
408	детей это	1	1
409	похожи на	1	1
410	если в	3	1
411	свидетельствует о	5	1
412	рассказ о	1	1
413	на сторону	1	1
414	того как	1	1
415	зависит от	3	1
416	нет а	1	1
417	забота о	2	1
418	бы себе	1	1
419	том числе	1	1
420	уже в	2	1
421	мы не	6	1
422	наших глазах	1	1
423	чем объясняется	1	1
424	нам удалось	1	1
425	что я	2	1
426	оно было	1	1
427	случае мы	1	1
428	в раннем	1	1
429	мало и	1	1
430	без исключения	2	1
431	по всему	1	1
432	еще более	2	1
433	который ему	1	1
434	указание на	1	1
435	естественно что	1	1
436	бы на	1	1
437	за пределами	3	1
438	в своей	10	1
439	смысл и	1	1
440	именно она	1	1
441	который можно	1	1
442	он и	2	1
443	строго говоря	2	1
444	в корне	1	1
445	в ее	1	1
446	никак не	2	1
447	не приходится	1	1
448	отличными от	1	1
449	ибо без	1	1
450	в принципе	3	1
451	что такое	23	1
452	близким к	1	1
453	зависит не	1	1
454	окружающей его	1	1
455	и сама	1	1
456	уверена в	1	1
457	своей истории	2	1
458	может показаться	1	1
459	в качестве	18	1
460	общения с	1	1
461	можно представить	1	1
462	потому не	2	1
463	в тот	1	1
464	или социальной	1	1
465	одному из	1	1
466	нашу мысль	1	1
467	различным культурам	1	1
468	со своим	1	1
469	перед всеми	1	1
470	с другими	1	1
471	его сознании	2	1
472	лишь из	1	1
473	иначе обстоит	1	1
474	от этих	2	1
475	этом направлении	2	1
476	среде и	1	1
477	некоторые из	1	1
478	к жизни	2	1
479	лет тому	1	1
480	в отношении	1	1
481	с другим	1	1
482	же самые	1	1
483	только еще	1	1
484	как с	1	1
485	котором мы	1	1
486	в центре	4	1
487	однако не	2	1
488	далее в	1	1
489	нашем опыте	1	1
490	а на	4	1
491	непрерывно и	1	1
492	поэтому и	1	1
493	в зависимости	1	1
494	и притом	3	1
495	в духе	1	1
496	о возможности	1	1
497	здесь мы	2	1
498	ее из	1	1
499	на разных	2	1
500	или иной	5	1
501	ни одна	1	1
502	в первом	3	1
503	исходит от	1	1
504	этого не	2	1
505	во взаимной	1	1
506	с ней	1	1
507	этом не	2	1
508	будто бы	3	1
509	дело в	1	1
510	мысль о	2	1
511	культуре это	1	1
512	на себя	5	1
513	после которого	1	1
514	тем что	2	1
515	по терминологии	3	1
516	а то	2	1
517	приведенных выше	1	1
518	когда все	1	1
519	и всю	1	1
520	себя лично	1	1
521	принадлежат к	4	1
522	же еще	1	1
523	том или	1	1
524	например в	2	1
525	отношения к	1	1
526	в равной	1	1
527	и другим	1	1
528	случае не	1	1
529	и должен	1	1
530	в наиболее	3	1
531	этом последнем	1	1
532	тому назад	1	1
533	и как	2	1
534	более широкую	1	1
535	как о	2	1
536	но он	2	1
537	к его	5	1
538	на стороне	1	1
539	он вместе	1	1
540	для каждого	1	1
541	а именно	3	1
542	выбирать между	1	1
543	без которого	1	1
544	этого необходимо	1	1
545	же остается	1	1
546	не объективна	1	1
547	на эту	1	1
548	как в	8	1
549	жизни в	5	1
550	так в	5	1
551	образом для	1	1
552	к концу	1	1
553	к своему	2	1
554	конец а	1	1
555	данного общества	1	1
556	приводит к	2	1
557	или ином	1	1
558	и со	1	1
559	сливаются в	2	1
560	и я	1	1
561	бы не	3	1
562	на всем	1	1
563	по условиям	1	1
564	да и	3	1
565	так точно	1	1
566	не задумываясь	1	1
567	именно эта	2	1
568	благодаря тому	1	1
569	два народа	1	1
570	именно поэтому	1	1
571	роль в	2	1
572	со стороны	15	1
573	или их	1	1
574	на его	2	1
575	вследствие этой	2	1
576	на их	1	1
577	всей своей	4	1
578	в историю	2	1
579	мира в	8	1
580	уже не	7	1
581	не имели	2	1
582	по крайней	1	1
583	перед нами	13	1
584	у данного	1	1
585	и другого	1	1
586	связаны с	1	1
587	другом случае	1	1
588	первый взгляд	3	1
589	его к	1	1
590	иметь в	1	1
591	стоит и	1	1
592	к одному	2	1
593	нет ничего	2	1
594	перестает быть	1	1
595	но тут	1	1
596	следует признать	6	1
597	это и	1	1
598	еще и	2	1
599	к истине	1	1
600	другом сознании	1	1
601	только благодаря	1	1
602	не имея	1	1
603	впечатление что	1	1
604	искать в	1	1
605	не является	7	1
606	только к	1	1
607	же я	1	1
608	вытекает из	1	1
609	с самого	1	1
610	людей и	1	1
611	что этот	1	1
612	идет по	1	1
613	а его	3	1
614	в целях	1	1
615	своей собственной	1	1
616	мы воспринимаем	1	1
617	ли это	2	1
618	т.е в	1	1
619	и главное	1	1
620	ли в	1	1
621	и даже	3	1
622	все остальные	1	1
623	не могу	2	1
624	и пребывает	1	1
625	но при	7	1
626	эти слова	2	1
627	и вот	3	1
628	зрения в	1	1
629	в значительной	2	1
630	входит в	2	1
631	на котором	1	1
632	от самого	1	1
633	имеются и	1	1
634	это все	1	1
635	жизни из	1	1
636	совсем не	1	1
637	или не	3	1
638	вместо того	2	1
639	не будучи	1	1
640	по этой	2	1
641	являются не	1	1
642	мы всегда	1	1
643	однако ни	1	1
644	искоренять в	1	1
645	вызывает в	1	1
646	с нами	1	1
647	в разные	1	1
648	в этот	3	1
649	действительно так	1	1
650	обстоит дело	1	1
651	выпадает на	1	1
652	преклонения перед	1	1
653	некоторое сходство	1	1
654	кажется что	1	1
655	с которой	1	1
656	которой он	1	1
657	а за	1	1
658	процессов и	1	1
659	только на	2	1
660	а во-вторых	1	1
661	одно и	1	1
662	и та	1	1
663	в науке	1	1
664	в различных	1	1
665	на пути	1	1
666	не могла	1	1
667	возможен только	1	1
668	и наиболее	1	1
669	на основании	1	1
670	и была	1	1
671	в нашей	1	1
672	сознании это	1	1
673	и хотя	1	1
674	первый из	1	1
675	и затем	2	1
676	себя эти	1	1
677	и жизни	1	1
678	проникнуть в	1	1
679	а только	3	1
680	из нас	1	1
681	как оно	2	1
682	можно было	2	1
683	на практике	1	1
684	самого начала	1	1
685	еще один	3	1
686	не случайно	1	1
687	точке зрения	1	1
688	же самое	2	1
689	этом у	1	1
690	состоит в	23	1
691	того кто	1	1
692	и той	1	1
693	не по	4	1
694	вскоре однако	1	1
695	задний план	1	1
696	числе и	1	1
697	истории и	1	1
698	к детской	1	1
699	поездки в	2	1
700	и еще	1	1
701	пока еще	6	1
702	быть не	4	1
703	к первому	1	1
704	вопрос в	1	1
705	и глубоко	1	1
706	он в	1	1
707	на наших	1	1
708	психический процесс	1	1
709	нее и	1	1
710	заметить что	2	1
711	не совсем	1	1
712	своей стороны	1	1
713	ее не	2	1
714	впечатление которое	1	1
715	однако в	9	1
716	и самого	1	1
717	к моменту	1	1
718	отличаться от	2	1
719	глаза и	1	1
720	и благодаря	1	1
721	наряду с	2	1
722	и следует	1	1
723	перед глазами	1	1
724	при котором	1	1
725	могут быть	5	1
726	мы бы	1	1
727	на второй	1	1
728	хотя мы	1	1
729	данного произведения	1	1
730	бы он	1	1
731	а сам	1	1
732	благодаря этому	1	1
733	только по	1	1
734	этом и	2	1
735	в общих	1	1
736	быть в	1	1
737	но именно	3	1
738	до конца	5	1
739	слова что	1	1
740	к которому	2	1
741	с нею	1	1
742	стороны жизни	1	1
743	не замечать	1	1
744	в голову	2	1
745	поскольку все	1	1
746	и вдруг	1	1
747	ряде случаев	1	1
748	он может	1	1
749	из трех	2	1
750	нем не	1	1
751	что без	1	1
752	мире не	1	1
753	в современной	7	1
754	не ее	1	1
755	с его	1	1
756	сказать что	1	1
757	он сам	1	1
758	этого нельзя	1	1
759	себя с	1	1
760	а как	1	1
761	при встрече	1	1
762	это сделать	1	1
763	к точке	2	1
764	только с	1	1
765	к этим	1	1
766	иначе как	1	1
767	не мог	2	1
768	общих чертах	1	1
769	а не	31	1
770	если она	2	1
771	и оно	2	1
772	же он	1	1
773	роль этого	1	1
774	в культуре	2	1
775	имея возможности	1	1
776	каждого из	2	1
777	крайней мере	1	1
778	пути к	1	1
779	здесь не	2	1
780	применительно к	2	1
781	и тем	3	1
782	ничего не	3	1
783	чем однако	1	1
784	и очевидной	1	1
785	они были	1	1
786	иное как	1	1
787	вся эта	1	1
788	не к	4	1
789	его можно	1	1
790	судя по	3	1
