N	2gram	Propp_Russ	Literetu
695	во времена	1	1
696	на того	1	1
697	порвали с	1	1
698	за руки	7	1
699	если эта	1	1
700	от них	4	1
701	тут же	2	1
702	даже у	1	1
703	песня была	3	1
704	в отдельных	1	1
705	нас на	1	1
706	но так	1	1
707	этом же	1	1
708	или под	2	1
709	представить себе	1	1
710	все мы	1	1
711	ее и	2	1
712	влияние на	3	1
713	платком и	1	1
714	в жертву	1	1
715	не противоречит	2	1
716	к их	1	1
717	как другие	1	1
718	землю и	2	1
719	после того	3	1
720	здесь нет	1	1
721	три направления	1	1
722	несколько иной	1	1
723	земли в	1	1
724	в состоянии	1	1
725	жизни человека	1	1
726	мы знаем	1	1
727	и руки	1	1
728	а далее	1	1
729	поклонение волхвов	1	1
730	случае идет	1	1
731	в образе	3	1
732	мое с	1	1
733	находится в	3	1
734	утверждает что	1	1
735	что при	2	1
736	совершается на	1	1
737	г было	1	1
738	братьев и	1	1
739	многих отношениях	2	1
740	в канун	1	1
741	обычно служит	1	1
742	и развитие	1	1
743	на крайне	1	1
744	не путем	1	1
745	не была	1	1
746	чем в	4	1
747	здесь вполне	1	1
748	из работ	1	1
749	их но	1	1
750	или не	2	1
751	чем ближе	1	1
752	в которой	3	1
753	не о	1	1
754	исходит от	1	1
755	борьбы с	2	1
756	ее от	2	1
757	производилось в	1	1
758	как по	2	1
759	прежде чем	1	1
760	но совершенно	1	1
761	будто бы	10	1
762	эти песни	4	1
763	но для	1	1
764	поэзию не	1	1
765	и своего	1	1
766	по улице	1	1
767	сходство с	3	1
768	в среде	1	1
769	на пути	1	1
770	по мере	1	1
771	на поверхности	1	1
772	между ними	1	1
773	дома в	2	1
774	также в	5	1
775	ему же	1	1
776	и иные	1	1
777	на земле	3	1
778	большинстве случаев	2	1
779	между прочим	2	1
780	рядом с	1	1
781	идет по	1	1
782	в употреблении	1	1
783	от этого	2	1
784	и жизнь	1	1
785	должно было	5	1
786	тех сил	1	1
787	в свете	5	1
788	в двух	2	1
789	в первые	2	1
790	связанным с	1	1
791	на свободу	1	1
792	полагает что	8	1
793	в эту	3	1
794	в других	24	1
795	день ивана	2	1
796	имеет ничего	1	1
797	нами как	1	1
798	какой степени	3	1
799	мы можем	2	1
800	весь мир	1	1
801	и цель	1	1
802	составных частей	1	1
803	я тебе	1	1
804	мы уже	2	1
805	а мы	2	1
806	все остальные	1	1
807	момента когда	1	1
808	и дети	1	1
809	том где	1	1
810	в песне	4	1
811	человека который	1	1
812	есть когда	1	1
813	говорить об	1	1
814	из ряда	2	1
815	в развитии	1	1
816	в детстве	1	1
817	необходимо было	1	1
818	год и	6	1
819	возвращаясь к	1	1
820	не были	2	1
821	подошедши к	1	1
822	кто же	1	1
823	на глазах	1	1
824	в приведенном	1	1
825	себя на	1	1
826	даже не	1	1
827	была не	1	1
828	также не	2	1
829	для наших	2	1
830	например по	2	1
831	с таким	2	1
832	когда мы	2	1
833	в землю	8	1
834	которого в	2	1
835	особый интерес	1	1
836	многих случаях	4	1
837	в последний	5	1
838	ту сторону	1	1
839	как когда-то	1	1
840	месту и	1	1
841	показать что	1	1
842	только с	2	1
843	каждый человек	1	1
844	их к	2	1
845	это наблюдение	1	1
846	когда они	2	1
847	в гроб	2	1
848	приводят к	1	1
849	поле и	6	1
850	но ее	1	1
851	ее а	1	1
852	это ни	1	1
853	показал в	1	1
854	и была	1	1
855	ней в	2	1
856	что без	1	1
857	чаще всего	3	1
858	для людей	1	1
859	с малым	1	1
860	на место	2	1
861	с живыми	1	1
862	шел в	1	1
863	факты как	1	1
864	независимо от	3	1
865	всех этих	2	1
866	что этот	4	1
867	в один	2	1
868	в одну	1	1
869	и особенно	1	1
870	он должен	2	1
871	одного и	1	1
872	что до	1	1
873	мы видели	3	1
874	к сожалению	1	1
875	первую очередь	1	1
876	он уже	1	1
877	этом ряду	1	1
878	и здесь	3	1
879	носить и	1	1
880	в ночи	1	1
881	многообразие этих	1	1
882	другие в	2	1
883	его уже	1	1
884	них в	2	1
885	якобы не	1	1
886	сила эта	1	1
887	в основном	4	1
888	с и	1	1
889	представлял собой	1	1
890	его с	4	1
891	слово для	1	1
892	образа и	1	1
893	а сами	2	1
894	и менее	1	1
895	говорит и	1	1
896	представляют собой	13	1
897	что это	4	1
898	свою судьбу	1	1
899	и этого	1	1
900	явление в	1	1
901	истории в	1	1
902	его на	1	1
903	этот не	2	1
904	русского народа	3	1
905	разного рода	1	1
906	от общего	1	1
907	в работах	1	1
908	однако он	1	1
909	с руками	1	1
910	него нет	1	1
911	за это	1	1
912	не могут	1	1
913	ниже в	3	1
914	должен был	3	1
915	ряде других	1	1
916	собой и	2	1
917	в огонь	1	1
918	иметь в	2	1
919	смысла и	1	1
920	ни одно	2	1
921	как при	1	1
922	в различные	2	1
923	встречаются и	2	1
924	и действительно	2	1
925	все на	1	1
926	земли их	1	1
927	на колени	2	1
928	это время	4	1
929	и так	2	1
930	стояли у	1	1
931	между и	1	1
932	что иное	3	1
933	быть назван	1	1
934	в которых	8	1
935	о котором	1	1
936	каждого кто	1	1
937	зависимости от	1	1
938	нашей стране	1	1
939	на берегу	1	1
940	к другому	2	1
941	это самое	1	1
942	случае как	1	1
943	они по	1	1
944	только одно	2	1
945	тому кто	1	1
946	этого они	1	1
947	в труде	1	1
948	ее на	3	1
949	своих поэтических	1	1
950	этот день	19	1
951	с места	2	1
952	тот кто	2	1
953	что мы	1	1
954	в круг	3	1
955	в слово	1	1
956	из зерна	1	1
957	где есть	2	1
958	совпадает с	1	1
959	в иной	1	1
960	земли и	5	1
961	это все	1	1
962	в послании	1	1
963	по три	1	1
964	времени на	1	1
965	в новой	1	1
966	в середине	4	1
967	те или	1	1
968	советского союза	1	1
969	чтобы она	2	1
970	переходит к	1	1
971	в ночь	3	1
972	россии в	1	1
973	на основании	1	1
974	ее с	2	1
975	он по	1	1
976	целый ряд	1	1
977	благодарности за	1	1
978	борьбу и	1	1
979	ныне и	1	1
980	время между	1	1
981	и находит	1	1
982	он есть	2	1
983	уже никакого	1	1
984	себя от	1	1
985	только часть	2	1
986	что здесь	4	1
987	и там	2	1
988	на две	3	1
989	как некое	1	1
990	ее не	1	1
991	почти целиком	2	1
992	и во	2	1
993	значение имеет	1	1
994	эту теорию	7	1
995	за пределами	2	1
996	в текстах	1	1
997	только при	1	1
998	с дерева	1	1
999	в ряд	2	1
1000	на этот	3	1
1001	к изучению	1	1
1002	обращение к	1	1
1003	здесь и	1	1
1004	над землей	1	1
1005	только потому	1	1
1006	же он	1	1
1007	интерес не	1	1
1008	с того	1	1
1009	эту силу	5	1
1010	обратиться к	1	1
1011	смерти как	1	1
1012	бою и	1	1
1013	не знают	1	1
1014	форма все	1	1
1015	будет происходить	1	1
1016	или просто	2	1
1017	смерть и	1	1
1018	общей теории	1	1
1019	в цель	1	1
1020	пока что	1	1
1021	многих других	1	1
1022	иной характер	1	1
1023	сам он	1	1
1024	того как	6	1
1025	нас не	3	1
1026	уверен что	1	1
1027	однако как	3	1
1028	на что	2	1
1029	или с	4	1
1030	этот был	1	1
1031	в кремле	1	1
1032	все это	12	1
1033	куда-нибудь в	1	1
1034	в первую	1	1
1035	вытекающее из	1	1
1036	силу и	2	1
1037	слова а	1	1
1038	когда же	1	1
1039	в виде	10	1
1040	в великой	1	1
1041	в таких	3	1
1042	или в	7	1
1043	жизни это	1	1
1044	сам но	1	1
1045	них будет	1	1
1046	который как	1	1
1047	но эта	2	1
1048	эта песня	3	1
1049	вообще не	1	1
1050	более что	1	1
1051	в стороне	2	1
1052	случае не	1	1
1053	это образ	1	1
1054	а некоторая	1	1
1055	или даже	3	1
1056	говорят о	1	1
1057	предшествующие ему	1	1
1058	иной раз	1	1
1059	основана на	2	1
1060	на все	3	1
1061	света и	1	1
1062	по его	2	1
1063	направления в	2	1
1064	и пели	2	1
1065	с другом	1	1
1066	или менее	1	1
1067	в одной	1	1
1068	не все	4	1
1069	в меру	1	1
1070	бы ни	1	1
1071	ему не	1	1
1072	активности и	1	1
1073	прямо на	1	1
1074	как средство	1	1
1075	не единственное	1	1
1076	что эти	2	1
1077	и свои	2	1
1078	слова как	1	1
1079	когда по	1	1
1080	и эти	1	1
1081	что от	4	1
1082	чтобы как	1	1
1083	же от	1	1
1084	прибегают к	1	1
1085	в самых	1	1
1086	две стороны	1	1
1087	были для	1	1
1088	огонь и	1	1
1089	в городах	2	1
1090	к материалу	2	1
1091	на поле	3	1
1092	плачут и	1	1
1093	пишет об	1	1
1094	в новый	6	1
1095	это приводит	2	1
1096	быть и	3	1
1097	к тем	4	1
1098	и их	4	1
1099	говоря о	1	1
1100	не следует	1	1
1101	и и	2	1
1102	человека с	1	1
1103	и преимущественно	1	1
1104	на всю	1	1
1105	этому поводу	3	1
1106	первые два	1	1
1107	и всех	2	1
1108	ставит себе	1	1
1109	силу на	2	1
1110	поздний и	1	1
1111	значение слова	1	1
1112	люди не	1	1
1113	существу в	1	1
1114	именно тогда	1	1
1115	к ней	4	1
1116	по всей	4	1
1117	на путь	1	1
1118	года не	1	1
1119	в четвертом	1	1
1120	того времени	1	1
1121	дня и	1	1
1122	это означает	1	1
1123	же можно	1	1
1124	исторически и	1	1
1125	имеет то	1	1
1126	был уверен	1	1
1127	к новому	2	1
1128	можно будет	3	1
1129	особенно интересны	1	1
1130	идет не	1	1
1131	в период	2	1
1132	здесь все	1	1
1133	первым из	1	1
1134	даже к	1	1
1135	там на	1	1
1136	для современного	1	1
1137	этой силы	2	1
1138	укладом жизни	1	1
1139	и песни	3	1
1140	да на	2	1
1141	иное как	3	1
1142	праздников и	4	1
