N	2gram	Savitsky_P	DiskursI
142	и есть	2	4
143	не более	1	4
144	традиции в	1	4
145	более чем	2	4
146	тот или	1	4
147	мире в	1	4
148	есть в	2	4
149	в какой	1	4
150	в полной	2	4
151	частности в	1	4
152	может и	2	4
153	в е	2	4
154	является в	2	3
155	в момент	1	3
156	более или	1	3
157	к другим	1	3
158	в одно	1	3
159	с этим	2	3
160	вопрос о	1	3
161	различия между	1	3
162	как на	2	3
163	в жертву	1	3
164	и притом	1	3
165	в которой	1	3
166	к чему	2	3
167	из важнейших	2	3
168	на себя	1	3
169	в области	11	3
170	но как	1	3
171	выступает в	1	3
172	одно и	1	3
173	и что	1	3
174	не просто	1	3
175	недостаточно для	1	3
176	в иных	1	3
177	было бы	6	3
178	и по	1	3
179	них в	1	3
180	исторического бытия	1	3
181	живет в	1	3
182	должна быть	1	3
183	но также	4	3
184	оказывается в	1	3
185	заключается в	3	3
186	отношения к	2	3
187	вместе с	1	3
188	не имеет	1	3
189	да и	2	3
190	о котором	1	3
191	и более	1	3
192	который не	1	3
193	на основании	1	3
194	тем же	1	3
195	может оказаться	1	3
196	к миру	1	3
197	всяком случае	1	3
198	в сочетании	2	3
199	они не	1	3
200	том числе	2	3
201	уже в	1	3
202	мы не	3	3
203	в формах	1	3
204	место в	1	3
205	в сферу	1	3
206	и без	3	3
207	ли не	1	3
208	или менее	1	3
209	особенно в	1	3
210	бы это	1	3
211	она не	1	3
212	хотя бы	8	3
213	в начале	2	3
214	в большинстве	1	3
215	рассматривать как	1	3
216	числе и	1	3
217	для этого	1	3
218	мира с	2	3
219	что было	1	2
220	мы можем	1	2
221	в душе	1	2
222	в напряжении	1	2
223	именно о	1	2
224	еще более	2	2
225	мысли и	1	2
226	те же	1	2
227	и охватывает	1	2
228	следует понимать	1	2
229	и с	2	2
230	своем значении	2	2
231	в собственном	1	2
232	для того	3	2
233	которых не	1	2
234	мы все	1	2
235	в различных	1	2
236	или иным	1	2
237	этих двух	1	2
238	при сохранении	1	2
239	должно быть	2	2
240	время в	2	2
241	начала и	2	2
242	но для	1	2
243	же как	1	2
244	большинстве случаев	1	2
245	не нужно	2	2
246	в каждом	1	2
247	и быть	1	2
248	при отсутствии	1	2
249	в современной	1	2
250	в историческом	1	2
251	теми же	1	2
252	в смене	1	2
253	она оказывается	1	2
254	развития в	1	2
255	вопросом о	1	2
256	как возможность	1	2
257	в основном	1	2
258	как к	1	2
259	и при	1	2
260	в отношении	10	2
261	сами по	3	2
262	если бы	4	2
263	в россии	3	2
264	в xix	2	2
265	и и	2	2
266	на основе	1	2
267	каждый в	2	2
268	и теперь	1	2
269	и вся	1	2
270	отношении к	5	2
271	вслед за	3	2
272	каждый из	1	2
273	было и	1	2
274	подошел к	2	2
275	к предмету	1	2
276	в и	1	2
277	друг друга	1	2
278	во времени	1	2
279	одних и	2	2
280	но на	1	2
281	может не	1	2
282	все это	2	2
283	что с	1	2
284	в г	1	2
285	случаях когда	1	2
286	на фоне	1	2
287	тем более	2	2
288	связаны с	1	2
289	и тех	1	2
290	ей в	3	2
291	этом мире	1	2
292	мы должны	4	2
293	заключает в	2	2
294	только то	1	2
295	человека с	1	2
296	на то	1	2
297	и только	1	2
298	которая и	1	2
299	есть не	2	2
300	и другие	1	1
301	к сожалению	1	1
302	что если	1	1
303	мы и	1	1
304	друга на	1	1
305	к этой	1	1
306	и конца	1	1
307	в применении	1	1
308	помимо воли	1	1
309	явственно различимы	2	1
310	например с	1	1
311	как она	1	1
312	мира они	1	1
313	к историческому	1	1
314	это такое	1	1
315	историческом и	2	1
316	также отчасти	1	1
317	из нее	1	1
318	сущности не	1	1
319	к более	1	1
320	исходить из	1	1
321	отношением к	1	1
322	и другим	1	1
323	с тем	3	1
324	к небу	1	1
325	наш взгляд	1	1
326	внимание к	1	1
327	в природе	1	1
328	в это	1	1
329	своего существования	1	1
330	культурной традиции	1	1
331	культуры в	2	1
332	вне рамок	1	1
333	поскольку мы	1	1
334	открытым для	1	1
335	вечности и	1	1
336	тем в	1	1
337	осуществляется в	2	1
338	применении к	1	1
339	он был	1	1
340	она являет	1	1
341	должна была	1	1
342	человеческого счастья	2	1
343	не об	1	1
344	на пути	4	1
345	ее по	1	1
346	в смысле	6	1
347	тому на	1	1
348	так же	1	1
349	всего что	1	1
350	утверждается что	1	1
351	и еще	1	1
352	в а	2	1
353	ней и	1	1
354	наряду с	3	1
355	находится в	1	1
356	отношения в	1	1
357	к состояниям	1	1
358	и недостаточно	1	1
359	русской литературы	1	1
360	без которой	1	1
361	в сфере	2	1
362	были в	1	1
363	и творческих	1	1
364	представить себе	1	1
365	и мы	2	1
366	и леса	1	1
367	себе личности	1	1
368	политического и	1	1
369	подчеркнуть что	1	1
370	в последующие	1	1
371	xix века	6	1
372	жизни она	1	1
373	дает толчок	1	1
374	есть с	1	1
375	иными словами	1	1
376	можно рассматривать	1	1
377	сознания к	1	1
378	входят в	1	1
379	является и	1	1
380	именно здесь	1	1
381	что его	1	1
382	которое в	2	1
383	некоторые стихотворения	1	1
384	или иная	1	1
385	религиозные и	1	1
386	и именно	1	1
387	действительный и	1	1
388	они как	1	1
389	во мраке	1	1
390	первоначально и	1	1
391	составляющих ее	1	1
392	точек зрения	2	1
393	по характеру	2	1
394	в других	1	1
395	но к	2	1
396	и мир	1	1
397	и заблуждения	1	1
398	именно как	2	1
399	к истине	1	1
400	ибо только	1	1
401	не означает	1	1
402	к и	3	1
403	действие в	1	1
404	человеческого бытия	1	1
405	так называемые	2	1
406	в развитии	1	1
407	и смысла	1	1
408	преимущественно к	1	1
409	полноты и	1	1
410	в европейском	1	1
411	этом смысле	1	1
412	которого в	1	1
413	ее собственных	1	1
414	как известно	1	1
415	исключительно в	2	1
416	известном смысле	1	1
417	о русском	1	1
418	но есть	1	1
419	не входят	1	1
420	это ощущение	1	1
421	в некотором	1	1
422	в общем	2	1
423	которые были	1	1
424	там где	1	1
425	надлежит не	1	1
426	более что	1	1
427	приобщается к	1	1
428	этом не	1	1
429	и чем	1	1
430	в философии	1	1
431	к истокам	1	1
432	грань между	1	1
433	были бы	1	1
434	от нее	1	1
435	его нет	1	1
436	и здесь	1	1
437	такова же	1	1
438	в случаях	1	1
439	к сфере	1	1
440	себе те	1	1
441	что это	1	1
442	вот как	1	1
443	не были	1	1
444	никак не	2	1
445	в глубинах	2	1
446	в истоках	1	1
447	и народной	1	1
448	знание в	1	1
449	науки и	1	1
450	для них	2	1
451	связывается с	1	1
452	с ними	3	1
453	и сущности	1	1
454	последующие века	1	1
455	на наш	1	1
456	свидетельство о	1	1
457	для каждого	1	1
458	дело идет	1	1
459	отчасти и	1	1
460	в восприятии	1	1
461	поэзии и	1	1
462	сравнению с	1	1
463	в известном	1	1
464	в каком	1	1
465	выступает как	1	1
466	нет ничего	1	1
467	в проблеме	2	1
468	бы и	1	1
469	имеет два	1	1
470	они ведут	1	1
471	связана с	1	1
472	того чтобы	1	1
473	и если	4	1
474	по сравнению	2	1
475	в отдельности	1	1
476	но о	2	1
477	россии в	5	1
478	в мир	1	1
479	ни были	1	1
480	только это	2	1
481	и наоборот	1	1
482	может ли	2	1
483	и героическую	1	1
484	на две	1	1
485	о соотношении	1	1
486	определенный и	1	1
487	какой она	1	1
488	в определенную	2	1
489	что во	1	1
490	имеет не	2	1
491	тот же	3	1
492	целому ряду	1	1
493	возможность не	1	1
494	каков он	1	1
495	мир в	1	1
496	все еще	1	1
497	к формам	1	1
498	в окружающем	1	1
499	они едины	1	1
500	в определенном	1	1
501	знаем и	1	1
502	многие из	1	1
503	xix веке	2	1
504	для нас	2	1
505	где он	1	1
506	в русскую	2	1
507	и всегда	1	1
508	в ином	1	1
509	в виде	2	1
510	даже знаком	1	1
511	начала в	1	1
512	же в	4	1
513	не одной	1	1
514	помнить что	2	1
515	в позднем	1	1
516	и я	1	1
517	бы мы	1	1
518	в условиях	1	1
519	должен быть	1	1
520	это область	1	1
521	судьбы но	1	1
522	не все	1	1
523	и главное	1	1
524	как учения	1	1
525	тем чем	1	1
526	бытия как	1	1
527	и эти	1	1
528	обратившись к	1	1
529	за то	1	1
530	и других	2	1
531	в народе	1	1
532	усомниться в	1	1
533	вела к	1	1
534	с определенной	1	1
535	св георгия	1	1
536	чем то	1	1
537	существования как	1	1
538	в отношениях	1	1
539	как таковые	1	1
540	казалось бы	1	1
541	к смерти	1	1
542	и иных	1	1
543	и преимущественно	1	1
544	что из	2	1
545	думать что	2	1
546	общекультурное значение	2	1
547	слова но	2	1
548	и особенно	1	1
549	та или	1	1
550	также в	1	1
551	на каждом	1	1
552	являются наиболее	1	1
