N	2gram	Potebnia_M	NovoeSre
408	переход от	3	1
409	в силах	1	1
410	быть только	5	1
411	что не	12	1
412	но все	2	1
413	возможно было	1	1
414	легче чем	1	1
415	тем что	13	1
416	вера в	1	1
417	есть всегда	1	1
418	и во	1	1
419	что сами	1	1
420	но нет	2	1
421	то время	7	1
422	более сложной	1	1
423	возможны только	3	1
424	с большим	1	1
425	мира но	1	1
426	это время	1	1
427	истории но	1	1
428	движение вперед	1	1
429	в зависимость	1	1
430	вообще не	1	1
431	это предполагает	1	1
432	них не	4	1
433	как того	1	1
434	так как	20	1
435	в образе	4	1
436	к которому	1	1
437	в своем	6	1
438	давно уже	4	1
439	я могу	1	1
440	для сознания	5	1
441	как я	1	1
442	эту мысль	1	1
443	к таким	1	1
444	есть по	1	1
445	человечества и	1	1
446	и научной	1	1
447	чего оно	1	1
448	и дух	1	1
449	сих пор	4	1
450	и вполне	2	1
451	что он	8	1
452	их в	3	1
453	в силу	7	1
454	он может	2	1
455	стихии и	1	1
456	большинстве случаев	2	1
457	оно должно	1	1
458	преобладание над	1	1
459	мысли но	3	1
460	которые могут	1	1
461	перестать быть	1	1
462	что мы	16	1
463	и вместе	6	1
464	резкие очертания	1	1
465	есть непосредственное	1	1
466	человеке и	2	1
467	в этих	2	1
468	есть такой	1	1
469	том смысле	6	1
470	но если	2	1
471	которым оно	2	1
472	по себе	26	1
473	только для	3	1
474	не имел	1	1
475	на место	1	1
476	в области	3	1
477	и другая	2	1
478	того и	2	1
479	к новой	1	1
480	в такой	2	1
481	все более	2	1
482	с ним	10	1
483	для другого	1	1
484	должны стать	1	1
485	и только	5	1
486	что само	1	1
487	с образованием	1	1
488	человек не	4	1
489	есть только	9	1
490	от всех	1	1
491	себя все	1	1
492	через них	1	1
493	человеческого духа	1	1
494	всяком случае	3	1
495	и оно	3	1
496	все слова	1	1
497	зависимости от	1	1
498	во время	4	1
499	друг друга	6	1
500	только потому	8	1
501	к вопросу	1	1
502	к своим	1	1
503	в это	2	1
504	того же	5	1
505	в известном	1	1
506	знает что	1	1
507	во времени	2	1
508	в чем	6	1
509	в каком	8	1
510	содержанию а	1	1
511	в какие	2	1
512	и трудно	1	1
513	отказаться от	2	1
514	и его	4	1
515	в эту	4	1
516	что вообще	3	1
517	слова в	7	1
518	одного и	2	1
519	на это	4	1
520	но сама	1	1
521	себе и	1	1
522	понять что	1	1
523	жизни с	1	1
524	лишь по	1	1
525	связано с	2	1
526	от этого	2	1
527	иметь только	1	1
528	к самосознанию	1	1
529	имя но	1	1
530	который и	1	1
531	себя и	4	1
532	к нему	7	1
533	чтобы понять	1	1
534	было быть	1	1
535	очень сложное	1	1
536	ему не	2	1
537	на них	2	1
