N	2gram	Vinokur_Ku	VelikijI
151	истории и	1	2
152	и сам	1	2
153	я думаю	1	2
154	нет и	1	2
155	это мы	1	2
156	и последний	1	2
157	раз навсегда	1	2
158	но не	11	2
159	тем что	9	2
160	и во	1	2
161	могут быть	5	2
162	значения и	1	2
163	не имел	1	2
164	с тем	5	2
165	давно уже	2	2
166	и т	62	2
167	к нам	1	2
168	одна из	1	2
169	его к	5	2
170	не могут	5	2
171	т д	21	2
172	да и	5	2
173	и новые	1	2
174	есть уже	1	2
175	том что	30	2
176	когда в	4	2
177	для человека	1	2
178	в себя	2	2
179	что их	2	2
180	уже не	13	2
181	вопросе о	1	2
182	я говорю	1	2
183	я был	1	1
184	своим предметом	1	1
185	в новом	1	1
186	с которыми	1	1
187	в самом	20	1
188	во всем	1	1
189	бы то	1	1
190	ли они	1	1
191	перестает быть	1	1
192	могли бы	4	1
193	связь с	1	1
194	и другие	1	1
195	так ли	2	1
196	и стало	1	1
197	а потому	6	1
198	но как	2	1
199	и самое	1	1
200	если оно	1	1
201	что очень	1	1
202	что оно	6	1
203	для нашего	1	1
204	заботиться о	1	1
205	любви и	1	1
206	человеческой жизни	1	1
207	речь идет	4	1
208	мы скажем	2	1
209	он говорит	1	1
210	будто бы	3	1
211	и на	8	1
212	ничем не	1	1
213	он дал	1	1
214	она и	1	1
215	вопрос о	11	1
216	человеку не	1	1
217	о духе	1	1
218	на этом	4	1
219	же и	4	1
220	может быть	25	1
221	они не	4	1
222	что нет	2	1
223	после того	3	1
224	между собою	3	1
225	не имеют	3	1
226	и было	3	1
227	раз и	1	1
228	свое место	2	1
229	и сделали	2	1
230	если в	2	1
231	для успокоения	1	1
232	указать на	5	1
233	того как	6	1
234	эта не	3	1
235	это как	2	1
236	которая в	1	1
237	слово это	11	1
238	и уж	1	1
239	мы увидим	3	1
240	и вообще	1	1
241	всего можно	1	1
242	в руки	1	1
243	в роли	1	1
244	и вот	4	1
245	она не	1	1
246	уже в	5	1
247	конечно ни	1	1
248	задача которая	1	1
249	ли так	1	1
250	в состоянии	2	1
251	для себя	1	1
252	и два	1	1
253	у них	1	1
254	с этой	4	1
255	то же	12	1
256	и если	4	1
257	для всякого	1	1
258	теперь в	1	1
259	не имею	1	1
260	только мы	1	1
261	по сравнению	3	1
262	то ни	2	1
263	для того	23	1
264	iv в	1	1
265	это только	5	1
266	нельзя не	1	1
267	освободиться от	1	1
268	именем и	2	1
269	не для	2	1
270	эта идея	1	1
271	у самого	1	1
272	и своим	1	1
273	этом пути	1	1
274	ничего кроме	1	1
275	думаю что	4	1
276	что это	11	1
277	и новой	1	1
278	это значит	1	1
279	не всегда	4	1
280	в разных	2	1
281	о чем	2	1
282	нельзя более	2	1
283	с такой	1	1
284	в ее	2	1
285	и тем	7	1
286	и уже	2	1
287	если б	2	1
288	говорит о	1	1
289	как это	6	1
290	в утверждении	1	1
291	но может	1	1
292	истории в	1	1
293	мы в	3	1
294	составные части	1	1
295	свой предмет	2	1
296	в которую	1	1
297	что люди	1	1
298	есть и	1	1
299	слова не	2	1
300	в одном	4	1
301	же что	1	1
302	у нас	19	1
303	нового времени	1	1
304	о своем	1	1
305	в этой	8	1
306	он за	1	1
307	есть продукт	2	1
308	потребность в	3	1
309	это слово	7	1
310	в результате	8	1
311	говорит что	1	1
312	в виду	7	1
313	другой стороны	12	1
314	единого в	1	1
315	в день	2	1
316	слова с	2	1
317	основной вопрос	1	1
318	я не	5	1
319	против того	1	1
320	но что	3	1
321	как можно	2	1
322	основана на	1	1
323	уже и	3	1
324	в русском	14	1
325	у него	3	1
326	по словам	1	1
327	из нас	1	1
328	в новых	1	1
329	так же	8	1
330	в виде	1	1
331	тогда как	2	1
332	словах как	2	1
333	любви к	2	1
334	не был	2	1
335	их не	1	1
336	но с	2	1
337	в своих	2	1
338	с отвращением	1	1
339	всего что	2	1
340	о возможности	2	1
341	и остается	1	1
342	с другой	14	1
343	конечно в	1	1
344	так говорят	1	1
345	в которой	7	1
346	но все	5	1
347	и идеи	1	1
348	вот что	1	1
349	ее от	1	1
350	я в	2	1
351	и с	11	1
352	наших дней	1	1
353	к ним	2	1
354	жизнь в	2	1
355	и говорит	2	1
356	и осмыслить	1	1
357	в лице	1	1
358	способ выражения	1	1
359	и опять	1	1
360	каким образом	1	1
361	отношение к	2	1
362	основанное на	1	1
363	которого они	1	1
364	то и	4	1
365	или даже	2	1
366	но вот	3	1
367	ее но	1	1
368	не надо	4	1
369	он так	1	1
370	него не	1	1
371	лишь как	3	1
372	дело к	1	1
373	еще с	1	1
374	как мы	2	1
375	ведет к	1	1
376	когда нужно	1	1
377	имеет своим	1	1
378	но нет	1	1
379	лишь к	2	1
380	забыли о	1	1
381	и своих	1	1
382	в процессе	1	1
383	но прежде	1	1
384	нам право	1	1
385	только свое	1	1
386	смысле и	2	1
387	сущности и	1	1
388	в своем	4	1
389	присутствует в	1	1
390	действии и	1	1
391	был в	2	1
392	еще и	7	1
393	к жизни	2	1
394	так хорошо	1	1
395	и от	2	1
396	нам и	1	1
397	за которым	1	1
398	лишь на	1	1
399	тем чтобы	1	1
400	быть может	1	1
401	думать о	1	1
402	мы будем	1	1
403	как она	1	1
404	ничего не	6	1
405	свое и	1	1
406	равно не	1	1
407	от слова	3	1
408	с ними	6	1
409	тем если	1	1
410	так часто	1	1
411	всегда в	2	1
412	и именно	3	1
413	в сознании	1	1
414	несравненно более	1	1
415	по крайней	11	1
416	для человеческого	1	1
417	в атмосфере	2	1
418	и так	1	1
419	вместе с	8	1
420	все же	17	1
421	в одно	2	1
422	но я	1	1
423	и вместе	1	1
424	если они	1	1
425	как в	6	1
426	этого слова	8	1
427	в которых	8	1
428	жизни в	1	1
429	находится в	2	1
430	значение в	1	1
431	по законам	1	1
432	роль в	6	1
433	можно ли	6	1
434	как возможна	1	1
435	в словах	1	1
436	себя и	1	1
437	а его	1	1
438	и по	4	1
439	менее всего	1	1
440	к этому	4	1
441	в их	3	1
442	со своей	1	1
443	с которым	1	1
444	который был	1	1
445	какие бы	1	1
446	но источник	1	1
447	который я	1	1
448	это в	1	1
449	и свободу	1	1
450	так легко	1	1
451	ними как	1	1
452	у таких	1	1
453	в двух	1	1
454	сравнению с	1	1
455	может и	2	1
456	для чего	1	1
457	его есть	1	1
458	конце концов	3	1
459	зависимости от	9	1
460	даже что	1	1
461	поскольку он	1	1
462	хотел бы	1	1
463	которого не	2	1
464	в известном	2	1
465	к ее	1	1
466	таким же	1	1
467	себе и	3	1
468	это кто	1	1
469	не просто	7	1
470	он был	1	1
471	не случайно	7	1
472	искусстве но	1	1
473	в целом	5	1
474	говорим мы	1	1
475	крайней мере	11	1
476	теперь и	1	1
477	вовсе не	18	1
478	ничего нельзя	1	1
479	тогда нет	1	1
480	что на	2	1
481	в головы	2	1
482	их для	1	1
483	есть не	2	1
484	в искусстве	2	1
485	д и	3	1
486	это лишь	1	1
487	бы в	8	1
488	себя но	1	1
489	к нему	1	1
490	от них	1	1
491	свое особое	1	1
