N	2gram	Voloshinov	VelikijI
166	он говорит	2	1
167	будто бы	1	1
168	и на	7	1
169	ничем не	2	1
170	вопрос о	2	1
171	без такого	1	1
172	оно из	1	1
173	на этом	1	1
174	же и	1	1
175	может быть	13	1
176	видим что	2	1
177	себя только	1	1
178	не имеют	1	1
179	раз и	1	1
180	человека не	4	1
181	если в	1	1
182	слова для	1	1
183	указать на	1	1
184	того как	1	1
185	это как	1	1
186	слово это	2	1
187	и уж	1	1
188	мы увидим	5	1
189	и вообще	2	1
190	человечества с	1	1
191	общественной жизни	10	1
192	личность не	1	1
193	в руки	1	1
194	и вот	3	1
195	его с	1	1
196	она не	1	1
197	уже в	5	1
198	всякого смысла	1	1
199	ненависть к	1	1
200	нас тогда	1	1
201	которое может	3	1
202	в состоянии	1	1
203	у них	3	1
204	с этой	1	1
205	то же	16	1
206	и если	1	1
207	слово только	1	1
208	для всякого	2	1
209	теперь в	3	1
210	только мы	1	1
211	по сравнению	1	1
212	для того	9	1
213	и менее	1	1
214	это только	1	1
215	людей но	1	1
216	законам природы	1	1
217	и своим	1	1
218	но от	1	1
219	с каким-то	1	1
220	на два	2	1
221	что это	4	1
222	более всего	1	1
223	не всегда	2	1
224	в разных	3	1
225	с внутренним	1	1
226	о чем	2	1
227	в ее	3	1
228	не нужны	1	1
229	и тем	7	1
230	и уже	3	1
231	души и	1	1
232	сознании и	1	1
233	возможна лишь	1	1
234	если б	6	1
235	говорит о	1	1
236	нашего времени	1	1
237	как это	5	1
238	этот мир	1	1
239	искать в	1	1
240	мы в	3	1
241	мы все	1	1
242	что человек	1	1
243	и всегда	1	1
244	слова не	2	1
245	в одном	4	1
246	у нас	4	1
247	людей это	1	1
248	о своем	3	1
249	в этой	6	1
250	других людей	1	1
251	есть продукт	1	1
252	это слово	2	1
253	в результате	1	1
254	в виду	3	1
255	другой стороны	1	1
256	нет никакого	1	1
257	я не	1	1
258	и вновь	1	1
259	но что	3	1
260	как можно	1	1
261	человека к	1	1
262	у него	1	1
263	существует и	2	1
264	не существует	4	1
265	так же	4	1
266	в виде	1	1
267	что бы	1	1
268	словах как	1	1
269	не был	1	1
270	в будущем	3	1
271	в своих	2	1
272	является и	1	1
273	и третье	1	1
274	в противоположность	1	1
275	в общественной	5	1
276	с другой	1	1
277	на разных	1	1
278	конечно в	1	1
279	в которой	7	1
280	но все	5	1
281	вот что	1	1
282	и с	5	1
283	наших дней	1	1
284	к ним	1	1
285	сознания не	3	1
286	каким образом	1	1
287	отношение к	2	1
288	наконец не	1	1
289	на путь	1	1
290	или даже	2	1
291	но вот	3	1
292	ее но	1	1
293	не надо	1	1
294	он так	1	1
295	да это	1	1
296	и начало	1	1
297	как мы	10	1
298	из всего	2	1
299	но нет	1	1
300	и до	1	1
301	в процессе	6	1
302	у человека	2	1
303	на него	4	1
304	в своем	1	1
305	это ни	1	1
306	неба и	1	1
307	еще и	2	1
308	будем говорить	3	1
309	и от	7	1
310	быть может	3	1
311	опять-таки не	1	1
312	будущем когда	1	1
313	мы будем	6	1
314	ничего не	8	1
315	весь мир	1	1
316	существует лишь	1	1
317	с ними	1	1
318	к миру	2	1
319	и именно	1	1
320	нет сознания	1	1
321	в сознании	5	1
322	несравненно более	1	1
323	по крайней	1	1
324	человек с	2	1
325	о которой	1	1
326	природы и	2	1
327	что тот	1	1
328	и так	6	1
329	вместе с	5	1
330	все же	9	1
331	в одно	1	1
332	своей и	1	1
333	как в	3	1
334	этого слова	3	1
335	в которых	2	1
336	роль в	3	1
337	сделать его	2	1
338	в словах	4	1
339	и по	1	1
340	и эта	3	1
341	к этому	2	1
342	в их	2	1
343	со своей	1	1
344	миру и	2	1
345	и внешней	3	1
346	ли он	2	1
347	не сумеет	1	1
348	не будут	2	1
349	сравнению с	1	1
350	мира и	1	1
351	может и	1	1
352	конце концов	3	1
353	зависимости от	7	1
354	даже что	1	1
355	бытия в	2	1
356	что личность	1	1
357	таким же	2	1
358	себе и	2	1
359	не просто	4	1
360	к полному	2	1
361	в целом	4	1
362	не сумеют	1	1
363	крайней мере	1	1
364	вовсе не	2	1
365	жизни с	1	1
366	есть не	2	1
367	людям к	1	1
368	и нет	2	1
369	бы в	6	1
370	времени по	1	1
371	к нему	2	1
372	свое особое	1	1
373	которой так	1	1
