N	3gram	Vinokur_Vv	VeschiIm
258	не есть и	1	1
259	однако остановиться на	1	1
260	одном и том	1	1
261	не то что	1	1
262	д все это	1	1
263	на эту тему	1	1
264	еще и потому	1	1
265	и здесь как	1	1
266	виде потому что	1	1
267	вовсе не в	2	1
268	а также и	2	1
269	может быть и	2	1
