N	2gram	Kanaev_Sov	VerxiiNi
133	для каждого	1	2
134	живых существ	1	2
135	при таком	3	2
136	приводит к	2	2
137	отличается от	3	2
138	по своим	1	2
139	ничего общего	1	2
140	в эту	1	2
141	еще не	3	2
142	во всех	1	2
143	мы можем	6	2
144	ли это	1	2
145	всегда останется	1	2
146	на друга	1	2
147	то ни	2	2
148	в свою	2	2
149	раз она	1	2
150	быть и	2	2
151	стадии развития	1	2
152	заключает в	1	2
153	и это	1	2
154	в начале	1	2
155	конечно не	1	2
156	же время	1	2
157	самого начала	3	2
158	друг на	1	2
159	же самое	2	2
160	может ли	1	2
161	он в	3	2
162	сказать что	1	2
163	которые в	1	2
164	к которому	1	2
165	или иной	2	2
166	жизни и	4	2
167	но если	1	2
168	должны признать	1	2
169	с его	1	2
170	для этих	1	2
171	без помощи	1	2
172	и все	3	2
173	и из	1	2
174	и особенно	1	2
175	тот же	2	2
176	и наконец	5	2
177	выбор между	1	2
178	той или	1	2
179	мы видели	4	2
180	к началу	1	1
181	и некоторой	1	1
182	этого и	1	1
183	природы и	1	1
184	что один	1	1
185	в свое	1	1
186	а потому	1	1
187	во втором	1	1
188	видели что	3	1
189	то они	1	1
190	мы видим	2	1
191	что с	1	1
192	свободно выбирать	1	1
193	можно говорить	1	1
194	та же	1	1
195	значение в	2	1
196	свою очередь	2	1
197	она и	1	1
198	нельзя сказать	1	1
199	они не	1	1
200	может не	3	1
201	жизни вот	1	1
202	в вопросах	1	1
203	этой области	1	1
204	данном случае	1	1
205	что такое	2	1
206	живое существо	1	1
207	должно быть	1	1
208	мы получили	1	1
209	теперь же	2	1
210	его с	1	1
211	при нормальном	4	1
212	это не	4	1
213	мы знаем	2	1
214	именно к	1	1
215	и другую	1	1
216	но такая	1	1
217	идет о	1	1
218	верхняя часть	1	1
219	которых он	1	1
220	с ним	1	1
221	она уже	1	1
222	это уже	1	1
223	кроме того	1	1
224	сам может	1	1
225	но тем	1	1
226	такое же	1	1
227	выбор и	1	1
228	части одной	1	1
229	у нас	3	1
230	на которой	1	1
231	это и	1	1
232	ни в	1	1
233	существенно отличается	1	1
234	этом направлении	1	1
235	говорить что	1	1
236	не является	1	1
237	весь мир	1	1
238	у него	2	1
239	в данном	1	1
240	его в	1	1
241	чем в	1	1
242	в будущем	1	1
243	в своих	1	1
244	предполагается что	1	1
245	сами по	1	1
246	не более	1	1
247	самом деле	2	1
248	в первом	3	1
249	они относятся	1	1
250	к чему	2	1
251	их и	1	1
252	что его	1	1
253	который как	2	1
254	но эта	1	1
255	в корне	1	1
256	измененном виде	1	1
257	появляются новые	1	1
258	как и	6	1
259	этот раз	1	1
260	их в	4	1
261	состоит из	3	1
262	на эту	1	1
263	на этом	2	1
264	так сказать	2	1
265	и могут	1	1
266	в такой	1	1
267	эту сторону	1	1
268	один и	1	1
269	от старого	1	1
270	том как	1	1
271	и следовательно	1	1
272	вследствие этого	1	1
273	роль в	2	1
274	он сам	1	1
275	на его	2	1
276	при которых	1	1
277	более как	1	1
278	и таких	1	1
279	из одного	2	1
280	нет в	1	1
281	в ином	1	1
282	действительно если	1	1
283	мере в	1	1
284	на них	1	1
285	с этим	2	1
286	все они	1	1
287	но этим	1	1
288	виде мы	1	1
289	совершенно не	2	1
290	все более	1	1
291	человека в	1	1
292	там где	1	1
293	на этой	3	1
294	и более	1	1
295	период развития	2	1
296	и пр	2	1
297	отличие от	2	1
298	между собой	3	1
299	действия в	1	1
300	видим что	1	1
301	в очень	1	1
302	мы уже	1	1
303	это как	1	1
304	чтобы он	1	1
305	ничто не	1	1
306	мы не	9	1
307	от конца	1	1
308	совсем не	1	1
309	в ней	1	1
310	но это	1	1
311	в деталях	1	1
312	в этот	1	1
313	под ногами	1	1
314	с помощью	4	1
315	есть то	1	1
316	что уже	1	1
317	только на	1	1
318	но они	1	1
319	и их	1	1
320	в которую	2	1
321	не приходится	1	1
322	все те	2	1
323	к одному	1	1
324	кто же	1	1
325	к области	1	1
326	совершенно так	1	1
327	из двух	3	1
328	факт что	1	1
329	по отношению	1	1
330	и до	1	1
331	более и	1	1
332	тот факт	1	1
333	этот вопрос	1	1
334	конечно нет	1	1
335	себе в	1	1
336	без труда	1	1
337	природы но	1	1
338	терминологии и	1	1
339	так называемых	3	1
340	не представляет	1	1
341	когда мы	3	1
342	как известно	2	1
343	на это	1	1
344	было бы	3	1
345	и несколько	1	1
346	некоторое время	2	1
347	в отличие	2	1
348	одного из	1	1
349	настоящее время	2	1
350	оно имеет	1	1
351	тем же	2	1
352	по себе	1	1
353	могут быть	2	1
354	не можем	7	1
355	человека и	1	1
356	целого и	1	1
357	представители этой	1	1
358	в нашем	2	1
359	собой поэтому	1	1
360	положение на	1	1
361	не знаем	2	1
362	и есть	2	1
363	во всей	1	1
364	природы не	1	1
365	же в	1	1
366	что она	3	1
367	он может	3	1
368	и должно	1	1
369	такой же	2	1
370	и прежде	1	1
371	что роль	1	1
372	и его	1	1
373	будет продолжаться	1	1
374	это совершенно	1	1
375	дела не	1	1
376	в ту	1	1
377	быть в	1	1
378	продолжаться но	1	1
379	нет никаких	1	1
380	с ее	1	1
381	таким же	1	1
382	и тот	1	1
383	в настоящее	2	1
384	но для	1	1
385	произошло в	1	1
386	понятия и	1	1
387	ничего не	6	1
388	есть не	1	1
389	образом он	1	1
390	могли быть	1	1
391	и во	2	1
392	он должен	2	1
393	той же	2	1
