N	2gram	Berdyaev_N	Tvorches
668	на это	1	1
669	что будет	1	1
670	явление в	1	1
671	него и	1	1
672	истории ее	1	1
673	и культурный	1	1
674	к богу	2	1
675	не верит	1	1
676	огромное значение	1	1
677	того времени	1	1
678	эту мысль	1	1
679	понята как	1	1
680	русские люди	1	1
681	бытия и	1	1
682	общества и	2	1
683	в период	1	1
684	в эти	1	1
685	человек не	1	1
686	для этого	2	1
687	в каком-то	1	1
688	эпохи и	4	1
689	к идее	1	1
690	принято считать	1	1
691	героя но	1	1
692	в недра	1	1
693	истины от	1	1
