N	2gram	Savitsky_P	VeschiIm
252	последние годы	1	2
253	не как	1	2
254	а затем	1	2
255	в последние	2	2
256	одно из	1	2
257	не столько	2	2
258	с собой	1	2
259	но нужно	1	2
260	конечно и	1	2
261	по природе	1	2
262	в россии	3	2
263	существенно и	1	2
264	именно в	2	2
265	исходить из	1	2
266	тем самым	3	2
267	в одно	1	2
268	о котором	1	2
269	они как	1	2
270	в это	1	2
271	говорится о	1	2
272	нет ничего	1	2
273	было и	1	2
274	на этой	1	2
275	чем то	1	2
276	только как	1	2
277	на основе	1	2
278	только мы	1	2
279	и должна	1	2
280	с трудом	1	2
281	что если	1	2
282	но о	2	2
283	не вполне	1	2
284	вдумываясь в	1	2
285	образом на	2	2
286	может ли	2	2
287	переход от	2	2
288	на две	1	2
289	отдельности и	1	2
290	тем же	1	2
291	когда и	1	2
292	и недостаточно	1	2
293	с его	1	2
294	реальность и	2	2
295	друг с	1	2
296	всяком случае	1	2
297	все существующее	1	2
298	находятся в	1	2
299	но на	1	2
300	знать что	2	2
301	– все	1	2
302	по преимуществу	1	2
303	уже в	1	2
304	есть у	1	2
305	обе эти	1	2
306	в определенном	1	2
307	для нас	2	2
308	них и	1	2
309	совершенно ясно	1	2
310	не о	2	2
311	к чему	2	2
312	а также	4	2
313	на нее	1	2
314	в бытии	1	2
315	в сферу	1	2
316	находится вне	1	2
317	помнить что	2	2
318	сущности а	1	2
319	с другом	1	2
320	но к	2	2
321	вопрос об	1	2
322	и быть	1	2
323	только к	1	2
324	в полной	2	2
325	е если	1	2
326	которую мы	2	2
327	социального бытия	1	2
328	именно потому	1	2
329	может идти	1	2
330	е и	3	2
331	что эта	1	2
332	в начале	2	2
333	или его	1	2
334	стороны и	2	2
335	этом смысле	1	2
336	далеко не	1	2
337	наряду с	3	2
338	та или	1	2
339	отличаться от	1	2
340	говорить об	1	2
341	он начнет	1	2
342	гораздо более	1	2
343	но для	1	2
344	сливаются в	1	2
345	что было	1	1
346	государства и	1	1
347	сказывается в	2	1
348	и целиком	1	1
349	его нет	1	1
350	поскольку вообще	1	1
351	мы и	1	1
352	вопросом о	1	1
353	и очень	1	1
354	ней не	2	1
355	них в	1	1
356	если в	2	1
357	к этой	1	1
358	в основном	1	1
359	с и	1	1
360	к сфере	1	1
361	теперь в	2	1
362	но также	4	1
363	и менее	1	1
364	вопросу о	1	1
365	из всех	1	1
366	за последние	1	1
367	какой бы	1	1
368	представляют собою	1	1
369	например с	1	1
370	к действию	1	1
371	чем говорить	1	1
372	один слой	1	1
373	но чтобы	1	1
374	в живом	1	1
375	движение и	1	1
376	в них	2	1
377	его сущность	1	1
378	вслед за	3	1
379	из двух	1	1
380	воплощения и	1	1
381	иначе как	1	1
382	и пусть	2	1
383	к другим	1	1
384	в порядке	3	1
385	относящиеся к	1	1
386	и метафизики	1	1
387	эти явления	1	1
388	не дается	1	1
389	духа в	1	1
390	одновременно и	1	1
391	в которых	5	1
392	отчасти и	1	1
393	из недр	1	1
394	что явление	1	1
395	иному как	1	1
396	духовной и	1	1
397	ними как	1	1
398	относиться к	1	1
399	также что	1	1
400	иного и	1	1
401	в природе	1	1
402	литературы и	1	1
403	и резко	2	1
404	от тех	1	1
405	как начало	1	1
406	что каждая	1	1
407	душа и	1	1
408	не относятся	1	1
409	и и	2	1
410	культуры нужно	1	1
411	когда в	1	1
412	пусть в	1	1
413	именно на	1	1
414	и вся	1	1
415	мы все	1	1
416	одна сторона	1	1
417	вобрать в	1	1
418	в различных	1	1
419	связь между	1	1
420	мы хотим	1	1
421	ее по	1	1
422	как таковую	1	1
423	и движение	1	1
424	утверждается что	1	1
425	восприятие это	1	1
426	ii в	2	1
427	в отличие	1	1
428	всецело к	1	1
429	наука и	1	1
430	духа и	2	1
431	исключительно на	1	1
432	зрения можно	1	1
433	в определенную	2	1
434	от разрешения	1	1
435	мысли но	1	1
436	в реальной	1	1
437	бы ее	1	1
438	настоящий момент	3	1
439	на этих	2	1
440	бы это	1	1
441	из этих	1	1
442	в движении	1	1
443	распадается на	1	1
444	исключительно в	2	1
445	которая ни	1	1
446	в наш	1	1
447	чему иному	1	1
448	и останутся	1	1
449	обратиться к	1	1
450	из этой	1	1
451	в человеческих	1	1
452	представить себе	1	1
453	вполне и	1	1
454	реально и	1	1
455	и сущности	1	1
456	многих других	1	1
457	экономики и	5	1
458	они не	1	1
459	невозможно ни	1	1
460	не внешнее	1	1
461	неправильно и	1	1
462	имеют в	1	1
463	что уже	1	1
464	в окружающем	1	1
465	мы знаем	1	1
466	е наличие	1	1
467	к первой	1	1
468	к а	1	1
469	что с	1	1
470	xix веке	2	1
471	и личности	1	1
472	где он	1	1
473	лиц и	1	1
474	и всегда	1	1
475	с богом	1	1
476	культура но	1	1
477	совершенно новое	1	1
478	из числа	1	1
479	области и	1	1
480	что составляет	1	1
481	как по	1	1
482	прежде чем	1	1
483	в общем	2	1
484	и где	1	1
485	и которая	1	1
486	исторической действительности	1	1
487	которое в	2	1
488	потому в	2	1
489	есть признак	1	1
490	история и	1	1
491	создалось в	1	1
492	или хотя	1	1
493	е к	1	1
494	или иная	1	1
495	происходит и	1	1
496	эта основная	1	1
497	в какой	1	1
498	которую оно	1	1
499	бояться и	1	1
500	по одному	1	1
501	из чего	1	1
502	не та	1	1
503	в этих	1	1
504	в ряду	2	1
505	ли не	1	1
506	и жизнь	1	1
507	как таковые	1	1
508	бы мы	1	1
509	на какие	1	1
510	в других	1	1
511	и по	1	1
512	и мир	1	1
513	могли бы	1	1
514	к истине	1	1
515	полной мере	2	1
516	каково же	1	1
517	стремиться к	1	1
518	как ни	1	1
519	отличие от	1	1
520	действие в	1	1
521	эти последние	1	1
522	и жизненной	1	1
523	с явлениями	1	1
524	этого сделать	1	1
525	получили в	1	1
526	с с	2	1
527	духовное самосознание	1	1
528	в –	1	1
529	во всей	2	1
530	собою как	1	1
531	не верить	1	1
532	и весьма	2	1
533	более мелких	1	1
534	все основные	1	1
535	связана с	1	1
536	насколько можно	1	1
537	не могла	1	1
538	такою как	1	1
539	где в	2	1
540	в пределах	8	1
541	и я	1	1
542	как явление	1	1
543	выражается в	1	1
544	в современной	1	1
545	в xix	2	1
546	в настоящий	3	1
547	для самой	1	1
548	же судьба	1	1
549	думать что	2	1
550	идет речь	1	1
551	они несомненно	1	1
552	религия есть	1	1
553	тот или	1	1
554	и материализма	1	1
555	тех пор	1	1
556	нужно помнить	2	1
557	культуры и	1	1
558	реальность в	1	1
559	существования как	1	1
560	но есть	1	1
561	могут быть	3	1
562	д а	3	1
563	это ощущение	1	1
564	с которым	1	1
565	или иной	1	1
566	они дали	2	1
567	же в	4	1
568	следовательно к	1	1
569	бы оно	1	1
570	иной раз	1	1
571	в эти	1	1
572	это в	1	1
573	а н	5	1
