N	2gram	Trubetskoy	Tragedij
207	в своей	5	1
208	вместе с	4	1
209	и вместе	2	1
210	при таком	1	1
211	всю эту	2	1
212	стремление к	7	1
213	жизни в	5	1
214	роль в	1	1
215	не менее	1	1
216	и т	3	1
217	русской интеллигенции	8	1
218	перед собой	1	1
219	на все	1	1
220	бы не	1	1
221	в такой	1	1
222	со своей	1	1
223	с своим	1	1
224	между собой	5	1
225	с чертами	1	1
226	власти и	1	1
227	вместе и	1	1
228	как самоцель	1	1
229	ли это	4	1
230	но мы	3	1
231	и стал	1	1
232	тогда как	2	1
233	могло бы	1	1
234	мира сего	1	1
235	творца и	1	1
236	этом состоит	1	1
237	бы в	1	1
238	на них	1	1
239	во всех	5	1
240	к одному	1	1
241	во всяком	9	1
242	и потому	3	1
243	это и	1	1
244	и дело	1	1
245	о себе	1	1
246	тем чем	1	1
247	совершенно не	2	1
248	никакой роли	1	1
249	но как	1	1
250	всего необходимо	1	1
251	не является	1	1
252	за то	2	1
253	это как	1	1
254	в котором	2	1
255	с самого	1	1
256	в обществе	1	1
257	применении к	1	1
258	которой он	4	1
259	связи с	3	1
260	силы и	1	1
261	случае и	1	1
262	хотя бы	5	1
263	она не	2	1
264	связь и	1	1
265	чтобы он	1	1
266	того чтобы	8	1
267	и если	7	1
268	но не	4	1
269	в другом	3	1
270	силе и	1	1
271	между тем	5	1
272	быть не	1	1
273	не быть	1	1
274	в ней	2	1
275	однако ни	1	1
276	самом деле	7	1
277	к своей	1	1
278	больше в	1	1
279	в которой	1	1
280	идет в	1	1
281	лишь в	3	1
282	именно на	2	1
283	только один	1	1
284	а не	2	1
285	его практическую	1	1
286	а за	1	1
287	а по	1	1
288	только на	2	1
289	и их	1	1
290	есть и	2	1
291	чтобы она	2	1
292	отказ от	1	1
293	не могла	1	1
294	можно было	4	1
295	а между	5	1
296	но только	1	1
297	себя на	2	1
298	факт что	2	1
299	даже не	2	1
300	что ее	1	1
301	в истории	1	1
302	по своей	1	1
303	он есть	1	1
304	человека с	1	1
305	что когда	1	1
306	стало быть	1	1
307	ту же	1	1
308	борьбе за	1	1
309	где мы	1	1
310	отметить что	2	1
311	самого начала	1	1
312	должны были	1	1
313	такое решение	1	1
314	всегда будет	1	1
315	это его	1	1
316	и т.д	4	1
317	он еще	1	1
318	всего этого	1	1
319	а вы	1	1
320	значение и	1	1
321	это же	1	1
322	известной степени	1	1
323	к ним	1	1
324	может ли	1	1
325	к ней	1	1
326	как мы	1	1
327	со своими	1	1
328	часто бывало	1	1
329	у себя	1	1
330	не для	1	1
331	и о	2	1
332	ее не	1	1
333	политических событий	1	1
334	не верит	1	1
335	такое соединение	2	1
336	по сравнению	1	1
337	виде и	1	1
338	именно так	1	1
339	и от	2	1
340	и есть	2	1
341	большее что	1	1
342	с которым	1	1
343	в общем	1	1
344	на этот	1	1
345	никому не	1	1
346	они сами	1	1
347	исходит из	1	1
348	такое время	1	1
349	согласиться с	2	1
350	этого слова	1	1
351	всех людей	2	1
352	а это	1	1
353	но если	3	1
354	в сфере	1	1
355	в области	2	1
356	и по	3	1
357	для достижения	1	1
358	это в	2	1
359	всяком случае	6	1
360	ничего подобного	1	1
361	для чего	1	1
362	конце концов	3	1
363	не удалось	1	1
364	умов русской	1	1
365	событий и	1	1
366	был вполне	1	1
367	к ее	1	1
368	если другой	1	1
369	носит в	1	1
370	он с	1	1
371	и наконец	2	1
372	что на	1	1
373	чувствуется что	1	1
374	не к	2	1
375	людей в	1	1
376	по нашему	1	1
