N	2gram	Kanaev_Sov	SlovoVZh
113	и те	1	2
114	форма в	2	2
115	на это	1	2
116	но конечно	1	2
117	и все	3	2
118	но не	1	2
119	форму и	1	2
120	быть только	1	2
121	допустим что	1	2
122	могут быть	2	2
123	стороны и	1	2
124	в своем	1	2
125	в корне	1	2
126	в какой	1	2
127	вместе с	4	2
128	между ними	1	2
129	в зависимости	4	2
130	может стать	1	2
131	настоящее время	2	2
132	такой же	2	2
133	можем сказать	1	2
134	с его	1	2
135	к этому	1	2
136	подчеркнуть что	1	2
137	между собой	3	2
138	он не	1	2
139	в условиях	5	2
140	независимо от	1	2
141	в настоящее	2	2
142	но мы	3	2
143	точку зрения	4	2
144	ничего не	6	2
145	помощью которой	1	1
146	же просто	1	1
147	можно наблюдать	1	1
148	к одному	1	1
149	себе в	1	1
150	во всяком	2	1
151	это и	1	1
152	двух частей	1	1
153	его и	1	1
154	каждый элемент	1	1
155	но можно	1	1
156	то он	1	1
157	во всех	1	1
158	в окончательном	1	1
159	осмысленное целое	1	1
160	только из	1	1
161	не является	1	1
162	сторона дела	1	1
163	только к	1	1
164	это делает	1	1
165	та же	1	1
166	по преимуществу	1	1
167	с самого	3	1
168	опирается на	1	1
169	все элементы	1	1
170	на этом	2	1
171	которой он	2	1
172	не имеют	1	1
173	может дать	2	1
174	это последнее	1	1
175	должно быть	1	1
176	мы уже	1	1
177	ли он	1	1
178	же этот	1	1
179	химических и	1	1
180	является только	1	1
181	она в	1	1
182	в свою	2	1
183	только и	1	1
184	что уже	1	1
185	определенным образом	1	1
186	и их	1	1
187	одна и	1	1
188	еще более	2	1
189	в другом	1	1
190	а из	1	1
191	несмотря на	1	1
192	это только	1	1
193	раз подчеркнуть	1	1
194	что это	2	1
195	хотя и	1	1
196	и тогда	1	1
197	этот третий	1	1
198	это уже	1	1
199	мы должны	4	1
200	и т.п	1	1
201	какой бы	1	1
202	с греческого	1	1
203	аналогии с	1	1
204	увидим что	1	1
205	и вся	1	1
206	эта сторона	1	1
207	совпадают с	1	1
208	в науке	2	1
209	в одном	3	1
210	в области	3	1
211	у нас	3	1
212	на которой	1	1
213	кто же	1	1
214	что каждый	1	1
215	на может	1	1
216	с жизнью	1	1
217	можно было	1	1
218	для их	1	1
219	в результате	6	1
220	и это	1	1
221	этом направлении	1	1
222	нечего делать	1	1
223	для них	1	1
224	более и	1	1
225	этом смысле	1	1
226	и основное	1	1
227	и тот	1	1
228	у него	2	1
229	не могут	2	1
230	все равно	1	1
231	по мнению	2	1
232	же время	1	1
233	человек занимает	1	1
234	в виде	2	1
235	чего же	1	1
236	из одного	2	1
237	в обоих	1	1
238	от двух	1	1
239	ту действительную	1	1
240	отметить что	1	1
241	самого начала	3	1
242	в большинстве	1	1
243	нуждаются в	1	1
244	свою очередь	2	1
245	в конечном	1	1
246	этой группы	1	1
247	в жизненной	1	1
248	не стремится	1	1
249	не было	1	1
250	когда мы	3	1
251	как например	1	1
252	связи с	1	1
253	является очень	1	1
254	сами по	1	1
255	с ее	1	1
256	было бы	3	1
257	не знает	1	1
258	из двух	3	1
259	подвести итоги	1	1
260	зрения уже	1	1
261	равно как	1	1
262	ведь это	3	1
263	так называемый	1	1
264	и мы	3	1
265	находиться в	1	1
266	как мы	2	1
267	что она	3	1
268	по аналогии	1	1
269	чем отличается	1	1
270	как его	1	1
271	должны искать	1	1
272	если мы	4	1
273	тем же	2	1
274	и эта	1	1
275	представлять себе	2	1
276	и во	2	1
277	именно в	1	1
278	только одна	6	1
279	уже на	1	1
280	но эта	1	1
281	конечном счете	1	1
282	мы это	1	1
283	не можем	7	1
284	в таком	2	1
285	обратимся к	1	1
286	этого развития	1	1
287	следующим образом	3	1
288	само собою	3	1
289	тот же	2	1
290	остается еще	1	1
291	положение в	1	1
292	разберем это	1	1
293	к которому	1	1
294	человек и	1	1
295	что все	2	1
296	то она	1	1
297	значение этих	1	1
298	эти три	1	1
299	же как	1	1
300	рядом с	1	1
301	то из	1	1
302	и прежде	1	1
303	на второй	1	1
304	жизни в	1	1
305	ровно ничего	1	1
306	но если	1	1
307	они не	1	1
308	при таком	3	1
309	от его	1	1
310	все более	1	1
311	зрения и	1	1
312	и только	1	1
313	один и	1	1
314	сводится только	1	1
315	именно эта	1	1
316	это направление	1	1
317	по самому	1	1
318	форму этого	1	1
319	и предварительной	1	1
320	но самый	1	1
321	но уже	1	1
322	природой и	1	1
323	физические и	1	1
324	и химические	1	1
325	не из	1	1
326	на их	2	1
327	может находиться	1	1
328	за вычетом	1	1
329	переводе с	1	1
330	в целом	4	1
331	ничего общего	1	1
332	крайней мере	1	1
333	и из	1	1
334	и становится	1	1
335	вовсе не	1	1
336	одному и	1	1
337	два основных	1	1
338	на эту	1	1
339	по крайней	1	1
340	мы видели	4	1
341	же мы	2	1
342	всяком случае	2	1
343	которые в	1	1
344	на них	1	1
