N	3gram	Vinokur_Vv	Vladivir
190	потому что он	2	1
191	это было у	1	1
192	большой интерес представляет	1	1
193	той или иной	3	1
194	такой точки зрения	1	1
195	отдать себе отчет	1	1
196	то что этот	1	1
197	в принципиальном отношении	3	1
198	дело заключается в	1	1
199	мы имеем право	1	1
200	а потому и	1	1
201	во многих случаях	1	1
202	до него в	1	1
203	и никогда не	1	1
204	по себе не	1	1
205	все это у	1	1
206	совсем не то	1	1
207	виде в каком	1	1
208	может быть названа	1	1
209	и об отношении	1	1
210	в данном отношении	2	1
211	здесь как и	1	1
212	первой по времени	1	1
213	имеет дело с	2	1
214	нужно сказать что	1	1
215	ответа на свои	1	1
216	сказать что он	1	1
217	а кроме того	1	1
218	каждой из этих	1	1
219	в соответствующих местах	1	1
220	то же самое	3	1
221	сама по себе	3	1
222	это в свою	1	1
223	но все же	4	1
224	лицом к лицу	1	1
225	а именно в	1	1
226	в известном смысле	3	1
227	что даже и	2	1
228	никак не может	1	1
229	только тогда когда	1	1
230	было бы с	1	1
231	в истории русской	1	1
232	в разной степени	1	1
233	по истории и	1	1
234	мы имеем дело	1	1
235	на вопрос что	1	1
236	и это есть	1	1
237	собственном смысле слова	1	1
238	внимание на то	1	1
239	в самом процессе	1	1
240	может быть в	2	1
241	еще не значит	1	1
242	точки зрения можно	1	1
243	как на нечто	1	1
244	что отличало бы	1	1
245	в значительной мере	2	1
246	и говорить о	1	1
247	тем что в	1	1
248	в каждой из	1	1
249	в духе этого	1	1
250	но и в	1	1
251	в том смысле	1	1
252	с этой точки	2	1
253	выводу что и	1	1
254	как об этом	2	1
255	не мог не	1	1
256	в одно целое	1	1
257	он был в	1	1
258	все же это	1	1
259	что не только	1	1
260	в своей работе	1	1
261	какой бы то	1	1
262	для которых он	1	1
263	в таких случаях	1	1
264	все что может	1	1
265	он мог бы	1	1
266	быть и не	1	1
267	это не только	2	1
268	и той же	2	1
269	на котором он	2	1
270	в средние века	1	1
271	говорить о том	1	1
272	и в особенности	4	1
273	пор пока не	1	1
274	на этот вопрос	5	1
275	здесь не может	1	1
276	признаки и свойства	1	1
277	эта наука не	1	1
278	состоит в том	2	1
279	и можно было	1	1
280	не было бы	1	1
281	но уже в	1	1
282	а есть только	1	1
283	смысле этого слова	2	1
284	что мы можем	1	1
285	чем та которая	1	1
286	по поводу того	1	1
287	одной и той	2	1
288	уже и в	1	1
289	в целом но	1	1
290	только потому что	1	1
291	не соглашаться с	1	1
292	только как о	1	1
293	как раз в	1	1
294	но во всяком	1	1
295	в котором можно	1	1
296	точки зрения совершенно	1	1
297	на свои вопросы	1	1
298	не менее не	1	1
299	в собственном смысле	3	1
300	том что с	1	1
301	правда в очень	1	1
302	более то менее	1	1
303	о человеке и	1	1
304	представить себе что	2	1
305	также и с	1	1
306	вовсе не только	2	1
307	чтобы можно было	2	1
308	было вполне естественно	1	1
309	только с помощью	1	1
310	вопрос о том	5	1
311	этой точки зрения	2	1
312	в том виде	3	1
313	а это в	1	1
314	как уже сказано	1	1
315	независимо и от	1	1
316	только в формах	1	1
317	может быть никакой	1	1
318	не только как	4	1
319	имеем дело с	1	1
320	в своей специальной	1	1
321	потому что они	1	1
322	но как мы	1	1
