N	2gram	Kanaev_Sov	Hudozhes
128	так же	1	2
129	должен быть	1	2
130	если мы	4	2
131	в нашем	2	2
132	может оказаться	1	2
133	одна из	3	2
134	на котором	2	2
135	только о	1	2
136	никогда не	1	2
137	и по	2	2
138	жизни но	1	2
139	бы то	1	2
140	этих двух	2	2
141	одной из	1	2
142	несмотря на	1	2
143	ни было	1	2
144	что такое	2	2
145	все это	3	2
146	xix века	1	2
147	что каждый	1	2
148	у него	2	2
149	принадлежит только	1	2
150	или в	1	2
151	и более	1	2
152	без остатка	1	2
153	что она	3	2
154	каждая из	2	2
155	случае не	1	2
156	в какой	1	2
157	только и	1	2
158	вовсе не	1	2
159	и потому	3	2
160	но как	1	2
161	на этом	2	2
162	определенным образом	1	2
163	то ни	2	2
164	быть и	2	2
165	и может	1	2
166	но только	1	2
167	человека и	1	2
168	мы по	1	2
169	с человеком	1	2
170	идет о	1	2
171	в этой	3	2
172	известном смысле	1	2
173	и особенно	1	2
174	отнюдь не	3	2
175	как принадлежащие	1	1
176	все что	1	1
177	можно говорить	1	1
178	одном случае	1	1
179	и свою	1	1
180	живое существо	1	1
181	если в	1	1
182	совершенно иными	1	1
183	на ее	1	1
184	можно назвать	2	1
185	действительную роль	1	1
186	что это	2	1
187	какой бы	1	1
188	объективным как	1	1
189	те же	1	1
190	если нет	1	1
191	в область	1	1
192	смысле можно	1	1
193	в результате	6	1
194	развернуть в	1	1
195	и само	1	1
196	ценность и	1	1
197	позиции в	1	1
198	не могут	2	1
199	со всеми	2	1
200	должен был	1	1
201	и даже	2	1
202	он уже	1	1
203	не более	1	1
204	новое время	1	1
205	между всеми	2	1
206	так называемый	1	1
207	мы говорим	1	1
208	значение в	2	1
209	пусть это	1	1
210	и будет	2	1
211	и действительно	1	1
212	необходимо для	1	1
213	у читателя	1	1
214	вместе с	4	1
215	все же	3	1
216	не имеет	1	1
217	зависимости от	4	1
218	более как	1	1
219	на их	2	1
220	свою собственную	2	1
221	нет в	1	1
222	но мы	3	1
223	собственно и	1	1
224	по крайней	1	1
225	и внутренний	1	1
226	свое время	1	1
227	с этим	2	1
228	все они	1	1
229	этот результат	1	1
230	эту сторону	1	1
231	ему принадлежит	1	1
232	отвечающее всем	1	1
233	в действительности	1	1
234	и пр	2	1
235	на части	1	1
236	в любом	1	1
237	по своим	1	1
238	на какой	1	1
239	заключать в	1	1
240	то и	2	1
241	опыта как	1	1
242	единства в	1	1
243	не быть	1	1
244	жизни и	4	1
245	только на	1	1
246	в которую	2	1
247	к одному	1	1
248	эта система	1	1
249	и наиболее	1	1
250	первые два	2	1
251	она по	1	1
252	и те	1	1
253	не что	1	1
254	в совершенно	1	1
255	себе в	1	1
256	на которые	1	1
257	настоящее время	2	1
258	она может	2	1
259	нас на	1	1
260	тем же	2	1
261	неуверенности в	1	1
262	той же	2	1
263	на второй	1	1
264	именно таковы	1	1
265	раз и	1	1
266	что все	2	1
267	то она	1	1
268	характерное для	1	1
269	но если	1	1
270	здесь и	1	1
271	жизненной практике	1	1
272	в отдельных	1	1
273	нет никаких	1	1
274	значении в	1	1
275	в настоящее	2	1
276	крайней мере	1	1
277	и становится	1	1
278	из них	4	1
279	тот же	2	1
280	могли быть	1	1
281	именно к	1	1
282	этом случае	1	1
283	в свое	1	1
284	только не	1	1
285	к различным	1	1
286	мы видим	2	1
287	эта перемена	1	1
288	так как	4	1
289	от его	1	1
290	что иное	1	1
291	они не	1	1
292	может не	3	1
293	на язык	1	1
294	должно быть	1	1
295	же этот	1	1
296	явлений жизни	1	1
297	у каждого	3	1
298	как особого	1	1
299	подчеркнуть что	1	1
300	себя самого	1	1
301	мы конечно	1	1
302	воспринимающего в	1	1
303	как у	1	1
304	для нас	3	1
305	меньше и	1	1
306	у нас	3	1
307	означало бы	1	1
308	существенно отличается	1	1
309	на которой	1	1
310	и от	1	1
311	мире можно	1	1
312	иметь место	1	1
313	и есть	2	1
314	весь мир	1	1
315	в третьем	2	1
316	и развития	1	1
317	ведь это	3	1
318	не было	1	1
319	ни изменить	1	1
320	говорим о	2	1
321	к чему	2	1
322	что его	1	1
323	дело в	1	1
324	о каком	1	1
325	но для	1	1
326	xviii века	1	1
327	такое же	1	1
328	в конце	3	1
329	не подлежит	3	1
330	же как	1	1
331	рядом с	1	1
332	при таком	3	1
333	явления жизни	1	1
334	в такой	1	1
335	зрения и	1	1
336	по его	1	1
337	именно эта	1	1
338	в условиях	5	1
339	на его	2	1
340	форма в	2	1
341	начало нового	1	1
342	мере в	1	1
343	на них	1	1
344	в каждом	8	1
345	может иметь	2	1
346	том случае	1	1
347	только к	1	1
348	еще одним	1	1
349	в своих	1	1
350	не дает	2	1
351	человека как	1	1
352	всего только	2	1
353	с совершенно	2	1
354	или же	2	1
355	просто не	1	1
356	в развитии	4	1
357	в первом	3	1
358	заключает в	1	1
359	эта сторона	1	1
360	стороны и	1	1
361	ничто не	1	1
362	не способна	1	1
363	в новое	1	1
364	когда мы	3	1
365	на это	1	1
366	иного типа	1	1
367	было бы	3	1
368	становится его	1	1
369	же самое	2	1
370	же природы	1	1
371	выбора не	1	1
372	как мы	2	1
373	жизни не	1	1
374	которые в	1	1
375	в зависимости	4	1
376	это делает	1	1
377	обратимся к	1	1
378	части на	1	1
379	же в	1	1
380	все перечисленные	1	1
381	говорить об	2	1
382	как целого	1	1
383	природой и	1	1
384	есть не	1	1
385	иное как	1	1
