N	2gram	Propp_Russ	VerxiiNi
107	из всех	1	3
108	религии в	1	3
109	что это	4	3
110	тем не	3	3
111	в качестве	5	3
112	русского народа	3	3
113	и даже	1	3
114	если бы	1	3
115	в которой	3	3
116	с ней	7	3
117	на нее	5	3
118	в таком	5	3
119	случае не	1	3
120	в связи	4	3
121	и как	2	3
122	как о	1	3
123	же как	5	3
124	если в	3	3
125	не менее	3	3
126	и таким	1	3
127	в других	24	3
128	а так	1	3
129	что эти	2	3
130	можно сказать	1	3
131	представляет собой	5	3
132	так что	4	3
133	а после	1	3
134	так называемые	1	3
135	у них	2	3
136	когда он	3	3
137	по учению	1	3
138	точно так	1	3
139	в одном	4	3
140	большей частью	1	3
141	русский народ	1	3
142	и те	3	3
143	не вполне	1	3
144	из византии	1	3
145	к ним	4	3
146	и о	4	3
147	отношению к	1	3
148	в своем	3	3
149	уже не	9	3
150	подойти к	2	3
151	в народном	4	3
152	к этому	7	3
153	того что	6	3
154	с которого	1	2
155	такое положение	1	2
156	все что	2	2
157	взгляд на	1	2
158	один из	10	2
159	с богослужением	1	2
160	и здесь	3	2
161	ему в	1	2
162	и на	14	2
163	связанных с	2	2
164	иной характер	1	2
165	только что	1	2
166	свидетельствует о	1	2
167	уже в	2	2
168	гораздо менее	1	2
169	тогда когда	4	2
170	у славян	1	2
171	или по	1	2
172	мы имеем	7	2
173	не с	5	2
174	этом отношении	1	2
175	те же	1	2
176	не как	1	2
177	прежде всего	2	2
178	из своих	2	2
179	одно из	6	2
180	как от	1	2
181	его от	2	2
182	исторического развития	1	2
183	в русском	4	2
184	не могут	1	2
185	когда же	1	2
186	в них	10	2
187	связь с	1	2
188	не было	3	2
189	не потому	1	2
190	отличаются от	2	2
191	не в	2	2
192	а также	6	2
193	в виду	3	2
194	в россии	4	2
195	одним из	2	2
196	с целью	2	2
197	по существу	7	2
198	того момента	1	2
199	именно в	3	2
200	и действительно	2	2
201	и связанные	2	2
202	очень много	2	2
203	в среде	1	2
204	можно назвать	1	2
205	с одним	1	2
206	связан и	1	2
207	для каждого	1	2
208	к другу	2	2
209	в одно	2	2
210	при таком	1	2
211	по своему	2	2
212	приводит к	4	2
213	на все	3	2
214	только для	3	2
215	должно было	5	2
216	о котором	1	2
217	в русских	1	2
218	ничего общего	3	2
219	в эту	3	2
220	так например	7	2
221	связано с	3	2
222	еще не	7	2
223	во всех	6	2
224	ли они	1	2
225	начиная с	4	2
226	ко всему	2	2
227	выступает в	1	2
228	мы можем	2	2
229	уже давно	1	2
230	некоторые из	2	2
231	людей и	1	2
232	что мы	1	2
233	если не	1	2
234	так называемой	3	2
235	наконец в	1	2
236	надо было	1	2
237	между тем	9	2
238	в свою	3	2
239	в китае	1	2
240	не всегда	4	2
241	из себя	1	2
242	быть и	3	2
243	должна была	6	2
244	не могло	1	2
245	всех других	1	2
246	на пути	1	2
247	так чтобы	2	2
248	тем и	4	2
249	и это	2	2
250	ее с	2	2
251	в начале	1	2
252	превращается в	1	2
253	но вместе	3	2
254	еще на	1	2
255	состоит в	18	2
256	он в	1	2
257	общего с	1	2
258	сказать что	1	2
259	которые в	2	2
260	не могла	1	2
261	и другой	5	2
262	в образе	3	2
263	к которому	1	2
264	относится к	1	2
265	те и	1	2
266	жизни и	1	2
267	но если	2	2
268	в разных	3	2
269	иной раз	1	2
270	что именно	3	2
271	на то	2	2
272	должны признать	1	2
273	из этого	1	2
274	с его	1	2
275	от них	4	2
276	востока и	1	2
277	и после	2	2
278	и все	4	2
279	для этого	6	2
280	и из	3	2
281	и особенно	1	2
282	тот же	2	2
283	и наконец	2	2
284	вплоть до	4	2
285	с того	1	2
286	мы видели	3	2
287	не к	3	2
288	и сами	2	2
289	в той	1	1
290	все в	2	1
291	в старину	2	1
292	представить себе	1	1
293	люди которые	1	1
294	на почве	1	1
295	это неверно	1	1
296	природы и	3	1
297	что один	2	1
298	первую очередь	1	1
299	не так	1	1
300	не принадлежат	1	1
301	смерть и	1	1
302	во втором	1	1
303	случае мы	1	1
304	видели что	1	1
305	то они	1	1
306	быть принято	1	1
307	в состав	1	1
308	от до	1	1
309	мы видим	2	1
310	образом о	1	1
311	могут рассматриваться	1	1
312	что с	2	1
313	собой и	2	1
314	можно говорить	2	1
315	та же	4	1
316	эти боги	2	1
317	значение в	2	1
318	свою очередь	2	1
319	друг к	2	1
320	к их	1	1
321	по всем	3	1
322	народа в	2	1
323	по форме	1	1
324	они не	1	1
325	землю и	2	1
326	может не	1	1
327	данном случае	8	1
328	как неясно	1	1
329	выходить из	1	1
330	ни с	1	1
331	них в	2	1
332	песен в	2	1
333	дальнейшее развитие	1	1
334	представляющее собой	1	1
335	вероятно что	1	1
336	известно что	1	1
337	как средство	1	1
338	должно быть	2	1
339	того как	6	1
340	зависит от	1	1
341	несколько иной	1	1
342	его с	4	1
343	от нее	1	1
344	и смотрят	1	1
345	есть какие-то	1	1
346	притом не	1	1
347	для себя	1	1
348	обе эти	1	1
349	это не	14	1
350	мы знаем	1	1
351	по очереди	1	1
352	использованы для	1	1
353	и менее	1	1
354	до самого	1	1
355	а и	7	1
356	них следует	1	1
357	выступают в	1	1
358	представляют собой	13	1
359	определить в	1	1
360	с ним	2	1
361	на этих	1	1
362	кроме того	3	1
363	о чем	7	1
364	как существа	1	1
365	есть один	1	1
366	как раз	1	1
367	что так	1	1
368	бьет по	1	1
369	они у	1	1
370	но тем	2	1
371	труда и	1	1
372	такое же	2	1
373	одном и	1	1
374	однако еще	1	1
375	чем у	2	1
376	которые по	1	1
377	и за	2	1
378	выбор и	1	1
379	и через	2	1
380	совсем так	1	1
381	и римлян	1	1
382	него в	1	1
383	в честь	5	1
384	по образцу	1	1
385	у нас	11	1
386	на которой	2	1
387	далее в	2	1
388	это и	1	1
389	два раза	1	1
390	в старом	1	1
391	ни в	1	1
392	же что	1	1
393	это слово	1	1
394	о происхождении	1	1
395	этого момента	3	1
396	борьбы с	2	1
397	и развитие	1	1
398	не является	2	1
399	по мере	1	1
400	сходство между	2	1
401	с собой	4	1
402	перед ними	1	1
403	весь мир	1	1
404	таком случае	1	1
405	основана на	2	1
406	совершенно иное	1	1
407	у него	2	1
408	за это	1	1
409	в их	5	1
410	в данном	7	1
411	но дает	1	1
412	его в	9	1
413	это предположение	1	1
414	чем в	4	1
415	их не	2	1
416	в своих	3	1
417	границы между	1	1
418	как эти	1	1
419	силы природы	1	1
420	об уничтожении	1	1
421	в разные	4	1
422	не более	2	1
423	самом деле	1	1
424	в первом	1	1
425	и некоторые	3	1
426	как видно	1	1
427	белорусов и	1	1
428	жизни это	1	1
429	что к	1	1
430	как этот	1	1
431	некоторые другие	5	1
432	сидит он	1	1
433	как по	2	1
434	сходство в	1	1
435	прежде чем	1	1
436	ставит себе	1	1
437	их и	3	1
438	этом не	2	1
439	жизнь в	1	1
440	что его	1	1
441	в ад	1	1
442	о характере	1	1
443	который как	1	1
444	здесь имеется	1	1
445	но эта	2	1
446	было известно	1	1
447	которое в	2	1
448	зато в	1	1
449	предков на	1	1
450	первоначально было	1	1
451	которые как	2	1
452	как обычай	1	1
453	они могли	2	1
454	в языках	1	1
455	мы и	1	1
456	тем что	7	1
457	востоке и	1	1
458	привела к	1	1
459	происхождение и	1	1
460	и том	1	1
461	периода с	1	1
462	с культом	1	1
463	значения и	2	1
464	и своего	1	1
465	которые из	1	1
466	если он	1	1
467	основные черты	1	1
468	к разным	1	1
469	в жизни	2	1
470	видно из	1	1
471	и другим	3	1
472	характер этого	2	1
473	относящиеся к	2	1
474	разных народов	1	1
475	о народных	2	1
476	одном из	1	1
477	как и	19	1
478	женщины и	1	1
479	и вновь	1	1
480	как не	2	1
481	от слова	1	1
482	с ними	6	1
483	многих других	1	1
484	к нам	2	1
485	и вокруг	1	1
486	время как	1	1
487	их в	7	1
488	вряд ли	2	1
489	а именно	2	1
490	на земле	3	1
491	в своей	1	1
492	доску с	1	1
493	и так	2	1
494	бы олицетворение	1	1
495	предшествующие ему	1	1
496	на эту	1	1
497	много но	1	1
498	на этом	6	1
499	как в	10	1
500	стремление к	1	1
501	следовательно и	2	1
502	а иногда	6	1
503	ли не	1	1
504	смерти в	2	1
505	от этого	2	1
506	и могут	1	1
507	в такой	1	1
508	его уже	1	1
509	от старого	1	1
510	так называемая	2	1
511	первое место	1	1
512	после того	3	1
513	и следовательно	2	1
514	важное значение	1	1
515	для людей	1	1
516	более как	1	1
517	в каждой	1	1
518	всей своей	1	1
519	из одного	1	1
520	в чем	1	1
521	эта связь	2	1
522	нет в	2	1
523	магии и	1	1
524	разные стороны	1	1
525	всех их	1	1
526	человеком и	1	1
527	жизни то	1	1
528	как только	2	1
529	могло бы	1	1
530	которая у	1	1
531	в одной	1	1
532	эта религия	1	1
533	и отдельные	1	1
534	тем более	1	1
535	полагают что	1	1
536	всех народов	1	1
537	что они	8	1
538	не был	3	1
539	христианской религии	1	1
540	а вместе	1	1
541	и смерти	1	1
542	однако не	1	1
543	на них	4	1
544	с этим	4	1
545	это был	1	1
546	этого они	1	1
547	этой роли	1	1
548	эти дни	5	1
549	и того	1	1
550	еще и	1	1
551	сам он	1	1
552	некоторые основные	1	1
553	там где	3	1
554	в первую	1	1
555	на этой	3	1
556	что от	4	1
557	к этой	1	1
558	и других	9	1
559	и более	3	1
560	блага жизни	1	1
561	не могли	1	1
562	и состоит	1	1
563	весьма вероятным	1	1
564	когда на	2	1
565	и пр	4	1
566	же от	1	1
567	отличие от	4	1
568	между собой	4	1
569	не означает	2	1
570	выводы и	1	1
571	видим что	1	1
572	по тем	1	1
573	русская народная	1	1
574	в очень	1	1
575	было в	1	1
576	человек сразу	1	1
577	до нас	1	1
578	смерти и	3	1
579	с русскими	1	1
580	смерти она	1	1
581	рассматриваться как	2	1
582	мы уже	2	1
583	это как	1	1
584	черты этого	1	1
585	славян и	1	1
586	совпадает с	1	1
587	момента когда	1	1
588	эти слова	1	1
589	входит в	4	1
590	на первое	1	1
591	но даже	2	1
592	живет в	1	1
593	же очень	1	1
594	при рассмотрении	3	1
595	с особым	1	1
596	из среды	1	1
597	мы не	11	1
598	не символ	1	1
599	от конца	1	1
600	совсем не	1	1
601	не по	1	1
602	которые и	1	1
603	не отличаются	2	1
604	не связанных	1	1
605	с этого	7	1
606	в ней	3	1
607	умерших предков	1	1
608	по данным	1	1
609	но это	5	1
610	это для	1	1
611	стоит и	1	1
612	чем именно	1	1
613	в деталях	1	1
614	дело не	2	1
615	как из	1	1
616	а через	1	1
617	в этот	19	1
618	но совершенно	1	1
619	это по	1	1
620	только тогда	3	1
621	что дало	1	1
622	только как	2	1
623	что касается	1	1
624	как время	1	1
625	к тем	4	1
626	необходимо было	1	1
627	а по	1	1
628	только на	4	1
629	но они	4	1
630	и их	4	1
631	у их	1	1
632	через нее	1	1
633	не были	2	1
634	не приходится	1	1
635	с религиозными	1	1
636	греков и	1	1
637	и духовные	1	1
638	чтобы она	2	1
639	кто же	1	1
640	связь между	2	1
641	а между	1	1
642	с молитвой	1	1
643	иметь в	2	1
644	изображается как	5	1
645	народных песен	1	1
646	или его	1	1
647	что дает	1	1
648	по отношению	1	1
649	слова с	1	1
650	уже почти	1	1
651	если человек	1	1
652	его жизнь	2	1
653	не следует	1	1
654	и до	3	1
655	как бог	3	1
656	случае с	1	1
657	есть несколько	1	1
658	и представлениями	1	1
659	этот вопрос	4	1
660	во плоти	1	1
661	на каждом	3	1
662	считал что	2	1
663	тогда как	4	1
664	себе в	1	1
665	должны были	3	1
666	магическую силу	1	1
667	так называемых	1	1
668	не представляет	1	1
669	по окончании	1	1
670	когда мы	2	1
671	для совершения	1	1
672	которого в	2	1
673	в глаза	3	1
674	всего этого	1	1
675	как известно	2	1
676	смысла и	1	1
677	в нашей	1	1
678	было бы	3	1
679	некоторое время	2	1
680	этих элементов	1	1
681	на более	1	1
682	что здесь	4	1
683	или вообще	3	1
684	ряд других	2	1
685	в отличие	4	1
686	в одну	1	1
687	без всякого	1	1
688	заметить что	3	1
689	в позднейших	1	1
690	возможно что	2	1
691	не совсем	6	1
692	на путь	1	1
693	настоящее время	3	1
694	ней и	1	1
695	по всей	4	1
696	вернуться к	1	1
697	однако в	1	1
698	других славян	1	1
699	оно имеет	1	1
700	чтобы они	4	1
701	вера в	2	1
702	как религия	1	1
703	тем же	1	1
704	затем в	1	1
705	указаний на	1	1
706	найти в	1	1
707	сделать из	2	1
708	которому восходят	1	1
709	могут быть	3	1
710	рассматривается как	3	1
711	привели к	1	1
712	не можем	5	1
713	человека и	1	1
714	их с	1	1
715	полного прекращения	1	1
716	в нашем	2	1
717	на севере	5	1
718	любовью к	1	1
719	с этими	1	1
720	и раньше	1	1
721	же она	1	1
722	на которого	1	1
723	и есть	1	1
724	место в	2	1
725	них как	2	1
726	ясно но	1	1
727	во всей	2	1
728	том же	6	1
729	в ряд	2	1
730	раз этот	1	1
731	же в	5	1
732	необходимо чтобы	1	1
733	что она	4	1
734	и всякую	1	1
735	поворот к	1	1
736	такой же	3	1
737	если они	1	1
738	чаще всего	3	1
739	этого слова	3	1
740	работа в	2	1
741	или из	1	1
742	и его	2	1
743	его к	3	1
744	под именем	3	1
745	к новой	1	1
746	в лесах	2	1
747	образ его	1	1
748	а как	1	1
749	этой силы	2	1
750	v если	1	1
751	а следовательно	1	1
752	в европе	1	1
753	а мы	2	1
754	только с	2	1
755	огонь в	1	1
756	встречаются и	2	1
757	в ту	1	1
758	теперь уже	1	1
759	нет никаких	1	1
760	к этим	1	1
761	друг друга	3	1
762	всех этих	2	1
763	к ее	1	1
764	таким же	4	1
765	других языках	1	1
766	чтобы не	1	1
767	в настоящее	3	1
768	но для	1	1
769	должны быть	1	1
770	в связь	1	1
771	не надо	1	1
772	сделать это	1	1
773	и ее	3	1
774	здесь не	1	1
775	одного и	1	1
776	сливаются в	1	1
777	думать что	3	1
778	ничего не	4	1
779	видел в	2	1
780	то время	3	1
781	и самый	1	1
782	влиянием в	1	1
783	с религией	4	1
784	и во	2	1
785	он должен	2	1
786	судя по	2	1
