N	2gram	Nazirov_Tr	Freidism
132	в котором	1	4
133	потому что	2	4
134	только на	1	4
135	в истории	1	4
136	так же	4	4
137	отметить что	1	4
138	в своем	3	4
139	все время	1	4
140	одна из	2	4
141	но это	4	4
142	что оно	1	4
143	и за	2	4
144	– но	1	4
145	тем не	1	4
146	у него	6	4
147	в голову	1	4
148	я не	4	4
149	между собой	1	4
150	о себе	1	4
151	это как	1	4
152	этом мы	1	4
153	в развитии	1	4
154	в другом	1	4
155	личности и	2	4
156	ту сторону	1	4
157	к ней	1	4
158	в области	1	4
159	с ее	3	4
160	в целом	4	4
161	не так	2	3
162	в центре	1	3
163	и при	1	3
164	это уже	2	3
165	в результате	1	3
166	в них	1	3
167	и даже	4	3
168	очень важный	1	3
169	жизни в	1	3
170	отца и	2	3
171	во сне	2	3
172	в обществе	1	3
173	раз и	2	3
174	он был	2	3
175	ребенка в	2	3
176	в одном	2	3
177	в настоящей	1	3
178	уже в	3	3
179	на две	1	3
180	с этими	1	3
181	о том	2	3
182	на этот	1	3
183	только не	1	3
184	и то	2	3
185	говорит о	2	3
186	мы видим	1	3
187	к себе	1	3
188	отцом и	2	3
189	и притом	1	3
190	этого не	1	3
191	наших дней	1	3
192	одним из	1	3
193	в силах	2	3
194	на себя	1	3
195	является по	1	3
196	и как	3	3
197	с отцом	1	3
198	и она	1	3
199	согласиться с	1	3
200	и сам	3	3
201	на все	1	3
202	в условиях	1	3
203	которой он	1	3
204	под влиянием	2	3
205	между тем	1	3
206	конечно в	1	3
207	человека с	1	3
208	или как	1	3
209	и от	1	3
210	и есть	1	3
211	о своих	1	3
212	нуждается в	1	3
213	на всем	2	3
214	а как	2	3
215	в эпоху	1	3
216	не выдерживает	1	2
217	для самого	1	2
218	социальной жизни	1	2
219	для ребенка	1	2
220	опирается на	1	2
221	в момент	1	2
222	к этой	1	2
223	его с	1	2
224	должна быть	1	2
225	и их	1	2
226	в применении	1	2
227	на работу	1	2
228	вот как	1	2
229	не как	1	2
230	по-видимому не	1	2
231	для нас	1	2
232	в первом	2	2
233	но все	2	2
234	большое значение	1	2
235	в мире	3	2
236	приходит в	1	2
237	всю эту	1	2
238	не имеет	2	2
239	роли в	1	2
240	нет в	2	2
241	матери и	1	2
242	в дальнейшем	5	2
243	в такой	1	2
244	бы и	2	2
245	должно быть	3	2
246	вопрос о	2	2
247	таком виде	1	2
248	представляет собой	1	2
249	и теперь	1	2
250	значение для	1	2
251	распадается на	1	2
252	в глаза	2	2
253	всего этого	1	2
254	в отличие	2	2
255	мог бы	3	2
256	в самое	1	2
257	для понимания	1	2
258	всех людей	1	2
259	теперь уже	1	2
260	друг друга	2	2
261	бы в	1	2
262	только о	2	2
263	образы и	1	2
264	этого нового	1	2
265	в прошлое	1	2
266	что с	3	2
267	ничем не	2	2
268	и служит	1	2
269	с одной	1	2
270	психику в	1	2
271	он и	2	2
272	что при	1	2
273	о нем	1	2
274	но как	1	2
275	нет это	1	2
276	чем он	2	2
277	рот и	1	2
278	на первую	1	2
279	вспомнить о	1	2
280	а на	1	2
281	обратимся к	1	2
282	а также	1	2
283	как его	1	2
284	откуда же	1	2
285	в третий	1	2
286	при которой	1	2
287	в конце	3	2
288	вообще не	1	2
289	он в	1	2
290	не есть	1	2
291	рядом с	1	2
292	стремление к	1	2
293	этой борьбе	1	2
294	века в	1	2
295	к личности	1	2
296	это было	1	2
297	применении к	1	2
298	с первого	2	2
299	на них	1	2
300	ко всему	1	2
301	отличие от	2	2
302	в поле	3	2
303	ли это	1	2
304	на другой	1	2
305	обстоит дело	1	2
306	объясняется и	1	2
307	есть и	1	2
308	на всю	1	2
309	в книге	1	2
310	во многом	1	2
311	ли мы	1	2
312	даже если	2	2
313	человека мы	1	2
314	всю жизнь	1	2
315	но если	1	2
316	с сыном	1	2
317	как система	1	2
318	человек не	1	2
319	то в	1	2
320	конце концов	1	2
321	чтобы не	1	2
322	три года	1	2
323	шутки и	1	2
324	не к	1	2
325	это желание	1	2
326	в особенности	1	1
327	к сожалению	1	1
328	протест против	1	1
329	во всем	1	1
330	утверждать что	1	1
331	так ли	1	1
332	не нашел	1	1
333	человеческой личности	2	1
334	ребенка и	2	1
335	в настоящем	1	1
336	это тот	1	1
337	и здесь	2	1
338	на неудачу	1	1
339	то есть	3	1
340	сходство с	1	1
341	желание в	1	1
342	почти не	1	1
343	всей европе	1	1
344	и должно	1	1
345	дело с	1	1
346	все события	1	1
347	любовь к	1	1
348	и далее	1	1
349	с принципиальной	1	1
350	психика не	1	1
351	его за	2	1
352	эта новая	1	1
353	этом случае	1	1
354	и лучше	2	1
355	а затем	1	1
356	политические идеи	1	1
357	только за	1	1
358	быть может	1	1
359	с собой	1	1
360	контекст в	1	1
361	разу не	1	1
362	за что	1	1
363	так выразиться	1	1
364	ко всем	1	1
365	в борьбе	1	1
366	но только	1	1
367	и ярко	1	1
368	же берется	1	1
369	черты инфантильной	1	1
370	в мыслях	1	1
371	она даже	1	1
372	тем что	2	1
373	представление о	1	1
374	это выражение	1	1
375	например в	1	1
376	эти черты	1	1
377	с тем	2	1
378	с такими	1	1
379	его речи	1	1
380	это чувство	1	1
381	похожим на	1	1
382	оказалось что	1	1
383	был первым	1	1
384	и т	1	1
385	бы не	1	1
386	в иной	1	1
387	если можно	1	1
388	сравнению с	1	1
389	своего отца	3	1
390	в душу	1	1
391	он вполне	1	1
392	в это	2	1
393	всех видах	1	1
394	с больным	1	1
395	всему что	1	1
396	но особенно	2	1
397	много денег	1	1
398	поле в	1	1
399	это был	2	1
400	в кругу	1	1
401	который он	1	1
402	которых можно	1	1
403	бросается в	2	1
404	понятно что	1	1
405	ее к	2	1
406	было в	2	1
407	что этот	2	1
408	после того	1	1
409	теперь оно	1	1
410	силы и	1	1
411	то и	2	1
412	была его	1	1
413	общеизвестно что	1	1
414	он еще	1	1
415	по сравнению	1	1
416	это его	1	1
417	в каких	1	1
418	быть не	1	1
419	вызывает в	1	1
420	миф о	1	1
421	перенес в	1	1
422	своего происхождения	1	1
423	это же	1	1
424	последнее слово	1	1
425	но уже	1	1
426	именно на	1	1
427	только один	1	1
428	об отношении	1	1
429	все образы	1	1
430	не доверяет	1	1
431	в журнале	1	1
432	душу и	1	1
433	относит к	1	1
434	под маской	1	1
435	что когда	1	1
436	и начинает	1	1
437	она все	2	1
438	всего что	1	1
439	был более	1	1
440	известной степени	1	1
441	и еще	1	1
442	в точности	1	1
443	в голове	1	1
444	пародия на	1	1
445	в сфере	1	1
446	в самую	2	1
447	человеческая личность	1	1
448	еще ничего	1	1
449	страдания и	1	1
450	а между	1	1
451	первый объект	1	1
452	положение о	1	1
453	они сами	1	1
454	и непосредственного	1	1
455	русской литературы	2	1
456	который в	2	1
457	как некое	1	1
458	сильное впечатление	1	1
459	этого слова	1	1
460	что говорит	2	1
461	ко всей	1	1
462	перед нами	2	1
463	не понял	1	1
464	что даже	1	1
465	на котором	1	1
466	не мог	2	1
467	к ее	1	1
468	часто и	1	1
469	с того	1	1
470	намек на	1	1
471	все в	1	1
472	чтобы убить	1	1
473	им как	1	1
474	и прямо	1	1
475	и он	3	1
476	ему в	1	1
477	в ребенке	1	1
478	на путях	1	1
479	ужас и	1	1
480	первого же	2	1
481	на вопрос	1	1
482	ненависть к	2	1
483	но еще	1	1
484	словами о	1	1
485	начала и	1	1
486	это часто	1	1
487	но от	1	1
488	а это	1	1
489	для искусства	2	1
490	в недрах	1	1
491	почему бы	1	1
492	есть в	1	1
493	не способен	1	1
494	из своих	2	1
495	смысл этой	1	1
496	отказывается от	2	1
497	и один	1	1
498	смысле этого	1	1
499	в виде	2	1
500	же не	1	1
501	больше в	1	1
502	которые так	1	1
503	№ и	1	1
504	но эта	2	1
505	на нее	1	1
506	это мы	1	1
507	эти образы	1	1
508	частью его	1	1
509	можно так	1	1
510	позицию по	1	1
511	и эта	1	1
512	всегда оказывается	1	1
513	за бортом	1	1
514	она стремится	1	1
515	как говорит	2	1
516	было до	1	1
517	но я	1	1
518	страха и	1	1
519	в переводе	1	1
520	при таком	1	1
521	в двух	1	1
522	и это	2	1
523	при его	1	1
524	а из	1	1
525	не был	2	1
526	только он	1	1
527	людей в	1	1
528	жизнь и	3	1
529	борьба двух	1	1
530	говорит он	1	1
531	материалом для	1	1
532	он любит	1	1
533	за то	1	1
534	своих прежних	1	1
535	а к	1	1
536	мелкого буржуа	1	1
537	борьбу с	1	1
538	на свои	1	1
539	связи с	1	1
540	господа я	1	1
541	на страницах	3	1
542	взрослого человека	1	1
543	называет его	1	1
544	но при	2	1
545	чтобы он	1	1
546	страсти я	1	1
547	исключительное значение	1	1
548	ту же	1	1
549	характерны для	1	1
550	идей и	1	1
551	он стал	1	1
552	это по	1	1
553	что эта	1	1
554	она хочет	1	1
555	как он	1	1
556	отказ от	1	1
557	можно было	1	1
558	собою но	1	1
559	в форме	1	1
560	вот что	1	1
561	себя на	1	1
562	еще в	2	1
563	и хотя	1	1
564	даже не	1	1
565	ни разу	1	1
566	как же	2	1
567	но этот	1	1
568	борьбе за	1	1
569	говорили что	1	1
570	ее субъективного	1	1
571	умирает и	1	1
572	и т.д	1	1
573	у которого	1	1
574	мысль о	1	1
575	и совершенно	1	1
576	значение и	1	1
577	но теперь	1	1
578	самое сильное	1	1
579	я в	1	1
580	одному человеку	1	1
581	со своими	1	1
582	отцом является	1	1
583	затем он	1	1
584	больное место	1	1
585	она находит	1	1
586	только по	1	1
587	его поведения	1	1
588	слова в	1	1
589	роль играет	1	1
590	отождествляется с	1	1
591	как будто	3	1
592	здесь мы	1	1
593	за себя	1	1
594	оно начинает	1	1
595	теперь еще	1	1
596	от всего	2	1
597	и особенно	1	1
598	за счет	1	1
599	что на	1	1
600	где мы	1	1
