N	2gram	Bakhtin_sl	Literetu
333	сознание в	1	3
334	что такое	1	3
335	от языка	3	3
336	а с	2	3
337	сознания на	1	3
338	мне в	1	3
339	не есть	2	3
340	в чем	2	3
341	той или	13	3
342	всех своих	2	3
343	но как	2	3
344	для его	1	3
345	героя и	5	3
346	решающее значение	1	3
347	текста и	1	3
348	же как	2	3
349	к новым	1	3
350	но только	1	3
351	в историческом	2	3
352	в иных	2	3
353	т п	49	3
354	он в	6	3
355	произведения в	2	3
356	что для	1	3
357	ответственность за	2	3
358	и от	5	3
359	там где	10	3
360	себе как	2	3
361	в особенности	10	3
362	однако с	1	3
363	за ним	1	3
364	должна быть	3	3
365	был бы	2	3
366	ним и	2	3
367	в отношении	9	3
368	то с	1	3
369	целом ряде	1	3
370	не на	6	3
371	можно было	2	3
372	если бы	1	3
373	романного героя	1	3
374	с ней	2	3
375	так называемый	1	3
376	от автора	4	3
377	где в	1	3
378	например и	2	3
379	произведение в	1	3
380	xx века	2	3
381	и т	56	3
382	они не	3	3
383	да и	2	3
384	вследствие этого	1	3
385	которая не	3	3
386	по крайней	1	3
387	я говорю	1	3
388	речь в	2	3
389	бы и	6	3
390	объекта в	1	3
391	того чтобы	1	3
392	из его	1	3
393	и уже	1	3
394	в образах	1	3
395	не могло	3	3
396	отношении к	9	3
397	о своем	1	3
398	и до	2	3
399	в истории	6	3
400	как например	1	3
401	в этот	1	3
402	этом с	1	3
403	том же	4	3
404	в сознании	3	3
405	здесь не	6	3
406	столько в	1	3
407	к предмету	4	3
408	всяком случае	7	3
409	предстает как	1	3
410	тот же	1	3
411	ничего не	5	3
412	на языке	2	3
413	различие между	1	3
414	ни с	1	3
415	исторической жизни	3	3
416	сколько в	1	3
417	о нем	6	3
418	с чем	1	3
419	из своих	2	3
420	на самом	2	3
421	сознания и	1	3
422	или иную	1	3
423	с их	1	3
424	все равно	1	3
425	а на	3	3
426	этого рода	1	3
427	этого не	1	3
428	без остатка	1	3
429	дело в	2	3
430	в действительности	1	3
431	в какой	2	3
432	от слова	1	3
433	все эти	15	3
434	но по	2	3
435	жизнью в	1	3
436	за его	2	3
437	и потому	9	3
438	отказа от	1	3
439	он говорит	1	3
440	особый мир	2	3
441	на один	2	3
442	поэт не	1	3
443	как уже	2	3
444	также и	5	3
445	стороны и	3	3
446	сознания для	2	3
447	поэтому для	1	3
448	и иных	6	3
449	еще на	1	3
450	числе и	1	3
451	отношение к	8	3
452	и о	3	3
453	художественного произведения	1	3
454	в эстетической	1	3
455	есть не	2	3
456	в той	13	2
457	во всем	3	2
458	от него	5	2
459	на границах	1	2
460	поскольку его	1	2
461	еще раз	3	2
462	самого человека	1	2
463	в свое	3	2
464	над языком	2	2
465	всей жизни	1	2
466	тем как	1	2
467	потому не	1	2
468	литературной и	1	2
469	и другими	2	2
470	в результате	4	2
471	до последнего	2	2
472	среди других	3	2
473	целом как	1	2
474	их не	1	2
475	для понимания	3	2
476	а напротив	1	2
477	автором и	3	2
478	уже об	1	2
479	вне себя	5	2
480	и другим	4	2
481	что по	1	2
482	на эту	1	2
483	роль в	4	2
484	в обращении	1	2
485	оттесняет на	1	2
486	в это	1	2
487	мир и	1	2
488	его интенции	1	2
489	в самый	1	2
490	отношением к	1	2
491	на первый	1	2
492	сам же	1	2
493	действительности в	1	2
494	творчества в	1	2
495	теперь эта	1	2
496	книге о	1	2
497	в котором	2	2
498	языка в	21	2
499	даже и	4	2
500	только как	2	2
501	но даже	1	2
502	это его	1	2
503	с другим	1	2
504	к своей	2	2
505	между двумя	1	2
506	здесь это	1	2
507	значительной степени	6	2
508	еще более	7	2
509	всего что	1	2
510	освободиться от	1	2
511	сказать что	4	2
512	в контексте	5	2
513	и у	2	2
514	быть в	1	2
515	слово не	3	2
516	тем более	1	2
517	а со	1	2
518	никто его	1	2
519	гораздо более	1	2
520	к нему	7	2
521	лишь тогда	2	2
522	только не	2	2
523	потенции языка	1	2
524	не зная	1	2
525	и столь	1	2
526	нами не	1	2
527	на протяжении	3	2
528	на таких	1	2
529	остаются в	3	2
530	у каждого	2	2
531	первый раз	1	2
532	в недрах	1	2
533	с другими	8	2
534	не от	1	2
535	стремится к	2	2
536	языка он	1	2
537	и притом	1	2
538	но он	4	2
539	и некоторые	1	2
540	и говорит	1	2
541	быть только	3	2
542	xviii века	3	2
543	собственное слово	1	2
544	тому что	2	2
545	не остается	2	2
546	человек и	13	2
547	лишь на	3	2
548	человек в	6	2
549	себя как	2	2
550	так сказать	11	2
551	а только	1	2
552	людей в	1	2
553	слово как	11	2
554	как сказано	4	2
555	бы в	1	2
556	не был	2	2
557	остается в	5	2
558	если оно	2	2
559	превращаясь в	1	2
560	данный момент	4	2
561	лишь при	2	2
562	с какой	1	2
563	самому себе	1	2
564	явления в	1	2
565	бы они	1	2
566	исключают друг	1	2
567	на нем	2	2
568	одно и	3	2
569	всех других	1	2
570	в нас	1	2
571	как известно	1	2
572	слова из	1	2
573	культуры и	2	2
574	в толпе	2	2
575	друг другу	2	2
576	оставляет в	2	2
577	человека и	3	2
578	сам в	2	2
579	эпохи в	1	2
580	что может	1	2
581	в общем	1	2
582	бы быть	2	2
583	поэтического творчества	1	2
584	автора как	1	2
585	и по	3	2
586	в него	9	2
587	и чужого	4	2
588	чтобы не	1	2
589	и ее	3	2
590	таких же	1	2
591	лишь его	1	2
592	живет на	1	2
593	однако и	2	2
594	языка который	2	2
595	в сочетании	2	2
596	та же	1	2
597	поэт говорит	1	2
598	как с	2	2
599	индивидуального сознания	3	2
600	переходит в	3	2
601	к художественному	1	2
602	на почве	6	2
603	своего собственного	1	2
604	своего времени	1	2
605	героя в	2	2
606	тогда когда	2	2
607	оно было	4	2
608	и при	2	2
609	со своим	13	2
610	что они	2	2
611	романа и	8	2
612	есть и	1	2
613	нашего времени	1	2
614	из существеннейших	5	2
615	для них	2	2
616	оно не	12	2
617	все то	2	2
618	борьба с	5	2
619	легко и	1	2
620	язык жив	1	2
621	значение в	2	2
622	не поддается	1	2
623	в филологических	1	2
624	в хлебникова	1	2
625	к его	1	2
626	с ними	8	2
627	каждого из	1	2
628	который не	1	2
629	при всех	2	2
630	и было	1	2
631	себя один	1	2
632	перед нами	7	2
633	к той	1	2
634	свое время	1	2
635	именно такой	1	2
636	это и	1	2
637	не сомневается	1	2
638	в прозе	1	2
639	и более	3	2
640	в диалог	1	2
641	есть от	2	2
642	поэт в	1	2
643	в значительной	6	2
644	из этих	3	2
645	время в	1	2
646	с которой	1	2
647	своей внутренней	1	2
648	могло быть	1	2
649	или иных	1	2
650	к своим	1	2
651	и ему	1	2
652	и об	1	2
653	он как	1	2
654	от других	2	2
655	а лишь	2	2
656	автора в	2	2
657	не знающий	1	2
658	но мы	2	2
659	нет и	1	2
660	мог бы	1	2
661	то она	1	2
662	отражения в	1	2
663	со словом	4	2
664	от всякой	3	2
665	у них	2	2
666	с каким	2	2
667	жизни но	2	2
668	автора а	1	2
669	этом случае	4	2
670	произведения как	3	2
671	в первый	1	2
672	мы имеем	1	2
673	на роль	1	2
674	себя самого	1	2
675	творческой личности	1	2
676	в русском	1	2
677	непосредственно в	1	2
678	этого сознания	1	2
679	от всех	1	2
680	чем он	2	2
681	и всякое	2	2
682	и где	1	2
683	виду не	1	2
684	в последнем	1	2
685	впрочем не	1	2
686	говорить на	1	2
687	и без	1	2
688	есть в	1	2
689	к концу	1	2
690	и художественного	1	2
691	вокруг себя	2	2
692	ибо в	1	2
693	должен быть	3	2
694	как все	1	2
695	жизнь и	1	2
696	в таком	5	2
697	освобождения от	1	2
698	а как	3	2
699	следует говорить	1	2
700	оно в	1	2
701	могут служить	1	2
702	она не	8	2
703	его не	4	2
704	дело не	2	2
705	ни был	1	2
706	дает им	2	2
707	целого в	1	2
708	как явление	1	2
709	к которой	1	2
710	даже по	1	2
711	в большинстве	16	2
712	на это	1	2
713	оно должно	1	2
714	в понимании	3	2
715	только по	1	2
716	этом и	1	2
717	в общественном	1	2
718	слова в	19	2
719	тех или	1	2
720	в эти	1	2
721	как целого	1	2
722	может и	1	2
723	и себе	1	2
724	не можем	1	2
725	почву для	2	1
726	к действительности	1	1
727	является в	1	1
728	на определенные	1	1
729	мире а	1	1
730	в настоящем	1	1
731	случае в	1	1
732	таких моментов	1	1
733	этого в	1	1
734	этого необходимо	1	1
735	никогда и	1	1
736	в произведение	2	1
737	со всем	1	1
738	наконец даже	2	1
739	которые не	1	1
740	новые миры	1	1
741	и становятся	1	1
742	без исключения	2	1
743	дело с	4	1
744	всего произведения	2	1
745	в особый	2	1
746	ряд явлений	1	1
747	в ряде	1	1
748	эпохи а	1	1
749	конца не	1	1
750	свое высказывание	1	1
751	в некоторых	3	1
752	какой бы	1	1
753	каждый данный	5	1
754	говорит о	1	1
755	проникновения в	1	1
756	и двух	1	1
757	которое может	1	1
758	длинные и	1	1
759	миф в	1	1
760	нас в	3	1
761	с той	1	1
762	и вторая	1	1
763	требует от	2	1
764	используются в	2	1
765	в состав	3	1
766	у пушкина	1	1
767	всей ее	1	1
768	что слово	1	1
769	людей и	2	1
770	установки на	1	1
771	стороны всякого	1	1
772	ко всем	1	1
773	между автором	2	1
774	миром как	1	1
775	более или	5	1
776	значение это	1	1
777	он остается	1	1
778	на свой	1	1
779	но все	2	1
780	такими же	1	1
781	некоторые другие	1	1
782	это может	2	1
783	для осуществления	1	1
784	которой принадлежат	1	1
785	всегда остается	1	1
786	из самых	2	1
787	слова с	3	1
788	которое по	1	1
789	жанровых формах	1	1
790	особый язык	5	1
791	стиля как	1	1
792	в построении	2	1
793	самому и	1	1
794	кстати сказать	1	1
795	своих и	1	1
796	этого типа	2	1
797	единого и	5	1
798	в собственном	2	1
799	притом в	3	1
800	к имени	1	1
801	над самим	1	1
802	человеческой речи	2	1
803	от поэзии	1	1
804	за ней	1	1
805	не его	2	1
806	и по-своему	1	1
807	как только	4	1
808	другого чужого	1	1
809	всем его	2	1
810	связано с	3	1
811	не язык	2	1
812	с этим	5	1
813	него из	1	1
814	при определенных	1	1
815	рассказ о	1	1
816	от последней	1	1
817	при наличии	1	1
818	власти этого	1	1
819	на этой	1	1
820	при условии	1	1
821	этой почве	1	1
822	от исследователя	1	1
823	его жизни	1	1
824	эти идеи	1	1
825	на чужое	1	1
826	нас и	1	1
827	значимости в	1	1
828	время от	1	1
829	говорящего как	3	1
830	и место	1	1
831	почти исключительно	1	1
832	но эти	3	1
833	характерный пример	1	1
834	именно там	1	1
835	пределах самого	1	1
836	различных его	1	1
837	всегда так	1	1
838	он осветит	1	1
839	и самостоятельное	1	1
840	мы все	2	1
841	выступает здесь	2	1
842	может служить	1	1
843	каждое слово	5	1
844	в различных	1	1
845	другие и	1	1
846	отказом от	1	1
847	своего поэтического	1	1
848	в игру	1	1
849	конечно не	7	1
850	и те	3	1
851	с общей	1	1
852	ведет и	1	1
853	точному и	1	1
854	и общества	2	1
855	самого начала	1	1
856	как таковую	1	1
857	точке зрения	2	1
858	автора с	1	1
859	язык язык	1	1
860	и остается	3	1
861	дело и	2	1
862	герой может	1	1
863	с авторской	2	1
864	оказывается перед	1	1
865	или чаще	1	1
866	о художественной	1	1
867	среди них	1	1
868	его за	1	1
869	вернуться к	1	1
870	из всех	1	1
871	ее как	1	1
872	и вместо	1	1
873	такая же	2	1
874	в самое	1	1
875	языка как	10	1
876	все говорят	2	1
877	автора или	2	1
878	на него	1	1
879	как прямой	1	1
880	из романа	2	1
881	же слова	1	1
882	входят в	3	1
883	в зависимости	4	1
884	не умеет	2	1
885	его идеологической	1	1
886	во всякой	1	1
887	приближаются к	1	1
888	отказываясь от	1	1
889	на предмет	4	1
890	от них	1	1
891	звучать как	1	1
892	и свет	1	1
893	человеку и	1	1
894	в отдельных	1	1
895	на котором	3	1
896	возникает и	1	1
897	авторитета в	1	1
898	в системе	2	1
899	языка к	1	1
900	где все	1	1
901	но было	1	1
902	того о	1	1
903	зрения говорящего	1	1
904	и чужих	3	1
905	от жанра	2	1
906	представить себе	1	1
907	весь в	1	1
908	она имеет	1	1
909	влияние на	3	1
910	его так	3	1
911	и автор	1	1
912	максим максимыч	1	1
913	оно оказывается	1	1
914	остались те	1	1
915	явления как	1	1
916	как такового	3	1
917	и синтаксическую	1	1
918	здесь нет	1	1
919	с единым	1	1
920	как для	1	1
921	собой в	1	1
922	в состоянии	1	1
923	что уже	1	1
924	состояние его	1	1
925	в исторических	1	1
926	в стиле	1	1
927	долженствование а	1	1
928	поэтического сознания	1	1
929	такой классический	1	1
930	все новые	1	1
931	корнями в	2	1
932	находится в	1	1
933	что при	1	1
934	периода как	1	1
935	души и	1	1
936	поэта в	2	1
937	расчленения и	1	1
938	в корне	1	1
939	как реплика	1	1
940	п это	1	1
941	зрения которого	1	1
942	процессе своего	1	1
943	мы ее	1	1
944	не была	3	1
945	чем в	3	1
946	единым и	5	1
947	их но	1	1
948	в которой	4	1
949	живет и	2	1
950	не о	1	1
951	века не	1	1
952	полное отсутствие	1	1
953	борьбы с	3	1
954	как по	1	1
955	прежде чем	1	1
956	и позволяет	1	1
957	евгении онегине	3	1
958	сущности только	1	1
959	своего и	4	1
960	произведение как	1	1
961	он их	2	1
962	слова ведь	1	1
963	с самого	1	1
964	его понимании	1	1
965	в среде	1	1
966	между этими	3	1
967	в последних	1	1
968	языком не	1	1
969	на пути	1	1
970	в евгении	3	1
971	литературе и	1	1
972	между ними	2	1
973	также в	1	1
974	днем и	1	1
975	и она	2	1
976	и иные	2	1
977	поэтической речи	1	1
978	большинстве случаев	11	1
979	всем своем	1	1
980	между прочим	1	1
981	рядом с	7	1
982	за словом	1	1
983	от этого	2	1
984	того и	1	1
985	отличии от	1	1
986	и личность	1	1
987	о которых	2	1
988	больше всего	1	1
989	в свете	3	1
990	интересам и	1	1
991	в двух	2	1
992	в диалогическом	2	1
993	в первые	1	1
994	его души	1	1
995	был не	1	1
996	в смысле	7	1
997	находя в	1	1
998	в эту	3	1
999	на себе	2	1
1000	на другом	1	1
1001	в других	4	1
1002	сих пор	4	1
1003	и тематически	2	1
1004	строит свое	1	1
1005	привносит в	1	1
1006	и мир	9	1
1007	мастерства в	1	1
1008	выдержана в	2	1
1009	поэтическое произведение	1	1
1010	язык где	1	1
1011	такого слова	1	1
1012	какой степени	1	1
1013	в лучшем	3	1
1014	вне языка	1	1
1015	мы можем	1	1
1016	находит свое	1	1
1017	слов или	1	1
1018	в устах	1	1
1019	мы уже	4	1
1020	в наше	1	1
1021	все остальные	1	1
1022	именно потому	1	1
1023	ее же	1	1
1024	и дети	1	1
1025	разногласия и	1	1
1026	личности и	1	1
1027	воспринимаются как	1	1
1028	говорить об	1	1
1029	новые и	2	1
1030	оно и	4	1
1031	как объект	1	1
1032	романный герой	1	1
1033	не были	3	1
1034	прозе и	1	1
1035	и определяет	1	1
1036	соединении с	1	1
1037	разделяется на	1	1
1038	потребность в	1	1
1039	и сказал	1	1
1040	поэтому даже	1	1
1041	как автор	1	1
1042	даже не	1	1
1043	смысл которой	1	1
1044	также не	1	1
1045	для наших	1	1
1046	из общего	1	1
1047	как один	1	1
1048	о мире	1	1
1049	с таким	3	1
1050	которого в	1	1
1051	которых оно	1	1
1052	с большой	1	1
1053	занимает в	1	1
1054	этого целого	1	1
1055	героя во	1	1
1056	только с	3	1
1057	и воля	2	1
1058	бы его	2	1
1059	подход к	2	1
1060	говорят и	1	1
1061	приводят к	1	1
1062	творцов и	1	1
1063	своего художественного	1	1
1064	которая на	1	1
1065	например о	1	1
1066	ослабление и	1	1
1067	свои силы	1	1
1068	установление границ	1	1
1069	своей и	1	1
1070	себе ни	1	1
1071	чаще всего	1	1
1072	предмет и	1	1
1073	его словами	1	1
1074	время он	1	1
1075	которые были	2	1
1076	максимыч в	1	1
1077	с живыми	1	1
1078	независимо от	1	1
1079	всех этих	8	1
1080	меньшей степени	4	1
1081	в один	2	1
1082	и особенно	2	1
1083	он должен	1	1
1084	одного и	1	1
1085	точкам зрения	1	1
1086	в пространстве	1	1
1087	в подлинном	1	1
1088	мы видели	3	1
1089	в единство	2	1
1090	поэзия в	1	1
1091	и перестает	1	1
1092	быть он	1	1
1093	к сожалению	1	1
1094	не мешает	1	1
1095	формы не	1	1
1096	основе этой	1	1
1097	несовместимы в	1	1
1098	социальной жизни	1	1
1099	до сих	4	1
1100	автор и	3	1
1101	и здесь	5	1
1102	само слово	1	1
1103	и взаимоотношение	1	1
1104	предметы и	1	1
1105	и свою	1	1
1106	текст в	1	1
1107	есть образ	1	1
1108	его из	1	1
1109	в основном	7	1
1110	художественное сознание	1	1
1111	его с	1	1
1112	языка однако	1	1
1113	во власти	2	1
1114	слово для	2	1
1115	интерес в	1	1
1116	за ними	1	1
1117	нашего восприятия	1	1
1118	говорит и	2	1
1119	чтобы стать	1	1
1120	когда это	1	1
1121	проникает в	1	1
1122	и этого	1	1
1123	в тень	1	1
1124	явление в	2	1
1125	его на	2	1
1126	не исчерпывается	3	1
1127	от этой	3	1
1128	осознании и	1	1
1129	поэтому в	1	1
1130	задолго до	1	1
1131	от общего	1	1
1132	в живых	1	1
1133	с каждым	1	1
1134	сознании людей	1	1
1135	самого по	1	1
1136	него нет	3	1
1137	не могут	7	1
1138	велика что	1	1
1139	ощущения в	1	1
1140	смотреть на	1	1
1141	нам в	1	1
1142	синтаксических конструкций	1	1
1143	с некоторыми	1	1
1144	квалифицируются как	1	1
1145	в материале	1	1
1146	иметь в	1	1
1147	смысла и	6	1
1148	к авторитарному	1	1
1149	мы говорим	1	1
1150	не выходит	3	1
1151	свою жизнь	1	1
1152	на территории	2	1
1153	наоборот как	1	1
1154	в различные	2	1
1155	встречаются и	1	1
1156	с общим	1	1
1157	области поэтики	1	1
1158	и действительно	1	1
1159	в процессе	14	1
1160	смыслового ядра	1	1
1161	от художественного	1	1
1162	всякий иной	1	1
1163	может стать	3	1
1164	подхода к	5	1
1165	за свое	1	1
1166	и так	1	1
1167	состоит из	1	1
1168	от его	4	1
1169	и герой	1	1
1170	них он	1	1
1171	правда не	3	1
1172	в которых	1	1
1173	здесь может	1	1
1174	установкой на	4	1
1175	своего предмета	5	1
1176	то центральная	1	1
1177	о котором	1	1
1178	зависимости от	4	1
1179	в известном	2	1
1180	этом его	1	1
1181	лермонтова в	1	1
1182	к другому	1	1
1183	языка на	3	1
1184	высказывание в	1	1
1185	поэтические явления	1	1
1186	этой власти	1	1
1187	слова о	2	1
1188	слова к	4	1
1189	ориентация на	1	1
1190	автора но	1	1
1191	только одно	1	1
1192	так уже	1	1
1193	высказывание как	1	1
1194	язык только	1	1
1195	в диалоге	1	1
1196	слова которое	1	1
1197	слова все	5	1
1198	отличается от	3	1
1199	карамазова и	1	1
1200	языка и	18	1
1201	что мы	1	1
1202	совершенно иной	1	1
1203	своей направленности	1	1
1204	задний план	1	1
1205	высказывания и	3	1
1206	чужого слова	42	1
1207	можно лишь	1	1
1208	не должно	3	1
1209	в русле	4	1
1210	человека от	1	1
1211	самого автора	4	1
1212	героев достоевского	1	1
1213	своим языком	2	1
1214	те или	4	1
1215	именно на	3	1
1216	и вся	2	1
1217	снова и	1	1
1218	здесь о	1	1
1219	в романном	4	1
1220	в разрушении	1	1
1221	на основании	1	1
1222	для литературы	1	1
1223	диалогическим взаимодействием	1	1
1224	ее с	2	1
1225	как проблема	1	1
1226	он по	1	1
1227	целый ряд	2	1
1228	ни были	3	1
1229	более и	1	1
1230	иным путем	1	1
1231	форм этой	1	1
1232	в новых	2	1
1233	себя от	2	1
1234	среди которых	1	1
1235	в каком	1	1
1236	как будет	1	1
1237	глубокое и	2	1
1238	обычно квалифицируются	1	1
1239	и там	6	1
1240	входит как	1	1
1241	если мы	2	1
1242	и во	3	1
1243	произведения и	2	1
1244	эти категории	2	1
1245	для изучения	1	1
1246	культурой в	1	1
1247	но именно	5	1
1248	за пределами	3	1
1249	бальмонт в	1	1
1250	отход от	1	1
1251	глубокое различие	1	1
1252	в определенном	1	1
1253	для всего	2	1
1254	в каждый	5	1
1255	рождается в	1	1
1256	на этот	1	1
1257	к изучению	1	1
1258	взаимодействия с	3	1
1259	и достоевского	1	1
1260	оглядка на	1	1
1261	этот последний	1	1
1262	всех дорог	1	1
1263	обращение к	1	1
1264	воспитания и	2	1
1265	же он	1	1
1266	его стихи	1	1
1267	движения и	1	1
1268	прибегает к	1	1
1269	последнего времени	2	1
1270	характерные для	2	1
1271	они воспринимаются	1	1
1272	и последовательной	1	1
1273	не знают	1	1
1274	слова так	2	1
1275	именно к	3	1
1276	существенных для	1	1
1277	оно определяется	1	1
1278	смерть и	1	1
1279	этого чужого	1	1
1280	и прямо	4	1
1281	исключает и	1	1
1282	слово требует	2	1
1283	выходит за	3	1
1284	ничем не	1	1
1285	его внутренняя	1	1
1286	рода и	1	1
1287	иной характер	1	1
1288	например стихотворение	1	1
1289	его становления	1	1
1290	словом не	1	1
1291	способность к	1	1
1292	такого героя	1	1
1293	сам он	1	1
1294	того как	2	1
1295	в последней	1	1
1296	освобождает от	2	1
1297	который может	1	1
1298	слово что	1	1
1299	однако как	1	1
1300	голоса в	2	1
1301	по своим	6	1
