N	2gram	Berdyaev_M	Sovremen
201	вражда к	2	1
202	с другой	1	1
203	и тогда	2	1
204	в этот	2	1
205	с ним	5	1
206	она уже	1	1
207	что вся	1	1
208	он не	34	1
209	и из	1	1
210	имеет с	1	1
211	то нет	4	1
212	за собой	2	1
213	и той	2	1
214	будет ли	1	1
215	одной и	2	1
216	не будет	3	1
217	те же	5	1
218	между двумя	1	1
219	красоты в	1	1
220	как у	2	1
221	увидим что	5	1
222	и вся	1	1
223	поэтому в	1	1
224	совпадают с	1	1
225	и их	3	1
226	и всегда	3	1
227	бы так	1	1
228	нужно сказать	1	1
229	все что	5	1
230	и та	2	1
231	если нет	9	1
232	силы в	1	1
233	на самом	2	1
234	на которой	1	1
235	для них	3	1
236	можно было	1	1
237	и должно	3	1
238	xix века	4	1
239	ни в	3	1
240	человеком человек	1	1
241	и от	3	1
242	в начале	2	1
243	этом направлении	1	1
244	по отношению	4	1
245	еще в	4	1
246	конечно не	3	1
247	и ничего	1	1
248	весь мир	1	1
249	целостность целостность	1	1
250	и тот	2	1
251	но что	1	1
252	переходит из	1	1
253	и те	4	1
254	только в	7	1
255	которая не	2	1
256	этот вопрос	1	1
257	все равно	3	1
258	не случайно	1	1
259	в ином	2	1
260	так же	5	1
261	человек занимает	1	1
262	нет свободы	2	1
263	чего же	2	1
264	его в	6	1
265	существо и	2	1
266	конца к	1	1
267	в обоих	1	1
268	свободы и	13	1
269	себе в	3	1
270	должен был	4	1
271	с человеком	2	1
272	чем в	3	1
273	в будущем	1	1
274	жизни оно	1	1
275	в своих	4	1
276	не было	25	1
277	с его	6	1
278	и ответственности	1	1
279	как будет	1	1
280	один из	9	1
281	которые ограничивают	1	1
282	всегда и	1	1
283	в духе	6	1
284	был прежде	3	1
285	на это	1	1
286	природы нет	1	1
287	если бы	5	1
288	не знает	12	1
289	заключает в	3	1
290	а о	1	1
291	ни одного	2	1
292	к одному	2	1
293	без остатка	1	1
294	и еще	3	1
295	их и	1	1
296	как его	1	1
297	может ли	2	1
298	на такой	1	1
299	так называемый	2	1
300	вообще и	1	1
301	мы говорим	1	1
302	но эта	2	1
303	для каждого	1	1
304	одного из	1	1
305	природы и	1	1
306	же как	1	1
307	сказать что	5	1
308	и эта	3	1
309	начала должны	1	1
310	жизни как	1	1
311	но для	2	1
312	уже на	1	1
313	ее даже	1	1
314	и действительно	1	1
315	такое же	1	1
316	и до	1	1
317	совсем иное	2	1
318	но никогда	1	1
319	остаток и	1	1
320	и чисто	1	1
321	отношению к	4	1
322	как нет	1	1
323	одной из	1	1
324	более и	1	1
325	в своем	17	1
326	она и	1	1
327	необходимости и	2	1
328	но ведь	1	1
329	на поверхности	9	1
330	в какой	1	1
331	одни и	2	1
332	в нормальных	1	1
333	между ними	1	1
334	во всей	1	1
335	с поразительной	1	1
336	том что	7	1
337	что такой	1	1
338	рядом с	1	1
339	в мире	12	1
340	и прежде	1	1
341	всеми его	1	1
342	с последней	1	1
343	на эту	1	1
344	дома и	1	1
345	жизни в	3	1
346	но не	8	1
347	так в	1	1
348	но если	4	1
349	они не	4	1
350	к концу	5	1
351	по себе	2	1
352	он сам	11	1
353	себе даже	2	1
354	через все	2	1
355	не имеет	7	1
356	в природе	1	1
357	на какой	2	1
358	к этому	3	1
359	в такой	4	1
360	все более	1	1
361	в то	2	1
362	и только	1	1
363	значит что	4	1
364	по своим	1	1
365	ли он	2	1
366	это совершенно	1	1
367	только и	7	1
368	или нет	1	1
369	нет никаких	2	1
370	но это	8	1
371	оно имеет	1	1
372	и для	7	1
373	есть то	2	1
374	природой и	3	1
375	вопрос и	2	1
376	не из	1	1
377	для их	1	1
378	не что	4	1
379	и это	16	1
380	он осуществляет	1	1
381	все время	3	1
382	нет в	5	1
383	и если	1	1
384	жизни которое	1	1
385	не принимает	2	1
386	для нашей	1	1
387	должен быть	4	1
388	западной европе	1	1
389	он с	1	1
390	и его	13	1
391	жизни не	2	1
392	в первых	2	1
393	уже совершенно	1	1
394	вовсе не	1	1
395	мере в	1	1
396	во внутреннем	1	1
397	жизни к	1	1
398	и свою	1	1
399	о том	5	1
400	сих пор	5	1
401	есть не	9	1
402	мысли в	1	1
403	иное как	4	1
404	которая и	1	1
405	или так	1	1
406	зрения и	1	1
407	и нет	3	1
408	к другому	4	1
409	человека и	19	1
410	к нему	8	1
411	никогда не	30	1
412	на них	1	1
413	могли быть	1	1
414	а потом	1	1
