N	2gram	Savitsky_E	Istorich
271	стороны и	6	9
272	что на	2	9
273	по этому	1	9
274	жизни и	2	9
275	это значит	2	8
276	и сам	1	8
277	в некотором	4	8
278	именно в	4	8
279	во всяком	3	8
280	конечно не	1	8
281	они должны	1	8
282	с другими	2	8
283	большинстве случаев	3	8
284	чем это	1	8
285	мы будем	1	8
286	есть ли	2	8
287	та же	1	8
288	также что	1	8
289	на берегу	1	8
290	только тогда	1	8
291	и наоборот	1	8
292	независимо от	4	8
293	смысле этого	1	8
294	приводит нас	2	8
295	ту же	1	8
296	и другое	1	8
297	и потому	5	8
298	значит что	1	8
299	тем самым	5	8
300	которые в	1	8
301	для этого	1	8
302	или по	2	8
303	одно из	1	8
304	можно сказать	4	8
305	входит в	1	8
306	он на	1	8
307	она и	1	8
308	что его	1	8
309	не дает	3	8
310	на своем	3	8
311	кажется что	2	8
312	северной америке	3	8
313	но с	2	8
314	и эта	2	8
315	вообще не	3	8
316	в жизни	1	8
317	от того	1	8
318	этих народов	3	7
319	и когда	1	7
320	уже и	3	7
321	и некоторые	3	7
322	тому что	1	7
323	не есть	2	7
324	между собой	2	7
325	о которых	1	7
326	в эту	2	7
327	земель в	1	7
328	между тем	8	7
329	если в	2	7
330	большую роль	1	7
331	вспомним что	1	7
332	к которым	5	7
333	становится ясным	1	7
334	состоит в	1	7
335	что оно	1	7
336	в стране	2	7
337	на них	2	7
338	в китае	1	7
339	в начале	1	7
340	еще в	1	7
341	в области	11	7
342	вплоть до	1	7
343	те же	1	7
344	в каких	1	7
345	во многих	4	7
346	связь между	1	7
347	как на	3	7
348	в европе	1	7
349	ее и	1	7
350	указать на	1	7
351	это мы	1	7
352	также в	2	7
353	ли это	3	7
354	того же	3	7
355	когда мы	1	7
356	был бы	1	7
357	тех же	1	7
358	того чтобы	6	7
359	если мы	1	7
360	этого слова	1	7
361	всяком случае	3	7
362	для него	1	7
363	со своим	1	7
364	страх перед	1	7
365	в какой	2	7
366	думать что	8	7
367	в большинстве	2	7
368	одного из	1	7
369	и о	1	7
370	эти два	1	7
371	есть не	2	7
372	между ними	2	6
373	из всего	1	6
374	дело с	1	6
375	можно ли	3	6
376	той же	1	6
377	более поздние	2	6
378	что как	1	6
379	здесь на	1	6
380	оно может	1	6
381	нам кажется	7	6
382	к сожалению	1	6
383	что по	1	6
384	нет ничего	1	6
385	а через	1	6
386	связь и	1	6
387	в русском	1	6
388	отличие от	1	6
389	также и	7	6
390	для того	6	6
391	сводится к	1	6
392	но тем	1	6
393	народов не	2	6
394	от себя	1	6
395	то в	4	6
396	вопрос не	2	6
397	к жизни	1	6
398	что все	2	6
399	тому же	1	6
400	себе не	3	6
401	даже не	1	6
402	это может	1	6
403	быть и	1	6
404	борьбы с	1	6
405	не на	4	6
406	коротко ли	1	6
407	этой точки	5	6
408	к которой	1	6
409	можно усмотреть	1	6
410	заметить что	2	6
411	мог бы	2	6
412	с той	1	6
413	обстоит дело	3	6
414	фигурирует в	1	6
415	на ту	1	6
416	в своих	2	5
417	бы в	2	5
418	во все	3	5
419	из себя	1	5
420	или наоборот	1	5
421	и мы	3	5
422	нами в	1	5
423	имеются в	1	5
424	но когда	1	5
425	в сторону	2	5
426	по своей	2	5
427	или иное	1	5
428	с ее	1	5
429	для них	2	5
430	оно не	1	5
431	особого рода	1	5
432	можно назвать	1	5
433	историческое явление	1	5
434	о котором	1	5
435	в каком	4	5
436	что если	2	5
437	в которую	1	5
438	в совершенно	1	5
439	в отличие	1	5
440	она может	1	5
441	что во	1	5
442	не означает	2	5
443	в свое	1	5
444	эти две	1	5
445	по своему	7	5
446	однако не	1	5
447	это можно	1	5
448	видели в	1	5
449	которые не	1	5
450	еще более	2	5
451	но даже	4	5
452	но этот	1	5
453	несмотря на	4	5
454	что между	1	5
455	в таком	3	5
456	и затем	1	5
457	нем и	1	5
458	друг другу	1	5
459	что наряду	1	5
460	как таковой	1	5
461	переходит в	1	5
462	вступлении в	1	5
463	ли здесь	2	5
464	соответствии с	1	5
465	том числе	1	5
466	как нечто	1	5
467	или иначе	1	5
468	мира и	3	5
469	к концу	1	5
470	их на	1	5
471	при вступлении	2	5
472	это в	1	5
473	что из	1	5
474	можно утверждать	2	5
475	других случаях	1	5
476	в самом	4	4
477	до него	1	4
478	в разных	1	4
479	в результате	3	4
480	на которых	1	4
481	по своим	3	4
482	следовало бы	2	4
483	пока ты	1	4
484	на пути	1	4
485	и те	1	4
486	на одну	2	4
487	во всей	2	4
488	он сам	2	4
489	и во	2	4
490	к лесному	1	4
491	своем пути	1	4
492	чем в	4	4
493	это один	1	4
494	очевидно что	3	4
495	одном из	2	4
496	достаточно чтобы	1	4
497	не сразу	1	4
498	отнюдь не	9	4
499	от нее	1	4
500	и сейчас	2	4
501	такое толкование	1	4
502	то можно	1	4
503	он мог	1	4
504	по сравнению	2	4
505	для нее	1	4
506	находятся в	1	4
507	но на	3	4
508	отдельных случаев	1	4
509	в стороне	3	4
510	есть в	2	4
511	и вода	1	4
512	говорит об	1	4
513	тем более	4	4
514	но его	1	4
515	в свои	2	4
516	другой и	2	4
517	в южной	1	4
518	нас в	1	4
519	мысль о	1	4
520	другую сторону	1	4
521	правда в	1	4
522	прочим и	2	4
523	когда в	1	4
524	перед собой	1	4
525	ответить на	1	4
526	силы и	1	4
527	при рассмотрении	1	4
528	также на	1	4
529	и вообще	1	4
530	исходит из	1	4
531	который в	1	4
532	действительно ли	1	4
533	и всей	1	4
534	что тот	1	4
535	время в	3	4
536	с точки	17	4
537	когда его	1	4
538	они могут	1	4
539	играет роль	1	4
540	не будут	1	4
541	с большой	2	4
542	столь же	5	4
543	на месте	2	4
544	и этот	2	4
545	только те	2	4
546	связанное с	1	4
547	через некоторое	1	4
548	многих других	1	4
549	считает что	1	4
550	на тех	1	4
551	почти никогда	1	4
552	к берегу	2	4
553	входить в	1	4
554	дело в	3	4
555	в ту	1	4
556	в глубине	1	4
557	войти в	1	4
558	во второй	3	4
559	к тем	1	4
560	в человеческом	1	4
561	как не	2	4
562	является в	1	3
563	а у	1	3
564	мы находим	1	3
565	тем как	1	3
566	на другую	1	3
567	не знающие	1	3
568	в соответствии	1	3
569	казалось бы	1	3
570	америке есть	1	3
571	не обязательно	1	3
572	к морю	3	3
573	отметить что	3	3
574	так называемых	1	3
575	из всех	3	3
576	затем в	1	3
577	такая же	1	3
578	именно с	1	3
579	что даже	1	3
580	точка зрения	2	3
581	бы то	4	3
582	других более	1	3
583	внимание на	1	3
584	это происходило	1	3
585	вопрос мы	1	3
586	не дают	2	3
587	этого можно	1	3
588	воды и	1	3
589	могли бы	1	3
590	или это	1	3
591	бы она	1	3
592	и та	2	3
593	что некоторые	1	3
594	и другая	2	3
595	в обоих	1	3
596	чтобы не	1	3
597	как кажется	1	3
598	поэтому в	1	3
599	с природой	1	3
600	одновременно с	1	3
601	том смысле	1	3
602	каждого из	1	3
603	можно в	2	3
604	и поэтому	2	3
605	мы хотели	1	3
606	окажется что	2	3
607	народов и	3	3
608	северной америки	13	3
609	которые можно	1	3
610	на основании	2	3
611	у других	1	3
612	начиная с	2	3
613	нельзя сказать	1	3
614	именно к	2	3
615	одна и	2	3
616	с теми	1	3
617	долгое время	2	3
618	другие более	1	3
619	в такой	1	3
620	один и	1	3
621	и происходит	1	3
622	выше и	1	3
623	этот факт	3	3
624	рассматривать как	1	3
625	жизнью и	1	3
626	для всех	1	3
627	которая в	1	3
628	совершенно очевидно	2	3
629	исторической перспективе	1	3
630	как они	1	3
631	стороны в	2	3
632	совершенно одинаково	1	3
633	при таком	1	3
634	если этот	2	3
635	речь идет	1	3
636	сделать из	1	3
637	больше чем	1	3
638	можно считать	3	3
639	доказать что	1	3
640	имеет в	2	3
641	других народов	1	3
642	этого мира	1	3
643	как оно	2	3
644	так то	1	3
645	в мировом	1	3
646	а впоследствии	1	3
647	приступить к	1	3
648	должно быть	1	3
649	но еще	2	3
650	ни было	4	3
651	как же	2	3
652	как его	1	3
653	мире и	1	3
654	то ни	4	3
655	сомнения что	1	3
656	их к	1	3
657	сам в	1	3
658	с которым	1	3
659	ней в	1	3
660	всего в	2	3
661	приближается к	3	3
662	представить себе	1	3
663	во власти	2	3
664	из того	2	3
665	не делает	1	3
666	относятся к	2	3
667	как нам	5	3
668	сравнению с	2	3
669	и до	1	3
670	мы устанавливаем	1	3
671	в свой	1	3
672	хотели бы	1	3
673	только наиболее	1	3
674	и было	1	3
675	в предыдущем	4	3
676	бы на	1	3
677	в формах	1	3
678	из числа	4	3
679	бы с	1	3
680	понимать как	1	3
681	язык и	1	3
682	мнение что	1	3
683	бы дать	1	3
684	которую мы	5	3
685	у народа	1	3
686	крови и	1	3
687	что такие	1	3
688	как их	2	3
689	их можно	1	3
690	рода и	1	3
691	само по	4	3
692	они являются	1	2
693	производится в	1	2
694	с которыми	1	2
695	в большей	1	2
696	в центре	1	2
697	к другу	1	2
698	именно и	1	2
699	мы получаем	1	2
700	можно еще	1	2
701	и земли	1	2
702	в обстановку	1	2
703	большей или	1	2
704	моря в	1	2
705	всем его	1	2
706	если при	1	2
707	не служит	4	2
708	и должна	1	2
709	из их	1	2
710	в распоряжение	1	2
711	свою очередь	2	2
712	то его	1	2
713	в прошлом	3	2
714	и еще	2	2
715	него не	1	2
716	тот что	1	2
717	мы привели	1	2
718	в хозяйственной	1	2
719	но из	1	2
720	страны и	3	2
721	и процесс	1	2
722	это обстоятельство	1	2
723	упирается в	1	2
724	ее от	2	2
725	как по	1	2
726	можно судить	1	2
727	сказать чтобы	1	2
728	следует понимать	1	2
729	же обстоит	1	2
730	и следовательно	1	2
731	не нужно	2	2
732	а для	1	2
733	выступает в	1	2
734	только путем	1	2
735	иногда на	1	2
736	значение и	1	2
737	все остальные	1	2
738	для тех	1	2
739	на свой	1	2
740	в развитии	2	2
741	от которых	1	2
742	этого факта	1	2
743	то или	1	2
744	многих случаях	1	2
745	а тем	2	2
746	и несколько	1	2
747	что для	1	2
748	бы ни	3	2
749	с живыми	1	2
750	она является	1	2
751	с полной	1	2
752	в последнем	1	2
753	с такой	1	2
754	и далее	1	2
755	пребывает в	1	2
756	с некоторым	1	2
757	вместо того	1	2
758	с некоторыми	1	2
759	вышла из	1	2
760	с такими	1	2
761	к какому	1	2
762	к той	2	2
763	в известных	2	2
764	дальнейшее развитие	1	2
765	южной америке	1	2
766	поскольку это	1	2
767	всех случаях	3	2
768	в новой	1	2
769	в свет	1	2
770	от других	1	2
771	на примере	1	2
772	себе ничего	1	2
773	в форму	1	2
774	в силе	1	2
775	свое существование	1	2
776	связанной с	1	2
777	море и	2	2
778	к двум	1	2
779	в данной	3	2
780	относиться к	1	2
781	напоминает собой	1	2
782	не из	3	2
783	обратиться к	1	2
784	ли эти	1	2
785	хозяйственной жизни	4	2
786	или ее	1	2
787	в полном	1	2
788	для всего	1	2
789	что с	1	2
790	способность к	1	2
791	участие в	2	2
792	иначе обстоит	2	2
793	которые как	1	2
794	за тем	2	2
795	в ряде	1	2
796	чтобы ответить	1	2
797	но нельзя	1	2
798	которая при	1	2
799	производства в	2	2
800	и со	3	2
801	америки в	2	2
802	те кто	1	2
803	и таким	2	2
804	экономическое развитие	2	2
805	перед тем	1	2
806	в полной	4	2
807	такие же	1	2
808	случае если	1	2
809	как то	1	2
810	числе и	1	2
811	лицо и	1	2
812	мы бы	1	2
813	так но	1	2
814	место в	3	2
815	имеются не	1	2
816	также о	1	2
817	сказывается в	2	2
818	более высокой	1	2
819	их из	2	2
820	которые по	1	2
821	и другими	1	2
822	отметим что	1	2
823	мыслится как	1	2
824	помнить что	2	2
825	е не	1	2
826	может дать	1	2
827	почти все	1	2
828	указание что	1	2
829	в обстановке	1	2
830	связанного с	1	2
831	на западе	1	2
832	которые мы	1	2
833	и наиболее	2	2
834	от берега	5	2
835	изменениями в	1	2
836	говорить о	1	2
837	то чтобы	1	2
838	или точнее	2	2
839	быть в	1	2
840	в нашем	1	2
841	наконец его	1	2
842	месяцев и	1	2
843	которую они	1	2
844	изменение в	1	2
845	того или	4	2
846	от друга	2	2
847	наше внимание	2	2
848	не о	1	2
849	и можно	2	2
850	меньшей степени	2	2
851	себя как	1	2
852	в мире	2	2
853	но все-таки	1	2
854	на себе	1	2
855	условия и	1	2
856	такое предположение	2	2
857	поскольку они	2	2
858	именно потому	2	2
859	не более	3	2
860	на историческую	1	2
861	на восток	2	2
862	несколько ниже	1	2
863	вопрос можно	1	2
864	это вопрос	1	2
865	или меньшей	1	2
866	ли для	1	2
867	экономического развития	2	2
868	находятся на	1	2
869	не значит	1	2
870	нет ли	1	2
871	в состав	1	2
872	которых мы	1	2
873	или почти	1	2
874	подходит к	2	2
875	связывается с	1	2
876	как с	1	2
877	в самой	1	2
878	есть нечто	1	2
879	так называемый	1	2
880	в процессе	4	2
881	друг от	2	2
882	в любой	1	2
883	бы нас	1	2
884	было у	1	2
885	только одно	2	2
886	быть речи	1	2
887	находящихся в	1	2
888	или иных	1	2
889	силы в	2	2
890	мы хотим	1	2
891	только это	1	2
892	в проблему	1	2
893	если ему	1	2
894	то она	1	2
895	в сознании	1	2
896	это значение	1	2
897	вопрос в	1	2
898	все так	1	2
899	этот процесс	2	2
900	в указанном	1	2
901	всего мира	1	2
902	тому чтобы	2	2
903	мире в	1	2
904	многие из	1	2
905	возможность такого	1	2
906	качестве примера	1	2
907	она никогда	1	2
908	в рамках	1	2
909	отказаться от	1	2
910	что к	2	2
911	и где	1	2
912	во многом	2	2
913	все другие	2	2
914	более чем	2	2
915	же к	2	2
916	частности в	2	2
917	не выходит	1	2
918	лишь в	1	2
919	культуры но	2	2
920	пищу для	1	2
921	и прежде	3	2
922	все более	9	2
923	явление которое	1	2
924	не к	2	2
925	которых до	1	1
926	в кратчайший	1	1
927	данной области	2	1
928	пределах одного	1	1
929	а другие	1	1
930	тем меньше	2	1
931	говоря уже	2	1
932	ту или	3	1
933	за исключением	1	1
934	и имеет	2	1
935	есть часть	1	1
936	народы не	1	1
937	различны и	1	1
938	следует что	1	1
939	обнаруживают при	1	1
940	какой бы	2	1
941	предположению что	1	1
942	она принята	1	1
943	время не	1	1
944	государство и	1	1
945	будет ли	2	1
946	может развиться	1	1
947	могут в	2	1
948	чтобы на	1	1
949	небесный свод	1	1
950	высокой и	2	1
951	чтобы в	1	1
952	весьма вероятно	4	1
953	сущность этого	1	1
954	и азии	8	1
955	в англии	1	1
956	и внутри	1	1
957	именно о	1	1
958	другие же	1	1
959	развития но	1	1
960	в порядке	2	1
961	собой между	1	1
962	есть то	1	1
963	на берегах	1	1
964	к культуре	1	1
965	играть в	1	1
966	культуры тех	1	1
967	происходило и	1	1
968	ними и	2	1
969	непосредственно от	1	1
970	и отчасти	2	1
971	связанная со	1	1
972	же следует	1	1
973	или вернее	2	1
974	должен относиться	1	1
975	известных условиях	1	1
976	и детьми	1	1
977	и иных	1	1
978	поэтому если	1	1
979	времени в	1	1
980	мы все	1	1
981	не исключает	1	1
982	от своей	1	1
983	в странах	3	1
984	другие не	1	1
985	в значительной	2	1
986	отдельных стран	1	1
987	жизни вообще	1	1
988	сдвиг в	1	1
989	на нижнем	1	1
990	та часть	1	1
991	своем развитии	1	1
992	существенную черту	1	1
993	такое разнообразие	1	1
994	приобщения к	1	1
995	ли такое	2	1
996	можем сказать	2	1
997	европы и	22	1
998	в противном	1	1
999	эти не	1	1
1000	произошло в	2	1
1001	эту же	1	1
1002	случае когда	1	1
1003	и неизвестно	1	1
1004	но было	2	1
1005	иначе говоря	2	1
1006	земель и	1	1
1007	этих областей	5	1
1008	и сибири	1	1
1009	в явлениях	1	1
1010	по большей	1	1
1011	или иному	2	1
1012	глаза на	1	1
1013	не отрицает	1	1
1014	или иную	3	1
1015	развития не	1	1
1016	находятся и	1	1
1017	не представляется	1	1
1018	бы только	1	1
1019	воспринимается как	1	1
1020	живет и	1	1
1021	его руках	1	1
1022	ко всем	1	1
1023	помощи которого	1	1
1024	только бы	1	1
1025	вхождения в	1	1
1026	и всего	1	1
1027	или иная	1	1
1028	рядом с	1	1
1029	о характере	1	1
1030	в двух	1	1
1031	был не	1	1
1032	америки и	4	1
1033	и земледельческой	1	1
1034	которое существует	2	1
1035	же все	1	1
1036	мы говорили	1	1
1037	может она	1	1
1038	и необходимость	1	1
1039	это должно	1	1
1040	долгий путь	1	1
1041	существенной для	1	1
1042	было только	1	1
1043	европы в	2	1
1044	бы они	1	1
1045	к такой	2	1
1046	такими же	1	1
1047	культур древности	1	1
1048	где в	1	1
1049	со строем	1	1
1050	мы но	1	1
1051	перед лицом	1	1
1052	например по	1	1
1053	этот период	1	1
1054	в знании	1	1
1055	к первому	1	1
1056	краткими указаниями	1	1
1057	берегу моря	1	1
1058	но кроме	1	1
1059	мире как	1	1
1060	побережье и	1	1
1061	и сами	1	1
1062	имело место	1	1
1063	и отражает	1	1
1064	освободиться от	1	1
1065	сказать даже	1	1
1066	как те	1	1
1067	в корне	1	1
1068	к выводу	1	1
1069	в отношении	32	1
1070	или к	1	1
1071	из новой	3	1
1072	на земном	2	1
1073	не случайна	1	1
1074	что нет	1	1
1075	древнего востока	5	1
1076	строем но	1	1
1077	потому с	1	1
1078	и будет	1	1
1079	данного народа	3	1
1080	такое явление	1	1
1081	другие народы	2	1
1082	смысле что	1	1
1083	для каждого	1	1
1084	ли не	1	1
1085	продолжить и	1	1
1086	возникает вопрос	1	1
1087	что конечно	1	1
1088	по степеням	1	1
1089	ни на	3	1
1090	наука в	1	1
1091	нужно и	1	1
1092	всех частей	1	1
1093	можно рассматривать	1	1
1094	несомненно в	1	1
1095	для передвижения	2	1
1096	около этого	1	1
1097	каждого народа	1	1
1098	и разнообразие	1	1
1099	тогда народ	1	1
1100	совершенно достаточно	1	1
1101	каждой из	1	1
1102	быть установлена	1	1
1103	это три	1	1
1104	света в	1	1
1105	в указанных	1	1
1106	всего этого	1	1
1107	более как	1	1
1108	заменяет ее	1	1
1109	на которые	1	1
1110	приблизительно в	1	1
1111	должно происходить	1	1
1112	народы например	1	1
1113	значение имеет	1	1
1114	жизни эти	1	1
1115	представления мы	1	1
1116	и азия	3	1
1117	и целые	1	1
1118	будь то	1	1
1119	находятся не	1	1
1120	дальнейшее рассмотрение	1	1
1121	приводящие к	1	1
1122	культурной жизни	4	1
1123	в мировой	1	1
1124	мира не	2	1
1125	в год	2	1
1126	исключительно в	2	1
1127	что внутри	1	1
1128	мировой истории	1	1
1129	на востоке	1	1
1130	об их	1	1
1131	находились в	1	1
1132	мир в	1	1
1133	образом к	1	1
1134	может не	1	1
1135	тех народов	3	1
1136	можем входить	1	1
1137	для всякого	1	1
1138	в определенном	3	1
1139	наблюдения над	2	1
1140	от основного	1	1
1141	и тут	2	1
1142	чтобы ее	1	1
1143	и продолжает	1	1
1144	добавить что	1	1
1145	сибири уже	1	1
1146	в европу	1	1
1147	и ценой	1	1
1148	на несколько	1	1
1149	в силах	1	1
1150	с холодной	1	1
1151	птицам и	1	1
1152	если и	1	1
1153	в переводе	1	1
1154	более точные	1	1
1155	противном случае	1	1
1156	рассказывает что	1	1
1157	древнего египта	1	1
1158	кратчайший срок	1	1
1159	действительности но	1	1
1160	азии и	1	1
1161	каком они	1	1
1162	не исключено	1	1
1163	например к	1	1
1164	к некоторому	1	1
1165	к предположению	1	1
1166	при известных	1	1
1167	пространства и	1	1
1168	идет о	3	1
1169	чем обычно	1	1
1170	для такого	1	1
1171	позднее когда	1	1
1172	эту мысль	1	1
1173	или иной	4	1
1174	уже о	1	1
1175	воды не	1	1
1176	та и	1	1
1177	некоторых из	1	1
1178	бы от	2	1
1179	их отношении	3	1
1180	в той	5	1
1181	ничего иного	1	1
1182	находим в	1	1
1183	пребывают в	1	1
1184	человеческой жизни	1	1
1185	религии и	1	1
1186	место при	1	1
1187	имеет значения	1	1
1188	тех кто	1	1
1189	часть его	1	1
1190	к числу	1	1
1191	для возникновения	1	1
1192	е во	1	1
1193	с более	3	1
1194	народ и	3	1
1195	но хотя	1	1
1196	есть наиболее	1	1
1197	в глубь	1	1
1198	однако с	1	1
1199	мы поймем	1	1
1200	стороне от	1	1
1201	они относятся	1	1
1202	напомнить о	1	1
1203	второй половине	2	1
1204	при том	1	1
1205	друг к	1	1
1206	принадлежат к	1	1
1207	всегда в	1	1
1208	в точном	1	1
1209	исследования по	1	1
1210	опасными для	1	1
1211	большей части	2	1
1212	выше а	1	1
1213	где этот	1	1
1214	еще далеко	1	1
1215	не получит	1	1
1216	части света	1	1
1217	являются не	1	1
1218	европа и	8	1
1219	в случае	2	1
1220	в изучении	1	1
1221	что люди	1	1
1222	образом из	1	1
1223	средства которые	1	1
1224	аналогий в	1	1
1225	ценности и	1	1
1226	отдельных элементов	1	1
1227	азии но	3	1
1228	даже с	1	1
1229	как некую	1	1
1230	пределах этого	1	1
1231	земном шаре	2	1
1232	продукты которые	1	1
1233	уходит с	1	1
1234	нужно думать	2	1
1235	и культурной	1	1
1236	которых может	1	1
1237	некоторую часть	1	1
1238	идут в	1	1
1239	какой именно	1	1
1240	что имеет	1	1
1241	гораздо более	1	1
1242	центральную и	1	1
1243	помощи этого	1	1
1244	имеют в	1	1
1245	его частей	1	1
1246	чем на	2	1
1247	исключено что	1	1
1248	вполне понятно	1	1
1249	случай в	1	1
1250	общение с	1	1
1251	склонен думать	1	1
1252	значительной степени	1	1
1253	аналогии с	1	1
1254	то станет	1	1
1255	состояния в	1	1
1256	понимать буквально	1	1
1257	к настоящему	3	1
1258	и притом	4	1
1259	снится что	1	1
1260	народы как	1	1
1261	но совершенно	1	1
1262	значение так	1	1
1263	бы сделать	1	1
1264	для понимания	2	1
1265	имеет никаких	1	1
1266	меняется а	1	1
1267	и русской	1	1
1268	по ее	1	1
1269	в пределы	3	1
1270	этом явлении	1	1
1271	же касается	1	1
1272	границ между	1	1
1273	в другие	1	1
1274	производства как	1	1
1275	совершенно прав	2	1
1276	последнем случае	1	1
1277	традиции с	1	1
1278	того в	1	1
1279	это были	1	1
1280	составных частей	1	1
1281	прошлого мы	1	1
1282	собой такое	1	1
1283	собой это	1	1
1284	ли за	1	1
1285	море или	1	1
1286	другим в	1	1
1287	той области	1	1
1288	ее например	1	1
1289	этом смысле	3	1
1290	и египта	1	1
1291	и выше	7	1
1292	дать ей	1	1
1293	как известно	1	1
1294	сев америки	2	1
1295	это потому	1	1
1296	быть установлены	1	1
1297	которое мы	1	1
