N	2gram	Vinokur_Vv	Poddanst
378	же как	3	1
379	в реальной	1	1
380	чтобы понять	4	1
381	какой угодно	1	1
382	она может	1	1
383	культуры и	1	1
384	что не	5	1
385	если мы	1	1
386	иначе как	1	1
387	та или	1	1
388	в эпоху	1	1
389	но для	1	1
390	именно о	1	1
391	в каком	3	1
392	в ходе	1	1
393	но есть	1	1
394	не входят	1	1
395	что есть	1	1
396	ответа на	3	1
397	свои собственные	1	1
398	государства и	2	1
399	с е	3	1
400	русской литературы	1	1
401	зрения можно	1	1
402	смысле не	1	1
403	или иная	1	1
404	какой она	1	1
405	если он	1	1
406	тогда когда	4	1
407	относящиеся к	3	1
408	давно уже	1	1
409	бы оно	1	1
410	представляют собой	9	1
411	в какой	6	1
412	работы в	3	1
413	ясно что	11	1
414	века но	1	1
415	без того	1	1
416	место в	1	1
417	как и	7	1
418	входят в	1	1
419	также в	1	1
420	в некотором	1	1
421	следует понимать	2	1
422	сказалось в	2	1
423	или иной	3	1
424	в собственном	3	1
425	и внутренне	1	1
426	идут от	1	1
427	и именно	13	1
428	есть та	1	1
429	науки как	1	1
430	из чего	1	1
431	первой половине	1	1
432	мысли но	1	1
433	одновременно и	3	1
434	проблема и	1	1
435	в одно	1	1
436	значило бы	1	1
437	иной раз	2	1
438	именно потому	1	1
439	на то	2	1
440	момента и	1	1
441	и ранее	2	1
442	к а	1	1
443	но нужно	1	1
444	которые были	2	1
445	собой совокупность	1	1
446	и критика	1	1
447	в природе	1	1
448	к характеру	1	1
449	что изменения	1	1
450	общественной мысли	1	1
451	и я	1	1
452	бы ее	2	1
453	были в	1	1
454	т д	39	1
455	тех пор	1	1
456	что именно	2	1
457	к предмету	1	1
458	как одна	1	1
459	в и	4	1
460	казалось бы	2	1
461	всяком случае	5	1
462	половины xix	3	1
463	и теми	3	1
464	в свете	1	1
465	нисколько не	3	1
466	о котором	8	1
467	сравнению с	4	1
468	и судьбами	1	1
469	общий вопрос	2	1
470	в себя	1	1
471	для этого	3	1
472	в известном	3	1
473	и чем	2	1
474	гораздо более	3	1
475	не просто	5	1
476	он был	1	1
477	формах и	1	1
478	всех стран	1	1
479	не имеет	4	1
480	есть и	5	1
481	в число	2	1
482	и особенно	1	1
483	одно из	5	1
484	или менее	1	1
485	и ее	4	1
486	применительно к	2	1
487	слова о	1	1
488	явление и	1	1
489	с разных	1	1
490	относиться к	1	1
491	но новая	1	1
492	смысле на	1	1
493	совершенно ясно	1	1
494	обратиться к	1	1
495	бы нас	1	1
496	никогда не	3	1
497	соприкасается с	1	1
498	еще не	4	1
