N	2gram	Berdyaev_M	VeschiIm
125	мы не	2	8
126	мы имеем	1	8
127	для него	28	8
128	в ее	3	8
129	все это	6	8
130	со своим	2	8
131	в отношении	6	8
132	его в	6	8
133	только и	7	8
134	и потому	17	8
135	в философии	1	8
136	не с	1	8
137	с другой	1	8
138	что есть	7	8
139	с этой	4	7
140	в сущности	2	7
141	то не	1	7
142	оно не	3	7
143	самом деле	2	7
144	все эти	3	7
145	тем что	7	7
146	сравнению с	2	7
147	ни на	1	7
148	относится к	2	7
149	и тогда	2	7
150	не потому	2	7
151	можно ли	2	7
152	мог бы	5	7
153	и тут	1	7
154	вообще не	2	7
155	сама по	1	7
156	я не	4	7
157	с именем	1	7
158	и тем	1	7
159	е в	1	7
160	от того	4	7
161	а в	4	7
162	с чем	1	7
163	в той	3	6
164	для себя	1	6
165	в разных	3	6
166	мы говорим	1	6
167	их в	1	6
168	в своей	18	6
169	в каком	2	6
170	из себя	2	6
171	в одном	1	6
172	и до	1	6
173	момент в	5	6
174	ее не	1	6
175	вопрос о	7	6
176	в сфере	2	6
177	от ее	1	6
178	на почве	3	6
179	с точки	1	6
180	все равно	3	6
181	между ними	1	6
182	в нем	26	6
183	что является	1	6
184	должны быть	3	6
185	можно было	1	6
186	этот вопрос	1	6
187	когда мы	2	6
188	бытия и	1	6
189	жизни и	6	6
190	ведь и	1	6
191	и все	13	6
192	никогда не	30	6
193	все что	5	5
194	один из	9	5
195	и здесь	6	5
196	даже и	2	5
197	как к	2	5
198	тогда когда	2	5
199	мысли и	2	5
200	подобно тому	2	5
201	в жизни	7	5
202	как о	1	5
203	вместе с	7	5
204	да и	1	5
205	я хочу	3	5
206	себе в	3	5
207	в свою	5	5
208	и если	1	5
209	быть не	2	5
210	и когда	2	5
211	вообще и	1	5
212	нет и	6	5
213	необходимо и	1	5
214	во всех	3	5
215	мы видим	4	5
216	что у	3	5
217	и мы	2	5
218	в его	10	5
219	отлично от	1	5
220	хотя и	2	5
221	если есть	1	5
222	как можно	1	5
223	от всех	2	5
224	в которой	8	5
225	всегда есть	1	5
226	на себя	1	5
227	то это	1	5
228	и без	2	5
229	об этом	2	5
230	должен быть	4	5
231	в мысли	2	5
232	тому как	2	5
233	когда я	1	5
234	мы должны	1	5
235	быть и	2	5
236	есть всегда	2	5
237	на это	1	5
238	– это	2	5
239	для этого	3	5
240	в каком-то	2	5
241	от всякого	2	4
242	ее образ	1	4
243	и от	3	4
244	от самой	1	4
245	переходит в	23	4
246	еще более	3	4
247	с самим	5	4
248	сам по	2	4
249	говорит о	1	4
250	есть в	3	4
251	то время	2	4
252	его на	4	4
253	в явлении	2	4
254	ведь не	2	4
255	с этим	4	4
256	во всяком	1	4
257	его и	2	4
258	не существует	5	4
259	в основе	4	4
260	и более	2	4
261	в котором	9	4
262	нельзя было	3	4
263	того чтобы	4	4
264	явления и	1	4
265	не быть	2	4
266	есть прежде	4	4
267	только тогда	1	4
268	когда она	1	4
269	об отношении	1	4
270	отношении к	4	4
271	так же	5	4
272	только это	2	4
273	и еще	3	4
274	она может	2	4
275	ее как	2	4
276	находится в	1	4
277	что все	5	4
278	а следовательно	1	4
279	тот же	1	4
280	не то	1	4
281	то в	2	4
282	может не	3	4
283	и вот	7	4
284	к себе	3	4
285	это я	1	4
286	приведет к	1	4
287	так и	5	4
288	и сама	2	4
289	же не	2	4
290	в их	4	4
291	есть уже	8	4
292	и чисто	1	4
293	и эта	3	4
294	в конце	11	4
295	во имя	26	4
296	время как	2	4
297	и оно	1	4
298	что только	1	4
299	и у	3	4
300	это так	1	4
301	на этом	5	4
302	не было	25	4
303	она должна	1	4
304	нужно для	1	4
305	что нужно	1	4
306	он не	34	4
307	в силу	1	4
308	и сам	1	4
309	– только	1	4
310	по своей	4	4
311	в этой	12	4
312	отношение к	9	4
313	к ней	6	4
314	и о	1	4
315	это совершенно	1	4
316	если вы	1	3
317	и самое	3	3
318	только что	1	3
319	можно и	2	3
320	была бы	1	3
321	она уже	1	3
322	существенно для	1	3
323	нас в	3	3
324	быть может	9	3
325	в своих	4	3
326	если не	1	3
327	но все	1	3
328	заключается в	1	3
329	из самых	9	3
330	себя как	1	3
331	если он	7	3
332	отношения к	6	3
333	как в	9	3
334	жизни в	3	3
335	не имеет	7	3
336	от его	3	3
337	он есть	1	3
338	же есть	4	3
339	к тому	6	3
340	от этого	4	3
341	и нет	3	3
342	но оно	1	3
343	перестает быть	1	3
344	ни к	2	3
345	было в	3	3
346	для всякой	1	3
347	это все	2	3
348	у меня	1	3
349	с которой	2	3
350	только один	3	3
351	говорит что	3	3
352	превращается в	1	3
353	в истории	2	3
354	будет уже	1	3
355	то чтобы	1	3
356	и во	5	3
357	будь то	1	3
358	не все	3	3
359	только с	3	3
360	казалось бы	1	3
361	не мог	6	3
362	вопроса о	1	3
363	в самой	8	3
364	в другом	1	3
365	к нему	8	3
366	об их	1	3
367	и этого	1	3
368	и всякий	2	3
369	что ему	1	3
370	но когда	3	3
371	различие между	2	3
372	он становится	1	3
373	образ и	7	3
374	бы на	1	3
375	то мы	1	3
376	у него	38	3
377	есть еще	1	3
378	но он	17	3
379	себе что	1	3
380	у всех	4	3
381	вот это	1	3
382	всякой иной	1	3
383	и она	5	3
384	и хочу	1	3
385	же как	1	3
386	этого вопроса	3	3
387	к личности	1	3
388	идеи и	2	3
389	ли сказать	1	3
390	тем более	1	3
391	а потом	1	3
392	к одному	2	3
393	и эти	1	3
394	а с	1	3
395	мы уже	1	3
396	говорим что	1	3
397	с какой	1	3
398	только их	1	3
399	в частности	1	3
400	и смысла	1	3
401	нужно было	1	3
402	но она	3	3
403	для человека	5	3
404	к ее	1	3
405	кто не	2	3
406	стоит у	1	3
407	стало быть	1	3
408	чего же	2	3
409	человека и	19	3
410	для того	4	3
411	я в	1	3
412	или о	1	3
413	к пониманию	1	3
414	все еще	2	3
415	из этого	1	3
416	бы ни	2	3
417	я сам	1	3
418	не к	6	3
419	к другому	4	3
420	во всем	5	2
421	и к	9	2
422	к такому	1	2
423	от нее	5	2
424	не так	6	2
425	является в	1	2
426	а потому	1	2
427	во втором	1	2
428	и возможно	2	2
429	и уже	1	2
430	которая была	1	2
431	и этот	4	2
432	и мира	3	2
433	сходить с	2	2
434	и на	9	2
435	только те	1	2
436	же и	2	2
437	то есть	3	2
438	самого себя	6	2
439	и который	1	2
440	бы даже	1	2
441	связан с	1	2
442	и кто	2	2
443	есть для	1	2
444	тому что	2	2
445	разум и	1	2
446	о чем	3	2
447	е изд	1	2
448	нужно сказать	1	2
449	не как	4	2
450	поэтому в	1	2
451	одно из	3	2
452	не столько	1	2
453	которая стоит	1	2
454	и делает	1	2
455	его от	1	2
456	с собой	5	2
457	и ничего	1	2
458	но нужно	1	2
459	не на	1	2
460	все то	1	2
461	от одного	1	2
462	есть лишь	23	2
463	чтобы не	4	2
464	в столь	1	2
465	с ней	3	2
466	на такой	1	2
467	по природе	2	2
468	в россии	2	2
469	явлений в	1	2
470	это выражение	1	2
471	только одной	1	2
472	оно всегда	1	2
473	как не	1	2
474	к его	1	2
475	приводит к	2	2
476	она хочет	1	2
477	почти все	1	2
478	они как	1	2
479	но раз	1	2
480	в это	1	2
481	знает что	1	2
482	нем нет	1	2
483	себя от	1	2
484	говорили что	1	2
485	а что	1	2
486	только одно	3	2
487	нет ничего	9	2
488	самое главное	1	2
489	то он	3	2
490	смысл но	1	2
491	не терпит	2	2
492	нас не	2	2
493	– и	1	2
494	своей собственной	1	2
495	который я	1	2
496	думал что	1	2
497	ничто не	1	2
498	и уж	2	2
499	но эти	1	2
500	есть подлинная	1	2
501	в разуме	1	2
502	бы только	1	2
503	что если	1	2
504	быть никакого	1	2
505	могущество и	1	2
506	себе и	4	2
507	– я	4	2
508	конечно не	3	2
509	душу и	2	2
510	не вполне	1	2
511	чем не	3	2
512	может ли	2	2
513	переход от	1	2
514	от смысла	1	2
515	явление не	1	2
516	быть в	1	2
517	же она	1	2
518	и недостаточно	2	2
519	в свой	2	2
520	не стоит	1	2
521	с его	6	2
522	он сам	11	2
523	к этому	3	2
524	всяком случае	1	2
525	у них	4	2
526	к этим	3	2
527	не из	1	2
528	мы еще	4	2
529	бы его	2	2
530	точку зрения	1	2
531	моментов в	1	2
532	во внутреннем	1	2
533	к учению	2	2
534	той же	3	2
535	на опыте	1	2
536	ближе к	1	2
537	и такой	1	2
538	в свое	1	2
539	находятся в	1	2
540	есть выражение	2	2
541	ее и	2	2
542	но на	2	2
543	в более	4	2
544	него как	2	2
545	знать что	1	2
546	в смысл	2	2
547	– все	5	2
548	по преимуществу	4	2
549	смысле что	1	2
550	она и	1	2
551	на вопрос	1	2
552	но из	1	2
553	ее на	1	2
554	или другую	1	2
555	– явление	2	2
556	уже в	6	2
557	есть у	1	2
558	в состоянии	1	2
559	под собой	1	2
560	действительность а	1	2
561	есть его	1	2
562	последний предел	2	2
563	дело –	1	2
564	для всего	1	2
565	есть момент	2	2
566	так в	1	2
567	этом отношении	1	2
568	истине и	1	2
569	он и	2	2
570	– что	1	2
571	и нужно	2	2
572	для нас	3	2
573	сознания и	1	2
574	и человек	5	2
575	существует только	1	2
576	не о	2	2
577	к чему	5	2
578	и можно	3	2
579	а также	1	2
580	и действует	1	2
581	в виду	2	2
582	но эта	2	2
583	на нее	1	2
584	может в	1	2
585	в сферу	1	2
586	но ведь	1	2
587	учение о	3	2
588	и прежде	1	2
589	она непостижима	1	2
590	но я	1	2
591	чего бы	1	2
592	следовательно и	1	2
593	как ее	2	2
594	на все	3	2
595	будет то	1	2
596	зрения и	1	2
597	– с	2	2
598	это было	1	2
599	человек имеет	1	2
600	раз в	1	2
601	но к	2	2
602	ли что	1	2
603	не был	8	2
604	мере в	1	2
605	только от	1	2
606	реальная действительность	1	2
607	человека в	26	2
608	и быть	2	2
609	но с	2	2
610	жизнь и	5	2
611	– другой	2	2
612	он ничего	1	2
613	именно потому	1	2
614	ту же	1	2
615	природе своей	2	2
616	совсем не	3	2
617	тот момент	1	2
618	и чтобы	1	2
619	я только	1	2
620	когда он	3	2
621	и этой	1	2
622	я бы	2	2
623	и та	2	2
624	как он	4	2
625	в начале	2	2
626	лишь как	3	2
627	признать что	1	2
628	она была	2	2
629	и самой	1	2
630	как совершенно	1	2
631	которое есть	1	2
632	знает и	1	2
633	истории и	2	2
634	этого нужно	1	2
635	себе такой	1	2
636	одного из	1	2
637	наряду с	1	2
638	та или	1	2
639	его как	2	2
640	та самая	1	2
641	это можно	1	2
642	всякий кто	1	2
643	как часто	1	2
644	говорить об	1	2
645	как будто	4	2
646	себе без	1	2
647	учение есть	1	2
648	не сама	1	2
649	конце концов	3	2
650	нет не	1	2
651	– уже	1	2
652	не случайно	1	2
653	но для	2	2
654	что на	1	2
655	самим собою	2	2
656	одной и	2	1
657	но потому	1	1
658	к подлинному	1	1
659	что было	2	1
660	слова это	1	1
661	себе ее	1	1
662	между иваном	2	1
663	в единую	2	1
664	это одна	1	1
665	человек сам	1	1
666	до сих	5	1
667	существуют ли	1	1
668	которое было	1	1
669	е от	1	1
670	его нет	2	1
671	человеческой жизни	4	1
672	та же	4	1
673	силе слова	1	1
674	вопросом о	1	1
675	они и	3	1
676	что природа	2	1
677	и свою	1	1
678	сравнению со	1	1
679	если в	2	1
680	к этой	3	1
681	жизни а	3	1
682	своего собственного	1	1
683	которой не	1	1
684	его с	4	1
685	он берет	1	1
686	же начала	2	1
687	был бы	11	1
688	важно для	1	1
689	ней нужно	1	1
690	и должно	3	1
691	человек на	2	1
692	и хаоса	1	1
693	продолжает быть	1	1
694	образа и	2	1
695	но также	2	1
696	и менее	2	1
697	из всех	1	1
698	эти и	1	1
699	пребывает в	4	1
700	эта новая	1	1
701	решения вопроса	1	1
702	всякая другая	1	1
703	или нет	1	1
704	и различие	1	1
705	этого как	1	1
706	думает что	1	1
707	их жизни	1	1
708	есть один	3	1
709	открывает себя	2	1
710	человек есть	5	1
711	пустое и	1	1
712	и кажется	1	1
713	отношении между	1	1
714	что человек	5	1
715	может так	1	1
716	движении в	5	1
717	и духовное	1	1
718	сама жизнь	1	1
719	не хочет	3	1
720	но сразу	1	1
721	не подозревает	1	1
722	скажете что	1	1
723	в диалектическом	1	1
724	необычайной силой	1	1
725	ни под	1	1
726	исторического процесса	1	1
727	силой и	1	1
728	после этого	1	1
729	я все	1	1
730	пребывать в	1	1
731	чем быть	1	1
732	и утверждает	1	1
733	него нет	6	1
734	понимается как	1	1
735	первая –	1	1
736	движение и	1	1
737	уходящие в	1	1
738	есть дело	1	1
739	со всеми	1	1
740	в них	5	1
741	этом основании	1	1
742	должен был	4	1
743	связь с	1	1
744	несет с	1	1
745	ивана в	1	1
746	всякой человеческой	1	1
747	но без	1	1
748	и хотел	1	1
749	о природе	1	1
750	стоит в	3	1
751	в духе	6	1
752	он остается	1	1
753	тут все	2	1
754	во тьме	3	1
755	сил и	1	1
756	всегда в	1	1
757	и абсолютное	1	1
758	с таким	2	1
759	или от	2	1
760	их и	1	1
761	его собственная	1	1
762	так называемый	2	1
763	происходит не	1	1
764	ему в	1	1
765	и материально	1	1
766	уже на	1	1
767	тут уже	1	1
768	из всего	1	1
769	и действительно	1	1
770	можно назвать	1	1
771	так это	2	1
772	с ума	4	1
773	свой собственный	1	1
774	уже нет	3	1
775	к самому	2	1
776	как момент	1	1
777	философии не	1	1
778	духа в	5	1
779	а именно	1	1
780	на эту	1	1
781	эта формула	1	1
782	до полной	1	1
783	в которых	5	1
784	никто не	3	1
785	может существовать	1	1
786	том смысле	2	1
787	увидим как	1	1
788	почему это	1	1
789	существует не	2	1
790	без которых	1	1
791	к какому	2	1
792	человека есть	6	1
793	ними есть	1	1
794	но у	2	1
795	ли он	2	1
796	не знали	2	1
797	– если	1	1
798	зависимости от	1	1
799	душа есть	1	1
800	в нее	1	1
801	с большей	1	1
802	а самая	1	1
803	мир и	3	1
804	которая не	2	1
805	– основная	1	1
806	и окончательное	2	1
807	полное и	1	1
808	преимуществу есть	1	1
809	потому она	1	1
810	смысл у	1	1
811	который и	2	1
812	также что	1	1
813	понять эту	1	1
814	как то	2	1
815	в природе	1	1
816	литературы и	2	1
817	с необычайной	2	1
818	было не	1	1
819	которые не	2	1
820	но тот	1	1
821	претензия на	1	1
822	подхожу к	1	1
823	он глубоко	1	1
824	от тех	1	1
825	перейти в	2	1
826	же я	1	1
827	их во	1	1
828	ее вполне	1	1
829	и всех	1	1
830	уже из	1	1
831	не могли	1	1
832	который с	1	1
833	– самый	1	1
834	ни у	2	1
835	существование и	1	1
836	очень важное	3	1
837	не имеют	2	1
838	все к	2	1
839	вся новая	1	1
840	душа и	1	1
841	сам не	4	1
842	своей природе	1	1
843	и заключается	1	1
844	и социальной	1	1
845	какое угодно	2	1
846	в противоположность	1	1
847	выходит из	1	1
848	всякой мысли	1	1
849	вызывает в	1	1
850	а кончает	1	1
851	как ум	1	1
852	не всегда	1	1
853	человека от	4	1
854	революция духа	1	1
855	нас все	1	1
856	неизбежно приходит	1	1
857	– о	5	1
858	– лишь	2	1
859	и истории	1	1
860	уже было	1	1
861	этой связи	1	1
862	не раз	1	1
863	лишь в	8	1
864	между двумя	1	1
865	и переходит	2	1
866	– внутреннее	1	1
867	и вся	1	1
868	мы все	1	1
869	значение для	1	1
870	идея не	1	1
871	не меньше	1	1
872	одна сторона	1	1
873	и ему	1	1
874	если нет	9	1
875	и всякому	1	1
876	втором случае	1	1
877	но сам	1	1
878	силы в	1	1
879	исчезает у	1	1
880	он думает	1	1
881	ни одного	2	1
882	и исчезает	1	1
883	принадлежит не	1	1
884	уже и	1	1
885	уже есть	1	1
886	выше всякого	1	1
887	лишь бы	1	1
888	уже был	1	1
889	тут было	1	1
890	она все	1	1
891	было сказано	1	1
892	но этот	3	1
893	всегда и	1	1
894	связанной с	1	1
895	сила и	1	1
896	потому и	2	1
897	отца и	1	1
898	лишь одна	2	1
899	но все-таки	1	1
900	всего человечества	2	1
901	но ни	1	1
902	и там	10	1
903	в отличие	1	1
904	бога и	13	1
905	можно найти	1	1
906	имя его	1	1
907	именно –	1	1
908	всего себя	1	1
909	жизни как	1	1
910	него не	3	1
911	есть последняя	1	1
912	когда человек	5	1
913	духа и	6	1
914	он все	1	1
915	что существует	1	1
916	понимая что	1	1
917	они должны	1	1
918	исключительно на	1	1
919	еще ничего	1	1
920	одной из	1	1
921	жизнь как	1	1
922	к которому	1	1
923	это отношение	1	1
924	надо только	1	1
925	слова он	2	1
926	ли она	2	1
927	как от	1	1
928	и диалектики	1	1
929	то так	1	1
930	сих пор	5	1
931	все время	3	1
932	глубины и	1	1
933	которая его	1	1
934	на этот	2	1
935	жизнь без	1	1
936	сила –	1	1
937	убивает себя	1	1
938	от нас	1	1
939	из самой	1	1
940	не мыслится	1	1
941	всецело в	1	1
942	в обличении	1	1
943	по поводу	1	1
944	сказать с	1	1
945	в понимании	1	1
946	бы так	1	1
947	не видит	1	1
948	выходя из	2	1
949	значит понять	1	1
950	а мы	1	1
951	образ но	1	1
952	бы это	2	1
953	что дух	2	1
954	только потому	1	1
955	смысл этот	1	1
956	в движении	4	1
957	же он	1	1
958	стоит именно	1	1
959	к полному	1	1
960	не предполагаю	1	1
961	жизни не	2	1
962	не поймут	1	1
963	которая ни	1	1
964	есть также	4	1
965	ближе чем	2	1
966	доступ к	3	1
967	в наш	1	1
968	вносит в	1	1
969	они были	2	1
970	свое собственное	1	1
971	соединение с	2	1
972	не имеющих	1	1
973	обратиться к	1	1
974	из этой	2	1
975	он должен	4	1
976	изменения в	1	1
977	его ум	1	1
978	уже с	1	1
979	только одна	1	1
980	почве этого	1	1
981	не обязан	1	1
982	все есть	1	1
983	самого последнего	2	1
984	и весь	1	1
985	вполне и	1	1
986	формула и	1	1
987	ответ на	1	1
988	и все-таки	1	1
989	стоит на	2	1
990	только одного	1	1
991	и он	21	1
992	этот свой	1	1
993	не выходит	1	1
994	значение в	1	1
995	мышления и	1	1
996	как две	1	1
997	сам же	1	1
998	многих других	1	1
999	нет ни	3	1
1000	хочет быть	2	1
1001	они не	4	1
1002	верить в	1	1
1003	и творческого	1	1
1004	вывод что	1	1
1005	к человеку	21	1
1006	отличает его	1	1
1007	жизни так	1	1
1008	стоит перед	1	1
1009	сам он	2	1
1010	не внешний	1	1
1011	– на	1	1
1012	в последней	2	1
1013	уверен что	1	1
1014	от природы	3	1
1015	еще до	2	1
1016	предполагаю дать	1	1
1017	от обезьяны	1	1
1018	на том	3	1
1019	– те	1	1
1020	весь смысл	1	1
1021	все внешнее	2	1
1022	на что	1	1
1023	ведь есть	1	1
1024	в моей	1	1
1025	тогда и	1	1
1026	ничего кроме	2	1
1027	из моментов	1	1
1028	отсюда –	2	1
1029	имя этого	1	1
1030	стать на	2	1
1031	и почему	1	1
1032	его явление	1	1
1033	его выявляется	1	1
1034	этом он	4	1
1035	души и	1	1
1036	это-то и	1	1
1037	такое же	1	1
1038	основанную на	1	1
1039	о нем	2	1
1040	адама и	1	1
1041	его нужно	1	1
1042	все и	1	1
1043	ее в	1	1
1044	к существу	1	1
1045	со всякой	1	1
1046	и всегда	3	1
1047	не отрицает	1	1
1048	на самом	2	1
1049	на одной	2	1
1050	они в	1	1
1051	бездны и	1	1
1052	с богом	1	1
1053	чтобы получить	2	1
1054	– вот	2	1
1055	слова что	1	1
1056	ветхого завета	1	1
1057	очень существенно	1	1
1058	чем он	1	1
1059	произошел от	1	1
1060	не больше	1	1
1061	в течение	1	1
1062	смысле этого	1	1
1063	же принципиально	1	1
1064	свет и	2	1
1065	судьба и	1	1
1066	с их	2	1
1067	и отождествление	1	1
1068	природу и	2	1
1069	и всякой	1	1
1070	вокруг себя	1	1
1071	лежит в	2	1
1072	видит в	1	1
1073	только он	1	1
1074	а на	1	1
1075	чем в	3	1
1076	вне этой	1	1
1077	а еще	1	1
1078	ум его	1	1
1079	спасение от	1	1
1080	что составляет	1	1
1081	хуже всего	1	1
1082	это свое	1	1
1083	человеческой природы	27	1
1084	не иное	1	1
1085	указывать на	1	1
1086	а за	2	1
1087	без остатка	1	1
1088	прежде чем	2	1
1089	что ничего	2	1
1090	из явлений	1	1
1091	не иметь	2	1
1092	тот кто	5	1
1093	было для	3	1
1094	тут у	2	1
1095	движение в	3	1
1096	это еще	1	1
1097	без этой	1	1
1098	себя а	1	1
1099	как его	1	1
1100	огромное различие	1	1
1101	потому в	1	1
1102	уже совершенно	1	1
1103	заходящее солнце	1	1
1104	тут как	1	1
1105	сознания но	1	1
1106	него –	4	1
1107	совсем иное	2	1
1108	и ощущаю	1	1
1109	дано в	1	1
1110	– исключительно	1	1
1111	что их	1	1
1112	и навеки	1	1
1113	или иная	1	1
1114	между этими	1	1
1115	не сразу	1	1
1116	не остается	2	1
1117	в стороне	1	1
1118	кто в	1	1
1119	что красота	1	1
1120	и динамично	1	1
1121	в какой	1	1
1122	ряду других	1	1
1123	личности с	1	1
1124	такова что	1	1
1125	они одни	1	1
1126	если и	1	1
1127	но по	1	1
1128	– разные	1	1
1129	не та	1	1
1130	вещей с	1	1
1131	и вместе	4	1
1132	действительность которая	1	1
1133	если существует	1	1
1134	жизни –	1	1
1135	в этих	6	1
1136	этого слова	1	1
1137	в ряду	1	1
1138	философская мысль	1	1
1139	на одном	1	1
1140	не могут	6	1
1141	сразу же	1	1
1142	и жизнь	3	1
1143	средство для	2	1
1144	ней нет	1	1
1145	– сама	1	1
1146	каких угодно	1	1
1147	достигает своего	1	1
1148	– очень	1	1
1149	бы сохранить	1	1
1150	говорит об	1	1
1151	есть порождение	1	1
1152	ничего нельзя	1	1
1153	его душа	2	1
1154	духовно и	1	1
1155	что как	1	1
1156	не иначе	1	1
1157	и дал	1	1
1158	этого требует	1	1
1159	человеку или	1	1
1160	которая есть	4	1
1161	и по	4	1
1162	всех своих	1	1
1163	и мир	2	1
1164	действительность для	1	1
1165	период его	1	1
1166	есть что-то	6	1
1167	могли бы	1	1
1168	личности в	4	1
1169	и пустая	1	1
1170	они стали	2	1
1171	стремиться к	1	1
1172	как ни	1	1
1173	окружающего мира	1	1
1174	ней есть	1	1
1175	на нем	1	1
1176	– одно	1	1
1177	в вопросе	1	1
1178	будто бы	3	1
1179	он дал	1	1
1180	он ни	2	1
1181	отличие от	1	1
1182	и образом	1	1
1183	мы увидим	4	1
1184	бытия но	2	1
1185	– одна	1	1
1186	все человеческое	1	1
1187	свою диалектику	2	1
1188	психологической точки	1	1
1189	и утверждение	1	1
1190	в наше	2	1
1191	в самых	2	1
1192	две стороны	1	1
1193	не могу	4	1
1194	с новыми	2	1
1195	литературы –	1	1
1196	мы любим	1	1
1197	не дает	1	1
1198	понимают как	1	1
1199	во всей	1	1
1200	знанием и	1	1
1201	не видят	1	1
1202	и речи	1	1
1203	личности и	3	1
1204	силе и	1	1
1205	уже к	1	1
1206	мы опять	1	1
1207	самому себе	2	1
1208	отношение между	2	1
1209	может понять	1	1
1210	решить вопрос	2	1
1211	что-то не	1	1
1212	все основные	1	1
1213	выражение которое	1	1
1214	связана с	9	1
1215	но надо	1	1
1216	отличается не	1	1
1217	от которых	1	1
1218	личность и	2	1
1219	выражена и	1	1
1220	для их	1	1
1221	идея есть	1	1
1222	хотя в	1	1
1223	все те	1	1
1224	из него	1	1
1225	и тот	2	1
1226	вере в	2	1
1227	если все	1	1
1228	иначе есть	1	1
1229	у кого	2	1
1230	в нашей	1	1
1231	них –	1	1
1232	в пределах	1	1
1233	бы уже	1	1
1234	и я	5	1
1235	как явление	1	1
1236	он –	20	1
1237	к которой	4	1
1238	остается и	1	1
1239	может уже	3	1
1240	думать что	4	1
1241	у нее	1	1
1242	и всякая	1	1
1243	с человеком	2	1
1244	и часто	2	1
1245	этим он	1	1
1246	вопрос можно	1	1
1247	жизнь в	4	1
1248	это знание	1	1
1249	ведь как	1	1
1250	не интересует	1	1
1251	него человек	2	1
1252	ведь это	2	1
1253	ту сторону	1	1
1254	среды и	2	1
1255	него и	3	1
1256	вот я	1	1
1257	свою идею	1	1
1258	зрения его	1	1
1259	это потому	1	1
1260	природы и	1	1
1261	культуры и	2	1
1262	в плане	1	1
1263	и самого	2	1
1264	оно имеет	1	1
1265	существует она	1	1
1266	идей –	2	1
1267	мысли диалектика	1	1
1268	но есть	1	1
1269	эту силу	1	1
1270	и каждый	2	1
1271	этот путь	3	1
1272	подход к	1	1
1273	могут быть	2	1
1274	но нет	1	1
1275	в зависимости	1	1
1276	бы он	2	1
1277	этом они	1	1
1278	одним из	2	1
1279	сам в	1	1
1280	как внутреннее	1	1
1281	подойти к	1	1
1282	это ни	1	1
1283	с которым	2	1
1284	том основании	2	1
1285	я подхожу	1	1
1286	в человеческой	5	1
1287	нее не	1	1
1288	нет как	1	1
1289	выявление этих	1	1
1290	к новому	2	1
1291	с предметом	2	1
1292	иной раз	1	1
1293	себе он	1	1
1294	идея и	3	1
1295	к исследованию	1	1
1296	в эти	1	1
1297	а как	2	1
1298	который был	4	1
1299	это в	1	1
1300	речи о	1	1
1301	лежит и	1	1
1302	еще менее	1	1
1303	в него	3	1
1304	его внутреннее	1	1
1305	всех этих	1	1
1306	которой мы	1	1
1307	имеет свою	1	1
1308	самом последнем	2	1
1309	не одна	1	1
1310	от них	1	1
1311	он с	1	1
1312	требует не	1	1
1313	может наиболее	1	1
1314	не надо	2	1
1315	начинает с	2	1
