N	3gram	Medvedev_F	Dialekti
124	во что бы	3	2
125	друг от друга	2	2
126	в этом его	1	2
127	и пр и	4	2
128	прежде всего необходимо	1	2
129	она не может	1	2
130	в отношении к	1	2
131	и не должна	1	2
132	но для этого	1	2
133	но они не	1	2
134	т е это	1	2
135	не было и	1	2
136	при этом условии	1	2
137	можно говорить о	1	2
138	они вовсе не	1	2
139	что в основе	1	2
140	уже знаем что	1	2
141	прежде всего это	1	2
142	в последнее время	1	2
143	из всего этого	2	2
144	не менее в	1	2
145	и пр это	1	2
146	возможно лишь в	1	2
147	но что же	1	2
148	или хотя бы	1	2
149	мы видим что	1	2
150	в свою очередь	6	2
151	это может быть	1	2
152	оценивается с точки	1	2
153	то же и	1	2
154	не с точки	1	2
155	и в особенности	1	2
156	в это время	1	2
157	и даже просто	1	2
158	и не в	2	2
159	как это было	2	2
160	как один из	2	2
161	бы она ни	3	2
162	мы говорим не	1	2
163	мы не можем	3	2
164	тот или иной	1	2
165	что бы то	3	2
166	один из возможных	1	2
167	за пределы этой	1	2
168	вовсе не обязательно	1	2
169	же время и	2	2
170	что если бы	1	2
171	это и не	1	2
172	не выходя за	1	2
173	в лучшем случае	3	2
174	и все в	1	2
175	хотя бы в	4	2
176	и в том	1	2
177	тем что оно	2	2
178	и пр в	1	2
179	в таком виде	1	2
180	в широком смысле	2	2
181	что оно не	1	2
182	в душе и	1	2
183	в нем и	2	2
184	не должна быть	1	2
185	что и в	2	2
186	должна быть и	1	2
187	то ни стало	4	2
188	искусства и т	1	1
189	лишь в том	1	1
190	чтобы убедиться в	2	1
191	он может и	1	1
192	отнюдь не в	1	1
193	мы говорим о	2	1
194	заключается именно в	1	1
195	в вещах и	1	1
196	вполне понятно что	1	1
197	что же это	1	1
198	прежде всего чисто	1	1
199	в нем должна	1	1
200	в применении к	4	1
201	до известной степени	3	1
202	то что он	1	1
203	же время никогда	1	1
204	чего происходит это	1	1
205	и во всех	1	1
206	в том как	1	1
207	них и в	1	1
208	лежать в основе	1	1
209	потому она не	1	1
210	была бы совершенно	1	1
211	не в этом	1	1
212	она должна быть	1	1
213	не значит еще	1	1
214	если же они	1	1
215	т е самого	1	1
216	это делается в	1	1
217	должно было бы	1	1
218	в отдельности и	1	1
219	или иначе не	1	1
220	и должен быть	1	1
221	перестал бы быть	1	1
222	так и от	1	1
223	т е все	1	1
224	мы замечаем что	1	1
225	в учении о	1	1
226	и пр но	2	1
227	спрашивается что же	1	1
228	таковой т е	1	1
229	в ней как	1	1
230	может быть заменено	1	1
231	т е таких	1	1
232	тем что его	1	1
233	а кроме того	1	1
234	совершенно очевидно что	1	1
235	т е оно	1	1
236	все новые и	1	1
237	только через нее	1	1
238	и пр все	2	1
239	этих понятий и	1	1
240	но при этом	1	1
241	время может быть	1	1
242	то что было	1	1
243	в том случае	2	1
244	а все остальное	1	1
245	стороны и на	1	1
246	от смысла и	1	1
247	бы оно было	2	1
248	точки зрения своей	1	1
249	не чем иным	1	1
250	в такой же	1	1
251	в этом пункте	4	1
252	в общий процесс	1	1
253	жизни вовсе не	1	1
254	она дана в	1	1
255	и извне и	1	1
256	как и всякая	2	1
257	вопрос в том	1	1
258	в отличие от	2	1
259	если же он	1	1
260	что бы ни	2	1
261	же необходимо поставить	1	1
262	и только так	1	1
263	без нее не	1	1
264	каждой из них	1	1
265	у них есть	1	1
266	эти явления и	1	1
267	не только на	1	1
268	может быть конечно	1	1
269	чем иным как	1	1
270	бы ни было	1	1
271	же и в	1	1
272	то ни было	1	1
273	но в особенности	1	1
274	точки зрения какого-нибудь	1	1
275	возникает вопрос о	1	1
276	нужно сказать что	1	1
277	историю и ее	1	1
278	если она есть	1	1
279	не входит в	1	1
280	наука до сих	1	1
281	этих и подобных	1	1
282	богов и т	1	1
283	не имеет и	1	1
284	пр и пр	4	1
285	эти факты и	1	1
286	но тогда и	1	1
287	как голое и	1	1
288	быть во что	1	1
289	всего того что	1	1
290	при известных условиях	2	1
291	и в этой	2	1
292	отнюдь не является	1	1
293	же сколько и	1	1
294	это то что	1	1
295	в одном месте	1	1
296	может показаться что	1	1
297	в том и	1	1
298	к нему и	1	1
299	при всем этом	1	1
300	на эти вопросы	1	1
301	к этому понятию	1	1
302	вместе с тем	5	1
303	не могло не	3	1
304	и к ней	1	1
305	мы ни взяли	2	1
306	и во всяком	1	1
307	именно в ней	1	1
308	в какой мере	2	1
309	большей или меньшей	1	1
310	же это за	1	1
311	том отношении что	1	1
312	но и в	4	1
313	данной эпохи и	1	1
314	в том чтобы	3	1
315	это не так	1	1
316	в ней и	2	1
317	заключается в том	1	1
318	а не как	1	1
319	т е на	1	1
320	ней и в	1	1
321	как это делается	1	1
322	она ни была	3	1
323	в мифе и	1	1
324	на первом плане	1	1
325	может быть даже	1	1
326	ни о какой	2	1
327	столько же сколько	1	1
328	и до сих	2	1
329	имеем в виду	1	1
330	все более и	3	1
331	эта точка зрения	1	1
332	самом деле с	1	1
333	а не по	1	1
334	как и для	1	1
335	не происходит в	1	1
336	которые в ней	1	1
337	том или ином	1	1
338	что же касается	1	1
339	не в их	1	1
340	нельзя остановиться на	1	1
341	только в том	1	1
342	в корне искажает	1	1
343	можно говорить лишь	1	1
344	что и до	1	1
345	с реальной жизнью	1	1
346	может и должен	1	1
347	новых точек зрения	1	1
348	более и более	3	1
349	во всех своих	2	1
350	до тех пор	1	1
351	мы приходим к	1	1
352	все же не	1	1
353	же в таком	1	1
354	даже и на	1	1
355	самом деле это	1	1
356	другой стороны без	1	1
357	же это не	1	1
358	т е об	1	1
359	это и случилось	1	1
360	и еще более	1	1
361	со всех сторон	1	1
362	он не есть	1	1
363	как на общую	1	1
364	не меньше чем	1	1
365	что на самом	1	1
366	если оно не	1	1
367	она уже не	1	1
368	именно так и	1	1
369	и с точки	1	1
370	в других областях	1	1
371	именно в этом	1	1
372	и чтобы тем	1	1
373	что он просто	1	1
374	так как они	1	1
375	что перед нами	2	1
376	не тем что	1	1
377	они никогда не	1	1
378	как одна из	1	1
379	но как раз	1	1
380	мы имеем в	1	1
381	во всех этих	1	1
382	во всей его	1	1
383	материальных вещах и	1	1
384	в этом случае	1	1
385	что каждый из	1	1
386	е таких которые	1	1
387	именно в том	2	1
388	у нас не	3	1
389	этим в корне	1	1
390	зависеть от характера	1	1
391	изображения т е	1	1
392	но тем не	1	1
393	того что нужно	1	1
394	его отличии от	1	1
395	и здесь в	1	1
396	в том отношении	1	1
397	с разных сторон	1	1
398	самого начала что	1	1
399	т е они	1	1
400	не дает возможности	1	1
401	с тем что	3	1
402	в новое время	1	1
403	как мы увидим	3	1
404	и не входит	1	1
405	действительности как она	1	1
406	можем судить о	1	1
407	между тем в	1	1
408	том случае если	1	1
409	то в нем	1	1
410	взятые сами по	1	1
411	и не могли	1	1
412	все равно что	1	1
413	в своем исследовании	1	1
414	воли и чувства	1	1
415	сюда же относятся	1	1
416	чтобы можно было	1	1
417	то что они	1	1
418	в той же	2	1
419	литература но и	1	1
420	т е самое	1	1
421	оно должно предстать	1	1
422	прежде всего в	5	1
423	можно сказать так	1	1
424	если представить себе	1	1
425	новые и новые	1	1
426	он был бы	1	1
427	ни о каком	1	1
428	и случилось с	1	1
429	целом и в	1	1
430	не мешает ему	1	1
