N	2gram	Bakhtin_KF	SlovoVZh
203	к этому	2	2
204	бы не	3	2
205	между собой	1	2
206	каждый момент	2	2
207	он не	6	2
208	независимо от	3	2
209	извне как	1	2
210	эта последняя	1	2
211	в чем	4	2
212	в настоящее	1	2
213	делает его	1	2
214	и совершенно	3	2
215	но мы	1	2
216	едва ли	2	2
217	ничего не	3	2
218	жизнью и	1	2
219	возможна только	1	2
220	контекст и	1	2
221	или иным	2	1
222	и психологический	1	1
223	умирает в	1	1
224	все в	1	1
225	и мир	2	1
226	остается в	1	1
227	уже во	1	1
228	жизнь и	2	1
229	себе в	1	1
230	можно в	1	1
231	события и	2	1
232	во всяком	1	1
233	от него	3	1
234	это и	3	1
235	включая сюда	2	1
236	его и	2	1
237	и оба	1	1
238	каково бы	1	1
239	положения и	3	1
240	нему в	4	1
241	но можно	4	1
242	и теоретическая	1	1
243	видения и	2	1
244	в искусстве	1	1
245	во всех	11	1
246	вошли в	2	1
247	которого и	2	1
248	события а	1	1
249	до степени	1	1
250	единство а	1	1
251	не является	1	1
252	а с	2	1
253	только к	1	1
254	если оно	1	1
255	и он	1	1
256	этой задачи	1	1
257	моменты и	3	1
258	та же	3	1
259	близости к	1	1
260	дано в	1	1
261	и автора	1	1
262	это ценностное	2	1
263	основе своей	2	1
264	каких бы	1	1
265	на этом	1	1
266	мысли чувства	1	1
267	является и	1	1
268	она должна	1	1
269	которой он	2	1
270	права и	1	1
271	не имеют	1	1
272	может дать	3	1
273	и было	1	1
274	то есть	1	1
275	поскольку мы	4	1
276	но из	1	1
277	оторвано от	1	1
278	как одно	1	1
279	не нужен	2	1
280	в лучшем	1	1
281	должно быть	6	1
282	мы уже	1	1
283	этих моментов	2	1
284	т.е к	1	1
285	вне поля	1	1
286	это событие	1	1
287	и того	2	1
288	предмет в	1	1
289	как единство	1	1
290	все остальные	2	1
291	каким бы	1	1
292	но при	1	1
293	является только	1	1
294	она в	1	1
295	она могла	2	1
296	в свою	3	1
297	в значительной	1	1
298	нашей работы	1	1
299	входит в	4	1
300	только как	4	1
301	случае мы	2	1
302	что уже	1	1
303	того чтобы	2	1
304	не должен	3	1
305	он как	1	1
306	в основе	5	1
307	и их	6	1
308	и историческая	1	1
309	одна и	2	1
310	его содержание	1	1
311	еще более	2	1
312	не должно	3	1
313	и иных	1	1
314	ту же	1	1
315	на основе	7	1
316	ее до	2	1
317	в другом	3	1
318	и менее	1	1
319	несмотря на	1	1
320	но эти	1	1
321	это только	2	1
322	для теоретической	1	1
323	герой и	2	1
324	и должна	3	1
325	признать что	1	1
326	кто-нибудь стал	1	1
327	и продукт	1	1
328	он находится	1	1
329	бы эта	1	1
330	для всего	1	1
331	содержание можно	1	1
332	суждения и	2	1
333	что это	4	1
334	в противном	1	1
335	хотя и	1	1
336	конечно дело	1	1
337	здесь вовсе	1	1
338	так называемые	1	1
339	форма не	1	1
340	пространстве и	1	1
341	она будет	1	1
342	это уже	2	1
343	ни была	1	1
344	эта же	1	1
345	мы должны	1	1
346	продуктом и	2	1
347	в ее	17	1
348	существенный момент	1	1
349	и тем	3	1
350	оно становится	1	1
351	и т.п	1	1
352	кажется что	2	1
353	остается только	1	1
354	или просто	1	1
355	проникает в	5	1
356	форма суждения	1	1
357	оказывается моментом	1	1
358	бы только	1	1
359	для нее	9	1
360	здесь на	1	1
361	не как	4	1
362	должны быть	1	1
363	в качестве	2	1
364	а форма	1	1
365	вступает в	3	1
366	всех других	2	1
367	в содержании	1	1
368	пор не	1	1
369	в одном	5	1
370	в области	2	1
371	одно из	1	1
372	теряет свою	1	1
373	сюда и	2	1
374	входящего в	1	1
375	виду и	1	1
376	и делает	3	1
377	подчиняется в	1	1
378	однако он	1	1
379	же не	1	1
380	ценности и	4	1
381	в результате	1	1
382	и это	12	1
383	ориентируется в	1	1
384	стороны его	1	1
385	характерной чертой	1	1
386	сводится к	2	1
387	нечего делать	1	1
388	значительной степени	1	1
389	этом смысле	3	1
390	с ней	1	1
391	всего определяется	1	1
392	и тот	3	1
393	в современной	3	1
394	уже и	1	1
395	чем не	4	1
396	в истории	1	1
397	миру и	1	1
398	все равно	1	1
399	же время	2	1
400	не существует	1	1
401	и единство	3	1
402	в виде	2	1
403	формы форма	1	1
404	к которой	2	1
405	она становится	1	1
406	в большинстве	1	1
407	нуждаются в	1	1
408	свою очередь	1	1
409	всей его	2	1
410	в конечном	1	1
411	приближения к	1	1
412	мы здесь	3	1
413	не было	8	1
414	когда мы	1	1
415	для живого	1	1
416	стал бы	2	1
417	не совпадает	1	1
418	положения в	3	1
419	моментами его	1	1
420	связанных с	1	1
421	бы по	1	1
422	он имеет	2	1
423	здесь мы	4	1
424	с ее	2	1
425	было бы	8	1
426	оставаясь в	1	1
427	момента и	2	1
428	не знает	5	1
429	оно ни	1	1
430	к тому	1	1
431	оно неизбежно	1	1
432	нем и	3	1
433	может претендовать	1	1
434	нами и	1	1
435	него свое	1	1
436	и можно	1	1
437	из нее	2	1
438	равно как	1	1
439	ведь это	2	1
440	сознания не	2	1
441	само слово	1	1
442	и ценности	2	1
443	не получил	1	1
444	ним в	1	1
445	и мы	2	1
446	своим содержанием	1	1
447	его для	1	1
448	все моменты	1	1
449	как мы	1	1
450	метод может	1	1
451	что она	1	1
452	являются лишь	1	1
453	содержание но	1	1
454	бытия и	10	1
455	и о	1	1
456	показать что	1	1
457	конечно уже	1	1
458	экономических и	1	1
459	менее всего	6	1
460	позицию по	1	1
461	как его	4	1
462	если мы	1	1
463	он будет	1	1
464	тем же	1	1
465	и эта	2	1
466	но есть	2	1
467	ибо нет	2	1
468	нем но	1	1
469	и во	1	1
470	именно в	5	1
471	и таким	1	1
472	нужно думать	1	1
473	но эта	6	1
474	конечном счете	1	1
475	к другим	1	1
476	не можем	1	1
477	единство мира	3	1
478	но прежде	1	1
479	всех сторон	1	1
480	было дано	2	1
481	что я	5	1
482	содержательной стороне	1	1
483	путем чисто	1	1
484	тот же	3	1
485	и признания	1	1
486	относятся к	1	1
487	этого бытия	1	1
488	человек и	2	1
489	моменты его	1	1
490	всякого действительного	1	1
491	с которой	1	1
492	характер и	1	1
493	слово не	3	1
494	нигде не	3	1
495	что все	1	1
496	как о	1	1
497	т.е как	1	1
498	столь же	1	1
499	том же	1	1
500	значение смысл	1	1
501	и она	2	1
502	быть понято	1	1
503	подхода к	2	1
504	к пониманию	1	1
505	исходит из	1	1
506	том кто	1	1
507	быть понята	1	1
508	места в	4	1
509	рядом с	3	1
510	из его	3	1
511	момент в	7	1
512	миг не	1	1
513	выйти из	1	1
514	живет и	1	1
515	бы иными	1	1
516	определяет его	1	1
517	жизни в	5	1
518	что именно	1	1
519	есть только	1	1
520	противном случае	1	1
521	ровно ничего	1	1
522	и всякого	1	1
523	а эта	3	1
524	формальных моментов	1	1
525	они не	1	1
526	при таком	1	1
527	ли кто-нибудь	1	1
528	от его	5	1
529	процессе ее	1	1
530	и только	7	1
531	один и	3	1
532	чувства в	1	1
533	приходится признать	1	1
534	по своей	1	1
535	по самому	1	1
536	полагать что	1	1
537	или иного	3	1
538	события она	1	1
539	и оно	1	1
540	здесь же	1	1
541	друг друга	1	1
542	один миг	1	1
543	ним извне	1	1
544	лучшем случае	1	1
545	но уже	1	1
546	для этой	3	1
547	себе как	2	1
548	для этого	2	1
549	не из	2	1
550	себе и	3	1
551	действительно произнесенное	1	1
552	а эти	1	1
553	содержанию как	1	1
554	в смысле	6	1
555	чтобы не	2	1
556	за вычетом	6	1
557	бы действительно	1	1
558	не нужно	2	1
559	в одной	1	1
560	в целом	10	1
561	единство и	1	1
562	ничего общего	2	1
563	культуры в	1	1
564	себя в	8	1
565	и из	1	1
566	а лишь	3	1
567	является еще	1	1
568	имеет дело	1	1
569	вовсе не	7	1
570	другого и	2	1
571	думать что	2	1
572	области науки	1	1
573	я и	5	1
574	к действительной	2	1
575	свой смысл	1	1
576	не найдем	1	1
577	его эстетической	1	1
578	включает в	2	1
579	и другого	3	1
580	вне ее	4	1
581	конечно только	1	1
582	который и	1	1
583	всяком случае	1	1
584	только для	1	1
585	где ее	1	1
586	можно только	1	1
