N	2gram	Propp_Russ	PoTuStor
159	смерти но	1	2
160	все остальные	1	2
161	из этих	6	2
162	ту же	2	2
163	на основе	1	2
164	совсем не	1	2
165	а может	1	2
166	в этот	19	2
167	он не	1	2
168	в развитии	1	2
169	в частности	2	2
170	не будет	1	2
171	говорить о	2	2
172	всех других	1	2
173	есть и	2	2
174	в начале	1	2
175	в пределах	2	2
176	как не	2	2
177	так же	7	2
178	и всех	2	2
179	этой теории	1	2
180	было бы	3	2
181	к ним	4	2
182	нет и	1	2
183	и о	4	2
184	с нею	1	2
185	находится в	3	2
186	что на	5	2
187	о том	14	2
188	во всей	2	2
189	явлений на	1	2
190	один из	10	2
191	и по	10	2
192	с ним	2	2
193	нет никаких	1	2
194	но это	5	2
195	и для	3	2
196	для этого	6	2
197	того же	1	2
198	то же	6	2
199	сделать это	1	2
200	не можем	5	2
201	за счет	2	2
202	никогда не	1	2
203	которому в	1	1
204	что было	1	1
205	к сожалению	1	1
206	во всем	2	1
207	на почве	1	1
208	от нее	1	1
209	что они	8	1
210	и то	2	1
211	в другой	1	1
212	с последним	2	1
213	только из	1	1
214	в более	2	1
215	и здесь	3	1
216	та же	4	1
217	не оставляет	2	1
218	мы и	1	1
219	к их	1	1
220	и первую	1	1
221	его мнению	1	1
222	а наоборот	1	1
223	же и	1	1
224	в углу	1	1
225	в коем	1	1
226	данном случае	8	1
227	она как	2	1
228	только что	1	1
229	и того	1	1
230	с одной	1	1
231	уже в	2	1
232	внимание на	1	1
233	тогда когда	4	1
234	в состоянии	1	1
235	не будем	5	1
236	одна и	1	1
237	мы имеем	7	1
238	в применении	1	1
239	это и	1	1
240	несмотря на	4	1
241	этой же	2	1
242	и основной	1	1
243	эти очень	1	1
244	это часто	1	1
245	говорит и	1	1
246	характер этого	2	1
247	уже знаем	2	1
248	хотя и	3	1
249	в разных	3	1
250	смысл и	1	1
251	этом отношении	1	1
252	и связанных	1	1
253	с тем	14	1
254	что при	2	1
255	как раз	1	1
256	в некоторых	11	1
257	говорит о	3	1
258	день и	2	1
259	что ими	1	1
260	в качестве	5	1
261	в году	5	1
262	интерес к	2	1
263	и всегда	1	1
264	более позднее	1	1
265	нас в	2	1
266	не являются	1	1
267	для объяснения	1	1
268	у нас	11	1
269	здесь в	1	1
270	для них	5	1
271	и другими	3	1
272	в виду	3	1
273	подобно тому	3	1
274	весь мир	1	1
275	смысла в	1	1
276	в русском	4	1
277	что между	1	1
278	освобождение от	1	1
279	можно было	3	1
280	сон в	1	1
281	связь с	1	1
282	как они	2	1
283	в своих	3	1
284	является и	1	1
285	связи с	6	1
286	не ясно	1	1
287	в угол	1	1
288	на этот	3	1
289	не более	2	1
290	если бы	1	1
291	так во	1	1
292	их так	2	1
293	иногда и	7	1
294	сделать некоторые	1	1
295	и сам	1	1
296	с ней	7	1
297	именно здесь	1	1
298	жизнь в	1	1
299	что его	1	1
300	на такой	1	1
301	но эта	2	1
302	дело в	1	1
303	месте и	1	1
304	и начинается	1	1
305	есть та	1	1
306	но не	7	1
307	и им	1	1
308	фазе развития	1	1
309	и начало	2	1
310	из того	1	1
311	на другие	2	1
312	из всего	1	1
313	и связанные	2	1
314	в конце	1	1
315	основные черты	1	1
316	случае не	1	1
317	в связи	4	1
318	зависит от	1	1
319	этой цели	2	1
320	что по	7	1
321	из рамок	1	1
322	все же	7	1
323	такие представления	2	1
324	и старается	1	1
325	при таком	1	1
326	не что	3	1
327	а иногда	6	1
328	формы погребения	1	1
329	от этого	2	1
330	приводит к	4	1
331	на все	3	1
332	не имеет	9	1
333	и могут	1	1
334	только себя	1	1
335	становится ясным	2	1
336	образом к	1	1
337	и жизнь	1	1
338	выше мы	1	1
339	по его	2	1
340	в свете	5	1
341	за ней	1	1
342	зависимости от	1	1
343	значение как	1	1
344	с другом	1	1
345	но если	2	1
346	всех их	1	1
347	их во	1	1
348	полагает что	8	1
349	да по	2	1
350	нам из	1	1
351	уже не	9	1
352	к тому	4	1
353	это самое	1	1
354	полагают что	1	1
355	связано с	3	1
356	не был	3	1
357	рая и	1	1
358	а вместе	1	1
359	однако не	1	1
360	первый взгляд	1	1
361	книга о	1	1
362	что эти	2	1
363	без всякой	1	1
364	ли они	1	1
365	ко всему	2	1
366	предположить что	5	1
367	его и	2	1
368	он был	2	1
369	а с	6	1
370	в данном	7	1
371	того в	3	1
372	же с	1	1
373	вытекает из	1	1
374	значение так	1	1
375	и такие	1	1
376	оно в	1	1
377	силу от	1	1
378	вопрос о	4	1
379	применении к	1	1
380	не имеют	1	1
381	как акт	1	1
382	с первым	1	1
383	они становятся	2	1
384	работы но	1	1
385	мы увидим	8	1
386	в самых	1	1
387	на некоторых	1	1
388	то и	4	1
389	она не	4	1
390	в течение	7	1
391	в свою	3	1
392	входит в	4	1
393	наконец в	1	1
394	но даже	2	1
395	того чтобы	6	1
396	приступая к	1	1
397	их совершенно	1	1
398	одной стороны	1	1
399	как известно	2	1
400	не дает	1	1
401	в другом	1	1
402	для того	6	1
403	всем этим	1	1
404	тому как	3	1
405	многих случаях	4	1
406	это только	1	1
407	быть не	1	1
408	в ней	3	1
409	с совершенно	1	1
410	в борьбу	1	1
411	не всегда	4	1
412	с нашим	1	1
413	очень широко	1	1
414	человека который	1	1
415	значение и	2	1
416	общего не	2	1
417	в руках	3	1
418	и действия	1	1
419	когда он	3	1
420	нам что	1	1
421	что если	2	1
422	к такой	1	1
423	а не	3	1
424	к тем	4	1
425	увидим что	2	1
426	она начинает	1	1
427	должны быть	1	1
428	которые можно	2	1
429	всего как	1	1
430	и та	1	1
431	и что	8	1
432	как он	2	1
433	теми которые	1	1
434	же что	1	1
435	так чтобы	2	1
436	iii но	1	1
437	этим не	1	1
438	ни одно	2	1
439	говоря о	1	1
440	в нашей	1	1
441	еще в	6	1
442	на другой	2	1
443	не следует	1	1
444	схему их	1	1
445	и представлениями	1	1
446	находящиеся в	2	1
447	привела к	1	1
448	от того	1	1
449	но вместе	3	1
450	из одного	1	1
451	человека и	1	1
452	на всю	1	1
453	мы здесь	2	1
454	вопрос можно	1	1
455	в землю	8	1
456	с другой	1	1
457	на которые	1	1
458	некоторое время	2	1
459	ничего общего	3	1
460	же на	1	1
461	как на	2	1
462	вторая часть	1	1
463	и еще	2	1
464	каждого из	1	1
465	что здесь	4	1
466	в эту	3	1
467	это вытекает	1	1
468	в точности	1	1
469	без всякого	1	1
470	заметить что	3	1
471	не совсем	6	1
472	под ним	2	1
473	к изучению	1	1
474	как некое	1	1
475	ее не	1	1
476	однако в	1	1
477	общего с	1	1
478	она может	1	1
479	что для	4	1
480	в уже	3	1
481	их мы	1	1
482	главным образом	5	1
483	погребение в	1	1
484	приводящая к	1	1
485	только одна	1	1
486	что есть	2	1
487	которые в	2	1
488	это приводит	2	1
489	на других	3	1
490	этом и	1	1
491	характерен для	1	1
492	что я	1	1
493	форма и	1	1
494	в нашем	2	1
495	с этими	1	1
496	под названием	3	1
497	во многих	14	1
498	только при	1	1
499	мы сейчас	1	1
500	с которым	1	1
501	все время	1	1
502	в духе	1	1
503	же в	5	1
504	семьи и	1	1
505	что она	4	1
506	каждый день	1	1
507	этим как	1	1
508	говорить об	1	1
509	одна из	12	1
510	если они	1	1
511	иной раз	1	1
512	здесь имеем	2	1
513	в период	2	1
514	право на	2	1
515	имеет и	1	1
516	этот момент	1	1
517	бы ни	1	1
518	по поводу	1	1
519	на место	2	1
520	его к	3	1
521	их на	5	1
522	это значение	1	1
523	друг с	1	1
524	это в	1	1
525	не будут	2	1
526	к этим	1	1
527	так называемое	2	1
528	что иное	3	1
529	мы должны	3	1
530	настоящая работа	1	1
531	их сложности	1	1
532	к ее	1	1
533	что такие	2	1
534	но так	1	1
535	не случайно	2	1
536	мы еще	1	1
537	и особенно	1	1
538	точку зрения	1	1
539	в м	1	1
540	работе мы	1	1
541	одного и	1	1
542	тот же	2	1
543	но весь	1	1
544	ничего не	4	1
545	иное как	3	1
546	что до	1	1
547	ко дню	2	1
548	и самый	1	1
549	сомнений в	3	1
550	смерти как	1	1
551	к нему	3	1
