N	2gram	Bakhtin_KF	EvropaiC
216	него в	1	2
217	к таким	1	2
218	но как	5	2
219	и из	1	2
220	не от	1	2
221	в виду	3	2
222	сводится к	2	2
223	для удовлетворения	1	2
224	иной чем	1	2
225	но с	1	2
226	в своих	4	2
227	не было	8	2
228	не потому	2	2
229	не знает	5	2
230	помнить что	1	2
231	из нее	2	2
232	все дело	1	2
233	и где	1	2
234	вовсе не	7	2
235	такой же	1	2
236	но для	3	2
237	в один	1	2
238	и начало	1	2
239	на месте	1	2
240	жизни и	8	2
241	и будет	1	2
242	в процессе	2	2
243	чтобы быть	2	2
244	если он	1	2
245	вся его	1	2
246	тому что	2	2
247	имеет место	1	2
248	я не	6	2
249	между ними	1	2
250	ценностей не	2	2
251	как не	1	2
252	с ними	4	2
253	их в	1	2
254	между прочим	1	2
255	которые могут	1	2
256	и так	1	2
257	при таком	1	2
258	никто не	1	2
259	есть только	1	2
260	следовательно и	1	2
261	можно ли	2	2
262	они не	1	2
263	себя и	5	2
264	не имеет	6	2
265	ему и	1	2
266	зависимости от	1	2
267	в себя	8	2
268	жизни культуры	1	2
269	не стоит	1	2
270	нет в	4	2
271	должен быть	7	2
272	в эту	1	2
273	к той	1	2
274	в индивидуальном	1	2
275	во всяком	1	2
276	ко всему	5	2
277	а к	1	2
278	а для	2	2
279	в основе	5	2
280	в котором	24	2
281	и только	7	2
282	на этом	1	2
283	совершенно иной	1	2
284	время от	1	2
285	она не	2	2
286	другими словами	1	2
287	всяком случае	1	2
288	к нему	12	2
289	в свою	3	2
290	также и	1	2
291	ту же	1	2
292	культура в	2	2
293	в другом	3	2
294	не более	1	2
295	и уже	1	2
296	только тогда	1	2
297	между отдельными	1	2
298	говорить о	2	2
299	самого факта	2	2
300	всех других	2	2
301	в противоречие	1	2
302	него с	1	2
303	так чтобы	1	2
304	ценности и	4	2
305	конечно в	2	2
306	из него	4	2
307	не следует	2	2
308	же время	2	2
309	от своей	5	2
310	это может	1	2
311	над всеми	1	2
312	свою очередь	1	2
313	я в	1	2
314	к ним	4	2
315	к двум	1	2
316	той же	1	2
317	всех остальных	1	2
318	при условии	2	2
319	для самого	1	2
320	от времени	1	2
321	только при	1	2
322	во всей	4	2
323	что она	1	2
324	культуры с	1	2
325	одна из	1	2
326	этого слова	2	2
327	и его	18	2
328	от них	1	2
329	от себя	10	2
330	а следовательно	3	2
331	отнюдь не	7	2
332	в ту	2	2
333	в точке	1	2
334	независимо от	3	2
335	для этой	3	2
336	с ее	2	2
337	тем же	1	2
338	которой мы	1	2
339	если это	1	2
340	и ее	2	2
341	друг друга	1	2
342	гораздо более	2	2
343	он должен	1	2
344	как все	1	1
345	всего в	1	1
346	были бы	2	1
347	всех отношениях	2	1
348	ввиду того	1	1
349	к действительности	1	1
350	или просто	1	1
351	которой я	2	1
352	обе стороны	1	1
353	или бессознательно	1	1
354	мы видим	1	1
355	о каком-то	1	1
356	он есть	1	1
357	один из	2	1
358	вступить в	2	1
359	в заблуждение	1	1
360	собой и	1	1
361	оно может	1	1
362	культурные ценности	3	1
363	она и	1	1
364	менее в	1	1
365	же и	1	1
366	ее наличности	1	1
367	отвлекается от	1	1
368	и свою	1	1
369	но из	1	1
370	т.е к	1	1
371	зависит от	1	1
372	и пр	3	1
373	за исключением	1	1
374	бы себе	1	1
375	мы не	3	1
376	ним и	3	1
377	что я	5	1
378	оно было	1	1
379	случае мы	2	1
380	целом есть	1	1
381	есть общая	1	1
382	именно как	1	1
383	еще более	2	1
384	лежит за	1	1
385	была бы	1	1
386	объективен и	1	1
387	то для	1	1
388	или с	1	1
389	этой мысли	1	1
390	не своей	1	1
391	в своей	11	1
392	моем сознании	2	1
393	смысл и	6	1
394	именно она	2	1
395	он и	2	1
396	или нет	1	1
397	в корне	3	1
398	в ее	17	1
399	будет ли	2	1
400	его он	1	1
401	мысли и	1	1
402	в принципе	2	1
403	ее в	1	1
404	и тут	1	1
405	и сама	1	1
406	своей истории	2	1
407	в качестве	2	1
408	я во	1	1
409	в человеке	1	1
410	быть оправдан	1	1
411	не являются	1	1
412	и кажется	1	1
413	а есть	1	1
414	не способны	1	1
415	это слово	1	1
416	однако он	1	1
417	расположены в	1	1
418	нами в	2	1
419	а все	3	1
420	самое что	1	1
421	ценности можно	1	1
422	смысле этого	1	1
423	конечно невозможно	1	1
424	чтобы я	1	1
425	противоречие с	1	1
426	т.е что	2	1
427	основана на	1	1
428	в отношении	1	1
429	с другим	4	1
430	как с	1	1
431	котором мы	3	1
432	я тем	1	1
433	всеми другими	1	1
434	поэтому и	1	1
435	ясен и	1	1
436	в зависимости	1	1
437	в духе	1	1
438	о возможности	1	1
439	отказаться от	2	1
440	здесь мы	4	1
441	отличаются от	1	1
442	или иной	2	1
443	живет и	1	1
444	ни одна	2	1
445	в первом	1	1
446	и говорят	1	1
447	этого не	1	1
448	ее от	2	1
449	когда оно	1	1
450	с ней	1	1
451	в моем	6	1
452	и всякое	1	1
453	к телу	1	1
454	этот факт	2	1
455	дело в	2	1
456	мысль о	1	1
457	не противоречит	1	1
458	себя а	4	1
459	и эта	2	1
460	тем что	3	1
461	а то	1	1
462	теперь они	1	1
463	данного положения	1	1
464	же будет	1	1
465	я и	5	1
466	в материальной	1	1
467	более что	1	1
468	отношения к	1	1
469	и должен	2	1
470	факт не	1	1
471	этом последнем	1	1
472	не равно	1	1
473	и как	2	1
474	лишь с	2	1
475	как о	1	1
476	но он	1	1
477	к его	1	1
478	ценностей это	1	1
479	миг не	1	1
480	для каждого	1	1
481	в определенной	2	1
482	себя как	2	1
483	а именно	1	1
484	здесь дело	1	1
485	выход из	2	1
486	рядом с	3	1
487	выйти из	1	1
488	и просто	2	1
489	как в	2	1
490	жизни в	5	1
491	а эта	3	1
492	правда не	1	1
493	что между	1	1
494	от этого	2	1
495	мы только	1	1
496	приводит к	1	1
497	только для	1	1
498	если я	2	1
499	и я	6	1
500	бы не	3	1
501	возможности для	1	1
502	это было	2	1
503	со стороны	8	1
504	на его	1	1
505	себе и	3	1
506	людьми и	1	1
507	всей своей	2	1
508	вся культура	1	1
509	на своем	3	1
510	в историю	1	1
511	мира в	6	1
512	много и	1	1
513	всего можно	1	1
514	но мы	1	1
515	и таким	1	1
516	человечества мы	1	1
517	уже не	7	1
518	относиться к	1	1
519	свой смысл	1	1
520	культурного творчества	1	1
521	и другого	3	1
522	который и	1	1
523	другом случае	1	1
524	частей и	1	1
525	эти положения	1	1
526	понятий и	1	1
527	всех своих	4	1
528	его к	2	1
529	остается в	1	1
530	права и	1	1
531	в каждом	3	1
532	нет ничего	1	1
533	перестает быть	1	1
534	остальное в	1	1
535	это и	3	1
536	необходимое условие	1	1
537	ни на	1	1
538	она исходит	1	1
539	все остальное	2	1
540	не является	1	1
541	и эти	2	1
542	наличности в	2	1
543	только к	1	1
544	возможно именно	1	1
545	чем эта	1	1
546	же я	1	1
547	вытекает из	2	1
548	людей и	3	1
549	и понимает	1	1
550	что этот	3	1
551	каких бы	1	1
552	что ей	1	1
553	на задний	1	1
554	она должна	1	1
555	которую мы	1	1
556	будет иная	1	1
557	ли это	2	1
558	т.е в	1	1
559	и даже	1	1
560	в лучшем	1	1
561	всю свою	1	1
562	мысли я	1	1
563	все остальные	2	1
564	не могу	3	1
565	но при	1	1
566	эти слова	1	1
567	месте в	1	1
568	в значительной	1	1
569	входит в	4	1
570	он принимает	1	1
571	видит и	2	1
572	дело когда	2	1
573	нет но	1	1
574	ее до	2	1
575	совсем не	2	1
576	или не	1	1
577	вместо того	1	1
578	не быть	3	1
579	близости к	1	1
580	будет знать	1	1
581	и другой	1	1
582	вмещает в	1	1
583	в разные	1	1
584	еще менее	1	1
585	но лишь	7	1
586	из его	3	1
587	и b	1	1
588	как из	1	1
589	ценностей или	1	1
590	в этот	1	1
591	просто не	1	1
592	единство и	1	1
593	это сознание	1	1
594	ибо это	2	1
595	кажется что	2	1
596	поэтому мы	1	1
597	с которой	1	1
598	есть всегда	1	1
599	смысле слова	1	1
600	которой он	2	1
601	к такой	1	1
602	на нем	2	1
603	в психическом	1	1
604	а за	1	1
605	только на	1	1
606	таким путем	1	1
607	вступает в	3	1
608	и та	3	1
609	в различных	1	1
610	связь между	1	1
611	других людей	3	1
612	каждый раз	1	1
613	есть лишь	5	1
614	как некоторую	2	1
615	говоря о	1	1
616	стороны его	1	1
617	может породить	1	1
618	том кто	1	1
619	и затем	1	1
620	содержание которое	1	1
621	и жизни	4	1
622	а только	1	1
623	что ее	1	1
624	как оно	2	1
625	лишь как	3	1
626	ведь если	1	1
627	всякие другие	1	1
628	себя от	1	1
629	я буду	3	1
630	народа по	1	1
631	и всех	2	1
632	не случайно	1	1
633	точке зрения	1	1
634	же самое	1	1
635	всего что	1	1
636	но этот	2	1
637	делает его	1	1
638	всякого другого	1	1
639	не по	4	1
640	задний план	1	1
641	переход из	1	1
642	разные стороны	1	1
643	пока еще	1	1
644	быть не	2	1
645	к ней	1	1
646	психический процесс	2	1
647	нее и	1	1
648	ибо на	1	1
649	являются лишь	1	1
650	признания в	1	1
651	роковым для	1	1
652	ее не	1	1
653	главным образом	1	1
654	мы дадим	1	1
655	т.е только	1	1
656	конечно только	1	1
657	нет и	3	1
658	их а	1	1
659	этот человек	1	1
660	могут быть	3	1
661	всегда в	1	1
662	бы он	2	1
663	только по	2	1
664	это предполагает	1	1
665	всех сторон	1	1
666	быть в	4	1
667	до конца	3	1
668	находится в	1	1
669	целом в	1	1
670	него все	1	1
671	эту мысль	1	1
672	лучше всего	1	1
673	станет для	1	1
674	такие которые	1	1
675	он может	2	1
676	к пониманию	1	1
677	исходит из	1	1
678	нем не	2	1
679	что именно	1	1
680	в современной	3	1
681	с его	2	1
682	бы ни	1	1
683	которому и	1	1
684	просто нет	1	1
685	в данный	3	1
686	все другие	1	1
687	а как	2	1
688	только с	3	1
689	является только	1	1
690	каждый момент	2	1
691	на пользу	1	1
692	к этим	1	1
693	ведь и	1	1
694	в мышлении	1	1
695	не мог	1	1
696	лучшем случае	1	1
697	к совершенно	1	1
698	себе как	2	1
699	а не	17	1
700	и оно	1	1
701	этих людей	2	1
702	мы возьмем	1	1
703	здесь не	3	1
704	еще одной	1	1
705	и тем	3	1
706	ничего не	3	1
707	тот в	1	1
708	вся эта	2	1
709	не к	1	1
710	и единственным	1	1
711	человека но	1	1
712	своего развития	1	1
713	эта же	1	1
714	этими людьми	1	1
715	можно только	1	1
