N	2gram	Tiupa_Vved	Tragedij
176	то в	1	1
177	от нее	1	1
178	с помощью	1	1
179	противопоставляющего себя	1	1
180	этом случае	1	1
181	могут быть	5	1
182	в предельном	1	1
183	только не	1	1
184	себе ее	1	1
185	в последующих	1	1
186	мы бы	1	1
187	к сожалению	1	1
188	мы видим	1	1
189	в центре	4	1
190	в настоящем	2	1
191	что ему	1	1
192	по природе	2	1
193	свидетельствует он	1	1
194	и мира	5	1
195	мы встречаем	1	1
196	таким образом	6	1
197	опирается на	1	1
198	мог быть	1	1
199	сам же	1	1
200	героини в	1	1
201	этого персонажа	2	1
202	только что	1	1
203	на вопрос	1	1
204	известно что	1	1
205	отнимает у	1	1
206	свидетельствует о	5	1
207	того как	1	1
208	к этой	1	1
209	перестает быть	1	1
210	которой не	2	1
211	и который	2	1
212	с одной	9	1
213	и вот	3	1
214	его с	2	1
215	должна быть	3	1
216	к себе	2	1
217	дело с	4	1
218	начала и	2	1
219	но которую	1	1
220	другой мир	1	1
221	в финале	4	1
222	к числу	1	1
223	это часто	1	1
224	и трое	1	1
225	естественно что	1	1
226	добра и	1	1
227	содержит в	1	1
228	подчеркнуть что	5	1
229	литературе это	1	1
230	вот как	1	1
231	того что	7	1
232	тем не	3	1
233	по слову	1	1
234	о нем	1	1
235	уже далеко	1	1
236	не как	2	1
237	так можно	1	1
238	для нас	4	1
239	отчаянием и	1	1
240	его произведение	1	1
241	одному из	1	1
242	себе этого	1	1
243	смысл этой	1	1
244	как он	2	1
245	как своего	1	1
246	роман в	1	1
247	же не	1	1
248	оттого что	2	1
249	в результате	5	1
250	есть с	1	1
251	в виду	3	1
252	с собой	1	1
253	и теперь	1	1
254	только в	9	1
255	него нет	1	1
256	не столько	5	1
257	по себе	2	1
258	характер события	1	1
259	отметим что	1	1
260	а на	4	1
261	и притом	3	1
262	не было	5	1
263	голова его	1	1
264	в духе	1	1
265	но он	2	1
266	здесь мы	2	1
267	мы понимаем	1	1
268	значение только	1	1
269	до этого	2	1
270	исходит от	1	1
271	этого не	2	1
272	а также	12	1
273	или от	1	1
274	героя с	2	1
275	тот кто	2	1
276	заключается в	2	1
277	на нее	2	1
278	одним из	5	1
279	и чисто	1	1
280	мысль о	2	1
281	на себя	5	1
282	что не	2	1
283	как его	2	1
284	конфликт между	1	1
285	в эпоху	1	1
286	не есть	2	1
287	именно в	1	1
288	ведет к	2	1
289	весьма напоминает	1	1
290	обоих случаях	1	1
291	при которой	3	1
292	указывает на	2	1
293	вообще не	1	1
294	это выражение	1	1
295	этом прямо	1	1
296	и психологически	1	1
297	тому что	2	1
298	в связи	1	1
299	автор в	1	1
300	притом весьма	1	1
301	встречается в	1	1
302	с ними	2	1
303	и она	1	1
304	есть в	2	1
305	на земле	1	1
306	похожим на	1	1
307	в своей	10	1
308	за свое	1	1
309	вместе с	2	1
310	на этом	1	1
311	при таком	2	1
312	жизни в	5	1
313	роль в	2	1
314	не менее	4	1
315	так сказать	2	1
316	и тонко	1	1
317	и могут	1	1
318	бы не	3	1
319	со своей	4	1
320	и холодного	1	1
321	между собой	2	1
322	к личности	1	1
323	именно эта	2	1
324	власти и	1	1
325	в двух	1	1
326	сравнению с	1	1
327	когда в	2	1
328	романе в	1	1
329	героя и	5	1
330	в чем	2	1
331	ли это	2	1
332	тогда как	16	1
333	могло бы	4	1
334	только теперь	1	1
335	именно таков	1	1
336	всю ее	1	1
337	такая точка	1	1
338	насмешка над	1	1
339	бы в	4	1
340	в них	4	1
341	глаза с	1	1
342	в iii	1	1
343	поле в	1	1
344	во всех	2	1
345	а поскольку	1	1
346	на свете	1	1
347	представлялось что	1	1
348	к одному	2	1
349	говорится о	1	1
350	рассказа по	1	1
351	во всяком	3	1
352	и потому	2	1
353	это и	1	1
354	о себе	1	1
355	в жизнь	1	1
356	совершенно не	2	1
357	материалом для	1	1
358	к счастью	1	1
359	но как	1	1
360	не является	7	1
361	в противовес	4	1
362	нем ничего	1	1
363	своих прежних	1	1
364	а стало	1	1
365	а к	3	1
366	развернута в	2	1
367	и цель	1	1
368	в котором	11	1
369	же я	1	1
370	ему в	2	1
371	с самого	1	1
372	не сводится	7	1
373	не могли	1	1
374	он понял	1	1
375	восходит к	2	1
376	которой он	1	1
377	связи с	2	1
378	нет своего	1	1
379	в становлении	1	1
380	взрослого человека	1	1
381	хотя бы	2	1
382	умирают в	1	1
383	строится как	1	1
384	эти слова	2	1
385	того чтобы	2	1
386	и если	1	1
387	от самого	1	1
388	на другой	2	1
389	но не	9	1
390	в другом	2	1
391	природе своей	2	1
392	этом мире	1	1
393	между тем	3	1
394	представляет собой	18	1
395	быть не	4	1
396	понимаем что	1	1
397	в ней	5	1
398	однако ни	1	1
399	обстоит дело	1	1
400	вызывает в	1	1
401	мы узнаем	2	1
402	за три	1	1
403	самом деле	6	1
404	к своей	2	1
405	уже было	1	1
406	говорила я	1	1
407	исследования в	1	1
408	лишь в	4	1
409	в эпилоге	1	1
410	а не	31	1
411	а за	1	1
412	а по	1	1
413	значение для	1	1
414	только на	2	1
415	и их	1	1
416	свою жизнь	1	1
417	в особую	1	1
418	ну а	1	1
419	не могла	1	1
420	можно было	2	1
421	в форме	1	1
422	к смерти	1	1
423	но только	1	1
424	вместо того	2	1
425	факт что	1	1
426	и хотя	1	1
427	даже не	1	1
428	в смерти	1	1
429	не вполне	4	1
430	в истории	1	1
431	по своей	4	1
432	он есть	1	1
433	стало быть	10	1
434	свое значение	1	1
435	в обоих	3	1
436	самого начала	1	1
437	должны были	3	1
438	жизни на	2	1
439	предысторию сюжета	1	1
440	судьбой но	1	1
441	и т.д	6	1
442	у которого	2	1
443	полагал что	1	1
444	с другим	1	1
445	того кто	1	1
446	но все-таки	1	1
447	могло быть	1	1
448	известной степени	1	1
449	рассказа но	1	1
450	во ii	1	1
451	на груди	1	1
452	именно такого	1	1
453	дистанция между	2	1
454	к ним	4	1
455	в моей	1	1
456	и еще	1	1
457	в эпизоде	1	1
458	не получил	1	1
459	он в	1	1
460	что ты	1	1
461	как мы	5	1
462	у себя	1	1
463	самой своей	1	1
464	не для	1	1
465	и особенно	1	1
466	во многом	1	1
467	и о	4	1
468	ее не	2	1
469	где на	1	1
470	на уровне	1	1
471	наряду с	2	1
472	той же	3	1
473	и др	2	1
474	ответа на	1	1
475	по сравнению	1	1
476	это мы	1	1
477	встреч и	1	1
478	только по	1	1
479	обратимся к	2	1
480	какой она	2	1
481	именно так	1	1
482	тот самый	1	1
483	быть в	1	1
484	и политических	1	1
485	в высшей	2	1
486	для разработки	1	1
487	его поведения	1	1
488	облекается в	1	1
489	слова в	3	1
490	и от	3	1
491	выразить свое	1	1
492	и есть	2	1
493	рассказ об	1	1
494	и внутренним	1	1
495	в голову	2	1
496	объясняется тем	1	1
497	на этот	2	1
498	они сами	1	1
499	из трех	2	1
500	что без	1	1
501	такое время	2	1
502	например в	2	1
503	двух историй	1	1
504	в период	2	1
505	писателя в	1	1
506	но если	1	1
507	достоевского но	1	1
508	о своих	1	1
509	мать и	1	1
510	алешу к	1	1
511	в литературе	2	1
512	в сфере	7	1
513	в области	5	1
514	и по	3	1
515	нуждается в	1	1
516	для характеристики	1	1
517	в и	1	1
518	всяком случае	3	1
519	на котором	1	1
520	теперь уже	2	1
521	у которой	2	1
522	событий и	2	1
523	распадается на	1	1
524	до начала	2	1
525	к ее	3	1
526	тексте в	2	1
527	три года	1	1
528	не самому	1	1
529	и совершенно	1	1
530	и наконец	2	1
531	что на	4	1
532	вплоть до	2	1
533	известной мере	1	1
534	говорит не	1	1
535	с того	3	1
536	не к	4	1
537	обратиться к	2	1
538	чем у	1	1
539	он полагал	1	1
540	судя по	3	1
541	высшей степени	2	1
