N	3gram	Savitsky_E	FransuaR
221	кровь от крови	1	1
222	около этого времени	1	1
223	не относится к	1	1
224	человеческой культуры в	1	1
225	человеческого рода и	1	1
226	что для него	1	1
227	в том случае	1	1
228	но и эта	1	1
229	это может быть	1	1
230	там где в	1	1
231	их можно было	1	1
232	само по себе	4	1
233	не может дать	1	1
234	как нам кажется	5	1
235	которые по своему	1	1
236	имеет для нас	1	1
237	в частности в	2	1
238	превосходят все что	1	1
239	большем или меньшем	1	1
240	к участию в	1	1
241	мы видим как	1	1
242	в стороне от	1	1
243	как не может	1	1
244	не находим в	1	1
245	или хотя бы	2	1
246	во многих отношениях	1	1
247	при помощи которого	1	1
248	между тем в	3	1
249	в xviii и	1	1
250	того или иного	4	1
251	от плоти и	1	1
252	к тому или	1	1
253	на то что	2	1
254	в этом явлении	1	1
255	мы увидим что	1	1
256	что же касается	1	1
257	в некоторых случаях	1	1
258	он мог бы	1	1
259	и в другие	1	1
260	говорить о том	1	1
261	некоторое время с	1	1
262	на будущее в	1	1
263	в отношении к	12	1
264	чтобы войти в	1	1
265	и кровь от	1	1
266	также и те	1	1
267	не будет уже	1	1
268	хотя и не	1	1
269	этом отношении особенно	1	1
270	степени чем в	1	1
271	следует прежде всего	1	1
272	бы неправильно думать	1	1
273	на то или	1	1
274	имеют дело с	1	1
275	но и во	1	1
276	в лучшем случае	1	1
277	и притом в	2	1
278	по нашему мнению	2	1
279	речь идет о	1	1
280	в англии в	1	1
281	и человеческой жизни	1	1
282	тех случаях когда	1	1
283	что в качестве	1	1
284	в гораздо большей	1	1
285	во всех перечисленных	1	1
286	между прочим и	2	1
287	то время как	1	1
288	мы находим у	1	1
