N	2gram	Nazirov_Tr	Poddanst
238	к россии	1	1
239	и жизнь	1	1
240	века в	1	1
241	что именно	1	1
242	с чертами	1	1
243	в и	1	1
244	всяком случае	1	1
245	в иной	1	1
246	сравнению с	1	1
247	в условиях	1	1
248	когда в	1	1
249	друг друга	2	1
250	распадается на	1	1
251	в это	2	1
252	без которой	1	1
253	с ее	3	1
254	опирающаяся на	1	1
255	не просто	2	1
256	он был	2	1
257	тем чем	1	1
258	не имеет	2	1
259	есть и	1	1
260	и особенно	1	1
261	смысл этого	1	1
262	одно из	1	1
263	и ее	2	1
264	злого начала	1	1
265	времени так	1	1
266	государства но	1	1
267	в развитии	1	1
268	обратиться к	1	1
269	в душе	2	1
270	xviii века	1	1
271	никогда не	2	1
272	еще не	4	1
