N	3gram	Losev_Vesc	formyVre
124	вовсе не в	1	1
125	мы подходим к	1	1
126	в самом деле	7	1
127	и как оно	1	1
128	мы еще не	2	1
129	тем не менее	11	1
130	есть еще и	2	1
131	отличает его от	1	1
132	когда мы говорим	1	1
133	у него и	1	1
134	более или менее	4	1
135	с другом они	1	1
136	и пр и	1	1
137	это не значит	1	1
138	и с такою	1	1
139	но какое это	2	1
140	кроме того что	1	1
141	момент в ней	2	1
142	то что можно	1	1
143	с его чисто	1	1
144	в данном месте	1	1
145	а есть только	2	1
146	самим собою в	1	1
147	прежде всего к	1	1
148	проник и в	1	1
149	один из самых	1	1
150	ни от чего	3	1
151	он между прочим	1	1
152	вместо того чтобы	1	1
153	но только в	1	1
154	они как раз	1	1
155	и для всего	1	1
156	остановиться на одной	1	1
157	и все же	1	1
158	в той его	1	1
159	можно говорить о	2	1
160	однако не только	1	1
161	точки зрения этого	1	1
162	а затем и	2	1
163	они вовсе не	1	1
164	каждой из них	1	1
165	а за ними	1	1
166	и в нем	1	1
167	с полной ясностью	1	1
168	во всех видах	1	1
169	не может не	3	1
170	уже в самой	1	1
171	как только я	1	1
172	сама по себе	7	1
173	с тех пор	1	1
174	и говорить о	1	1
175	время как другие	1	1
176	только то что	3	1
177	и во всяком	1	1
178	одном и том	1	1
179	в эти периоды	1	1
180	не то что	1	1
181	между ними уже	1	1
182	о котором я	1	1
183	или хотя бы	1	1
184	тут же в	1	1
185	и не может	1	1
186	но в смысле	1	1
187	смысле и в	1	1
188	она еще не	1	1
189	в определенном направлении	2	1
190	находятся в разных	1	1
191	и у нас	1	1
192	или должно быть	1	1
193	и том же	1	1
194	еще и в	1	1
195	прежде всего на	1	1
196	в его отношении	1	1
197	и для всех	1	1
198	отнюдь не предполагает	1	1
199	что может быть	1	1
200	и может быть	1	1
201	так как по	1	1
202	как мы знаем	1	1
203	как и вся	1	1
204	что и сама	1	1
205	мир и человек	1	1
206	эта точка зрения	1	1
207	жизни не может	1	1
208	себя же самой	2	1
209	этой точки зрения	3	1
210	и вообще всяких	1	1
211	хотя это и	1	1
212	что то же	2	1
213	и все вообще	1	1
214	по существу же	1	1
215	в данный момент	1	1
216	руки и ноги	2	1
217	то что в	1	1
218	какое это будет	1	1
219	по той же	1	1
220	что мы сказали	1	1
221	да и в	1	1
222	так как под	1	1
223	была бы совершенно	1	1
224	в этом и	2	1
225	или что то	2	1
226	может быть или	1	1
227	они должны быть	1	1
228	вовсе еще не	1	1
229	они находятся в	1	1
230	вещи и идеи	1	1
231	одно из самых	1	1
232	смысле этого слова	1	1
233	в отрыве от	3	1
234	в конце концов	2	1
235	в xix веке	1	1
236	подобно тому как	5	1
237	но это значит	2	1
238	по вопросу о	1	1
239	есть и что	2	1
240	различны в разных	1	1
241	это уже не	1	1
242	и в котором	1	1
243	но на этой	1	1
244	себя в этом	1	1
245	так что в	3	1
246	есть прежде всего	4	1
247	было бы и	5	1
248	для него это	1	1
249	в себе не	1	1
250	том что он	2	1
251	хотя бы в	2	1
252	по существу и	1	1
253	в новое время	1	1
254	сходство и в	1	1
255	в отношении к	2	1
256	а так как	2	1
257	та или иная	1	1
258	у нас это	1	1
259	в себе и	1	1
260	и в результате	1	1
261	того же типа	1	1
262	но и для	1	1
263	есть в основе	1	1
264	есть все то	1	1
265	внутренняя форма слова	1	1
