N	2gram	Trubetskoy	Hudozhes
109	в себя	2	4
110	а только	1	4
111	между тем	12	4
112	он не	4	4
113	и тем	1	4
114	и что	9	4
115	далеко не	5	4
116	со своей	2	4
117	однако в	1	4
118	в силу	7	4
119	хотя и	4	4
120	и к	5	3
121	к действительности	1	3
122	на деле	1	3
123	и на	6	3
124	с этой	3	3
125	даже в	3	3
126	была бы	1	3
127	однако при	2	3
128	если бы	8	3
129	и сам	2	3
130	есть в	2	3
131	а именно	1	3
132	в жизни	3	3
133	имеет место	2	3
134	как и	10	3
135	к его	1	3
136	их в	2	3
137	никто не	2	3
138	себя и	2	3
139	тем не	4	3
140	культуры в	10	3
141	художественное произведение	1	3
142	и того	3	3
143	и состоит	2	3
144	к нему	2	3
145	потому что	9	3
146	одной стороны	2	3
147	за пределами	1	3
148	во всей	2	3
149	от себя	2	3
150	из этих	8	3
151	и для	6	3
152	он должен	2	3
153	таким образом	34	3
154	с одной	3	3
155	том числе	1	3
156	с точки	8	3
157	все прочие	4	3
158	и притом	1	3
159	связи с	4	3
160	но он	1	3
161	в таком	4	3
162	в связи	3	3
163	по своему	5	3
164	во всех	10	3
165	в свою	2	3
166	в которой	5	3
167	не будет	5	3
168	одно и	1	3
169	говоря о	1	3
170	того же	9	3
171	тот или	1	3
172	одного и	3	3
173	в узком	1	3
174	в точке	2	3
175	не случайно	1	3
176	в культуре	1	3
177	в целом	5	3
178	и ее	2	3
179	и другие	1	2
180	образом и	2	2
181	один из	1	2
182	рассказ о	1	2
183	с ним	6	2
184	строго говоря	1	2
185	из которых	4	2
186	а затем	2	2
187	окружающей его	1	2
188	одно из	3	2
189	усматривая в	1	2
190	том и	2	2
191	в них	2	2
192	этой точки	1	2
193	самом деле	12	2
194	заключается в	3	2
195	все эти	19	2
196	именно в	5	2
197	с ними	2	2
198	в одно	2	2
199	как в	1	2
200	роль в	1	2
201	бы не	1	2
202	жизни в	1	2
203	отличается от	6	2
204	у одного	1	2
205	собою в	1	2
206	вследствие этого	3	2
207	ни для	2	2
208	всей своей	1	2
209	о том	7	2
210	свою очередь	2	2
211	это и	1	2
212	еще и	1	2
213	со временем	2	2
214	и конец	4	2
215	при условии	2	2
216	вытекает из	1	2
217	между собой	4	2
218	совершенно иной	2	2
219	между двумя	5	2
220	для меня	4	2
221	вступает в	1	2
222	может служить	3	2
223	и это	3	2
224	не вполне	3	2
225	так же	8	2
226	еще один	1	2
227	из перечисленных	1	2
228	должен быть	2	2
229	из виду	1	2
230	на наших	1	2
231	если мы	4	2
232	в нашем	3	2
233	одна из	2	2
234	этого слова	2	2
235	здесь не	1	2
236	на котором	1	2
237	он и	1	2
238	в самой	2	2
239	начало и	6	2
240	никогда не	4	2
241	и по	3	2
242	на время	1	2
243	начиная с	1	2
244	бы то	3	2
245	то в	2	2
246	при котором	1	2
247	не принадлежат	1	2
248	но на	2	2
249	этих двух	2	2
250	наших глазах	1	2
251	несмотря на	6	2
252	ни было	3	2
253	что такое	1	2
254	ее в	1	2
255	все это	13	2
256	что и	7	2
257	что каждый	1	2
258	в европейской	4	2
259	к жизни	1	2
260	у него	5	2
261	от всех	1	2
262	и некоторые	2	2
263	и более	2	2
264	не от	2	2
265	одним из	4	2
266	что она	2	2
267	тому что	2	2
268	в равной	1	2
269	случае не	1	2
270	я не	2	2
271	к своему	1	2
272	вследствие этой	1	2
273	в сторону	3	2
274	делает его	1	2
275	частной жизни	1	2
276	вовсе не	2	2
277	вопрос что	1	2
278	тем более	3	2
279	а для	2	2
280	и потому	3	2
281	только лишь	1	2
282	но как	2	2
283	а с	4	2
284	на этом	2	2
285	данный момент	4	2
286	единое целое	1	2
287	имеются и	1	2
288	то ни	4	2
289	и весьма	1	2
290	в значительной	1	2
291	есть как	1	2
292	быть и	5	2
293	и может	3	2
294	к такой	1	2
295	это может	2	2
296	в этой	7	2
297	числе и	1	2
298	и особенно	2	2
299	столь же	5	2
300	из этого	7	2
301	в данный	1	2
302	отнюдь не	2	2
303	мира в	1	2
304	культура есть	1	1
305	с которыми	2	1
306	к такому	2	1
307	от него	3	1
308	все что	10	1
309	для всех	1	1
310	в центре	1	1
311	произведение и	1	1
312	вступить в	1	1
313	за ним	1	1
314	же и	1	1
315	как с	1	1
316	и свою	1	1
317	если в	1	1
318	тех кто	5	1
319	я этого	1	1
320	между этими	2	1
321	эволюции человечества	5	1
322	случае мы	1	1
323	можно назвать	3	1
324	и другим	1	1
325	что это	5	1
326	тем как	2	1
327	в сущности	2	1
328	не требует	1	1
329	в другой	1	1
330	ибо без	1	1
331	те же	2	1
332	в область	1	1
333	с не	1	1
334	из того	4	1
335	одному из	1	1
336	общий признак	1	1
337	и другими	1	1
338	особенно если	1	1
339	должно будет	1	1
340	в результате	9	1
341	то с	2	1
342	должен не	1	1
343	открытие и	1	1
344	быть может	1	1
345	противоречие с	1	1
346	не могут	4	1
347	или для	1	1
348	же я	1	1
349	и даже	1	1
350	все то	2	1
351	не более	2	1
352	между всеми	1	1
353	внутренне не	1	1
354	а во-вторых	1	1
355	его природы	1	1
356	произведения в	1	1
357	каждой новой	1	1
358	мысль о	1	1
359	к каким	1	1
360	тем что	1	1
361	из всего	1	1
362	и будет	2	1
363	то время	2	1
364	если он	2	1
365	принадлежат к	1	1
366	том или	1	1
367	для своей	1	1
368	ценностей и	1	1
369	с ума	1	1
370	как быть	1	1
371	его сознании	1	1
372	психики но	1	1
373	с такими	1	1
374	что по	3	1
375	тому назад	1	1
376	вместе с	7	1
377	все же	15	1
378	свое самобытное	1	1
379	жизни ее	1	1
380	только для	1	1
381	или ином	1	1
382	не имеет	2	1
383	смертью в	1	1
384	речь в	1	1
385	по признаку	1	1
386	да и	1	1
387	более сложные	1	1
388	однако это	2	1
389	ему и	2	1
390	о котором	7	1
391	зависимости от	2	1
392	жизни если	1	1
393	более как	2	1
394	на их	1	1
395	друг от	6	1
396	на каждом	2	1
397	нет в	2	1
398	себя свою	1	1
399	но мы	1	1
400	на первый	2	1
401	по крайней	1	1
402	перед нами	1	1
403	поскольку такое	2	1
404	первый взгляд	1	1
405	с этим	12	1
406	все они	6	1
407	тем в	1	1
408	культуры не	1	1
409	в котором	2	1
410	зависит от	1	1
411	и пр	1	1
412	по тем	2	1
413	своей собственной	1	1
414	то и	2	1
415	время от	2	1
416	но кто	1	1
417	всегда может	1	1
418	можно лишь	2	1
419	только такие	1	1
420	некий общий	1	1
421	только мы	2	1
422	что входит	1	1
423	и поэтому	2	1
424	быть не	1	1
425	не быть	1	1
426	является именно	1	1
427	во многих	1	1
428	а после	1	1
429	из его	1	1
430	время в	1	1
431	точно и	1	1
432	с которой	1	1
433	жизни и	2	1
434	только на	1	1
435	в противоречие	2	1
436	точно так	1	1
437	к одному	1	1
438	в различных	1	1
439	и наиболее	1	1
440	на основании	1	1
441	им уже	1	1
442	не так	4	1
443	к нашим	1	1
444	и те	2	1
445	в совершенно	3	1
446	в истории	3	1
447	это необходимо	1	1
448	от своей	2	1
449	каждый из	3	1
450	позиции и	1	1
451	на новую	1	1
452	в чистом	1	1
453	всего что	1	1
454	между людьми	2	1
455	в прошлом	1	1
456	на которые	1	1
457	есть культура	4	1
458	вытекающей из	1	1
459	задний план	1	1
460	к ним	2	1
461	весьма сложного	1	1
462	двух других	1	1
463	настоящее время	3	1
464	еще нет	1	1
465	ее не	1	1
466	двух различных	1	1
467	тем же	2	1
468	по которым	1	1
469	той же	2	1
470	своею и	1	1
471	русском языке	1	1
472	на второй	1	1
473	оно стало	1	1
474	до конца	1	1
475	с нею	1	1
476	только при	2	1
477	в каждый	6	1
478	что все	5	1
479	и самих	1	1
480	которую в	1	1
481	том же	4	1
482	все без	2	1
483	в сознании	7	1
484	приобщения к	2	1
485	исходит из	1	1
486	культуры ибо	2	1
487	но если	2	1
488	не внешним	1	1
489	сомневаться не	1	1
490	культуры как	4	1
491	не имело	1	1
492	в отдельных	2	1
493	по этой	1	1
494	жизни постоянно	1	1
495	от таких	1	1
496	к этим	1	1
497	самые различные	1	1
498	друг друга	2	1
499	то я	1	1
500	они могут	2	1
501	в настоящее	3	1
502	не будучи	1	1
503	пришлось бы	2	1
504	крайней мере	1	1
505	из них	5	1
506	тот же	3	1
507	его можно	1	1
508	человека но	1	1
509	другими людьми	1	1
510	ближайшие к	1	1
511	всего в	1	1
512	представить себе	2	1
513	не происходит	1	1
514	что они	2	1
515	этом случае	4	1
516	и идет	1	1
517	только не	2	1
518	которой я	1	1
519	мы видим	1	1
520	в более	1	1
521	отношении оказывается	1	1
522	так как	7	1
523	многих других	2	1
524	чужой психики	1	1
525	они не	2	1
526	может не	3	1
527	не во	1	1
528	на вопрос	4	1
529	но из	1	1
530	свидетельствует о	1	1
531	должно быть	5	1
532	несколько иной	1	1
533	смотря на	1	1
534	в состоянии	5	1
535	у каждого	1	1
536	начале этой	2	1
537	я во	1	1
538	а и	8	1
539	не своей	1	1
540	он усматривает	1	1
541	целого а	1	1
542	как элемент	1	1
543	чем у	8	1
544	что несмотря	2	1
545	как у	3	1
546	для нас	3	1
547	не принять	1	1
548	приобщение к	7	1
549	из своих	1	1
550	у нас	3	1
551	в широком	1	1
552	на которой	1	1
553	и от	5	1
554	все их	1	1
555	себе никаких	1	1
556	когда же	1	1
557	мы находим	1	1
558	и развития	1	1
559	тому же	6	1
560	от своих	1	1
561	но с	2	1
562	сторону его	1	1
563	что составляет	1	1
564	не было	2	1
565	от друга	6	1
566	что его	4	1
567	самые разнообразные	1	1
568	можно строить	1	1
569	и где	2	1
570	на нее	2	1
571	дело в	1	1
572	культуры чем	1	1
573	но для	2	1
574	этом что	2	1
575	предполагает как	1	1
576	в конце	4	1
577	или иная	1	1
578	борющихся сторон	1	1
579	и без	5	1
580	лишь на	1	1
581	не подлежит	3	1
582	же как	3	1
583	на земле	3	1
584	не есть	4	1
585	между прочим	2	1
586	рядом с	1	1
587	над тем	1	1
588	при таком	2	1
589	жизнью в	1	1
590	от этого	1	1
591	и со	1	1
592	и я	1	1
593	в такой	4	1
594	может рассматриваться	1	1
595	по его	2	1
596	именно эта	1	1
597	это было	1	1
598	тех же	2	1
599	на его	1	1
600	себе и	1	1
601	при виде	2	1
602	и другого	1	1
603	связаны с	1	1
604	как сказано	4	1
605	бы в	3	1
606	на них	1	1
607	в каждом	1	1
608	том случае	4	1
609	что от	1	1
610	только к	1	1
611	в своих	2	1
612	на задний	1	1
613	эти последние	2	1
614	случае если	5	1
615	чистом виде	1	1
616	что этому	1	1
617	две стороны	1	1
618	нам всегда	2	1
619	зрения в	1	1
620	именно потому	2	1
621	также и	2	1
622	ту же	2	1
623	одну из	2	1
624	нельзя не	1	1
625	как человек	1	1
626	части и	1	1
627	людьми поэтому	1	1
628	просто не	1	1
629	и помимо	1	1
630	в развитии	1	1
631	что касается	6	1
632	в первом	1	1
633	для этого	7	1
634	такого что	1	1
635	не могла	1	1
636	это была	1	1
637	заключает в	2	1
638	тем и	1	1
639	скачка в	1	1
640	иметь в	1	1
641	является одним	1	1
642	даже при	1	1
643	только то	2	1
644	и жизни	1	1
645	из нас	1	1
646	следует признать	1	1
647	и возникает	1	1
648	этом не	1	1
649	над собою	1	1
650	было бы	3	1
651	не по	1	1
652	из нее	2	1
653	так называемого	5	1
654	же самое	1	1
655	вступают в	2	1
656	как мы	3	1
657	данного произведения	1	1
658	своей стороны	1	1
659	общего с	2	1
660	что для	4	1
661	та или	1	1
662	друг другу	1	1
663	его создателя	1	1
664	в зависимости	1	1
665	это делает	1	1
666	этом и	1	1
667	в лучшем	1	1
668	может показаться	1	1
669	по этому	2	1
670	так что	6	1
671	к пониманию	1	1
672	в уме	1	1
673	чаще всего	1	1
674	как будто	5	1
675	себя а	1	1
676	на то	9	1
677	не ее	1	1
678	бы ни	1	1
679	этом у	1	1
680	себе еще	1	1
681	а как	1	1
682	здесь мы	1	1
683	отрешиться от	1	1
684	лучшем случае	1	1
685	крайними пределами	1	1
686	есть не	1	1
687	кажется что	1	1
688	иное как	1	1
689	можно только	1	1
