N	2gram	Ircho_Kome	OGranits
505	особая область	1	1
506	или их	1	1
507	для этого	2	1
508	с ее	2	1
509	из него	1	1
510	в нашу	1	1
511	и это	3	1
512	свое мнение	1	1
513	того же	4	1
514	и типов	3	1
515	в самой	2	1
516	в виде	3	1
517	от него	1	1
518	само по	1	1
519	здесь нет	1	1
520	как для	1	1
521	и другое	1	1
522	к нему	5	1
523	едва ли	16	1
524	еще одно	1	1
525	тем более	1	1
526	формы и	1	1
527	особенно в	1	1
528	не входит	1	1
529	как из	3	1
530	на все	3	1
531	и особенно	7	1
532	еще не	7	1
533	нашу задачу	1	1
534	тех случаях	1	1
