N	2gram	Losev_Vesc	SlovoVZh
106	нуждается в	2	3
107	да и	5	3
108	но и	19	3
109	бы мы	1	3
110	ведь и	6	3
111	и для	13	3
112	точка зрения	5	3
113	и ее	19	3
114	и наконец	1	3
115	сих пор	1	3
116	и вообще	6	3
117	формы и	1	3
118	не к	3	3
119	еще не	12	3
120	в особенности	3	2
121	что в	11	2
122	этих двух	2	2
123	нет ничего	2	2
124	перестает быть	3	2
125	но это	14	2
126	не так	2	2
127	и потому	8	2
128	и другие	2	2
129	смысл и	12	2
130	ни на	7	2
131	и то	14	2
132	выражение в	3	2
133	социальной жизни	1	2
134	мы можем	4	2
135	и самое	3	2
136	в данном	6	2
137	в то	11	2
138	еще раз	1	2
139	по природе	2	2
140	которые мы	2	2
141	данном случае	2	2
142	нас и	1	2
143	в основном	1	2
144	зависит от	1	2
145	с одной	3	2
146	уже в	2	2
147	в его	5	2
148	с этой	6	2
149	она не	9	2
150	это не	9	2
151	одной стороны	3	2
152	относится к	6	2
153	дело с	1	2
154	с точки	6	2
155	мы имеем	8	2
156	и дает	2	2
157	была бы	3	2
158	искусства и	1	2
159	несколько подробнее	1	2
160	эти и	1	2
161	с чисто	1	2
162	вещи и	40	2
163	на него	3	2
164	кроме того	5	2
165	тогда когда	5	2
166	в себя	13	2
167	от всех	5	2
168	как это	4	2
169	но все	3	2
170	но зато	2	2
171	мы в	1	2
172	если же	5	2
173	одно и	6	2
174	и та	2	2
175	общения и	2	2
176	из него	1	2
177	и что	22	2
178	что и	11	2
179	в отношении	7	2
180	же самое	1	2
181	конечно в	1	2
182	другой стороны	3	2
183	этой стороны	1	2
184	но что	9	2
185	как не	2	2
186	в этих	1	2
187	есть уже	4	2
188	можно найти	1	2
189	тому же	1	2
190	ней как	1	2
191	оно не	6	2
192	бы даже	2	2
193	как же	6	2
194	и притом	4	2
195	форма в	1	2
196	этого общения	1	2
197	но этот	1	2
198	на это	5	2
199	и здесь	5	2
200	но конечно	1	2
201	и все	6	2
202	но не	9	2
203	форму и	1	2
204	быть только	6	2
205	его как	2	2
206	допустим что	3	2
207	не есть	79	2
208	могут быть	1	2
209	героев и	1	2
210	с другими	8	2
211	в самое	1	2
212	не остается	1	2
213	стороны и	2	2
214	в своем	9	2
215	в какой	1	2
216	вместе с	4	2
217	между ними	6	2
218	в зависимости	1	2
219	к его	2	2
220	может стать	1	2
221	бы оно	1	2
222	и так	2	2
223	с его	2	2
224	себя и	8	2
225	на все	2	2
226	к этому	2	2
227	между собой	2	2
228	каждый момент	1	2
229	он не	4	2
230	независимо от	5	2
231	извне как	1	2
232	что слово	1	2
233	этого положения	1	2
234	в чем	10	2
235	и совершенно	2	2
236	но мы	1	2
237	им не	1	2
238	как только	6	2
239	едва ли	1	2
240	ничего не	12	2
241	выражение и	2	2
242	же просто	1	1
243	пониманием и	1	1
244	творчестве и	1	1
245	уже сказали	1	1
246	необходимо но	1	1
247	на которую	1	1
248	к одному	3	1
249	жизнь и	2	1
250	себе в	5	1
251	стоит ли	1	1
252	то в	4	1
253	слова это	1	1
254	производственные отношения	1	1
255	же деле	1	1
256	во всяком	4	1
257	она имеет	6	1
258	нам не	2	1
259	это и	12	1
260	что они	12	1
261	его и	4	1
262	и такой	2	1
263	является в	2	1
264	но можно	3	1
265	переходя в	1	1
266	входя в	1	1
267	то он	2	1
268	во всех	5	1
269	не зная	1	1
270	восприятия и	1	1
271	не является	3	1
272	слово есть	1	1
273	когда имеется	1	1
274	а с	3	1
275	поэтому не	1	1
276	только к	2	1
277	если оно	9	1
278	что оно	10	1
279	и он	1	1
280	оформления и	1	1
281	сущности как	4	1
282	социальной действительности	4	1
283	коем случае	1	1
284	та же	1	1
285	может с	1	1
286	по преимуществу	2	1
287	общения в	1	1
288	было в	3	1
289	с самого	1	1
290	дано в	1	1
291	зрения на	1	1
292	только а	4	1
293	менее эта	1	1
294	является ее	1	1
295	так можно	1	1
296	основе своей	2	1
297	каких бы	1	1
298	на эти	1	1
299	на этом	4	1
300	ощущаем и	1	1
301	является и	3	1
302	в коем	1	1
303	она должна	4	1
304	них в	1	1
305	мы воспринимаем	1	1
306	от целого	1	1
307	не имеют	1	1
308	так но	2	1
309	то есть	2	1
310	окружающей ее	1	1
311	но из	2	1
312	нельзя было	4	1
313	вещью или	3	1
314	собой ибо	1	1
315	всех языках	1	1
316	языка в	1	1
317	но тот	1	1
318	только того	1	1
319	должно быть	8	1
320	мы уже	3	1
321	этих моментов	1	1
322	к целому	1	1
323	ли он	1	1
324	нас не	2	1
325	и уж	2	1
326	явление или	1	1
327	мы увидим	1	1
328	как существенный	1	1
329	и который	2	1
330	даже и	5	1
331	и того	2	1
332	вещи наоборот	1	1
333	и вот	4	1
334	от нее	2	1
335	конечно ни	1	1
336	она могла	2	1
337	может идти	2	1
338	таком понимании	1	1
339	в свою	5	1
340	только и	8	1
341	только как	2	1
342	случае мы	1	1
343	что уже	1	1
344	часть его	1	1
345	от каких	1	1
346	того чтобы	4	1
347	он как	1	1
348	определенным образом	6	1
349	в основе	4	1
350	и их	11	1
351	так думать	1	1
352	еще более	4	1
353	как некая	3	1
354	ту же	2	1
355	на основе	1	1
356	в другом	3	1
357	и менее	1	1
358	тому как	5	1
359	формы но	1	1
360	как перед	1	1
361	несмотря на	6	1
362	но то	4	1
363	но эти	2	1
364	это только	2	1
365	вопросу о	1	1
366	на что	1	1
367	что собственно	1	1
368	и должна	2	1
369	признать что	2	1
370	в теории	1	1
371	он находится	1	1
372	части и	2	1
373	на одно	1	1
374	большим трудом	1	1
375	для всего	2	1
376	что это	18	1
377	хотя и	5	1
378	и тогда	7	1
379	этом отношении	2	1
380	этот третий	1	1
381	она будет	2	1
382	это уже	2	1
383	теперь остается	1	1
384	о чем	2	1
385	мы должны	5	1
386	самую форму	1	1
387	оно начинает	1	1
388	точно и	1	1
389	в ее	8	1
390	и тем	7	1
391	кажется что	1	1
392	остается только	1	1
393	сам по	4	1
394	или просто	1	1
395	относится не	2	1
396	всех представителей	1	1
397	не требует	1	1
398	все основные	1	1
399	какой бы	1	1
400	один шаг	1	1
401	такое понимание	1	1
402	бы только	2	1
403	в частности	3	1
404	говорит о	3	1
405	правда это	1	1
406	для нее	2	1
407	и больше	13	1
408	в изучении	1	1
409	не как	2	1
410	однако эта	1	1
411	со всей	2	1
412	и вся	1	1
413	эта сторона	1	1
414	два человека	1	1
415	должны быть	6	1
416	в качестве	4	1
417	или иных	2	1
418	с абстрактным	1	1
419	каждое слово	1	1
420	же нам	1	1
421	всей жизни	1	1
422	ее нет	3	1
423	одна сторона	1	1
424	всех других	1	1
425	не хочет	1	1
426	в субъект	1	1
427	то мы	3	1
428	в науке	3	1
429	должен и	1	1
430	самом же	1	1
431	в одном	6	1
432	одно из	2	1
433	ее например	1	1
434	у нас	9	1
435	кто же	1	1
436	что каждый	1	1
437	не переходя	1	1
438	можно было	6	1
439	вещами и	3	1
440	для их	1	1
441	и делает	2	1
442	быть ни	3	1
443	кто не	3	1
444	же не	4	1
445	тонкое и	1	1
446	в результате	9	1
447	к делу	2	1
448	и это	17	1
449	он думает	1	1
450	же он	1	1
451	как нечто	3	1
452	сводится к	4	1
453	но чтобы	1	1
454	этом смысле	2	1
455	с ней	2	1
456	в поэтическом	1	1
457	подобно тому	5	1
458	и тот	1	1
459	природу и	1	1
460	далеко не	2	1
461	только то	4	1
462	в современной	1	1
463	уже и	1	1
464	не вполне	2	1
465	у него	3	1
466	стороны как	1	1
467	понять ее	3	1
468	а этот	1	1
469	чем не	2	1
470	не на	2	1
471	движение и	1	1
472	в истории	3	1
473	не могут	1	1
474	как чисто	2	1
475	все равно	6	1
476	соответствующей ему	1	1
477	же время	4	1
478	не существует	4	1
479	и единство	1	1
480	при помощи	4	1
481	в виде	3	1
482	чего же	3	1
483	знания и	5	1
484	и явления	8	1
485	полное и	1	1
486	совершенно ясно	2	1
487	у нее	1	1
488	этом основании	1	1
489	еще один	2	1
490	и последовательное	1	1
491	свою очередь	5	1
492	вещью и	10	1
493	в какое-то	1	1
494	для иллюстрации	1	1
495	фактором и	1	1
496	предполагает в	1	1
497	не было	4	1
498	когда мы	6	1
499	идет речь	1	1
500	связи с	1	1
501	им в	1	1
502	сами по	3	1
503	читателя и	1	1
504	более или	4	1
505	находится не	1	1
506	все то	2	1
507	отличная от	1	1
508	выражение вот	1	1
509	что является	6	1
510	и остается	1	1
511	здесь мы	1	1
512	с ее	10	1
513	время как	4	1
514	мы понимаем	1	1
515	было бы	24	1
516	к тому	3	1
517	место но	1	1
518	именно и	1	1
519	из двух	1	1
520	что можно	1	1
521	и можно	2	1
522	с таким	1	1
523	что здесь	2	1
524	равно как	4	1
525	ведь это	1	1
526	сознания не	1	1
527	может захватывать	1	1
528	реальное явление	1	1
529	существуют и	4	1
530	так называемый	1	1
531	и мы	5	1
532	его носителя	1	1
533	не нуждается	1	1
534	для историка	1	1
535	при характеристике	1	1
536	находиться в	1	1
537	как мы	6	1
538	это мы	1	1
539	с такою	1	1
540	что нам	1	1
541	что она	23	1
542	чем отличается	1	1
543	может определять	1	1
544	бытия и	6	1
545	и о	4	1
546	и тому	1	1
547	о самом	1	1
548	чисто словесной	1	1
549	как его	1	1
550	что для	5	1
551	и вне	2	1
552	где они	1	1
553	если мы	12	1
554	или о	3	1
555	тем же	2	1
556	него не	1	1
557	от всего	15	1
558	и эта	4	1
559	когда человек	1	1
560	моментов в	2	1
561	не те	1	1
562	первую точку	1	1
563	наряду с	2	1
564	но есть	1	1
565	и во	3	1
566	именно в	2	1
567	и таким	2	1
568	только одна	1	1
569	уже на	1	1
570	они должны	1	1
571	то время	4	1
572	но эта	2	1
573	или хотя	1	1
574	которое было	1	1
575	с большим	1	1
576	к другим	1	1
577	не можем	3	1
578	действительности к	1	1
579	в таком	1	1
580	сама по	7	1
581	что я	26	1
582	форма и	1	1
583	оторван от	1	1
584	путем чисто	1	1
585	тот же	4	1
586	за пределами	1	1
587	относятся к	1	1
588	к которому	1	1
589	эти вопросы	1	1
590	обойтись без	4	1
591	имеем дело	3	1
592	с которой	3	1
593	оно всегда	2	1
594	это ни	1	1
595	и без	4	1
596	теперь когда	1	1
597	же оно	3	1
598	нигде не	1	1
599	в определенную	1	1
600	и ощущение	1	1
601	что все	2	1
602	как о	5	1
603	то она	2	1
604	с искусством	1	1
605	значение этих	1	1
606	эти три	1	1
607	ее внутренней	1	1
608	себе не	3	1
609	том же	1	1
610	и она	3	1
611	в общем	1	1
612	при более	1	1
613	быть понято	2	1
614	есть в	4	1
615	же как	3	1
616	если ее	1	1
617	к пониманию	3	1
618	исходит из	2	1
619	как часто	2	1
620	в порядке	1	1
621	из его	2	1
622	момент в	6	1
623	то из	1	1
624	и прежде	2	1
625	мы касались	1	1
626	в слове	2	1
627	словом так	1	1
628	зрения это	1	1
629	деле в	1	1
630	как будто	2	1
631	для определения	2	1
632	жизни в	3	1
633	что именно	4	1
634	есть только	18	1
635	они как	2	1
636	ровно ничего	1	1
637	и всякого	1	1
638	но если	12	1
639	они не	1	1
640	и понимания	3	1
641	них и	2	1
642	на себя	5	1
643	от его	2	1
644	тех или	6	1
645	нами задачи	1	1
646	зрения и	2	1
647	чем мы	3	1
648	и внешней	1	1
649	и только	11	1
650	один и	2	1
651	если этот	1	1
652	менее приходится	1	1
653	быть следовательно	1	1
654	в окно	1	1
655	по своей	3	1
656	себе по	1	1
657	на этих	1	1
658	по самому	3	1
659	в двух	1	1
660	пор мы	1	1
661	в вещи	12	1
662	который поэтому	1	1
663	может и	3	1
664	и оно	4	1
665	материал сам	1	1
666	в эти	1	1
667	но уже	3	1
668	себе как	2	1
669	для этого	5	1
670	можно с	3	1
671	этими словами	1	1
672	как явление	1	1
673	не из	2	1
674	если она	11	1
675	себе и	2	1
676	в особом	2	1
677	его значение	1	1
678	в смысле	22	1
679	внутренней и	1	1
680	не всегда	1	1
681	на их	2	1
682	слов и	1	1
683	чтобы не	2	1
684	мы еще	2	1
685	является то	1	1
686	не нужно	3	1
687	из этой	1	1
688	в целом	3	1
689	единство и	1	1
690	ничего общего	1	1
691	себя в	11	1
692	крайней мере	10	1
693	или менее	4	1
694	суждения о	2	1
695	имеет дело	1	1
696	вовсе не	11	1
697	сливаются в	2	1
698	больше того	6	1
699	на возможное	1	1
700	другого и	1	1
701	думать что	1	1
702	есть выражение	2	1
703	в так	1	1
704	одному и	1	1
705	не то	4	1
706	я и	8	1
707	нее не	1	1
708	на эту	1	1
709	тем более	3	1
710	по крайней	10	1
711	свой смысл	1	1
712	мы видели	3	1
713	перед нами	3	1
714	быть обязательно	1	1
715	и самый	1	1
716	понять и	4	1
717	бы это	1	1
718	же мы	2	1
719	не имеющих	1	1
720	речи а	1	1
721	вне ее	1	1
722	который и	1	1
723	всяком случае	2	1
724	нет можно	1	1
725	самое содержание	1	1
726	можно только	6	1
727	понять эту	1	1
