N	2gram	Trubetskoy	VelikijI
266	в пустоту	1	1
267	он отверг	1	1
268	в разные	1	1
269	и остается	1	1
270	с другой	8	1
271	в которой	3	1
272	но все	7	1
273	богами и	4	1
274	и с	10	1
275	о мире	1	1
276	к ним	3	1
277	жизнь в	1	1
278	может ли	2	1
279	людей а	1	1
280	отношение к	5	1
281	них ничего	1	1
282	на нее	3	1
283	на путь	1	1
284	имя его	2	1
285	бытия и	1	1
286	с именем	2	1
287	не надо	1	1
288	найти в	1	1
289	происхождение и	1	1
290	еще недостаточно	1	1
291	от неба	1	1
292	и до	1	1
293	и своих	1	1
294	в процессе	2	1
295	и своего	1	1
296	пути и	1	1
297	и злым	1	1
298	же пути	1	1
299	в своем	3	1
300	как бог	1	1
301	еще и	1	1
302	к жизни	5	1
303	еще тогда	1	1
304	в познании	1	1
305	и от	4	1
306	богов а	1	1
307	которыми можно	1	1
308	лишь на	1	1
309	тем чтобы	5	1
310	думать о	1	1
311	как она	1	1
312	ничего не	1	1
313	весь мир	1	1
314	от слова	1	1
315	с ними	1	1
316	всегда в	1	1
317	остается не	1	1
318	в сознании	1	1
319	ней и	1	1
320	по крайней	5	1
321	природы и	1	1
322	что тот	1	1
323	и так	1	1
324	вместе с	15	1
325	все же	6	1
326	в одно	2	1
327	человека когда	1	1
328	и вместе	4	1
329	если они	1	1
330	как в	1	1
331	этого слова	1	1
332	в которых	4	1
333	многим из	1	1
334	значение в	1	1
335	роль в	1	1
336	и по	4	1
337	и могут	1	1
338	к этому	3	1
339	призыва к	1	1
340	получается в	1	1
341	личность хотя	1	1
342	в их	1	1
343	никакого бытия	1	1
344	так легко	1	1
345	сравнению с	2	1
346	мира и	1	1
347	опять выступает	1	1
348	может и	1	1
349	конце концов	3	1
350	выше всех	1	1
351	бытия в	1	1
352	себя не	1	1
353	есть то	1	1
354	о превращении	1	1
355	к ее	1	1
356	таким же	1	1
357	исторического христианства	1	1
358	крайней мере	5	1
359	как религия	1	1
360	сделать это	1	1
361	и ее	1	1
362	жизни с	1	1
363	есть не	1	1
364	и дал	1	1
365	быть религией	1	1
366	и нет	3	1
367	бы в	1	1
368	к нему	7	1
369	от них	2	1
370	и смерти	1	1
371	свое особое	1	1
