N	2gram	Tiupa_Narr	Otkroven
308	и до	1	1
309	и пережил	2	1
310	нет никакого	1	1
311	на людей	1	1
312	по содержанию	1	1
313	не вполне	3	1
314	за это	1	1
315	по своей	3	1
316	всей ее	1	1
317	с кем	1	1
318	которая была	1	1
319	у нее	8	1
320	действующие лица	1	1
321	в форме	7	1
322	связь с	1	1
323	было и	2	1
324	сказать с	1	1
325	прошел через	1	1
326	видно что	2	1
327	не случайно	2	1
328	и даже	4	1
329	все та	1	1
330	в глаза	1	1
331	если бы	9	1
332	самом деле	4	1
333	говорит в	1	1
334	исходит от	1	1
335	и более	2	1
336	самим собой	3	1
337	с ними	5	1
338	к чему	3	1
339	была бы	1	1
340	истории и	1	1
341	и сам	4	1
342	людей а	1	1
343	будто бы	2	1
344	в виду	2	1
345	в силу	5	1
346	самом начале	1	1
347	на этот	2	1
348	дело в	2	1
349	не растворяется	1	1
350	главное в	2	1
351	стремится к	1	1
352	человеческие отношения	1	1
353	своего сознания	1	1
354	его как	2	1
355	отношения к	1	1
356	тем же	3	1
357	жизни как	2	1
358	ключ к	2	1
359	и каждый	1	1
360	от которой	2	1
361	ведет к	3	1
362	начиная с	3	1
363	ее как	1	1
364	он говорит	1	1
365	в конце	4	1
366	указывает на	1	1
367	в процессе	2	1
368	например в	2	1
369	в жизни	9	1
370	между этими	1	1
371	в пределы	1	1
372	в глазах	7	1
373	в корне	1	1
374	характер и	3	1
375	с той	2	1
376	и без	1	1
377	свой собственный	1	1
378	лишь на	1	1
379	и как	4	1
380	то в	4	1
381	лишь с	1	1
382	в голову	1	1
383	все время	2	1
384	к его	5	1
385	бессмертии души	1	1
386	в человеческой	1	1
387	человек в	3	1
388	в сознании	6	1
389	приходит в	1	1
390	что она	3	1
391	а именно	2	1
392	преступление и	1	1
393	жизни и	7	1
394	всю жизнь	1	1
395	одна из	5	1
396	русской литературы	1	1
397	которая представляется	1	1
398	в мире	8	1
399	с тайной	1	1
400	который в	2	1
401	как в	9	1
402	как будто	4	1
403	против теории	1	1
404	речь о	1	1
405	на то	4	1
406	но у	1	1
407	лица в	1	1
408	скрыта от	1	1
409	за границу	1	1
410	интереса к	1	1
411	и я	1	1
412	есть на	1	1
413	нуждается в	1	1
414	отличается от	1	1
415	да и	5	1
416	друг с	1	1
417	его жизни	5	1
418	счастья и	1	1
419	творчества это	1	1
420	ли он	2	1
421	бы от	1	1
422	в новом	1	1
423	нисколько не	1	1
424	и характер	1	1
425	сравнению с	1	1
426	интерес к	3	1
427	но это	2	1
428	лишь для	1	1
429	и после	3	1
430	мыслей в	1	1
431	растворяется в	1	1
432	и открывает	1	1
433	мир и	2	1
434	которого не	1	1
435	себе и	2	1
436	чем и	2	1
437	с другом	1	1
438	толстого как	1	1
439	чтобы не	1	1
440	героя из	2	1
441	любви и	1	1
442	внутренней жизни	1	1
443	говорит с	2	1
444	заглянуть в	1	1
445	само по	1	1
446	жизни не	1	1
447	было не	1	1
448	из них	4	1
449	вовсе не	2	1
450	это так	1	1
451	уже не	11	1
452	указать на	1	1
453	это была	3	1
454	мировой истории	1	1
455	особенно в	3	1
456	мира в	4	1
457	свое собственное	1	1
458	со всеми	3	1
459	бы ни	1	1
460	всех действующих	1	1
461	стремился к	1	1
462	бы в	2	1
463	к другому	2	1
