N	2gram	Losev_Dial	VelikijI
586	но к	1	1
587	тогда нет	5	1
588	чудо что	1	1
589	что на	3	1
590	жизни с	2	1
591	есть не	11	1
592	в искусстве	1	1
593	д и	8	1
594	мира есть	3	1
595	бог не	1	1
596	православия с	1	1
597	если бог	1	1
598	бы это	3	1
599	личности если	1	1
600	и нет	9	1
601	бы в	5	1
602	себя но	2	1
603	к нему	4	1
604	от них	1	1
605	и смерти	2	1
606	же за	1	1
