N	2gram	Berdyaev_M	EvropaiC
767	делает его	1	1
768	всегда и	1	1
769	связанной с	1	1
770	и той	2	1
771	всего человечества	2	1
772	не по	1	1
773	его природы	3	1
774	истории и	2	1
775	может ли	2	1
776	этого нужно	1	1
777	разные стороны	1	1
778	проблемы и	2	1
779	лишь одно	1	1
780	и еще	3	1
781	быть не	2	1
782	как человек	2	1
783	в совершенстве	1	1
784	он в	4	1
785	к ней	6	1
786	на наших	1	1
787	нее и	1	1
788	для дела	1	1
789	возможно что	1	1
790	это потому	1	1
791	роковым для	1	1
792	ее не	1	1
793	не осталось	1	1
794	мы дадим	1	1
795	и самого	2	1
796	или о	1	1
797	нет и	6	1
798	наряду с	1	1
799	этот путь	3	1
800	при котором	1	1
801	могут быть	2	1
802	его миросозерцание	4	1
803	всегда в	1	1
804	бы он	2	1
805	духе и	1	1
806	тот путь	1	1
807	народы европы	1	1
808	быть в	1	1
809	смотрят на	1	1
810	до конца	16	1
811	жизни к	1	1
812	слова что	1	1
813	к которому	1	1
814	с нею	1	1
815	находится в	1	1
816	лучше сказать	1	1
817	во времена	1	1
818	него все	1	1
819	эту мысль	1	1
820	лучше всего	1	1
821	как от	1	1
822	общества в	1	1
823	более элементарной	1	1
824	есть единственный	1	1
825	они одинаково	1	1
826	он может	1	1
827	к пониманию	1	1
828	каждый должен	1	1
829	нем не	2	1
830	что без	2	1
831	из самой	1	1
832	из самых	9	1
833	с его	6	1
834	не свободен	1	1
835	сказать что	5	1
836	он сам	11	1
837	бы ни	2	1
838	все более	1	1
839	а как	2	1
840	что во	1	1
841	душевной жизни	2	1
842	только с	3	1
843	кто знает	1	1
844	к этим	3	1
845	ведь и	1	1
846	в мышлении	1	1
847	не мог	6	1
848	есть ли	2	1
849	а не	36	1
850	и оно	1	1
851	же он	1	1
852	бы тот	1	1
853	имеет свою	1	1
854	силой не	1	1
855	приведет к	1	1
856	открытия которые	1	1
857	или лучше	1	1
858	пути к	1	1
859	ставит его	1	1
860	в миросозерцании	1	1
861	форме к	1	1
862	ближе чем	2	1
863	всякий кто	1	1
864	и тем	1	1
865	ничего не	4	1
866	жизни с	1	1
867	есть не	9	1
868	раньше чем	1	1
869	бы свергнуть	1	1
870	они были	2	1
871	иное как	4	1
872	на них	1	1
873	его насильственно	1	1
874	не к	6	1
875	них много	1	1
876	человека но	5	1
877	для многих	1	1
878	книгу в	1	1
