N	2gram	Nazirov_Tr	Narrotol
188	а на	1	4
189	и как	3	4
190	это было	1	4
191	в области	1	4
192	она не	1	4
193	мы узнаем	1	4
194	как он	1	4
195	к ней	1	4
196	как мы	1	4
197	что на	1	4
198	не к	1	4
199	с этой	1	3
200	говорит о	2	3
201	и дело	1	3
202	в противовес	1	3
203	восходит к	1	3
204	времени в	2	3
205	к своей	1	3
206	точно так	2	3
207	так же	4	3
208	к ним	1	3
209	казалось что	1	3
210	наряду с	1	3
211	все время	1	3
212	что она	2	3
213	что именно	1	3
214	к ее	1	3
215	только не	1	3
216	по природе	1	3
217	но еще	1	3
218	подчеркнуть что	1	3
219	одно из	1	3
220	видит в	1	3
221	связи с	1	3
222	но он	1	3
223	в которой	1	3
224	что не	1	3
225	в связи	1	3
226	и это	2	3
227	о себе	1	3
228	но как	1	3
229	природе своей	1	3
230	и что	4	3
231	можно было	1	3
232	не просто	2	3
233	о его	2	3
234	даже если	2	3
235	и внутренним	1	3
236	а как	2	3
237	здесь мы	1	3
238	а теперь	1	3
239	по определению	1	3
240	свою жизнь	1	3
241	по слову	1	3
242	в романе	10	3
243	и т	1	3
244	бы не	1	3
245	быть не	1	3
246	жизни на	1	3
247	той же	1	3
248	до конца	2	3
249	на этот	1	3
250	мать и	1	3
251	но это	4	3
252	и вот	1	3
253	он и	2	3
254	же не	1	3
255	чем он	2	3
256	в виде	2	3
257	этого не	1	3
258	при которой	1	3
259	все эти	3	3
260	со своей	1	3
261	именно эта	1	3
262	и потому	1	3
263	только к	2	3
264	а к	1	3
265	это была	1	3
266	лишь в	1	3
267	со своими	1	3
268	личности героя	1	3
269	в лицо	1	2
270	в момент	1	2
271	в году	9	2
272	быть может	1	2
273	с собой	1	2
274	в настоящем	1	2
275	но все	2	2
276	мысль о	1	2
277	тем что	2	2
278	от всего	2	2
279	разговоре с	1	2
280	достоевского и	1	2
281	в это	2	2
282	и стал	1	2
283	а стало	1	2
284	было в	2	2
285	раз и	2	2
286	и который	1	2
287	с помощью	1	2
288	а между	1	2
289	и еще	1	2
290	с другим	1	2
291	дистанция между	1	2
292	у себя	1	2
293	именно так	1	2
294	быть в	1	2
295	русской литературы	2	2
296	тут же	2	2
297	тексте в	1	2
298	бы в	1	2
299	и служит	1	2
300	намек на	1	2
301	к одному	1	2
302	должно быть	3	2
303	в человеке	1	2
304	добра и	1	2
305	по мнению	2	2
306	теперь и	2	2
307	как своего	1	2
308	а за	1	2
309	героя с	1	2
310	одним из	1	2
311	как говорит	2	2
312	думать о	1	2
313	не есть	1	2
314	в двух	1	2
315	во всех	1	2
316	теперь уже	1	2
317	так что	2	2
318	говорила я	1	2
319	даже не	1	2
320	того кто	1	2
321	т п	1	2
322	вот я	1	2
323	его как	1	2
324	могут быть	1	2
325	и есть	1	2
326	с которым	1	2
327	в общем	1	2
328	любви и	2	2
329	в особенности	1	2
330	в кругу	1	2
331	опирается на	1	2
332	должна быть	1	2
333	одному из	1	2
334	вот как	1	2
335	на столе	1	2
336	в россии	1	2
337	никто не	3	2
338	это и	1	2
339	тот кто	1	2
340	более чем	1	2
341	комнате в	1	2
342	на две	1	2
343	в самую	2	2
344	тот самый	1	2
345	обратиться к	1	2
346	судя по	1	2
347	только по	1	2
348	это был	2	2
349	не для	1	2
350	что с	3	2
351	все это	4	2
352	на нее	1	2
353	указывает на	1	2
354	есть в	1	2
355	по словам	2	2
356	но уже	1	2
357	и личность	2	2
358	обстоит дело	1	2
359	ее жизни	2	2
360	а по	1	2
361	чего же	1	2
362	могло быть	1	2
363	рассказа но	1	2
364	отношение к	2	2
365	во многом	1	2
366	никому не	1	2
367	о своих	1	2
368	это в	1	2
369	матерью и	1	2
370	и наконец	1	2
371	жизнью и	2	2
372	во всем	1	1
373	себе ее	1	1
374	свидетельствует он	1	1
375	этого персонажа	1	1
376	сходство с	1	1
377	к этой	1	1
378	в такое	1	1
379	любовь к	1	1
380	не меньшей	1	1
381	эта новая	1	1
382	сам автор	1	1
383	не как	1	1
384	так можно	1	1
385	входит и	1	1
386	предчувствуя что	1	1
387	я ей	1	1
388	отметим что	1	1
389	этим объясняется	2	1
390	в рассказчике	1	1
391	в духе	1	1
392	с отцом	1	1
393	мы бы	1	1
394	выглядит в	1	1
395	самом общем	1	1
396	весьма напоминает	1	1
397	противопоставляющего себя	1	1
398	представление о	1	1
399	детей и	1	1
400	приходит в	1	1
401	у которого	1	1
402	обоих случаях	1	1
403	начальные главы	1	1
404	на грани	1	1
405	жизни ее	1	1
406	всю эту	1	1
407	например что	1	1
408	но у	1	1
409	отца и	2	1
410	себе этого	1	1
411	и образ	1	1
412	поле в	1	1
413	сам же	1	1
414	новую жизнь	1	1
415	я вижу	1	1
416	не могли	1	1
417	что этот	2	1
418	вопрос о	2	1
419	нет своего	1	1
420	в евангелии	1	1
421	он был	2	1
422	имеет в	2	1
423	то непременно	1	1
424	это его	1	1
425	миф о	1	1
426	умирает в	1	1
427	уже было	1	1
428	этой связи	1	1
429	сменяющие друг	1	1
430	ложась спать	1	1
431	что ее	1	1
432	самого начала	1	1
433	не я	1	1
434	в карты	1	1
435	в глаза	2	1
436	всего что	1	1
437	с рассказом	1	1
438	собой но	2	1
439	на противоположном	1	1
440	что все	2	1
441	по контрасту	2	1
442	они сами	1	1
443	из трех	1	1
444	двух историй	1	1
445	м м	1	1
446	что даже	1	1
447	недостаточно чтобы	1	1
448	не самому	1	1
449	характер ее	1	1
450	его самого	1	1
451	на пороге	1	1
452	его дочь	2	1
453	случайное и	1	1
454	что при	1	1
455	чем у	1	1
456	его произведение	1	1
457	отказывается от	2	1
458	xix века	1	1
459	есть с	1	1
460	даже на	2	1
461	его в	2	1
462	распространяется на	1	1
463	говорит он	1	1
464	отцов и	1	1
465	ни в	2	1
466	как же	2	1
467	рассказ об	1	1
468	говорит в	1	1
469	исходит от	1	1
470	сказал что	1	1
471	что за	3	1
472	и чисто	1	1
473	всем моим	1	1
474	между этими	2	1
475	и дочери	1	1
476	лишь на	1	1
477	встречается в	1	1
478	смеются над	1	1
479	и она	1	1
480	как во	1	1
481	на земле	1	1
482	на ковре	1	1
483	стола и	1	1
484	этого характера	1	1
485	века в	1	1
486	всего предшествующего	1	1
487	я все	2	1
488	но все-таки	1	1
489	всю ее	1	1
490	это могло	1	1
491	а поскольку	1	1
492	своих прежних	1	1
493	писатель впервые	1	1
494	и цель	1	1
495	на этом	1	1
496	ли это	1	1
497	на страницах	3	1
498	к роману	1	1
499	него есть	1	1
500	называет его	1	1
501	на котором	1	1
502	связь и	1	1
503	эти слова	1	1
504	так обстоит	1	1
505	это по	1	1
506	в развитии	1	1
507	если б	2	1
508	никого не	1	1
509	что эта	1	1
510	за свои	1	1
511	здесь судьба	1	1
512	за пределы	1	1
513	тем и	1	1
514	и знает	1	1
515	в смерти	1	1
516	одну из	1	1
517	над ним	1	1
518	говорили что	1	1
519	должны были	1	1
520	судьбой но	1	1
521	в самой	1	1
522	значение и	1	1
523	но главное	3	1
524	никогда в	1	1
525	обратимся к	1	1
526	всю жизнь	1	1
527	алешу к	1	1
528	и чтобы	1	1
529	за все	1	1
530	чтобы не	1	1
531	самую суть	1	1
532	и особенно	1	1
533	от самого	1	1
534	терпеть не	1	1
535	теперь я	1	1
536	решение в	1	1
537	в последующих	1	1
538	перед сном	1	1
539	если за	1	1
540	с такой	1	1
541	и детей	2	1
542	и должно	1	1
543	содержит в	1	1
544	с тем	2	1
545	сам по	1	1
546	когда его	1	1
547	автор в	1	1
548	с иваном	2	1
549	него нет	1	1
550	не могут	2	1
551	в исповеди	1	1
552	так выразиться	1	1
553	вместо того	1	1
554	до этого	1	1
555	самого рассказчика	1	1
556	их характеры	1	1
557	развития в	1	1
558	этом прямо	1	1
559	похожим на	1	1
560	связаны между	1	1
561	если можно	1	1
562	сравнению с	1	1
563	не смог	1	1
564	такая точка	1	1
565	рассказа по	1	1
566	бросается в	2	1
567	совершенно не	1	1
568	впечатление что	2	1
569	чем же	1	1
570	развернута в	1	1
571	не правда	1	1
572	он понял	1	1
573	после возвращения	1	1
574	если он	1	1
575	не любил	1	1
576	не раз	1	1
577	иисуса христа	1	1
578	по сравнению	1	1
579	в новой	1	1
580	и теперь	1	1
581	именно на	1	1
582	не понимает	1	1
583	и до	2	1
584	он есть	1	1
585	в бога	1	1
586	как свой	1	1
587	был прав	1	1
588	известной степени	1	1
589	вопреки этой	1	1
590	но мы	1	1
591	всему что	1	1
592	не за	2	1
593	какой она	1	1
594	сам роман	2	1
595	в образе	6	1
596	он бы	1	1
597	выразить свое	1	1
598	этого слова	1	1
599	этом свидетельствует	1	1
600	исключено что	1	1
601	поведение в	2	1
602	этими словами	1	1
603	не из	1	1
604	только о	2	1
605	с того	1	1
606	согласие на	1	1
607	вместе со	2	1
608	проникает в	1	1
609	и прямо	1	1
610	что оно	1	1
611	что ему	1	1
612	со мной	2	1
613	из дома	1	1
614	жизни столь	1	1
615	ничем не	2	1
616	мог быть	1	1
617	не понимал	1	1
618	того как	1	1
619	перестает быть	1	1
620	уже в	3	1
621	словами о	1	1
622	естественно что	1	1
623	неизмеримо более	1	1
624	в жизнь	1	1
625	где он	1	1
626	нет это	1	1
627	перед читателем	1	1
628	за этим	1	1
629	только сам	1	1
630	позицию по	1	1
631	которая составляет	1	1
632	как нечто	1	1
633	перед смертью	1	1
634	за самим	1	1
635	лишний раз	1	1
636	притом весьма	1	1
637	виде в	1	1
638	при таком	1	1
639	жить даже	1	1
640	это происходит	1	1
641	и я	2	1
642	в такой	1	1
643	на всем	2	1
644	к вам	1	1
645	а он	1	1
646	жизнь и	3	1
647	на свете	1	1
648	представлялось что	1	1
649	с самого	1	1
650	xx века	1	1
651	на свои	1	1
652	строится как	1	1
653	солнце а	1	1
654	я к	2	1
655	а из	1	1
656	однако ни	1	1
657	с совершенно	1	1
658	дочь и	1	1
659	собой как	1	1
660	исследования в	1	1
661	не исключено	1	1
662	но затем	1	1
663	и их	1	1
664	к области	2	1
665	конечно в	1	1
666	в xix	1	1
667	или как	1	1
668	полагал что	1	1
669	знает и	1	1
670	эту тему	1	1
671	в книге	1	1
672	на уровне	1	1
673	самой своей	1	1
674	облекается в	1	1
675	не верит	1	1
676	мировой литературы	1	1
677	вызывает в	1	1
678	в голову	1	1
679	в период	1	1
680	можно так	1	1
681	нуждается в	1	1
682	для характеристики	1	1
683	человек не	1	1
684	является ли	1	1
685	в разговоре	1	1
686	ничего подобного	1	1
687	не удалось	1	1
688	событий и	1	1
689	а я	5	1
690	и совершенно	1	1
691	говорит не	1	1
692	он полагал	1	1
