N	2gram	Savitsky_E	DiskursI
187	указать на	1	4
188	аналогии с	1	4
189	к жизни	1	4
190	связи с	1	4
191	не о	1	4
192	полной мере	1	4
193	что не	1	4
194	который по	1	4
195	не есть	2	4
196	одном из	2	4
197	по себе	4	4
198	в исторической	1	4
199	и это	1	4
200	и тем	3	4
201	как это	4	4
202	должны быть	1	4
203	это в	1	4
204	или иного	4	4
205	в культуре	3	4
206	с ним	1	4
207	из того	2	4
208	не могут	2	4
209	особого рода	1	4
210	не более	3	4
211	с ней	1	4
212	можно назвать	1	4
213	более чем	2	4
214	в современном	1	4
215	на примере	1	4
216	претендовать на	1	4
217	в данной	3	4
218	и во	2	4
219	мире в	1	4
220	в свое	1	4
221	зависит от	1	4
222	есть в	2	4
223	со своим	1	4
224	или в	2	4
225	с той	1	4
226	в какой	2	4
227	по своему	7	4
228	на его	1	4
229	а на	1	4
230	того или	4	4
231	а к	1	4
232	в полной	4	4
233	частности в	2	4
234	и прежде	3	4
235	настоящего времени	1	4
236	более того	1	4
237	является в	1	3
238	говоря уже	2	3
239	таковы например	1	3
240	которая в	1	3
241	дело с	1	3
242	к числу	1	3
243	более или	1	3
244	но все	1	3
245	и сам	1	3
246	с этим	2	3
247	вопрос о	4	3
248	входит в	1	3
249	различия между	1	3
250	на рубеже	1	3
251	как на	3	3
252	ближе к	1	3
253	вплоть до	1	3
254	к которому	1	3
255	и притом	4	3
256	на себя	3	3
257	в области	11	3
258	между собой	2	3
259	но как	2	3
260	выступает в	1	3
261	начало в	2	3
262	и что	2	3
263	в тех	1	3
264	но так	1	3
265	то ни	4	3
266	было бы	8	3
267	и от	3	3
268	ней в	1	3
269	и по	5	3
270	мире и	1	3
271	принадлежат к	1	3
272	должна быть	2	3
273	но также	2	3
274	истории в	1	3
275	заключается в	2	3
276	себя с	1	3
277	как не	2	3
278	вместе с	2	3
279	перед лицом	1	3
280	не имеет	4	3
281	о котором	1	3
282	он мог	1	3
283	и более	2	3
284	который не	1	3
285	идет о	3	3
286	слова и	1	3
287	значение для	1	3
288	на основании	2	3
289	в обоих	1	3
290	заметить что	2	3
291	как мы	5	3
292	то она	1	3
293	всяком случае	3	3
294	жизни но	1	3
295	в сочетании	1	3
296	различие между	1	3
297	и было	1	3
298	том числе	1	3
299	уже в	1	3
300	мы не	4	3
301	в формах	1	3
302	в полном	1	3
303	с их	1	3
304	место в	3	3
305	качестве примера	1	3
306	однако не	1	3
307	в сферу	2	3
308	все эти	1	3
309	ли не	1	3
310	в новом	1	3
311	в каждой	1	3
312	об этом	1	3
313	или менее	1	3
314	не говоря	2	3
315	том случае	1	3
316	значение так	1	3
317	она не	2	3
318	хотя бы	15	3
319	когда он	3	3
320	в начале	1	3
321	в большинстве	2	3
322	рассматривать как	1	3
323	числе и	1	3
324	к ней	4	3
325	жизни и	2	3
326	уже о	1	3
327	для этого	1	3
328	и наконец	2	3
329	что на	2	3
330	во всем	1	2
331	мы можем	3	2
332	для всех	1	2
333	различия в	3	2
334	с этой	6	2
335	или по	2	2
336	именно о	1	2
337	еще более	2	2
338	характер как	1	2
339	в некоторых	2	2
340	те же	1	2
341	ни столь	2	2
342	нас в	1	2
343	не являются	1	2
344	пожалуй и	2	2
345	исторической перспективе	1	2
346	как было	3	2
347	мыслится как	1	2
348	следует понимать	1	2
349	и с	2	2
350	в построении	1	2
351	представление о	2	2
352	своем значении	1	2
353	всегда в	1	2
354	большей или	1	2
355	речь идет	1	2
356	большей части	2	2
357	некоторые из	1	2
358	культуры не	2	2
359	о которых	1	2
360	для того	6	2
361	в определенной	1	2
362	мы все	1	2
363	к которой	1	2
364	принадлежит не	1	2
365	будучи в	1	2
366	то чтобы	1	2
367	тех случаях	1	2
368	в нашем	1	2
369	для понимания	2	2
370	который в	1	2
371	или из	1	2
372	он сам	2	2
373	что даже	1	2
374	своего развития	1	2
375	к нему	2	2
376	всего в	2	2
377	бы то	4	2
378	на язык	2	2
379	должно быть	1	2
380	время в	3	2
381	ни было	4	2
382	это обстоятельство	1	2
383	бытия и	1	2
384	с другими	2	2
385	в третьем	1	2
386	как его	1	2
387	очевидно что	3	2
388	же как	5	2
389	большинстве случаев	3	2
390	для человеческого	1	2
391	не нужно	2	2
392	что как	1	2
393	по большей	1	2
394	всего лишь	3	2
395	в случае	2	2
396	не заключает	1	2
397	или меньшей	1	2
398	и позднее	1	2
399	что может	1	2
400	его к	1	2
401	же этого	1	2
402	лицо и	1	2
403	мы видели	3	2
404	утверждать что	2	2
405	в формировании	1	2
406	в последнем	1	2
407	как с	1	2
408	поэтому в	1	2
409	с природой	1	2
410	в отношении	32	2
411	если бы	2	2
412	с таким	1	2
413	в россии	5	2
414	одновременно с	1	2
415	не делает	1	2
416	поскольку в	1	2
417	если можно	1	2
418	года или	1	2
419	в любой	1	2
420	тех же	1	2
421	до настоящего	1	2
422	на основе	2	2
423	можно усмотреть	1	2
424	и теперь	2	2
425	народа и	1	2
426	отношении к	15	2
427	вслед за	6	2
428	целый ряд	2	2
429	на этот	2	2
430	этого слова	1	2
431	есть к	1	2
432	в самой	1	2
433	как некий	1	2
434	одних и	1	2
435	но на	3	2
436	значение в	1	2
437	выходит за	1	2
438	может не	1	2
439	что с	1	2
440	ее в	3	2
441	как нечто	1	2
442	отказаться от	1	2
443	степи и	1	2
444	понимать как	1	2
445	случаях когда	2	2
446	с некоторыми	1	2
447	рассказывает что	1	2
448	перед собой	1	2
449	к концу	1	2
450	света и	1	2
451	говорит об	1	2
452	вовсе не	6	2
453	и вообще	1	2
454	тем более	4	2
455	же к	2	2
456	случае если	1	2
457	этом мире	1	2
458	здесь можно	1	2
459	обстоит дело	3	2
460	мы должны	2	2
461	быть и	1	2
462	и их	1	2
463	к области	1	2
464	заключает в	3	2
465	чтобы не	1	2
466	как их	2	2
467	такой же	2	2
468	на то	6	2
469	включает в	1	2
470	и только	3	2
471	есть не	2	2
472	жизнью и	1	2
473	имеются в	1	2
474	с которыми	1	1
475	нельзя признать	1	1
476	и другие	1	1
477	пределах одного	1	1
478	обращены к	1	1
479	к сожалению	1	1
480	а другие	1	1
481	для нее	1	1
482	что если	2	1
483	к этой	1	1
484	и имеет	2	1
485	его при	1	1
486	в применении	3	1
487	тому что	1	1
488	даже в	4	1
489	для возникновения	1	1
490	которые лежат	1	1
491	в разных	1	1
492	тем как	1	1
493	кроме того	1	1
494	в большей	1	1
495	по общему	3	1
496	которые по	1	1
497	например с	2	1
498	или иному	2	1
499	исторического процесса	1	1
500	могут в	2	1
501	роль но	1	1
502	на которых	1	1
503	на свой	1	1
504	и радикально	1	1
505	историческом и	1	1
506	для осуществления	1	1
507	и морем	1	1
508	на земле	1	1
509	на существование	1	1
510	с тем	3	1
511	стороны в	2	1
512	а именно	2	1
513	с еще	1	1
514	при таком	1	1
515	как более	1	1
516	которое не	1	1
517	есть то	1	1
518	единой для	1	1
519	своего существования	1	1
520	при помощи	2	1
521	культурной традиции	2	1
522	культуры в	4	1
523	открытым для	1	1
524	даже помимо	1	1
525	тем в	3	1
526	непосредственно от	1	1
527	в такой	1	1
528	которые не	1	1
529	где этот	1	1
530	во все	3	1
531	осуществляется в	1	1
532	то это	1	1
533	можно считать	3	1
534	следовало бы	2	1
535	и подражания	1	1
536	применении к	3	1
537	духовной жизни	2	1
538	имеет в	2	1
539	но даже	4	1
540	в каких	1	1
541	из их	1	1
542	в этот	1	1
543	как совокупность	4	1
544	в изучении	1	1
545	на пути	1	1
546	приходит к	1	1
547	в смысле	9	1
548	и те	1	1
549	от своей	1	1
550	так же	9	1
551	на практике	1	1
552	даже с	1	1
553	отметить что	3	1
554	необходимо понять	1	1
555	с понятиями	1	1
556	на пересечении	1	1
557	некоторое время	1	1
558	и еще	2	1
559	как некую	1	1
560	оставляя открытым	1	1
561	было отмечено	1	1
562	наряду с	2	1
563	в мировом	1	1
564	такая же	1	1
565	быть в	1	1
566	а впоследствии	1	1
567	приобщения к	1	1
568	к расширению	1	1
569	от них	3	1
570	в сфере	3	1
571	в противном	1	1
572	от себя	1	1
573	чем это	1	1
574	случае когда	1	1
575	но сама	1	1
576	в чьих	1	1
577	на них	2	1
578	представить себе	1	1
579	но более	1	1
580	и мы	3	1
581	отношении в	1	1
582	она и	1	1
583	но из	1	1
584	в явлениях	1	1
585	но еще	2	1
586	в состоянии	1	1
587	в совершенно	1	1
588	но от	1	1
589	как путь	1	1
590	каких же	1	1
591	лежали в	1	1
592	народ и	3	1
593	поскольку речь	2	1
594	возникающих в	1	1
595	или иную	3	1
596	к определенному	1	1
597	и будет	1	1
598	состояния в	1	1
599	участию в	2	1
600	иными словами	4	1
601	в европейской	2	1
602	можно рассматривать	1	1
603	к настоящему	3	1
604	чем в	4	1
605	входящие в	1	1
606	существует поскольку	1	1
607	о возможности	1	1
608	продолжение в	1	1
609	живет и	1	1
610	что его	1	1
611	но совершенно	1	1
612	которое в	2	1
613	несомненным что	1	1
614	в таком	3	1
615	или иная	1	1
616	в связи	1	1
617	следует добавить	1	1
618	лишь на	1	1
619	между ними	2	1
620	себя как	1	1
621	всем своем	1	1
622	какому же	1	1
623	не утратила	1	1
624	своей духовной	1	1
625	от этого	5	1
626	к мировому	5	1
627	в двух	1	1
628	и следовательно	1	1
629	какой-либо иной	2	1
630	достаточно чтобы	1	1
631	как одной	1	1
632	в других	2	1
633	отметим что	1	1
634	а для	1	1
635	бы в	2	1
636	себе потенцию	1	1
637	последнем случае	1	1
638	в индивидуальном	1	1
639	своей судьбой	1	1
640	это были	1	1
641	не означает	2	1
642	собой такое	1	1
643	ведь в	1	1
644	играет роль	1	1
645	имеют дело	1	1
646	все остальные	1	1
647	человеческого бытия	1	1
648	не дает	3	1
649	сейчас в	1	1
650	или же	1	1
651	в развитии	2	1
652	на долю	3	1
653	не будет	3	1
654	преимущественно к	1	1
655	и существенно	2	1
656	именно и	1	1
657	даже не	1	1
658	этом смысле	3	1
659	также от	1	1
660	то или	1	1
661	или иное	1	1
662	когда мы	1	1
663	этот период	1	1
664	как известно	1	1
665	непосредственным образом	1	1
666	и несколько	1	1
667	сведена к	1	1
668	исключительно в	2	1
669	известном смысле	3	1
670	их к	1	1
671	лишь весьма	1	1
672	которое мы	1	1
673	в некотором	4	1
674	в общем	3	1
675	во внутреннюю	1	1
676	пользоваться преимущественно	1	1
677	те кто	1	1
678	мировой истории	1	1
679	оно может	1	1
680	там где	3	1
681	производство и	1	1
682	и чем	2	1
683	меньшей степени	2	1
684	означает что	1	1
685	не устраняет	2	1
686	мире как	1	1
687	интересующего нас	1	1
688	питается и	1	1
689	от нее	1	1
690	однако с	1	1
691	данной сферы	1	1
692	как таковой	1	1
693	и сейчас	2	1
694	в случаях	1	1
695	к сфере	1	1
696	групп и	1	1
697	стран с	1	1
698	свои особые	1	1
699	пребывает в	1	1
700	что это	2	1
701	оно определяется	1	1
702	с некоторым	1	1
703	сводить к	1	1
704	мира то	2	1
705	составляющая его	1	1
706	к выводу	1	1
707	знание в	1	1
708	чем если	1	1
709	к сознанию	1	1
710	придает ей	1	1
711	для них	2	1
712	связывается с	1	1
713	можно было	3	1
714	в более	1	1
715	с ними	1	1
716	открытым вопрос	1	1
717	на историческую	1	1
718	наблюдений над	1	1
719	то время	1	1
720	концепции и	1	1
721	вышла из	1	1
722	возможности и	1	1
723	для каждого	1	1
724	впоследствии к	1	1
725	дело идет	2	1
726	поэзии и	1	1
727	сравнению с	2	1
728	именно поэтому	1	1
729	в известном	3	1
730	эта последняя	1	1
731	друг от	2	1
732	в каком	4	1
733	на своем	3	1
734	к созданию	1	1
735	к какой	1	1
736	было у	1	1
737	дальнейшее развитие	1	1
738	нет ничего	1	1
739	наука в	1	1
740	бы и	3	1
741	не допускает	1	1
742	нужно и	1	1
743	железных дорог	1	1
744	не перед	1	1
745	не несут	1	1
746	то и	1	1
747	она обращена	1	1
748	вопрос следует	1	1
749	связана с	1	1
750	того чтобы	6	1
751	и если	2	1
752	лежат в	4	1
753	по сравнению	2	1
754	не быть	1	1
755	а через	1	1
756	этом явлении	1	1
757	общение с	1	1
758	вопросом не	2	1
759	с большей	1	1
760	или иных	1	1
761	склада и	1	1
762	россии в	4	1
763	тому или	2	1
764	реальности в	1	1
765	определенного рода	1	1
766	это различие	1	1
767	только это	1	1
768	и наоборот	1	1
769	характеристику как	1	1
770	свое существование	1	1
771	потому и	1	1
772	должно происходить	1	1
773	и быта	1	1
774	он в	1	1
775	о соотношении	1	1
776	мог бы	2	1
777	начиная с	2	1
778	как тот	1	1
779	но именно	2	1
780	двух противоположных	1	1
781	без посредства	2	1
782	том же	1	1
783	всего к	2	1
784	но если	5	1
785	для этих	2	1
786	что во	1	1
787	связано с	3	1
788	образования как	1	1
789	тот же	1	1
790	следующей за	1	1
791	что автор	1	1
792	об их	1	1
793	сейчас и	1	1
794	представляется несомненным	2	1
795	так как	7	1
796	мир в	1	1
797	любой из	1	1
798	все еще	1	1
799	этот процесс	2	1
800	второй половине	2	1
801	при самом	1	1
802	бы на	1	1
803	в определенном	3	1
804	для всего	1	1
805	эгоцентризма в	1	1
806	многие из	1	1
807	не важнейшим	1	1
808	ценностей в	2	1
809	для нас	4	1
810	входя в	1	1
811	например то	1	1
812	не способен	1	1
813	ценностей а	2	1
814	в ином	1	1
815	в виде	5	1
816	всех прочих	2	1
817	но с	2	1
818	от друга	2	1
819	к некоторому	1	1
820	что к	2	1
821	же в	2	1
822	же по	1	1
823	с теми	1	1
824	в глубине	1	1
825	не одной	1	1
826	себе в	3	1
827	же будет	1	1
828	в ряде	1	1
829	прав и	1	1
830	основных своих	1	1
831	цель и	1	1
832	помнить что	2	1
833	этот раз	1	1
834	если и	1	1
835	но по	2	1
836	эти две	1	1
837	мнение что	1	1
838	противном случае	1	1
839	и со	3	1
840	быть сведена	1	1
841	по самой	1	1
842	войти в	1	1
843	занимающей нас	1	1
844	и таким	2	1
845	если не	1	1
846	людей в	1	1
847	успеха и	1	1
848	но его	1	1
849	которая как	1	1
850	в будущем	3	1
851	и других	2	1
852	такие же	1	1
853	отношений или	1	1
854	в основных	1	1
855	проистекает из	1	1
856	ту или	3	1
857	чем то	1	1
858	другой в	1	1
859	сам в	1	1
860	на такие	1	1
861	с совершенно	1	1
862	в отношениях	1	1
863	говорить не	1	1
864	независимо от	4	1
865	казалось бы	1	1
866	в человеческом	1	1
867	например к	1	1
868	всех этих	1	1
869	даже при	2	1
870	или иначе	1	1
871	от того	1	1
872	ли здесь	2	1
873	и иных	1	1
874	этих случаях	1	1
875	что из	1	1
876	думать что	8	1
877	как то	1	1
878	задаться вопросом	2	1
879	существования в	3	1
880	та или	1	1
881	для такого	1	1
882	которые в	1	1
883	не можем	2	1
884	также в	2	1
885	к участию	1	1
886	области культуры	1	1
887	культуры с	2	1
888	качестве объекта	1	1
889	в сознании	1	1
890	можно утверждать	2	1
891	ряд иных	1	1
892	чем та	1	1
893	же может	1	1
894	тех или	1	1
895	на всем	4	1
896	вхождения в	1	1
897	и сами	1	1
898	или точнее	2	1
899	их отношении	3	1
900	в известной	3	1
901	фигурирует в	1	1
