N	2gram	Vinokur_St	Sovremen
301	поэтому в	4	1
302	только на	1	1
303	но они	3	1
304	в отдельном	1	1
305	и их	3	1
306	или иные	1	1
307	и всегда	2	1
308	имеет только	1	1
309	нужно сказать	6	1
310	остановиться на	1	1
311	все что	1	1
312	не приходится	5	1
313	и та	1	1
314	для своего	2	1
315	xix в	6	1
316	которых по	1	1
317	и критика	2	1
318	и при	1	1
319	объяснения всех	1	1
320	в известном	3	1
321	на самом	8	1
322	здесь в	1	1
323	на которой	2	1
324	только тот	1	1
325	для них	2	1
326	системы а	1	1
327	совершенно так	1	1
328	можно было	14	1
329	xix века	2	1
330	ни в	5	1
331	но только	2	1
332	а при	1	1
333	и от	2	1
334	в начале	5	1
335	факт что	6	1
336	по отношению	3	1
337	еще в	3	1
338	говорить что	1	1
339	утверждает что	1	1
340	стороны и	1	1
341	конечно не	2	1
342	и тот	1	1
343	ценность и	1	1
344	но что	2	1
345	и те	4	1
346	только в	11	1
347	тот факт	5	1
348	которая не	1	1
349	этот вопрос	6	1
350	области так	1	1
351	научной работы	4	1
352	же время	5	1
353	не случайно	1	1
354	в ином	1	1
355	так же	7	1
356	чего же	1	1
357	его в	4	1
358	ведь если	2	1
359	перед глазами	1	1
360	даны все	1	1
361	в обоих	2	1
362	отметить что	4	1
363	себе в	2	1
364	без труда	1	1
365	совершенно независимо	1	1
366	должен был	5	1
367	чем в	3	1
368	всегда будет	2	1
369	назвать в	1	1
370	в своих	2	1
371	не вытекает	1	1
372	не было	7	1
373	как например	2	1
374	без всяких	2	1
375	мы вправе	1	1
376	с его	3	1
377	другое это	1	1
378	и первое	1	1
379	один из	1	1
380	всегда и	1	1
381	в духе	2	1
382	на это	2	1
383	если бы	11	1
384	всех трех	2	1
385	лишено всякой	1	1
386	не знает	2	1
387	или в	1	1
388	этой системы	1	1
389	и научного	1	1
390	свою задачу	1	1
391	можно говорить	1	1
392	очень мало	4	1
393	ни одного	4	1
394	ничего общего	3	1
395	ни о	1	1
396	к одному	1	1
397	xviii и	1	1
398	их и	2	1
399	как их	1	1
400	что его	1	1
401	многом не	1	1
402	в эту	3	1
403	мы говорим	1	1
404	но эта	1	1
405	дело в	9	1
406	крайней мере	2	1
407	известном смысле	1	1
408	во многом	3	1
409	сами по	2	1
410	в данной	2	1
411	о каком	1	1
412	же как	5	1
413	по существу	3	1
414	сказать что	9	1
415	форму и	1	1
416	а но	1	1
417	системе и	1	1
418	в ту	1	1
419	почему и	1	1
420	сомнению что	2	1
421	конечно нельзя	1	1
422	допустим что	2	1
423	но для	3	1
424	когда и	1	1
425	xviii века	1	1
426	именно в	8	1
427	уже на	1	1
428	не составляют	1	1
429	и действительно	1	1
430	такое же	2	1
431	и до	2	1
432	времени не	5	1
433	представление о	5	1
434	наук может	1	1
435	это делает	1	1
436	отношению к	3	1
437	в основу	5	1
438	одной из	4	1
439	бы все	3	1
440	же мере	1	1
441	случае не	3	1
442	в своем	8	1
443	против него	1	1
444	нельзя также	1	1
445	в корне	1	1
446	на другую	1	1
447	но ведь	8	1
448	но приходится	1	1
449	этом смысле	2	1
450	где у	1	1
451	в какой	4	1
452	них это	2	1
453	работы в	3	1
454	одни и	1	1
455	между ними	1	1
456	конечно совершенно	1	1
457	во всей	1	1
458	этот раз	2	1
459	может совершенно	1	1
460	у читателя	1	1
461	же в	1	1
462	это что	1	1
463	том что	49	1
464	обоих случаях	2	1
465	характерное для	1	1
466	всеми его	1	1
467	на эту	5	1
468	это просто	3	1
469	но не	5	1
470	так в	1	1
471	бы эти	1	1
472	то через	1	1
473	но если	5	1
474	здесь и	1	1
475	они не	2	1
476	к концу	3	1
477	правда не	1	1
478	по себе	3	1
479	он сам	1	1
480	не имеет	5	1
481	и могут	1	1
482	на какой	1	1
483	к этому	4	1
484	в такой	2	1
485	там где	6	1
486	эту сторону	2	1
487	в то	10	1
488	вполне достаточно	1	1
489	и только	3	1
490	значит что	3	1
491	по его	5	1
492	другое дело	3	1
493	в отдельных	2	1
494	просто не	1	1
495	дела не	1	1
496	этой области	5	1
497	только и	1	1
498	именно эта	1	1
499	или нет	1	1
500	давая себе	1	1
501	нет никаких	2	1
502	но это	9	1
503	для чего	1	1
504	независимо от	1	1
505	когда в	1	1
506	но уже	1	1
507	и для	4	1
508	он выражается	1	1
509	вопрос и	1	1
510	и это	4	1
511	точка зрения	1	1
512	того же	4	1
513	пр но	1	1
514	нет в	1	1
515	только о	1	1
516	должен быть	3	1
517	он с	1	1
518	и его	11	1
519	следует не	1	1
520	не давая	1	1
521	вовсе не	24	1
522	мере в	3	1
523	заставляя его	1	1
524	себе очень	1	1
525	о том	30	1
526	сих пор	12	1
527	и вообще	5	1
528	мысли в	1	1
529	по крайней	2	1
530	только таким	1	1
531	или так	1	1
532	нам только	1	1
533	к другому	1	1
534	к нему	2	1
535	никогда не	7	1
536	той или	1	1
537	исходным пунктом	1	1
538	на них	2	1
539	могли быть	1	1
540	свое время	3	1
