N	2gram	Berdyaev_O	Russkaja
260	этого слова	1	1
261	быть назван	1	1
262	от этого	1	1
263	может привести	1	1
264	в истории	2	1
265	и это	1	1
266	нем все	1	1
267	бывает не	1	1
268	своей жизни	2	1
269	вовсе не	1	1
270	стоящего над	1	1
271	в одной	1	1
272	человека а	2	1
273	бы в	1	1
274	господа не	1	1
275	чтобы сделать	1	1
276	к одному	1	1
277	у которых	1	1
278	природы в	2	1
279	ко всему	1	1
280	и дело	1	1
281	было не	1	1
282	совершенно ином	1	1
283	но можно	1	1
284	человека в	11	1
285	всему этому	1	1
286	к победе	1	1
287	это конечно	1	1
288	и других	1	1
289	азии и	1	1
290	ни у	2	1
291	его жизни	1	1
292	он был	8	1
293	и заключается	1	1
294	жизни нет	1	1
295	только вопрос	1	1
296	его было	1	1
297	и никакая	1	1
298	жизнь а	1	1
299	также и	1	1
300	ту же	1	1
301	по сравнению	1	1
302	личности и	2	1
303	с тою	1	1
304	силе и	1	1
305	не по	1	1
306	быть не	1	1
307	не быть	1	1
308	главное и	1	1
309	это для	1	1
310	себе что	1	1
311	тогда все	1	1
312	из которой	1	1
313	а ее	1	1
314	может принимать	1	1
315	только один	1	1
316	не захотел	1	1
317	на нем	1	1
318	возможностей и	2	1
319	он всегда	7	1
320	силы в	1	1
321	для человека	2	1
322	и когда	1	1
323	у кого	2	1
324	ее с	1	1
325	человека бог	1	1
326	по своей	1	1
327	для целей	1	1
328	человека с	1	1
329	это единственная	1	1
330	он еще	1	1
331	он весь	2	1
332	всегда и	1	1
333	был признан	1	1
334	к удовлетворению	1	1
335	может ли	1	1
336	к ней	2	1
337	почему не	1	1
338	природы и	2	1
339	что во	1	1
340	от которой	1	1
341	в силе	1	1
342	это два	1	1
343	могут быть	3	1
344	и все	10	1
345	до конца	7	1
346	видят не	1	1
347	двух противоположных	1	1
348	на этот	1	1
349	чтобы все	1	1
350	и прежде	1	1
351	в царстве	1	1
352	к этому	2	1
353	оказывается что	1	1
354	победе над	1	1
355	же это	2	1
356	ли может	1	1
357	чем и	1	1
358	в самой	9	1
359	его творчество	1	1
360	был в	1	1
361	в какую-то	1	1
362	есть не	1	1
363	чувствуется что	2	1
364	людей в	1	1
365	к каким	1	1
366	любви и	1	1
