N	2gram	Nazirov_Tv	Sovremen
258	он не	10	1
259	кроме того	1	1
260	и из	1	1
261	себя самого	1	1
262	за собой	4	1
263	он ищет	1	1
264	развития что	1	1
265	мы снова	1	1
266	но тем	1	1
267	не будет	2	1
268	что с	2	1
269	вследствие этого	1	1
270	а затем	5	1
271	в область	4	1
272	как у	3	1
273	поэтому в	1	1
274	совпадают с	1	1
275	только на	2	1
276	и их	2	1
277	быть поняты	2	1
278	нужно сказать	1	1
279	и та	2	1
280	если нет	1	1
281	в известном	2	1
282	на самом	3	1
283	что каждый	1	1
284	для них	2	1
285	эта система	1	1
286	требует новых	1	1
287	можно было	1	1
288	и должно	2	1
289	xix века	13	1
290	разобраться в	1	1
291	ни в	2	1
292	но только	3	1
293	и от	8	1
294	в начале	2	1
295	по отношению	3	1
296	еще в	3	1
297	кто же	2	1
298	но отнюдь	1	1
299	утверждает что	1	1
300	почти совершенно	1	1
301	стороны и	1	1
302	весь мир	1	1
303	но что	1	1
304	и те	1	1
305	эта функция	1	1
306	только в	7	1
307	позиции в	1	1
308	этот вопрос	4	1
309	все равно	1	1
310	же время	18	1
311	не случайно	6	1
312	в ином	1	1
313	так же	6	1
314	его в	2	1
315	к живой	1	1
316	в обоих	1	1
317	отметить что	1	1
318	мы по	1	1
319	свободы и	2	1
320	в большинстве	1	1
321	она продолжается	1	1
322	должен был	2	1
323	с человеком	1	1
324	сравнительно с	1	1
325	в конечном	4	1
326	чем в	1	1
327	в своих	8	1
328	не было	3	1
329	поступков я	1	1
330	с его	12	1
331	один из	5	1
332	всегда и	1	1
333	в духе	6	1
334	если бы	4	1
335	и несколько	1	1
336	не знает	2	1
337	или в	2	1
338	заключает в	1	1
339	а о	1	1
340	очень важную	1	1
341	можно говорить	1	1
342	центр тяжести	1	1
343	ничего общего	1	1
344	это означало	3	1
345	образом если	1	1
346	равно как	1	1
347	ни о	1	1
348	к одному	2	1
349	элемента в	1	1
350	и еще	2	1
351	их и	1	1
352	что его	4	1
353	в гости	1	1
354	как его	1	1
355	другой день	1	1
356	в эту	1	1
357	живой жизни	2	1
358	вообще и	1	1
359	мы говорим	1	1
360	она развивается	1	1
361	но эта	3	1
362	дело в	4	1
363	этом с	1	1
364	в споре	1	1
365	крайней мере	4	1
366	держится на	1	1
367	известном смысле	2	1
368	во многом	8	1
369	сами по	2	1
370	одного из	3	1
371	же как	3	1
372	главе мы	1	1
373	сказать что	3	1
374	форму и	1	1
375	дальнейшем мы	1	1
376	в ту	4	1
377	жизни как	1	1
378	xviii века	2	1
379	именно в	6	1
380	уже на	1	1
381	и действительно	1	1
382	и до	2	1
383	времени не	1	1
384	представление о	9	1
385	конечном счете	4	1
386	и ставит	1	1
387	этого развития	1	1
388	отношению к	3	1
389	в основу	1	1
390	одной из	7	1
391	или скажем	1	1
392	при исследовании	1	1
393	более и	1	1
394	не сказано	1	1
395	в своем	4	1
396	веры но	1	1
397	но ведь	2	1
398	может оказаться	1	1
399	в связи	2	1
400	в какой	1	1
401	означало бы	1	1
402	между ними	1	1
403	во всей	2	1
404	у читателя	2	1
405	же в	1	1
406	с поразительной	1	1
407	том что	14	1
408	и механическое	1	1
409	рядом с	2	1
410	метода не	1	1
411	в мире	8	1
412	и прежде	1	1
413	всеми его	1	1
414	на эту	4	1
415	дома и	1	1
416	жизни в	9	1
417	но не	7	1
418	так в	1	1
419	нет нужды	1	1
420	но если	4	1
421	по себе	2	1
422	он сам	8	1
423	науки в	1	1
424	не имеет	2	1
425	их на	1	1
426	к этому	4	1
427	бы ее	1	1
428	в такой	2	1
429	все более	2	1
430	вся эта	1	1
431	в то	23	1
432	и только	2	1
433	важную роль	2	1
434	значит что	3	1
435	ли он	1	1
436	просто не	3	1
437	всецело и	1	1
438	является только	1	1
439	этой области	1	1
440	уже чисто	1	1
441	по самому	2	1
442	или нет	1	1
443	нет никаких	1	1
444	но это	10	1
445	когда в	1	1
446	но уже	2	1
447	нас на	1	1
448	с ее	3	1
449	развития каждый	1	1
450	не из	1	1
451	таким же	1	1
452	не что	1	1
453	и это	2	1
454	точка зрения	2	1
455	того же	2	1
456	читателя что	1	1
457	все время	3	1
458	нет в	1	1
459	и если	3	1
460	должен быть	1	1
461	он с	2	1
462	и его	14	1
463	чем отличается	1	1
464	жизни не	2	1
465	и особенно	1	1
466	не давая	1	1
467	вовсе не	5	1
468	самом конце	1	1
469	о том	9	1
470	сих пор	1	1
471	есть не	2	1
472	по крайней	4	1
473	иное как	1	1
474	современная наука	1	1
475	зрения и	1	1
476	своего развития	1	1
477	человека и	6	1
478	к нему	1	1
479	никогда не	13	1
480	той или	1	1
