N	2gram	Tiupa_Narr	Poddanst
201	в момент	1	1
202	только что	4	1
203	утверждается возможность	1	1
204	действие которое	1	1
205	два явления	1	1
206	гласит что	1	1
207	и главное	1	1
208	они являются	1	1
209	в психологии	1	1
210	бы она	1	1
211	церкви в	1	1
212	в случаях	1	1
213	к этой	1	1
214	на человеческую	1	1
215	с и	1	1
216	она не	2	1
217	уже в	1	1
218	каждого слова	1	1
219	должна быть	2	1
220	человеческого бытия	2	1
221	при отсутствии	2	1
222	внутреннего зрения	2	1
223	более или	2	1
224	в творчестве	1	1
225	того чтобы	7	1
226	и конца	5	1
227	живет в	1	1
228	и иных	3	1
229	своих интересов	1	1
230	бытия не	1	1
231	представляет собой	21	1
232	но возможно	2	1
233	как известно	3	1
234	отрыве от	1	1
235	из всех	1	1
236	мира но	1	1
237	идти ни	1	1
238	во многих	1	1
239	взывает к	2	1
240	существования при	1	1
241	что это	4	1
242	не более	1	1
243	одно и	2	1
244	подчеркнуть что	2	1
245	что при	1	1
246	в напряжении	1	1
247	и уже	4	1
248	мысли и	1	1
249	в формах	2	1
250	с которой	1	1
251	какой бы	1	1
252	из этих	6	1
253	и смысла	1	1
254	что с	2	1
255	в преодолении	1	1
256	и личности	1	1
257	именно на	1	1
258	не как	1	1
259	и вся	1	1
260	из мира	1	1
261	только на	4	1
262	где он	1	1
263	и через	2	1
264	не с	1	1
265	что эта	1	1
266	может оказаться	2	1
267	чем тот	1	1
268	например с	1	1
269	xix в	2	1
270	в других	2	1
271	мы именуем	1	1
272	и что	1	1
273	в различных	1	1
274	не могла	2	1
275	чем говорить	1	1
276	частности в	2	1
277	на основании	1	1
278	что и	3	1
279	кто не	1	1
280	тем и	1	1
281	другой стороны	2	1
282	есть некоторая	1	1
283	еще в	4	1
284	от церкви	1	1
285	нет никакого	1	1
286	этом смысле	1	1
287	к жизни	3	1
288	выражается в	1	1
289	далеко не	6	1
290	только то	1	1
291	в современной	4	1
292	в этих	3	1
293	не вполне	3	1
294	что все	1	1
295	различия между	1	1
296	как по	2	1
297	так же	2	1
298	в предыдущем	1	1
299	также и	4	1
300	которая неизбежно	1	1
301	как она	2	1
302	его в	1	1
303	бы из	1	1
304	охватывает собою	1	1
305	в церковь	1	1
306	речь но	1	1
307	над ним	1	1
308	каждый из	3	1
309	в большинстве	1	1
310	и наоборот	1	1
311	который не	2	1
312	было и	2	1
313	их не	1	1
314	все же	10	1
315	и притом	3	1
316	чтобы в	1	1
317	которого в	1	1
318	теми же	1	1
319	но на	1	1
320	того кто	2	1
321	в результате	4	1
322	в рамках	6	1
323	в которой	2	1
324	от тех	1	1
325	идти в	1	1
326	и будущее	1	1
327	должен быть	1	1
328	в отрыве	1	1
329	в этой	8	1
330	или иным	2	1
331	числе и	1	1
332	к ним	2	1
333	прежде чем	1	1
334	и еще	2	1
335	этом не	1	1
336	прошлого не	1	1
337	в отличие	6	1
338	и где	1	1
339	по преимуществу	1	1
340	на нее	2	1
341	молодежи и	1	1
342	себя в	4	1
343	из двух	1	1
344	само по	1	1
345	известном смысле	4	1
346	на две	2	1
347	том виде	1	1
348	же как	2	1
349	в реальной	1	1
350	на себя	5	1
351	она может	2	1
352	что не	2	1
353	мы и	2	1
354	иначе как	1	1
355	тем же	3	1
356	но для	5	1
357	и просветления	1	1
358	в каком	1	1
359	может идти	1	1
360	в ходе	4	1
361	в смене	2	1
362	ведет к	3	1
363	и утверждается	1	1
364	или хотя	1	1
365	к другим	1	1
366	церковь и	1	1
367	русской литературы	1	1
368	сливаются в	2	1
369	какой она	1	1
370	происходящего в	2	1
371	происходит и	2	1
372	свидетельство о	1	1
373	не тождественны	1	1
374	в делах	1	1
375	давно уже	2	1
376	мира а	1	1
377	углубляется в	1	1
378	представляют собой	5	1
379	в какой	2	1
380	ясно что	2	1
381	с собой	2	1
382	к внешнему	1	1
383	место в	3	1
384	как и	15	1
385	с которым	1	1
386	на будущее	1	1
387	также в	2	1
388	в некотором	2	1
389	и само	1	1
390	следует понимать	1	1
391	или иной	6	1
392	и внутренне	1	1
393	от первой	2	1
394	случаях когда	1	1
395	к миру	2	1
396	для каждого	1	1
397	большинстве случаев	1	1
398	последней в	1	1
399	одновременно и	1	1
400	иной раз	1	1
401	внимание к	2	1
402	на то	4	1
403	бы эти	1	1
404	на фоне	2	1
405	своего существования	2	1
406	это но	1	1
407	ли не	3	1
408	смысла она	1	1
409	и по	3	1
410	и я	1	1
411	не два	1	1
412	личности не	1	1
413	там где	1	1
414	т д	1	1
415	он живет	1	1
416	века в	1	1
417	и только	2	1
418	это сделать	2	1
419	что именно	2	1
420	друг с	1	1
421	она оказывается	2	1
422	казалось бы	2	1
423	всяком случае	2	1
424	нисколько не	1	1
425	о котором	4	1
426	не будут	1	1
427	не все	2	1
428	сравнению с	1	1
429	но каждый	1	1
430	когда в	4	1
431	друг друга	2	1
432	в себя	3	1
433	приобщается к	1	1
434	для этого	1	1
435	с ее	3	1
436	в известном	4	1
437	с другом	1	1
438	во времени	9	1
439	гораздо более	1	1
440	не просто	2	1
441	он был	1	1
442	не имеет	3	1
443	историю в	2	1
444	и особенно	1	1
445	одно из	2	1
446	или менее	2	1
447	и ее	3	1
448	слова о	1	1
449	есть знак	1	1
450	в бытии	1	1
451	особенно в	3	1
452	в развитии	1	1
453	и среди	1	1
454	собой его	1	1
455	обратиться к	2	1
456	сознания к	1	1
457	в душе	3	1
458	и быть	1	1
459	никогда не	8	1
460	еще не	6	1
