N	2gram	Vinokur_St	Hudozhes
305	xix века	2	2
306	с их	2	2
307	слова не	1	2
308	как ученый	1	2
309	у него	3	2
310	от всех	1	2
311	или в	1	2
312	говорит в	3	2
313	и некоторые	1	2
314	и более	4	2
315	одним из	2	2
316	что она	5	2
317	каждая из	1	2
318	тому что	8	2
319	в равной	2	2
320	случае не	3	2
321	в какой	4	2
322	я не	13	2
323	к своему	3	2
324	его текст	1	2
325	первой части	2	2
326	только и	1	2
327	анекдот не	1	2
328	в сторону	2	2
329	в чем	4	2
330	это тоже	1	2
331	жизни то	1	2
332	вовсе не	24	2
333	тем более	4	2
334	и потому	3	2
335	о себе	1	2
336	но как	1	2
337	а с	6	2
338	на этом	1	2
339	ту или	1	2
340	с легкой	1	2
341	то ни	2	2
342	на всех	1	2
343	дело не	4	2
344	в случае	2	2
345	в значительной	2	2
346	быть и	2	2
347	не с	1	2
348	за пределы	2	2
349	но только	2	2
350	стилистическом отношении	1	2
351	ни одно	1	2
352	до прихода	1	2
353	таких случаях	1	2
354	от своего	2	2
355	это может	1	2
356	всей его	1	2
357	тем или	3	2
358	идет о	3	2
359	могла бы	1	2
360	в этой	13	2
361	числе и	2	2
362	известном смысле	1	2
363	тот кто	1	2
364	для такого	1	2
365	и др	1	2
366	материала в	1	2
367	столь же	5	2
368	в словаре	3	2
369	право на	1	2
370	включает в	1	2
371	из этого	1	2
372	ни был	1	2
373	чтобы не	1	2
374	в особенности	1	1
375	различных художественных	1	1
376	с которыми	3	1
377	том чем	1	1
378	от него	1	1
379	однако и	2	1
380	данном отношении	6	1
381	все что	1	1
382	и против	1	1
383	каждой из	1	1
384	я уже	3	1
385	можно говорить	1	1
386	это тот	1	1
387	произведения именно	1	1
388	и здесь	2	1
389	бы несколько	1	1
390	разные формы	1	1
391	онегин и	1	1
392	и конечно	1	1
393	мы встречаем	1	1
394	же и	4	1
395	такова же	1	1
396	если в	2	1
397	как историк	1	1
398	в случаях	1	1
399	которая в	1	1
400	с формой	1	1
401	не знают	1	1
402	на ее	1	1
403	в литературной	1	1
404	героя в	1	1
405	первую очередь	2	1
406	дело с	2	1
407	можно назвать	3	1
408	и дает	1	1
409	его за	1	1
410	оказывается не	1	1
411	к числу	3	1
412	и другим	1	1
413	представляют собой	1	1
414	никакого определенного	1	1
415	думаю что	6	1
416	что это	5	1
417	содержит в	1	1
418	которой в	3	1
419	в сущности	2	1
420	какой бы	1	1
421	в другой	1	1
422	говорит о	5	1
423	те же	1	1
424	времени когда	1	1
425	из того	2	1
426	разного рода	2	1
427	одному из	1	1
428	и делает	1	1
429	бы они	1	1
430	в результате	5	1
431	для перевода	1	1
432	трети xix	2	1
433	и вполне	4	1
434	ценность и	1	1
435	в научном	1	1
436	всегда имеются	1	1
437	за это	1	1
438	не могут	2	1
439	со всеми	2	1
440	должен был	5	1
441	случаях оказывается	1	1
442	чтобы в	1	1
443	и даже	8	1
444	с политической	2	1
445	если не	4	1
446	текста и	1	1
447	он уже	1	1
448	с некоторыми	1	1
449	превращая его	1	1
450	на свой	2	1
451	а во-вторых	2	1
452	о мире	2	1
453	имеет значение	1	1
454	жизнь в	1	1
455	им по	1	1
456	произведения в	2	1
457	мы говорим	1	1
458	русского языка	2	1
459	мысль о	2	1
460	его произведений	1	1
461	значение в	1	1
462	можно даже	1	1
463	тем что	6	1
464	этого в	1	1
465	v в	1	1
466	обращается к	1	1
467	в составе	1	1
468	и действительно	1	1
469	то время	2	1
470	героев и	1	1
471	если он	1	1
472	принадлежат к	1	1
473	мира это	1	1
474	видно из	1	1
475	для своей	2	1
476	меня в	2	1
477	новая форма	1	1
478	по собственному	1	1
479	стороны в	2	1
480	с ума	1	1
481	к нам	1	1
482	в соответствии	1	1
483	и внутренне	1	1
484	вещей в	1	1
485	с такими	1	1
486	что по	1	1
487	у читателя	1	1
488	одновременно и	1	1
489	вместе с	5	1
490	с собою	1	1
491	все же	12	1
492	по душе	1	1
493	участвовать в	1	1
494	не имеет	5	1
495	в лирических	1	1
496	как более	2	1
497	но у	1	1
498	да и	4	1
499	ему и	1	1
500	о котором	2	1
501	его личной	1	1
502	зависимости от	2	1
503	и слово	1	1
504	в это	3	1
505	для публики	2	1
506	друг от	1	1
507	свою собственную	3	1
508	которой не	1	1
509	нет в	1	1
510	отдает себе	1	1
511	они ни	1	1
512	по крайней	2	1
513	перед нами	1	1
514	всем его	1	1
515	в театральном	2	1
516	свое время	3	1
517	с этим	6	1
518	сам же	1	1
519	которых можно	1	1
520	одним и	2	1
521	тем в	1	1
522	в первую	2	1
523	бы и	4	1
524	эту сторону	2	1
525	не существует	4	1
526	в котором	11	1
527	из других	1	1
528	и такие	2	1
529	и пр	4	1
530	языка и	4	1
531	время оно	1	1
532	о чем-то	1	1
533	по тем	1	1
534	совершенно особое	1	1
535	согласен с	2	1
536	более чем	3	1
537	на какой	1	1
538	что хотят	1	1
539	то и	1	1
540	но кто	1	1
541	его исторического	1	1
542	наконец в	2	1
543	свою личность	1	1
544	не должно	1	1
545	художественных произведений	1	1
546	быть не	2	1
547	не быть	1	1
548	во многих	3	1
549	а после	1	1
550	которыми он	3	1
551	из его	3	1
552	имея в	1	1
553	относится не	1	1
554	время в	1	1
555	точно и	2	1
556	и теперь	2	1
557	жизни и	6	1
558	у автора	1	1
559	чего не	1	1
560	к вопросу	1	1
561	значение для	2	1
562	только на	1	1
563	в которую	2	1
564	вы говорите	1	1
565	точно так	2	1
566	к одному	1	1
567	на основании	2	1
568	не так	2	1
569	иначе в	2	1
570	ни были	2	1
571	и те	4	1
572	стола и	2	1
573	в истории	5	1
574	себе отчет	1	1
575	и общества	1	1
576	имеем перед	1	1
577	каждый из	1	1
578	себе в	2	1
579	до того	4	1
580	с отвращением	1	1
581	всего что	2	1
582	отчет в	1	1
583	эти два	1	1
584	в прошлом	1	1
585	как следствие	2	1
586	задний план	3	1
587	к ним	1	1
588	бы свой	1	1
589	языка не	2	1
590	но всякий	1	1
591	соответствии с	1	1
592	у себя	1	1
593	не для	3	1
594	настоящее время	2	1
595	тем же	3	1
596	него не	1	1
597	той же	5	1
598	понимая что	1	1
599	оно стало	2	1
600	именно так	1	1
601	за него	2	1
602	до конца	4	1
603	с нею	3	1
604	за его	1	1
605	с этими	1	1
606	только во	1	1
607	только при	1	1
608	как я	1	1
609	нигде не	2	1
610	в каждый	1	1
611	что все	3	1
612	может сомневаться	1	1
613	том же	3	1
614	в сознании	2	1
615	тот что	1	1
616	исходит из	1	1
617	характерное для	1	1
618	языка а	1	1
619	всего к	1	1
620	но если	5	1
621	здесь и	1	1
622	по поводу	13	1
623	текста во	1	1
624	в отдельных	2	1
625	казалось бы	1	1
626	нет никаких	2	1
627	к этим	1	1
628	все с	1	1
629	то я	1	1
630	то или	3	1
631	в настоящее	2	1
632	которое должно	1	1
633	писал в	2	1
634	пришлось бы	1	1
635	которой обладают	1	1
636	крайней мере	2	1
637	из них	11	1
638	едва ли	1	1
639	тот же	2	1
640	внимание и	1	1
641	а об	1	1
642	революции в	1	1
643	о ней	1	1
644	могли быть	1	1
645	в перспективе	1	1
646	представить себе	1	1
647	так с	1	1
648	к особенностям	1	1
649	что они	9	1
650	этом случае	3	1
651	в свое	3	1
652	только не	2	1
653	той мере	2	1
654	в более	1	1
655	вокруг него	1	1
656	так как	7	1
657	непременным условием	1	1
658	на которую	1	1
659	от его	2	1
660	они не	2	1
661	может не	2	1
662	после того	5	1
663	на вопрос	7	1
664	статье о	3	1
665	на язык	1	1
666	свидетельствует о	2	1
667	в поэзии	1	1
668	время и	1	1
669	который всегда	2	1
670	действительно является	1	1
671	чем на	1	1
672	внимание на	5	1
673	иных случаях	2	1
674	у каждого	1	1
675	материала и	2	1
676	проявляется в	1	1
677	не своей	1	1
678	переход к	1	1
679	подчеркнуть что	5	1
680	себя самого	1	1
681	на произведение	2	1
682	обратил внимание	1	1
683	особенностям его	1	1
684	чем у	2	1
685	как у	1	1
686	для нас	7	1
687	у нас	12	1
688	в литературных	2	1
689	на которой	2	1
690	и от	2	1
691	иными словами	1	1
692	им с	1	1
693	слово в	1	1
694	этом в	1	1
695	и есть	1	1
696	сколько бы	1	1
697	в третьем	1	1
698	том в	1	1
699	мы находим	4	1
700	тому же	2	1
701	раз в	4	1
702	пушкина я	1	1
703	нет даже	2	1
704	отношения между	1	1
705	сказать не	1	1
706	не была	2	1
707	ведь это	1	1
708	но с	7	1
709	в таких	1	1
710	не было	7	1
711	слиться в	1	1
712	говорим о	1	1
713	от друга	1	1
714	реальной действительности	1	1
715	бессознательно на	1	1
716	что его	1	1
717	самые разнообразные	1	1
718	всех его	1	1
719	том отношении	4	1
720	на нее	3	1
721	дело в	9	1
722	которое в	1	1
723	это еще	1	1
724	но одно	1	1
725	о каком	1	1
726	места в	3	1
727	что не	3	1
728	виду что	1	1
729	но для	3	1
730	xviii века	1	1
731	такое же	2	1
732	за свою	3	1
733	в конце	5	1
734	чтения в	1	1
735	такого понимания	1	1
736	с той	3	1
737	и без	4	1
738	возможным в	1	1
739	и последующих	1	1
740	лишь на	1	1
741	нас к	2	1
742	также в	2	1
743	не подлежит	2	1
744	вследствие того	1	1
745	же как	5	1
746	говорят о	1	1
747	между прочим	10	1
748	является не	4	1
749	над тем	2	1
750	при таком	2	1
751	ее составе	1	1
752	перед собой	2	1
753	ли не	2	1
754	от этого	2	1
755	и я	5	1
756	языка но	1	1
757	должно стать	1	1
758	в такой	2	1
759	больше и	1	1
760	его жизни	3	1
761	по его	5	1
762	именно эта	1	1
763	в условиях	1	1
764	это было	2	1
765	на реального	1	1
766	тех же	1	1
767	на его	2	1
768	себе и	1	1
769	точек зрения	1	1
770	в каждой	1	1
771	из москвы	1	1
772	некоторых частностей	1	1
773	с острым	1	1
774	в одной	3	1
775	действительности и	1	1
776	времени то	1	1
777	бы в	2	1
778	мере в	3	1
779	социального поведения	1	1
780	пребывания в	3	1
781	ему не	3	1
782	на них	2	1
783	в каждом	3	1
784	том случае	1	1
785	опираясь на	1	1
786	даже сказать	1	1
787	в уста	3	1
788	в малой	1	1
789	что от	2	1
790	только к	2	1
791	в полной	1	1
792	в своих	2	1
793	не означает	1	1
794	разрыв между	1	1
795	на один	1	1
796	каждом из	1	1
797	говорил о	1	1
798	поэт не	2	1
799	до нас	1	1
800	две стороны	1	1
801	зрения в	2	1
802	именно потому	1	1
803	не дает	2	1
804	своему образцу	1	1
805	также и	10	1
806	ту же	1	1
807	силе и	1	1
808	нельзя не	3	1
809	не один	1	1
810	для таких	1	1
811	или же	3	1
812	просто не	1	1
813	является его	1	1
814	действующих лиц	1	1
815	в развитии	2	1
816	например слова	1	1
817	на чем	2	1
818	что касается	4	1
819	в первом	2	1
820	ср не	1	1
821	а по	1	1
822	образа в	1	1
823	чувства юмора	1	1
824	являются такими	1	1
825	для этого	2	1
826	перевод с	2	1
827	и является	1	1
828	не могла	2	1
829	для установления	3	1
830	это была	1	1
831	отношений между	3	1
832	тем и	1	1
833	я сейчас	1	1
834	иметь в	2	1
835	стороны и	1	1
836	только то	1	1
837	и жизни	1	1
838	из нас	1	1
839	что из	1	1
840	или иное	3	1
841	в иных	2	1
842	когда мы	1	1
843	реального исторического	1	1
844	он еще	1	1
845	этом не	1	1
846	на это	2	1
847	было бы	21	1
848	а тем	1	1
849	не по	5	1
850	из нее	3	1
851	это разумеется	1	1
852	где слово	1	1
853	так называемого	1	1
854	но без	1	1
855	есть такое	1	1
856	как мы	1	1
857	писателя в	2	1
858	данного произведения	1	1
859	в литературном	3	1
860	к изучению	1	1
861	отношении что	2	1
862	общего с	3	1
863	в понимании	1	1
864	что для	4	1
865	которые в	2	1
866	его личности	1	1
867	в зависимости	2	1
868	это делает	1	1
869	над его	1	1
870	того времени	8	1
871	произведения не	1	1
872	этом и	2	1
873	в лучшем	1	1
874	основания для	1	1
875	по этому	5	1
876	так что	8	1
877	чтобы оно	1	1
878	же в	1	1
879	реальности но	1	1
880	всю жизнь	1	1
881	бы быть	1	1
882	пушкиным в	14	1
883	иной раз	1	1
884	как будто	5	1
885	идет не	1	1
886	на то	5	1
887	бы ни	3	1
888	нуждается в	2	1
889	этом у	1	1
890	а как	5	1
891	лучшем случае	1	1
892	нет не	1	1
893	суда над	1	1
894	и совершенно	1	1
895	кажется что	5	1
896	и иные	2	1
897	можно только	1	1
898	более того	1	1
899	котором он	2	1
900	в статье	9	1
901	с этих	1	1
