N	2gram	Tiupa_Teor	UchenyiS
266	строго говоря	2	1
267	но если	1	1
268	бы ни	1	1
269	без этого	1	1
270	читателя который	1	1
271	не входит	2	1
272	так и	14	1
273	обе эти	1	1
274	познания или	1	1
275	эстетическое содержание	1	1
276	из которых	2	1
277	вся система	1	1
278	ее в	2	1
279	отнюдь не	3	1
280	и вся	1	1
281	в качестве	33	1
282	о котором	1	1
283	в нем	7	1
284	художественного впечатления	6	1
285	он не	5	1
286	как целого	1	1
287	независимо от	1	1
288	может служить	2	1
289	всего лишь	8	1
290	поскольку он	1	1
291	все что	1	1
292	термина не	1	1
293	и слово	1	1
294	если нет	1	1
295	а.н веселовского	2	1
296	искусстве от	1	1
297	на его	1	1
298	о литературном	1	1
299	и что	4	1
300	в известном	2	1
301	и эстетической	2	1
302	одно из	1	1
303	форма в	1	1
304	что для	1	1
305	смысле можно	1	1
306	и это	2	1
307	в различных	1	1
308	с одной	3	1
309	в первую	1	1
310	за пределы	2	1
311	и делает	1	1
312	должно быть	1	1
313	об этом	2	1
314	не обладает	1	1
315	точно и	1	1
316	является одним	1	1
317	в виду	5	1
318	эта позиция	1	1
319	или менее	6	1
320	в пределах	5	1
321	тот же	1	1
322	искусство и	1	1
323	уже не	6	1
324	о том	2	1
325	по его	1	1
326	произведения в	1	1
327	далеко не	4	1
328	тем более	2	1
329	литературы как	3	1
330	того что	5	1
331	искусства в	5	1
332	у него	2	1
333	в словах	1	1
334	друг другу	1	1
335	жанра в	1	1
336	в котором	1	1
337	не существует	1	1
338	бы в	1	1
339	ее к	1	1
340	искусства не	1	1
341	о литературе	3	1
342	той же	1	1
343	приводит к	6	1
344	никогда не	4	1
345	некую систему	1	1
346	его эстетической	3	1
347	и конструктивное	1	1
348	ориентация на	1	1
349	человека и	2	1
350	к построению	1	1
