N	2gram	Bakhtin_sl	Dialekti
464	отношении к	9	5
465	и во	3	5
466	в символе	1	5
467	форма и	1	5
468	он может	3	5
469	же он	1	5
470	мы еще	1	5
471	точку зрения	6	5
472	а это	1	5
473	он и	1	5
474	есть уже	1	5
475	же не	1	5
476	становления и	1	5
477	с той	1	5
478	как целое	1	5
479	есть все	1	5
480	из этого	3	5
481	в области	1	5
482	первый план	1	5
483	по которому	1	5
484	или как	4	5
485	и время	1	5
486	к ней	2	5
487	он просто	1	5
488	и наконец	9	5
489	можно говорить	2	4
490	возможно лишь	1	4
491	еще более	7	4
492	общения с	1	4
493	миф в	1	4
494	нас в	3	4
495	самом же	1	4
496	далее в	2	4
497	и само	2	4
498	как они	1	4
499	жизнь в	2	4
500	равно как	1	4
501	из самых	2	4
502	его на	2	4
503	в собственном	2	4
504	только для	1	4
505	в этот	1	4
506	всегда так	1	4
507	и этого	1	4
508	как чистое	1	4
509	и должно	1	4
510	с другим	1	4
511	к ним	2	4
512	представить себе	1	4
513	бы то	1	4
514	не зная	1	4
515	от поэтического	1	4
516	время и	3	4
517	в состоянии	1	4
518	можно понимать	1	4
519	у него	5	4
520	самого по	1	4
521	человек и	13	4
522	и личность	1	4
523	точек зрения	8	4
524	не нужно	1	4
525	чтобы понять	1	4
526	в каждом	5	4
527	о себе	2	4
528	если оно	2	4
529	людей и	2	4
530	дана в	1	4
531	или же	1	4
532	мифа как	1	4
533	неотделим от	1	4
534	очень мало	1	4
535	т п	49	4
536	а как	3	4
537	себе как	2	4
538	а главное	1	4
539	следовательно не	1	4
540	а потому	1	4
541	и здесь	5	4
542	как с	2	4
543	был бы	2	4
544	есть для	2	4
545	со всеми	3	4
546	поэтому и	7	4
547	почти всегда	3	4
548	в нас	1	4
549	связанные с	7	4
550	поэзии и	4	4
551	который не	1	4
552	чем же	1	4
553	видим что	1	4
554	это только	1	4
555	быть не	1	4
556	для всякого	1	4
557	как например	1	4
558	только одна	1	4
559	но именно	5	4
560	с нею	1	4
561	у них	2	4
562	друг друга	3	4
563	мир в	1	4
564	данном случае	3	4
565	и этим	3	4
566	этом отношении	2	4
567	себя самого	1	4
568	то он	1	4
569	здесь в	6	4
570	ни чисто	1	4
571	них и	3	4
572	и слова	6	4
573	в общем	1	4
574	и эта	2	4
575	сознания но	1	4
576	говорят о	1	4
577	на все	3	4
578	бы мы	1	4
579	но уже	2	4
580	на них	2	4
581	но его	1	4
582	и эти	2	4
583	как ни	2	4
584	совершенно невозможно	1	4
585	человека и	3	4
586	и всех	1	4
587	лежащая в	2	4
588	но эта	2	4
589	же в	2	4
590	говорить об	1	4
591	своим собственным	1	4
592	ведь и	1	4
593	из себя	3	4
594	не можем	1	4
595	на ту	2	4
596	себе а	1	4
597	мир не	1	3
598	для всех	2	3
599	никогда и	1	3
600	со всем	1	3
601	мысли и	1	3
602	в некоторых	3	3
603	науке и	1	3
604	не бывает	1	3
605	в первом	3	3
606	о мире	1	3
607	на мир	6	3
608	форму и	1	3
609	в корне	1	3
610	уже нет	1	3
611	ни было	2	3
612	но почему	1	3
613	от поэзии	1	3
614	свой смысл	2	3
615	а лишь	2	3
616	могут не	2	3
617	сознания в	2	3
618	существует особая	1	3
619	самого начала	1	3
620	от своего	1	3
621	она ни	1	3
622	в основу	1	3
623	на него	1	3
624	во всей	1	3
625	не умеет	2	3
626	момент в	2	3
627	раз на	1	3
628	всего в	1	3
629	или наоборот	1	3
630	указать на	1	3
631	такая же	2	3
632	от всякой	3	3
633	зрения самого	2	3
634	с другими	8	3
635	не от	1	3
636	стремится к	2	3
637	есть такая	1	3
638	то она	1	3
639	одно а	1	3
640	сознания на	1	3
641	собственное слово	1	3
642	и которые	2	3
643	следовательно и	4	3
644	зрения и	4	3
645	о которых	2	3
646	быть очень	2	3
647	что как	2	3
648	которая есть	1	3
649	не был	2	3
650	здесь как	3	3
651	поэтическое произведение	1	3
652	она или	1	3
653	а с	2	3
654	что же?	1	3
655	данный момент	4	3
656	от характера	1	3
657	не дает	1	3
658	совсем не	1	3
659	между тем	5	3
660	зрения в	1	3
661	не приходится	2	3
662	как известно	1	3
663	культуры и	2	3
664	но есть	1	3
665	сделать это	1	3
666	с чем	1	3
667	мы теперь	1	3
668	или иного	2	3
669	и смысл	1	3
670	своего собственного	1	3
671	и свое	1	3
672	на почве	6	3
673	и философии	2	3
674	же о	1	3
675	от их	1	3
676	особого рода	1	3
677	мы понимаем	1	3
678	следовательно в	3	3
679	о самом	1	3
680	оно всегда	1	3
681	в слове	11	3
682	от его	4	3
683	в которых	1	3
684	своего предмета	5	3
685	к другому	1	3
686	я говорю	1	3
687	непосредственно и	2	3
688	все они	9	3
689	как один	1	3
690	бы не	1	3
691	в очень	1	3
692	тех же	1	3
693	как одно	1	3
694	еще на	1	3
695	чем именно	1	3
696	с которой	1	3
697	не меньше	2	3
698	или иных	1	3
699	о своем	1	3
700	ее с	2	3
701	целый ряд	2	3
702	чем не	1	3
703	входить в	3	3
704	по преимуществу	5	3
705	одной из	4	3
706	не знаем	3	3
707	в сознании	3	3
708	здесь не	6	3
709	сама она	1	3
710	только с	3	3
711	категории и	2	3
712	движения и	1	3
713	тот же	1	3
714	в свое	3	3
715	форм и	3	3
716	но на	1	3
717	значение может	1	3
718	как вещи	1	3
719	всех возможных	1	3
720	только его	1	3
721	стать на	1	3
722	как у	2	3
723	для нас	7	3
724	также имеет	1	3
725	место в	2	3
726	различия между	3	3
727	именно так	1	3
728	без всяких	2	3
729	этого не	1	3
730	когда оно	1	3
731	в какой	2	3
732	так в	2	3
733	к своему	11	3
734	и оно	2	3
735	лежит в	5	3
736	ибо и	1	3
737	должен быть	3	3
738	при его	2	3
739	же деле	1	3
740	ко всему	1	3
741	в разной	1	3
742	с самого	1	3
743	отличие от	13	3
744	а просто	2	3
745	или прямо	4	3
746	или иную	1	3
747	просто не	2	3
748	в свою	4	3
749	далеко не	7	3
750	из видов	1	3
751	как чисто	1	3
752	идет о	1	3
753	как из	1	3
754	лишь в	6	3
755	и вне	3	3
756	действительно не	2	3
757	именно это	1	3
758	не к	1	3
759	меньше чем	2	3
760	как два	1	2
761	мы наблюдаем	2	2
762	случае в	1	2
763	еще раз	3	2
764	которые не	1	2
765	которая в	1	2
766	мы все	2	2
767	как особое	1	2
768	дана как	1	2
769	эта идея	1	2
770	те же	3	2
771	его от	2	2
772	исторического развития	2	2
773	часто даже	1	2
774	в единой	1	2
775	действовать и	1	2
776	ко всем	1	2
777	в духе	3	2
778	вот что	1	2
779	не предполагает	3	2
780	собственном смысле	2	2
781	и сам	4	2
782	до полного	1	2
783	жизни или	1	2
784	в некотором	1	2
785	пусть это	1	2
786	чем его	1	2
787	всегда в	3	2
788	роль в	4	2
789	как более	2	2
790	и слово	4	2
791	живая и	1	2
792	широком смысле	3	2
793	только теперь	1	2
794	всем его	2	2
795	науки в	1	2
796	связано с	3	2
797	действительность и	1	2
798	сам же	1	2
799	перестает быть	2	2
800	во все	1	2
801	всю его	2	2
802	и логической	1	2
803	он был	1	2
804	мы увидим	2	2
805	представления о	1	2
806	всего что	1	2
807	быть взята	1	2
808	это его	1	2
809	основные и	1	2
810	в условиях	3	2
811	действии и	1	2
812	смысле слова	2	2
813	в различных	1	2
814	а между	2	2
815	как оно	3	2
816	свою очередь	3	2
817	и движение	1	2
818	будучи в	1	2
819	и остается	3	2
820	и формы	4	2
821	речь как	1	2
822	поэтому все	1	2
823	во всякой	1	2
824	что отношение	1	2
825	новое время	2	2
826	в нашем	1	2
827	находится в	1	2
828	с этими	3	2
829	для понимания	3	2
830	на предмет	4	2
831	от них	1	2
832	друг с	2	2
833	нем не	1	2
834	на котором	3	2
835	смысле но	1	2
836	в системе	2	2
837	где все	1	2
838	или иным	1	2
839	ближе к	1	2
840	несколько слов	2	2
841	новые и	2	2
842	он только	1	2
843	представим себе	1	2
844	нами не	1	2
845	явления как	1	2
846	уже сказали	3	2
847	как такового	3	2
848	несет на	1	2
849	на том	2	2
850	именно для	1	2
851	потому не	1	2
852	есть его	1	2
853	обычно не	1	2
854	значит не	1	2
855	вокруг себя	2	2
856	и становления	3	2
857	самый предмет	1	2
858	чем в	3	2
859	и других	5	2
860	и становление	1	2
861	слово о	1	2
862	на этот	1	2
863	такое понимание	2	2
864	прежде чем	1	2
865	и говорит	1	2
866	как его	5	2
867	слово слово	2	2
868	не остается	2	2
869	между ними	2	2
870	эти три	1	2
871	человек в	6	2
872	его жизни	1	2
873	больше всего	1	2
874	моментов и	1	2
875	в сторону	1	2
876	в других	4	2
877	быть настолько	1	2
878	всех своих	2	2
879	и мир	9	2
880	на которую	1	2
881	с образом	1	2
882	есть свой	2	2
883	раз это	1	2
884	и образа	1	2
885	прибавление к	1	2
886	бы она	1	2
887	в лучшем	3	2
888	не видят	2	2
889	взятая в	1	2
890	и собственно	1	2
891	ни была	1	2
892	и специфическое	1	2
893	свой предмет	3	2
894	ничего нового	2	2
895	не были	3	2
896	самого же	2	2
897	не могла	2	2
898	зрения так	1	2
899	с ней	2	2
900	нем и	5	2
901	разной степени	2	2
902	ни одной	1	2
903	на который	1	2
904	однако в	3	2
905	в систему	1	2
906	и др	17	2
907	сторону и	1	2
908	образом в	4	2
909	себе ни	1	2
910	ибо в	1	2
911	которые были	2	2
912	с живыми	1	2
913	учением о	1	2
914	его внутренней	1	2
915	его можно	1	2
916	разве только	1	2
917	и нельзя	1	2
918	было с	1	2
919	в подлинном	1	2
920	и самый	2	2
921	нечто совсем	1	2
922	вне ее	2	2
923	таков например	2	2
924	к сожалению	1	2
925	во втором	1	2
926	из возможных	1	2
927	произведение и	1	2
928	этой линии	1	2
929	внести в	1	2
930	то есть	46	2
931	этого и	1	2
932	и кроме	2	2
933	самостоятельности и	1	2
934	лишь тогда	2	2
935	не уходит	1	2
936	связанное с	1	2
937	не требует	3	2
938	в другой	2	2
939	первых двух	1	2
940	от этой	3	2
941	то с	1	2
942	или к	3	2
943	находятся в	1	2
944	единая и	1	2
945	все то	2	2
946	конечно и	3	2
947	сознание не	1	2
948	привносит в	1	2
949	существенно и	2	2
950	в точном	1	2
951	содержание и	1	2
952	в процессе	14	2
953	она имеет	1	2
954	к его	1	2
955	с простой	1	2
956	менее в	1	2
957	жизни в	2	2
958	действительно может	1	2
959	ли он	4	2
960	по самому	1	2
961	характерна для	1	2
962	цветов и	1	2
963	знает что	1	2
964	этом его	1	2
965	на их	1	2
966	только он	1	2
967	на своем	5	2
968	слова о	2	2
969	но оно	5	2
970	так уже	1	2
971	входя в	4	2
972	ясность и	1	2
973	и мыслит	2	2
974	не имеют	1	2
975	его пределы	1	2
976	и между	2	2
977	объекта в	1	2
978	связана с	2	2
979	значений и	1	2
980	наконец в	5	2
981	не должно	3	2
982	могла бы	1	2
983	них как	2	2
984	человека от	1	2
985	пространстве и	1	2
986	как вещь	4	2
987	самый этот	2	2
988	слова и	21	2
989	развития и	1	2
990	именно на	3	2
991	и вся	2	2
992	и ему	1	2
993	и до	2	2
994	более и	1	2
995	друга и	1	2
996	имеем в	1	2
997	и гам	1	2
998	оно требует	2	2
999	тоже нет	1	2
1000	своем месте	1	2
1001	или с	1	2
1002	корнями в	2	2
1003	слово и	5	2
1004	еще дальше	1	2
1005	и проч	4	2
1006	к истории	1	2
1007	по нем	1	2
1008	влиять на	1	2
1009	мы берем	1	2
1010	из него	4	2
1011	бы его	2	2
1012	был в	1	2
1013	они были	3	2
1014	где нет	2	2
1015	жизни но	2	2
1016	самое слово	2	2
1017	как к	5	2
1018	же просто	1	2
1019	делает их	1	2
1020	можно прямо	3	2
1021	он как	1	2
1022	в определенном	1	2
1023	его и	5	2
1024	только чисто	1	2
1025	ему только	1	2
1026	на одной	1	2
1027	в широком	3	2
1028	оно живет	1	2
1029	чем он	2	2
1030	чистой и	1	2
1031	слово в	18	2
1032	с которым	4	2
1033	все ее	1	2
1034	и всякое	2	2
1035	дело в	2	2
1036	с теми	1	2
1037	это возможно	2	2
1038	исходят из	1	2
1039	только два	2	2
1040	и существуют	1	2
1041	бы быть	2	2
1042	мы ее	1	2
1043	могла быть	1	2
1044	на одном	1	2
1045	говорить как	1	2
1046	мировоззрения и	2	2
1047	в новом	3	2
1048	более конкретное	1	2
1049	на его	9	2
1050	с другом	2	2
1051	это так	1	2
1052	за его	2	2
1053	можно утверждать	1	2
1054	но конечно	1	2
1055	ему не	2	2
1056	в стиле	1	2
1057	конечно это	1	2
1058	человека в	5	2
1059	там где	10	2
1060	с первым	1	2
1061	нужно сказать	1	2
1062	говорим о	1	2
1063	восприятие и	1	2
1064	на всех	1	2
1065	полной очевидностью	1	2
1066	есть как	3	2
1067	лучшем случае	3	2
1068	как таковые	3	2
1069	пор не	2	2
1070	это взаимоотношение	1	2
1071	личность сама	1	2
1072	быть как	1	2
1073	факт что	1	2
1074	еще в	1	2
1075	и фактически	1	2
1076	у нее	1	2
1077	на это	1	2
1078	всем ее	1	2
1079	мы сказали	6	2
1080	где не	1	2
1081	одного из	2	2
1082	оно должно	1	2
1083	которые в	4	2
1084	выражения в	1	2
1085	только по	1	2
1086	в пространстве	1	2
1087	в узком	13	2
1088	своему существу	1	2
1089	отношении не	1	2
1090	его есть	1	2
1091	говорит не	1	2
1092	конечно всегда	1	2
1093	эпохи и	2	2
1094	в целом	3	2
1095	себя то	3	2
1096	как для	1	2
1097	в чисто	4	2
1098	мира в	2	2
1099	в практической	1	1
1100	человек может	1	1
1101	и другие	3	1
1102	особенности и	1	1
1103	в единую	1	1
1104	оно все	2	1
1105	которой все	1	1
1106	из многих	3	1
1107	как поэзия	1	1
1108	мы найдем	3	1
1109	между двумя	1	1
1110	что возможно	1	1
1111	зрения на	9	1
1112	этого необходимо	1	1
1113	почва для	1	1
1114	с живым	1	1
1115	сознания вовсе	1	1
1116	остаются в	3	1
1117	самого человека	1	1
1118	и темного	1	1
1119	оно стоит	1	1
1120	некоторой степени	1	1
1121	обнаруживает с	1	1
1122	без исключения	2	1
1123	в применении	1	1
1124	его за	1	1
1125	они также	1	1
1126	рассматривать с	1	1
1127	логическую и	1	1
1128	эпохи а	1	1
1129	категорий в	1	1
1130	которым они	1	1
1131	невозможно никакое	1	1
1132	здесь о	1	1
1133	которой они	1	1
1134	о формах	2	1
1135	необходимо коснуться	1	1
1136	действуют в	1	1
1137	нами здесь	1	1
1138	которое может	1	1
1139	событиях и	1	1
1140	одному из	2	1
1141	не понимать	1	1
1142	он совершенно	1	1
1143	но эти	3	1
1144	самое точное	1	1
1145	именно эти	1	1
1146	же собственное	1	1
1147	до последнего	2	1
1148	днем и	1	1
1149	и самое	3	1
1150	всей ее	1	1
1151	оно уже	2	1
1152	индивидуальность и	1	1
1153	его именно	2	1
1154	а напротив	1	1
1155	между самим	1	1
1156	и значение	1	1
1157	гл xiv	1	1
1158	вступить в	1	1
1159	себя так	2	1
1160	он остается	1	1
1161	на свой	1	1
1162	воля и	1	1
1163	и чужой	2	1
1164	на чужой	1	1
1165	и установлено	1	1
1166	по их	1	1
1167	все дело	1	1
1168	единственно возможная	1	1
1169	участвует в	1	1
1170	за ним	1	1
1171	которое по	1	1
1172	и полное	1	1
1173	где они	4	1
1174	этого взаимоотношения	1	1
1175	есть необходимая	1	1
1176	этого в	1	1
1177	и нарочито	1	1
1178	прямо сказать	3	1
1179	от необходимости	2	1
1180	исходить из	1	1
1181	между прочим	1	1
1182	этот общий	1	1
1183	и другим	4	1
1184	когда это	1	1
1185	в нормальном	1	1
1186	правда в	1	1
1187	предмет и	1	1
1188	одновременно и	5	1
1189	предмета и	2	1
1190	большей или	5	1
1191	как предмету	1	1
1192	за ней	1	1
1193	но самый	1	1
1194	себя не	1	1
1195	основное отличие	2	1
1196	этих случаях	2	1
1197	может находиться	1	1
1198	не его	2	1
1199	а иногда	3	1
1200	знающего только	1	1
1201	подлинной и	1	1
1202	эта точка	1	1
1203	еще слишком	1	1
1204	дробление в	1	1
1205	еще от	1	1
1206	власти этого	1	1
1207	и единое	1	1
1208	сфере религиозного	1	1
1209	века в	2	1
1210	как та	1	1
1211	направлено на	1	1
1212	и нераздельно	1	1
1213	вне его	4	1
1214	применении к	1	1
1215	именно такое	2	1
1216	каково бы	1	1
1217	нас и	1	1
1218	силы и	1	1
1219	может избежать	1	1
1220	связанных с	4	1
1221	предмет на	1	1
1222	входит в	8	1
1223	говорящего на	1	1
1224	нем в	6	1
1225	слово всегда	1	1
1226	все свои	2	1
1227	часто в	1	1
1228	именно эта	2	1
1229	бы из	1	1
1230	всем этим	2	1
1231	сложности и	1	1
1232	существенным и	1	1
1233	другом в	1	1
1234	можно встретить	1	1
1235	для освещения	1	1
1236	от действительного	1	1
1237	суждения и	1	1
1238	осмысления и	2	1
1239	в самых	2	1
1240	к своей	2	1
1241	поэтому мы	1	1
1242	новом свете	1	1
1243	исторического становления	3	1
1244	оно так	1	1
1245	из своего	1	1
1246	и символ	1	1
1247	существенной и	2	1
1248	точками зрения	4	1
1249	сущности можно	1	1
1250	этим не	1	1
1251	глубину и	1	1
1252	идти не	1	1
1253	точке зрения	2	1
1254	но этот	1	1
1255	одном своем	1	1
1256	в прошлом	2	1
1257	на те	1	1
1258	оно с	1	1
1259	и простая	1	1
1260	по ней	1	1
1261	без оговорок	1	1
1262	из слова	1	1
1263	эти попытки	1	1
1264	его слова	8	1
1265	за все	1	1
1266	в реальном	1	1
1267	этих категорий	3	1
1268	как мифа	1	1
1269	простое и	1	1
1270	входят в	3	1
1271	глубины и	1	1
1272	знает только	2	1
1273	говорят или	1	1
1274	не одно	1	1
1275	а со	1	1
1276	какие только	1	1
1277	речь о	2	1
1278	себя до	1	1
1279	и противопоставление	1	1
1280	языком в	1	1
1281	не получает	1	1
1282	и образования	1	1
1283	он молился	1	1
1284	заключается именно	1	1
1285	а следовательно	2	1
1286	явления с	1	1
1287	и две	2	1
1288	и иной	1	1
1289	но сама	1	1
1290	и выражения	1	1
1291	признания и	1	1
1292	того о	1	1
1293	печорин у	1	1
1294	социальные и	2	1
1295	порождать из	1	1
1296	этих моментов	1	1
1297	совершенно иными	1	1
1298	в контексте	5	1
1299	к общему	1	1
1300	и языком	2	1
1301	и всецело	1	1
1302	и вместо	1	1
1303	часто особенно	1	1
1304	всякого живого	1	1
1305	эти элементы	2	1
1306	не выходит	3	1
1307	как две	1	1
1308	так можно	1	1
1309	заложенные в	2	1
1310	они осуществляются	1	1
1311	остается в	5	1
1312	о слове	7	1
1313	и всей	1	1
1314	вещам как	1	1
1315	на язык	2	1
1316	собой в	1	1
1317	от действительности	2	1
