N	2gram	Losev_Vlad	Otkroven
339	и что	11	1
340	но сам	1	1
341	в одном	2	1
342	на самом	1	1
343	у нас	11	1
344	с умом	1	1
345	о пушкине	2	1
346	в отношении	5	1
347	с сего	1	1
348	не потому	1	1
349	бы и	1	1
350	и это	4	1
351	это подтверждается	1	1
352	в нас	4	1
353	и отец	2	1
354	смысле этого	1	1
355	всякого человека	1	1
356	и когда	1	1
357	и до	4	1
358	этими двумя	1	1
359	знания в	2	1
360	на людей	1	1
361	и женщины	1	1
362	нам всем	1	1
363	не вполне	3	1
364	в русском	2	1
365	за это	2	1
366	по своей	4	1
367	в пустыне	1	1
368	от того	2	1
369	человека с	2	1
370	связанная с	1	1
371	с кем	1	1
372	которая была	2	1
373	был человек	2	1
374	думать что	1	1
375	в них	5	1
376	у нее	1	1
377	вопрос об	1	1
378	связь с	1	1
379	было и	1	1
380	любви к	2	1
381	вл соловьева	278	1
382	сказать с	2	1
383	видно что	5	1
384	христа и	1	1
385	есть для	2	1
386	перед ним	1	1
387	что нет	1	1
388	как например	1	1
389	этот свой	2	1
390	где оно	1	1
391	и даже	23	1
392	этот период	2	1
393	из писателей	1	1
394	он еще	1	1
395	особого рода	2	1
396	большой вклад	1	1
397	известны слова	1	1
398	сила и	1	1
399	своей новой	1	1
400	если бы	2	1
401	самом деле	1	1
402	от всех	1	1
403	и напряженной	1	1
404	говорит в	2	1
405	и православной	2	1
406	и более	1	1
407	вот что	7	1
408	с ними	2	1
409	к чему	1	1
410	была бы	1	1
411	истории и	1	1
412	и сам	7	1
413	всегда в	1	1
414	и можно	4	1
415	его собственная	1	1
416	был для	3	1
417	будто бы	2	1
418	в силу	1	1
419	самом начале	1	1
420	бога и	3	1
421	на этот	9	1
422	любовь и	2	1
423	дело в	7	1
424	месте и	1	1
425	вообще и	1	1
426	он начинал	1	1
427	от бога	1	1
428	мужчины и	1	1
429	в мир	1	1
430	раз навсегда	1	1
431	любовь эта	1	1
432	и эта	1	1
433	только несколько	1	1
434	и требованиями	1	1
435	в эпоху	1	1
436	его как	2	1
437	отношения к	4	1
438	и сразу	1	1
439	когда человек	1	1
440	духа и	1	1
441	от которой	1	1
442	заключается в	1	1
443	начиная с	3	1
444	над его	1	1
445	действительно в	1	1
446	и действительно	3	1
447	огромное значение	1	1
448	он говорит	2	1
449	в обычном	1	1
450	идеях и	1	1
451	дела что	1	1
452	в конце	22	1
453	указывает на	2	1
454	тогда говорил	1	1
455	например в	1	1
456	в жизни	4	1
457	между этими	1	1
458	вырванных из	1	1
459	но к	1	1
460	в глазах	1	1
461	вот с	2	1
462	характер и	1	1
463	был в	5	1
464	с той	1	1
465	и без	2	1
466	и религиозное	1	1
467	и как	7	1
468	всего несколько	1	1
469	то в	6	1
470	к его	5	1
471	силу чего	1	1
472	есть не	1	1
473	чего бы	1	1
474	уже сам	1	1
475	к михайловского	2	1
476	что она	2	1
477	а именно	4	1
478	не одно	1	1
479	жизни и	8	1
480	всю жизнь	4	1
481	одна из	1	1
482	о судьбе	1	1
483	была для	4	1
484	он во	1	1
485	в разных	1	1
486	и прежде	1	1
487	него до	1	1
488	который в	1	1
489	того ни	1	1
490	человеческого сердца	1	1
491	как в	6	1
492	этого слова	1	1
493	другом месте	1	1
494	как будто	2	1
495	на то	7	1
496	но у	1	1
497	и раньше	1	1
498	говорят о	1	1
499	не стоит	1	1
500	и вечной	1	1
501	погружение в	1	1
502	он никогда	2	1
503	за границу	3	1
504	возможности и	1	1
505	интереса к	3	1
506	и я	7	1
507	слишком много	1	1
508	что во	2	1
509	да и	6	1
510	я хочу	1	1
511	его жизни	12	1
512	ли он	2	1
513	у одного	2	1
514	бы от	1	1
515	в новом	2	1
516	православия и	1	1
517	в свой	3	1
518	нисколько не	4	1
519	помешало бы	1	1
520	кто знает	1	1
521	интерес к	1	1
522	но это	6	1
523	в эти	14	1
524	и после	1	1
525	ему еще	1	1
526	в это	6	1
527	мир и	1	1
528	не стал	3	1
529	которого не	1	1
530	из него	1	1
531	себе и	2	1
532	любви и	1	1
533	к чтению	1	1
534	великих и	1	1
535	рассудка и	1	1
536	само по	1	1
537	к которой	2	1
538	жизни не	1	1
539	что пишет	3	1
540	было не	2	1
541	к богу	2	1
542	из них	3	1
543	свои собственные	1	1
544	что их	1	1
545	вовсе не	8	1
546	вл соловьев	232	1
547	под влиянием	6	1
548	что как	1	1
549	уже не	6	1
550	выше всякого	1	1
551	по силе	1	1
552	в одной	1	1
553	указать на	2	1
554	нее не	1	1
555	и дела	1	1
556	с того	2	1
557	и дал	1	1
558	стороны с	1	1
559	это была	3	1
560	особенно в	2	1
561	с какими	1	1
562	свое собственное	1	1
563	со всеми	1	1
564	с вопросом	2	1
565	бы в	1	1
566	поэтому он	1	1
567	любовью и	1	1
568	а что	3	1
569	людей в	2	1
