N	2gram	Tiupa_Lite	KFilosof
109	от своей	1	5
110	а в	5	5
111	я и	10	5
112	культуры и	2	5
113	жизни как	3	5
114	в контексте	1	5
115	бытия в	1	5
116	никогда не	5	5
117	что в	7	4
118	отношению ко	2	4
119	должна быть	3	4
120	при этом	23	4
121	ни было	2	4
122	что это	1	4
123	о нем	1	4
124	не как	4	4
125	для нас	3	4
126	прежде всего	14	4
127	с другим	1	4
128	в своих	5	4
129	места в	1	4
130	мне в	2	4
131	места и	1	4
132	нет в	2	4
133	мира и	1	4
134	том что	19	4
135	в чем	2	4
136	в каком	1	4
137	могло бы	1	4
138	в эстетическом	1	4
139	это мир	2	4
140	ценностного центра	1	4
141	и жизни	4	4
142	только как	1	4
143	во всей	1	4
144	не по	2	4
145	между тем	2	4
146	здесь мы	1	4
147	изнутри самого	1	4
148	ценности и	1	4
149	тем самым	8	4
150	и т.д	8	4
151	быть в	1	4
152	всех своих	3	4
153	себя а	1	4
154	для другого	1	4
155	жизни но	1	3
156	от него	2	3
157	та же	2	3
158	и на	5	3
159	мы не	5	3
160	был бы	1	3
161	ним и	1	3
162	тогда когда	1	3
163	всем его	1	3
164	действительной жизни	1	3
165	для которой	1	3
166	и этот	1	3
167	того что	7	3
168	сознания и	1	3
169	бытие и	1	3
170	на самом	1	3
171	а все	1	3
172	в виду	4	3
173	самом деле	2	3
174	единой и	1	3
175	тем что	6	3
176	но для	1	3
177	в акте	1	3
178	что этот	1	3
179	рядом с	1	3
180	не менее	11	3
181	для этой	2	3
182	бы не	3	3
183	здесь не	1	3
184	один и	1	3
185	его жизни	1	3
186	поскольку он	2	3
187	себе и	2	3
188	в момент	1	3
189	той или	1	3
190	в каждом	2	3
191	что не	3	3
192	в свою	2	3
193	не должен	3	3
194	мира не	1	3
195	не должно	1	3
196	во мне	2	3
197	в другом	3	3
198	для того	2	3
199	в ней	4	3
200	других людей	1	3
201	я буду	1	3
202	человека и	2	3
203	из его	2	3
204	нет и	1	3
205	только с	1	3
206	могут быть	4	3
207	до конца	3	3
208	о том	3	3
209	тем как	1	3
210	в то	12	3
211	для которого	1	3
212	лишь при	1	3
213	всех этих	1	3
214	тот же	1	3
215	и тем	4	3
216	ничего не	3	3
217	ценностным центром	1	3
218	меня и	1	3
219	бы то	1	2
220	как к	4	2
221	которой я	1	2
222	один из	7	2
223	и мы	2	2
224	ему в	2	2
225	и конечно	1	2
226	мышления и	3	2
227	и того	2	2
228	ценностный центр	2	2
229	случае мы	1	2
230	дело с	1	2
231	переживание переживания	1	2
232	тому что	1	2
233	бытия не	2	2
234	герой и	1	2
235	именно она	1	2
236	это уже	2	2
237	тем не	4	2
238	так и	7	2
239	из которых	3	2
240	сознания по	1	2
241	в принципе	7	2
242	и то	3	2
243	и за	2	2
244	в качестве	21	2
245	и когда	1	2
246	сводится к	4	2
247	и само	3	2
248	жизни мира	1	2
249	в виде	1	2
250	со всеми	2	2
251	целом как	1	2
252	если не	1	2
253	отказаться от	1	2
254	не о	1	2
255	ее от	1	2
256	сознания не	2	2
257	в сознании	3	2
258	мы говорим	1	2
259	дело в	3	2
260	подхода к	1	2
261	в мир	1	2
262	и эта	1	2
263	в ту	1	2
264	не следует	1	2
265	в жизни	7	2
266	не остается	2	2
267	и эстетический	1	2
268	с тем	2	2
269	его на	1	2
270	и как	2	2
271	что он	8	2
272	в соответствии	2	2
273	себя как	2	2
274	как в	5	2
275	на первом	2	2
276	во главе	2	2
277	от этого	1	2
278	с действительной	1	2
279	теоретическое установление	1	2
280	это было	1	2
281	вследствие этого	1	2
282	в это	1	2
283	своих границах	1	2
284	ничего общего	2	2
285	для эстетического	1	2
286	а для	3	2
287	можно и	2	2
288	все они	2	2
289	я живу	1	2
290	к этому	2	2
291	и потому	1	2
292	ни к	1	2
293	было и	1	2
294	а с	2	2
295	в данном	7	2
296	и других	4	2
297	вопрос о	1	2
298	раз и	2	2
299	она не	1	2
300	потому что	5	2
301	того чтобы	1	2
302	то ни	1	2
303	быть не	2	2
304	с этого	1	2
305	дело не	2	2
306	к себе	3	2
307	кажется что	1	2
308	в него	1	2
309	а по	2	2
310	знает и	1	2
311	говорить о	1	2
312	свою жизнь	1	2
313	для этого	5	2
314	отношении к	2	2
315	мы получим	1	2
316	всей своей	2	2
317	причастен и	1	2
318	же время	12	2
319	которую я	1	2
320	к которой	1	2
321	пространства и	1	2
322	автора его	1	2
323	основе своей	1	2
324	в этой	7	2
325	он и	5	2
326	эстетического субъекта	12	2
327	входит как	1	2
328	соответствии с	3	2
329	место не	1	2
330	мыслю я	1	2
331	что есть	2	2
332	при условии	1	2
333	только по	1	2
334	эстетическому субъекту	1	2
335	слова в	2	2
336	или иной	3	2
337	с его	5	2
338	автора как	1	2
339	в области	5	2
340	а как	2	2
341	постольку поскольку	1	2
342	ни был	2	2
343	себе как	2	2
344	с ее	3	2
345	чтобы не	2	2
346	сознания в	14	2
347	едва ли	5	2
348	одного и	1	2
349	другого и	1	2
350	гораздо более	1	2
351	подход к	1	1
352	все в	1	1
353	всего в	4	1
354	с волей	1	1
355	более не	2	1
356	в самом	4	1
357	практически не	2	1
358	и к	1	1
359	мире и	1	1
360	на почве	2	1
361	к действительности	1	1
362	она бы	1	1
363	смерть и	1	1
364	во втором	3	1
365	все что	3	1
366	как это	9	1
367	и культуры	3	1
368	своем я	2	1
369	или бессознательно	1	1
370	него как	1	1
371	до сих	1	1
372	в душе	3	1
373	и он	3	1
374	этой задачи	1	1
375	собой и	1	1
376	не выходит	1	1
377	так как	2	1
378	сознания все	1	1
379	моего я	1	1
380	же и	3	1
381	например что	1	1
382	как с	1	1
383	изнутри и	1	1
384	и своего	1	1
385	только что	1	1
386	и было	1	1
387	то есть	11	1
388	такова же	1	1
389	и свою	1	1
390	самого себя	3	1
391	видится и	1	1
392	переходит в	1	1
393	даже к	1	1
394	эту мысль	1	1
395	эта мысль	2	1
396	на том	3	1
397	не за	1	1
398	мысль моя	1	1
399	и мое	1	1
400	во власти	1	1
401	нас как	1	1
402	мог бы	1	1
403	сознание в	3	1
404	их смыслового	1	1
405	это открытие	1	1
406	оно было	1	1
407	что уже	1	1
408	другого субъекта	1	1
409	культуры из	1	1
410	он как	1	1
411	отношения к	1	1
412	есть общая	1	1
413	он становится	2	1
414	что был	1	1
415	и другую	1	1
416	и менее	1	1
417	несмотря на	3	1
418	мысль в	2	1
419	была бы	1	1
420	освободиться от	2	1
421	которых он	1	1
422	из всех	1	1
423	впрочем в	1	1
424	и наконец	2	1
425	и вечный	1	1
426	или с	1	1
427	не своей	1	1
428	художественного творчества	3	1
429	она лишь	1	1
430	и признания	1	1
431	ни на	1	1
432	участия в	1	1
433	под небом	1	1
434	как раз	6	1
435	нам остается	1	1
436	в литературе	2	1
437	любит и	1	1
438	и единственным	1	1
439	день и	1	1
440	с чем	3	1
441	оказался в	1	1
442	ее в	1	1
443	а затем	3	1
444	поэтому в	1	1
445	и сама	1	1
446	ценностью для	1	1
447	я во	1	1
448	можно сказать	1	1
449	систему ценностей	1	1
450	только при	1	1
451	путь а	1	1
452	сознания это	1	1
453	одно из	3	1
454	картина мира	2	1
455	иной культурной	1	1
456	в отношении	2	1
457	однако он	1	1
458	другого но	1	1
459	в результате	2	1
460	или иную	2	1
461	не от	1	1
462	до их	1	1
463	и жить	1	1
464	с собой	4	1
465	в третьем	3	1
466	основана на	1	1
467	него нет	1	1
468	к предмету	1	1
469	высшей ценностью	1	1
470	все равно	1	1
471	не путем	1	1
472	с действительностью	2	1
473	его действительности	1	1
474	не была	1	1
475	творчества и	1	1
476	к настоящему	1	1
477	в конечном	9	1
478	их не	2	1
479	него в	2	1
480	в зависимости	1	1
481	и даже	9	1
482	к его	1	1
483	что ему	4	1
484	эстетической деятельности	7	1
485	но он	1	1
486	не более	2	1
487	как индивидуального	1	1
488	чем ближе	1	1
489	в которой	1	1
490	или в	1	1
491	в первом	1	1
492	а за	3	1
493	этого не	2	1
494	и с	4	1
495	бытия по	1	1
496	от своего	3	1
497	с ней	1	1
498	освобождения от	2	1
499	и времени	1	1
500	и всякое	1	1
501	и мнимо	1	1
502	ценностей где	1	1
503	показать что	1	1
504	сознания его	1	1
505	мысль о	2	1
506	служить лишь	1	1
507	не противоречит	1	1
508	эстетики и	1	1
509	границу между	1	1
510	всем что	1	1
511	жизни его	1	1
512	никогда и	1	1
513	уже тем	1	1
514	а то	2	1
515	не делает	1	1
516	всю жизнь	2	1
517	и будет	2	1
518	превращается в	2	1
519	конечном счете	8	1
520	мысль каждый	1	1
521	но само	1	1
522	между прочим	1	1
523	более что	1	1
524	разобщения и	1	1
525	укоренен в	1	1
526	ссылки на	1	1
527	тем же	5	1
528	этом последнем	1	1
529	и поскольку	1	1
530	сегодняшний день	1	1
531	причастности к	5	1
532	отдельного человека	1	1
533	в какой	2	1
534	имеет место	1	1
535	как о	1	1
536	жизнь на	1	1
537	сознания для	2	1
538	может стать	1	1
539	я стал	1	1
540	если и	1	1
541	а именно	1	1
542	большинстве случаев	1	1
543	ничто в	1	1
544	его я	2	1
545	второй половине	1	1
546	а их	1	1
547	здесь дело	1	1
548	мы никогда	1	1
549	как другого	1	1
550	вместе с	5	1
551	меня я	1	1
552	укореняется в	1	1
553	на этом	3	1
554	при таком	1	1
555	в этих	2	1
556	никто не	1	1
557	человек со	1	1
558	т.е как	1	1
559	они не	1	1
560	к бытию	1	1
561	приводит к	4	1
562	я есть	2	1
563	отличается от	1	1
564	который не	1	1
565	действительную жизнь	1	1
566	в иной	1	1
567	самого как	1	1
568	субъекта не	2	1
569	между ними	1	1
570	зависимости от	1	1
571	при всех	2	1
572	бы себя	1	1
573	но уже	2	1
574	мир и	2	1
575	в известном	1	1
576	себе самой	1	1
577	общее дело	1	1
578	а только	2	1
579	вследствие чего	1	1
580	она и	1	1
581	в эту	1	1
582	культуры в	5	1
583	а он	1	1
584	жизни вообще	1	1
585	к тому	3	1
586	в одной	1	1
587	сих пор	1	1
588	весь мой	1	1
589	себя от	1	1
590	мире нет	1	1
591	вживания в	1	1
592	к той	1	1
593	бы ни	1	1
594	не был	1	1
595	из общих	1	1
596	еще одной	1	1
597	ценности у	1	1
598	только для	1	1
599	сам же	2	1
600	остается лишь	1	1
601	нет ничего	2	1
602	перестает быть	5	1
603	должен был	1	1
604	для друга	2	1
605	во всяком	3	1
606	здесь как	2	1
607	только от	1	1
608	отказа от	2	1
609	в жизнь	2	1
610	истина и	1	1
611	существенный момент	1	1
612	как таковому	1	1
613	нуждается в	3	1
614	но может	1	1
615	мы можем	1	1
616	не является	3	1
617	но с	3	1
618	если оно	2	1
619	а к	2	1
620	я долго	1	1
621	жизни а	1	1
622	ответственности на	1	1
623	должен иметь	1	1
624	в действительности	2	1
625	и пространства	1	1
626	жизни я	1	1
627	переживается как	1	1
628	на задний	1	1
629	в последней	1	1
630	на один	2	1
631	совершенно иной	1	1
632	всегда делает	1	1
633	не отменяет	1	1
634	в лучшем	1	1
635	более чем	4	1
636	всю свою	1	1
637	и большой	1	1
638	признать его	1	1
639	субъекта автора	1	1
640	границы и	1	1
641	другие я	1	1
642	субъекту бытия	1	1
643	действительности это	1	1
644	но при	2	1
645	всяком случае	2	1
646	эти слова	2	1
647	я ее	1	1
648	ни один	1	1
649	который по	1	1
650	где все	1	1
651	и место	1	1
652	не тот	2	1
653	и иных	2	1
654	также и	3	1
655	ту же	4	1
656	но эти	1	1
657	вся жизнь	1	1
658	как ученый	1	1
659	субъекта и	3	1
660	и востока	1	1
661	из их	1	1
662	в этот	1	1
663	индивидуальность как	1	1
664	культуры можно	1	1
665	нашей мысли	1	1
666	я а	1	1
667	по поводу	2	1
668	я только	1	1
669	слова и	6	1
670	в искусстве	4	1
671	остается только	1	1
672	и уже	1	1
673	растворяется в	1	1
674	лишь своего	1	1
675	когда он	1	1
676	субъекта в	1	1
677	на чем	1	1
678	есть всегда	1	1
679	живет и	1	1
680	средних веков	1	1
681	не могло	3	1
682	только на	3	1
683	ближе может	1	1
684	не с	2	1
685	может служить	1	1
686	за собой	2	1
687	но сам	1	1
688	и эстетической	1	1
689	кризис в	1	1
690	в различных	1	1
691	нового времени	2	1
692	жизни это	1	1
693	но только	3	1
694	сознание уже	1	1
695	говоря о	1	1
696	и до	1	1
697	ту или	2	1
698	отменяет а	1	1
699	уже и	1	1
700	в истории	1	1
701	и находит	1	1
702	не станет	1	1
703	по своей	3	1
704	бы два	1	1
705	это может	1	1
706	бы там	1	1
707	себе в	3	1
708	в большинстве	1	1
709	свою очередь	2	1
710	как таковую	1	1
711	любви к	1	1
712	а во	2	1
713	для жизни	1	1
714	еще на	1	1
715	не раз	2	1
716	субъекта но	1	1
717	в не	1	1
718	принципиально иной	1	1
719	я это	3	1
720	задний план	1	1
721	ценностями но	1	1
722	и мыслится	1	1
723	я в	12	1
724	и эстетического	1	1
725	я как	1	1
726	но мы	1	1
727	пока еще	1	1
728	и окончательно	1	1
729	по всей	1	1
730	которого является	2	1
731	и где	1	1
732	не подлежит	1	1
733	мышления но	1	1
734	не для	2	1
735	я с	1	1
736	оно должно	1	1
737	не видя	1	1
738	в индивидуальном	2	1
739	своей жизни	1	1
740	не укоренен	1	1
741	если мы	1	1
742	по которой	1	1
743	быть преодолена	1	1
744	а скорее	2	1
745	и во	1	1
746	той же	5	1
747	и каждый	2	1
748	и др	4	1
749	это приводит	1	1
750	его эмпирической	1	1
751	о его	1	1
752	одной из	2	1
753	три строки	1	1
754	места для	1	1
755	что может	1	1
756	в нашем	2	1
757	путь от	1	1
758	значительной степени	1	1
759	как я	3	1
760	субъектом и	1	1
761	в первой	1	1
762	и от	1	1
763	относится к	3	1
764	как все	2	1
765	столь же	5	1
766	том же	3	1
767	же в	6	1
768	подлежит сомнению	1	1
769	исходит из	3	1
770	такой же	3	1
771	и о	1	1
772	в значительной	1	1
773	с нашим	1	1
774	здесь я	1	1
775	я всем	1	1
776	видения вокруг	1	1
777	одна из	8	1
778	на то	2	1
779	не стоит	1	1
780	себе самому	1	1
781	здесь и	1	1
782	сознание со	1	1
783	от них	1	1
784	лирический герой	14	1
785	и по	1	1
786	не изображаемого	1	1
787	быть осознана	1	1
788	я люблю	3	1
789	мной как	1	1
790	но такой	1	1
791	культуры как	1	1
792	или не	1	1
793	приходится признать	1	1
794	жизнь не	1	1
795	понятие о	1	1
796	контексте культуры	1	1
797	и живет	1	1
798	друг друга	5	1
799	единственного субъекта	1	1
800	не мог	3	1
801	лучшем случае	1	1
802	в системе	1	1
803	того же	5	1
804	не просто	2	1
805	нет не	2	1
806	не случайно	5	1
807	бы я	2	1
808	в один	1	1
809	стать действительностью	1	1
810	эстетический субъект	5	1
811	жизни не	2	1
812	взаимоотношений между	1	1
813	поэтому он	1	1
814	друг для	2	1
815	я другой	2	1
816	не можем	2	1
817	оказались бы	1	1
818	и т.п	14	1
819	как мы	2	1
820	наше время	1	1
821	и приходится	1	1
822	мысли и	1	1
823	и иные	1	1
824	не к	3	1
825	прочим и	1	1
826	возможна только	1	1
827	а эти	1	1
828	а я	2	1
829	здесь этот	1	1
830	мы вызвали	1	1
831	могли быть	1	1
832	я то	1	1
833	во второй	2	1
834	в историю	1	1
