N	2gram	Medvedev_U	Morfolog
99	или по	1	2
100	или просто	1	2
101	случае он	1	2
102	но такое	1	2
103	более или	1	2
104	в россии	4	2
105	мы получаем	2	2
106	относятся к	1	2
107	с тем	1	2
108	их в	1	2
109	вряд ли	3	2
110	в которых	1	2
111	только для	1	2
112	в итоге	2	2
113	не входит	1	2
114	его и	2	2
115	можно сказать	1	2
116	того как	1	2
117	в данном	1	2
118	что этот	1	2
119	что мы	2	2
120	одной стороны	1	2
121	в различных	1	2
122	превращается в	2	2
123	что же	1	2
124	из первых	1	2
125	что она	2	2
126	он может	1	2
127	функции как	1	2
128	для него	3	2
129	в свое	1	2
130	как такового	3	2
131	данном случае	1	2
132	с одной	1	2
133	она в	1	2
134	ни было	3	2
135	этом отношении	2	2
136	все это	5	2
137	этого не	1	2
138	как таковая	1	2
139	одним из	2	2
140	у него	1	2
141	или менее	1	2
142	бы в	1	2
143	могли бы	2	2
144	наука о	1	2
145	и даже	1	2
146	она не	1	2
147	специфическая форма	1	2
148	в частности	3	2
149	от вопроса	1	2
150	в той	1	1
151	то сколько	1	1
152	все что	1	1
153	для всех	2	1
154	до сих	2	1
155	еще раз	1	1
156	существенным для	1	1
157	и материал	1	1
158	и направлено	1	1
159	или иных	2	1
160	формы в	3	1
161	это значит	1	1
162	думается что	2	1
163	одно из	1	1
164	не столько	2	1
165	и делает	1	1
166	формы является	1	1
167	если не	2	1
168	где же	1	1
169	о необходимости	1	1
170	наталкиваемся на	1	1
171	и с	2	1
172	их и	2	1
173	равно как	1	1
174	и все	1	1
175	из самых	1	1
176	не делает	1	1
177	и действительно	1	1
178	исходить из	1	1
179	в точном	1	1
180	что такой	1	1
181	в своей	3	1
182	на эту	2	1
183	связанные с	1	1
184	этого материала	1	1
185	о котором	1	1
186	на своем	1	1
187	к созданию	1	1
188	все они	2	1
189	тем в	1	1
190	больше чем	1	1
191	в котором	1	1
192	говорить не	1	1
193	в отдельности	1	1
194	и простое	1	1
195	только как	1	1
196	и независимо	1	1
197	оно является	1	1
198	в этот	1	1
199	уже имеются	1	1
200	точно и	1	1
201	которых она	1	1
202	задачи и	1	1
203	не вполне	1	1
204	же время	3	1
205	в точных	1	1
206	она все	1	1
207	же самое	2	1
208	так то	1	1
209	как на	1	1
210	вводится в	1	1
211	он в	1	1
212	не как	3	1
213	к следующему	1	1
214	для изучения	1	1
215	в противном	2	1
216	друг с	1	1
217	материал и	1	1
218	о чем	2	1
219	а для	1	1
220	тот же	1	1
221	не то	1	1
222	и то	3	1
223	в себе	2	1
224	что ему	1	1
225	пока для	1	1
226	этой области	3	1
227	но прежде	1	1
228	думает о	1	1
229	один пример	1	1
230	этих функций	1	1
231	должно быть	1	1
232	в его	2	1
233	материала и	2	1
234	методах изучения	1	1
235	он называет	1	1
236	как раз	2	1
237	о нем	1	1
238	что с	1	1
239	же не	2	1
240	слова а	1	1
241	функция а	1	1
242	что все	2	1
243	в их	4	1
244	раз обратное	1	1
245	в г	1	1
246	материал для	2	1
247	подобным образом	1	1
248	что под	1	1
249	в виду	1	1
250	принципа в	1	1
251	точном смысле	1	1
252	в таком	1	1
253	ссылка на	1	1
254	приемов и	2	1
255	но по	1	1
256	не есть	2	1
257	противном случае	2	1
258	по его	1	1
259	и это	1	1
260	основного принципа	1	1
261	с другом	1	1
262	пришлось бы	3	1
263	из материала	2	1
264	сих пор	2	1
265	свое место	1	1
266	метод и	1	1
267	более чем	2	1
268	как таковыми	1	1
269	она строится	1	1
270	часто встречается	1	1
271	она должна	1	1
272	бы только	1	1
273	принципов и	1	1
274	в течение	1	1
275	но он	1	1
276	для тех	1	1
277	не приходится	2	1
278	у кого	1	1
279	является одним	1	1
280	это то	1	1
281	к которой	1	1
282	верно и	1	1
283	быть не	1	1
284	друг другу	1	1
285	затем он	1	1
286	оно по	1	1
287	этого и	1	1
288	делает и	1	1
289	в области	3	1
290	тех или	2	1
291	самыми разнообразными	1	1
292	надо было	2	1
293	из приемов	1	1
294	всех этих	2	1
295	он был	1	1
296	имеет свою	1	1
297	ходов и	1	1
298	или точнее	3	1
299	еще одно	1	1
