N	2gram	Potebnia_M	UchenyiS
240	чем то	1	1
241	в течение	2	1
242	но именно	1	1
243	является только	1	1
244	впрочем не	1	1
245	относятся к	2	1
246	в своем	6	1
247	она представляется	1	1
248	она эта	1	1
249	говорить не	1	1
250	тогда когда	20	1
251	с тем	9	1
252	входит в	3	1
253	для себя	3	1
254	только как	9	1
255	есть конечно	1	1
256	тем в	1	1
257	что только	7	1
258	его на	3	1
259	содержания или	1	1
260	только при	2	1
261	указаниями на	1	1
262	одной стороны	4	1
263	только материал	1	1
264	шаг к	1	1
265	представлений и	5	1
266	относится к	6	1
267	время не	1	1
268	или по	2	1
269	знакомый нам	1	1
270	не без	1	1
271	об искусстве	1	1
272	бы почти	1	1
273	анализа в	1	1
274	тому чтобы	1	1
275	искусства и	3	1
276	что по	4	1
277	не связанных	1	1
278	их в	3	1
279	же в	3	1
280	он может	2	1
281	с самим	1	1
282	искусств а	1	1
283	в ней	11	1
284	будет не	2	1
285	меньшей мере	1	1
286	или даже	1	1
287	из первых	1	1
288	но что	4	1
289	в порядке	1	1
290	в данное	2	1
291	и необходимо	1	1
292	на одно	1	1
293	даже не	2	1
294	это для	1	1
295	вообще мы	1	1
296	язык в	1	1
297	это значит	1	1
298	довести до	1	1
299	известно не	1	1
300	ему вообще	1	1
301	а это	2	1
302	единства и	1	1
303	не вполне	1	1
304	на то	6	1
305	есть язык	1	1
306	почему в	1	1
307	которой и	1	1
308	но если	2	1
309	в большей	3	1
310	по меньшей	1	1
311	бы ни	6	1
312	сам по	9	1
313	только для	3	1
314	без этого	1	1
315	не входит	1	1
316	отсюда как	1	1
317	в которых	5	1
318	к этому	3	1
319	большей или	1	1
320	так и	17	1
321	своей совокупности	1	1
322	это то	1	1
323	о нем	1	1
324	что с	2	1
325	знание того	1	1
326	из которых	1	1
327	где бы	1	1
328	друг с	1	1
329	это в	2	1
330	ее в	2	1
331	поэзии и	8	1
332	в современном	1	1
333	о которой	1	1
334	находящихся в	2	1
335	находятся в	3	1
336	этих слов	2	1
337	осталось бы	1	1
338	о котором	2	1
339	в нем	16	1
340	это верно	1	1
341	он не	4	1
342	как части	1	1
343	это доказывается	1	1
344	независимо от	10	1
345	течение многих	1	1
346	что нельзя	2	1
347	все что	4	1
348	и слово	6	1
349	если нет	1	1
350	на его	4	1
351	и что	13	1
352	содержание в	3	1
353	в известном	1	1
354	одно из	6	1
355	форма в	5	1
356	что для	5	1
357	и это	6	1
358	в различных	2	1
359	свойственна не	1	1
360	с одной	8	1
361	с другом	1	1
362	в поэтическом	2	1
363	он был	1	1
364	когда бы	1	1
365	за пределы	2	1
366	имеет свою	2	1
367	должно быть	9	1
368	случае он	1	1
369	что при	3	1
370	об этом	4	1
371	сторону от	1	1
372	правда не	1	1
373	в виду	1	1
374	и искусства	1	1
375	лишь настолько	3	1
376	само по	6	1
377	только возможно	1	1
378	или менее	6	1
379	деле есть	1	1
380	на выражение	1	1
381	формы является	1	1
382	есть слово	1	1
383	самое делает	1	1
384	невозможна без	2	1
385	в пределах	1	1
386	нужно будет	1	1
387	тот же	2	1
388	уже не	11	1
389	и вне	1	1
390	что следовало	1	1
391	о том	7	1
392	тем сам	1	1
393	не то	6	1
394	по его	1	1
395	далеко не	5	1
396	тем более	9	1
397	того что	24	1
398	искусства в	1	1
399	в понятии	2	1
400	у него	3	1
401	в словах	3	1
402	друг другу	2	1
403	заключенных в	1	1
404	слово как	5	1
405	в котором	7	1
406	не существует	5	1
407	бы в	3	1
408	на слово	2	1
409	в виде	3	1
410	существование в	2	1
411	все черты	2	1
412	если у	1	1
413	той же	6	1
414	никогда не	2	1
415	человека и	8	1
