N	2gram	Nazirov_Vr	Morfolog
229	и с	6	1
230	которым он	1	1
231	их и	1	1
232	равно как	1	1
233	и все	7	1
234	еще в	1	1
235	никакого влияния	1	1
236	именно в	1	1
237	отношения к	2	1
238	к царю	1	1
239	выясняется что	1	1
240	там же	2	1
241	это время	1	1
242	в своей	2	1
243	домой в	1	1
244	прочим и	1	1
245	ли он	1	1
246	о котором	1	1
247	влияния на	1	1
248	в это	2	1
249	мы считаем	1	1
250	ничего общего	1	1
251	этому же	1	1
252	этот мотив	1	1
253	во все	1	1
254	очень высоко	2	1
255	к этой	1	1
256	в котором	6	1
257	него он	1	1
258	он дважды	1	1
259	говорить не	1	1
260	брата и	1	1
261	в свою	2	1
262	только как	1	1
263	во многих	1	1
264	в этот	3	1
265	тех пор	1	1
266	к своей	1	1
267	после смерти	2	1
268	как эта	1	1
269	с помощью	1	1
270	место принимая	1	1
271	которую он	1	1
272	е годы	1	1
273	не будет	1	1
274	что ее	1	1
275	же время	5	1
276	к людям	1	1
277	свою очередь	1	1
278	и а	2	1
279	как на	1	1
280	текста к	1	1
281	одно и	1	1
282	не совсем	1	1
283	отношение к	2	1
284	ее не	1	1
285	этот вывод	1	1
286	такая же	1	1
287	что я	2	1
288	а одна	1	1
289	быть применено	1	1
290	не стоит	1	1
291	он сам	2	1
292	довольно много	2	1
293	иваном в	1	1
294	в первой	1	1
295	уже по	1	1
296	материал и	1	1
297	в эти	2	1
298	ее своей	1	1
299	о чем	2	1
300	лишь один	1	1
301	у вас	1	1
302	только о	1	1
303	в ее	1	1
304	свои собственные	1	1
305	указанием на	1	1
306	может как	1	1
307	в подобных	1	1
308	высшей степени	1	1
309	об их	2	1
310	как к	1	1
311	дает нам	1	1
312	которую они	1	1
313	и то	2	1
314	в себе	2	1
315	но на	1	1
316	другие персонажи	1	1
317	ему в	1	1
318	один пример	1	1
319	пользу и	1	1
320	во всей	1	1
321	это будет	1	1
322	время и	2	1
323	и уж	1	1
324	еще до	1	1
325	с любовью	1	1
326	сколько в	1	1
327	в его	3	1
328	он как	1	1
329	с тех	1	1
330	как раз	2	1
331	это дает	1	1
332	такое же	1	1
333	следить за	1	1
334	о нем	6	1
335	же не	2	1
336	иными словами	1	1
337	третий раз	1	1
338	в их	1	1
339	мы находим	1	1
340	из основателей	1	1
341	без всяких	1	1
342	как по	1	1
343	в виду	4	1
344	что за	1	1
345	во внимание	1	1
346	и начинается	1	1
347	в таком	1	1
348	встречается лишь	1	1
349	литературе и	1	1
350	с различными	1	1
351	не есть	1	1
352	а их	1	1
353	между прочим	1	1
354	не дают	1	1
355	в мире	2	1
356	так в	2	1
357	еще к	1	1
358	уже давно	1	1
359	что им	1	1
360	по его	1	1
361	служит для	1	1
362	пока не	1	1
363	и это	2	1
364	по характеру	1	1
365	в эту	2	1
366	сих пор	1	1
367	и вообще	1	1
368	свое место	1	1
369	дурак так	1	1
370	в русской	3	1
371	предположить что	1	1
372	о себе	3	1
373	вошел в	1	1
374	мысль на	3	1
375	же с	1	1
376	возвращается к	1	1
377	в предисловии	1	1
378	такие же	1	1
379	может идти	1	1
380	в третий	1	1
381	для описания	1	1
382	и дети	2	1
383	одну из	1	1
384	а от	1	1
385	появилась книга	1	1
386	только об	1	1
387	но он	3	1
388	ряда других	1	1
389	одним словом	1	1
390	как он	1	1
391	конечно в	1	1
392	же он	1	1
393	в нашей	2	1
394	это то	1	1
395	но об	1	1
396	доходит до	1	1
397	на свое	1	1
398	у которого	1	1
399	на это	2	1
400	свою мать	1	1
401	верил в	1	1
402	и никогда	1	1
403	в плане	1	1
404	со мной	1	1
405	говорилось выше	1	1
406	узнает в	1	1
407	и гораздо	1	1
408	в силу	1	1
409	такой же	1	1
410	этого и	1	1
411	как при	1	1
412	из этого	1	1
413	хотя он	1	1
414	в окно	1	1
415	в высшей	1	1
416	в него	2	1
417	с ее	1	1
418	всех этих	1	1
419	он был	3	1
420	и наконец	1	1
421	некоторые черты	1	1
422	вплоть до	1	1
423	а н	2	1
424	в е	1	1
